Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,,,ACH050,Гравий аглопоритовый,"Искусственный пористый заполнитель, имеющий округлую или гравелистую форму, полученный спеканием песчано-глинистых пород на решетках агломерационной машины","ГОСТ 32496-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 20 10,
,,,,ACH060,Щебень керамзитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный при вспучивании в результате обжига фракционированного камнеподобного глинистого сырья или дроблении керамзита фракции более 20 мм","ГОСТ 32496-2013
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 40 70,
,,,,ACH070,Щебень аглопоритовый,"Искусственный пористый заполнитель, полученный спеканием песчано-глинистых пород на решетках агломерационной машины непрерывного или переменного действия","ГОСТ 32496-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,02.2.05.02,СТ 10 10 40 10,
,,,,ACH080,Щебень термолитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный спеканием и поризацией в результате обжига фракционированный камнеподобных кремнистых пород (трепела, диатомиты, опоки) или дроблением термолитового гравия крупных фракций и кусков",ГОСТ Р 56507-2015,,,,,
,,,,ACH090,Щебень шлакопемзовый,"Техногенный пористый заполнитель, получаемый на основе поризации расплава шлаков металлургического производства ","ГОСТ 5578-2019
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,,СТ 10 10 40 90,
,,,,ACH100,Вспученный вермикулит,"Материал, получаемый вспучиванием при обжиге подготовленных зерен из природных видов гидратированной слюды","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,23.99.19.111.12.2.03.04-0001,СТ 10 14 20 07 03,
,AD,,,,Песок,,,По виду материала,,,,
,,ADA,,,Песок природный,"Неорганический сыпучий материал с крупностью зерен до 4 мм, образовавшийся в результате естественного разрушения горных пород и получаемый при разработке песчаных и песчано-гравийных месторождений","ГОСТ 32824-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду материала,,02.3.01.02,СТ 10 10 30,
,,,,ADA010,"Песок из изверженных, метаморфических и осадочных пород",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,02.3.01.04,,
,,,,ADA020,Песок кварцевый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Песок кварцевый ЛПК-5
Песок кварцевый формовочный
Песок кварцевый, фракция 0-0,63 мм","08.12.11.120.02.3.01.07-0002
08.12.11.120.02.3.01.07-0004
08.12.11.120.02.3.01.07-0005
08.12.11.120.02.3.01.07-0006
08.12.11.120.02.3.01.07-0007",СТ 10 10 30 30,
,,,,ADA030,Песок из горных пород вулканического происхождения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,02.3.01.03,,
,,,,ADA040,Песок баритовый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,08.91.19.110.02.3.01.01-0001,СТ 10 10 30 10,
,,,,ADA050,Песок из отсевов дробления обогащенный,"Песок с улучшенным зерновым составом, получаемый с применением специального обогатительного оборудования и поставляемый без разделения на фракции","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.12.11.130.02.3.01.05-0037
08.12.11.130.02.3.01.05-0040
08.12.11.130.02.3.01.05-0043
08.12.11.130.02.3.01.05-0046
08.12.11.130.02.3.01.05-0049
08.12.11.130.02.3.01.05-0052
08.12.11.130.02.3.01.05-0057
08.12.11.130.02.3.01.05-0060
08.12.11.130.02.3.01.05-0063
08.12.11.130.02.3.01.05-0066
08.12.11.130.02.3.01.05-0069
08.12.11.130.02.3.01.05-0072
08.12.11.130.02.3.01.05-0077
08.12.11.130.02.3.01.05-0080
08.12.11.130.02.3.01.05-0083
08.12.11.130.02.3.01.05-0086
08.12.11.130.02.3.01.05-0089
08.12.11.130.02.3.01.05-0092
08.12.11.130.02.3.01.05-0097
08.12.11.130.02.3.01.05-0100
08.12.11.130.02.3.01.05-0103
08.12.11.130.02.3.01.05-0106
08.12.11.130.02.3.01.05-0109
08.12.11.130.02.3.01.05-0112",,
