Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,ABB,,,,,"Фермы, ригели, балки, прогоны",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"05.1.03.16-0014
05.1.03.13
05.1.03.01
05.1.03.02
05.1.03.03
05.1.03.12
59.1.05.01-0779
59.1.05.01-0780
59.1.05.01-0781
59.1.05.01-0782
59.1.05.01-0783
59.1.05.01-0784
59.1.05.01-0785
59.1.05.01-0786
59.1.05.01-0787
59.1.05.01-0788
59.1.05.01-0789
59.1.05.01-0790
59.1.05.01-0791
59.1.05.01-0792
59.1.05.01-0793
59.1.05.01-0794
59.1.05.01-0795
59.1.05.01-0796
59.1.05.01-0797
59.1.05.01-0798
59.1.05.01-0799
59.1.05.01-0800
59.1.05.01-0801
59.1.05.01-0802
59.1.05.01-0803
59.1.05.01-0804
59.1.05.01-0805
59.1.05.01-0806
59.1.05.01-0807
59.1.05.01-0808
59.1.05.01-0809
59.1.05.01-0810
59.1.05.01-0811
59.1.05.01-0812
",,,,
,,,ABBA,,,,Ферма железобетонная,"Рама с треугольной решеткой, служащая балкой","ГОСТ 20213-2015
ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,59.1.11.02-0938,ЭЛ 30 16 80 30,,,
,,,,ABBAA,,,Ферма стропильная,"Несущая конструкция для покрытия больших пролетов, представляющая собой плоскую конструкцию из стержневых элементов","ГОСТ 20213-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,59.1.07.02-0304,ЭЛ 20 20 36,,,
,,,,ABBAB,,,Ферма подстропильная,"Несущая конструкция, предназначенная для опирания стропильных ферм в средних рядах колонн многопролетных зданий","ГОСТ 20213-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,59.1.07.02-0304,ЭЛ 20 20 38,,,
,,,ABBB,,,,Прогон железобетонный для покрытий зданий промышленных и сельскохозяйственных предприятий,"Железобетонный прогон таврового сечения длиной 6 м с переменной высотой стенки, изготовляемый из тяжелого бетона и предназначенный для применения в покрытиях зданий промышленных и сельскохозяйственных предприятий при уклоне кровли до 25% включительно","ГОСТ 26992-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"59.1.05.01-0764
59.1.05.01-0765
59.1.05.01-0766
59.1.05.01-0767
59.1.05.01-0768
59.1.05.01-0769
59.1.05.01-0770
59.1.05.01-0771
59.1.05.01-0772
59.1.05.01-0773
59.1.05.01-0774
59.1.05.01-0775
59.1.05.01-0776
59.1.05.01-0777
59.1.05.01-0778",,,Определение синтезировано,
,,,ABBC,,,,Ригель железобетонный для многоэтажных зданий,"Железобетонный ригель, изготовляемый из тяжелого бетона и предназначенный для каркасов многоэтажных общественных зданий, производственных, административных и бытовых зданий промышленных предприятий","ГОСТ 18980-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.03.13,ЭЛ 30 16 65,,Определение синтезировано,
,,,ABBD,,,,Балка,"Конструктивный элемент, служащий для передачи нагрузок между точками опоры или за их пределы, обычно протяженный в длину и расположенный, как правило, горизонтально","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.1.03.01
05.1.03.02
05.1.03.03
07.2.03.01-0002
07.2.03.06-0001
07.2.03.06-0092
59.1.05.01-0813
59.1.05.01-0814
59.1.05.01-0815
59.1.05.01-0817
59.1.05.01-0818
59.1.05.01-0819
59.1.05.01-0820",ЭЛ 30 16 20,,,
,,,,ABBDA,,,Балка обвязочная,"Линейный горизонтальный несущий элемент строительных конструкций зданий или сооружений, предназначенный для восприятия и передачи нагрузок от каменных стен","ГОСТ 24893-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,05.1.03.01,,,,
,,,,,ABBDAA,,Балка обвязочная железобетонная для зданий промышленных предприятий,"Железобетонная обвязочная балка, изготовляемая из тяжелого бетона и бетона на пористых заполнителях.
координационной длиной 6,0 м, применяемая в навесных каменных (из кирпича и легкобетонных камней), наружных и внутренних стенах, в том числе в местах перепада высот, производственных и вспомогательных зданий промышленных предприятий",ГОСТ 24893-2016,,,,,,Определение синтезировано,
,,,,ABBDB,,,Балка стропильная,"Несущий элемент зданий, воспринимающий нагрузку от покрытия кровли","ГОСТ 20372-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.03.03,ЭЛ 20 20 35,,,
,,,,ABBDC,,,Балка подкрановая,"Строительная конструкция, предназначенная для опирания (подвески) рельсового пути кранового, восприятия нагрузок от подъемного сооружения в процессе эксплуатации и обеспечения пространственной жесткости и устойчивости каркаса сооружения","ГОСТ Р 56944-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.03.02,"ЭЛ 30 16 21
ЭЛ 30 16 21",,Определение синтезировано,
,,,,ABBDD,,,Балка подстропильная,"Несущая конструкция, предназначенная для опирания стропильных конструкций в средних рядах колонн многопролетных зданий.",ГОСТ 20372-2015,,,,,,,
,,ABC,,,,,Надземный рельсовый путь крановый,"Рельсовый путь крановый, опирающийся на подкрановые строительные конструкции или подвешенный к ним","ГОСТ Р 56944-2016
СП 12-103-2002",,,07.2.01.01,,,,
,,,,,,ABC010,"Пути крановые из рельсов железнодорожных на бетонном основании, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC020,"Пути крановые из рельсов железнодорожных на бетонном основании, стали С 255, крепления и упоры",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC030,"Пути крановые из рельсов железнодорожных на бетонном основании, марка стали С 255, рельсы железнодорожные",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC040,"Пути крановые из специальных крановых рельсов на бетонном основании, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC050,"Пути крановые из специальных крановых рельсов на бетонном основании, марка стали С 255, комплектующие детали и метизы",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC060,"Пути крановые из специальных крановых рельсов на бетонном основании, марка стали С 255, рельсы специальные крановые",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC070,"Пути обратные плоских затворов (решеток), стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC080,"Пути подкрановые, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC090,"Пути подкрановые, стали С 255, крепления и упоры",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC100,"Пути подкрановые, стали С 255, рельсы железнодорожные",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC110,"Пути рабочие колесного затвора, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
,,,,,,ABC120,"Пути рабочие плоских скользящих затворов и решеток, конструкция составного сечения из толстолистового проката с механической обработкой по торцам, стали С 255",,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,
