Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,,,,CFBA010,Блок приемный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.01.01,,,,
,,,,,,CFBA020,Блок присоединительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.01.02,,,,
,,,,,,CFBA030,Блок тепломассообмена,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.01.03,,,,
,,,CFBB,,,,Камера системы вентиляции и дымохода,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.02,,,,
,,,,,,CFBB010,Камера воздушная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.02.01,ЭЛ 40 20 40 28,,,
,,,,,,CFBB020,Камера обслуживания,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.02.02,ЭЛ 40 20 40 29,,,
,,,,,,CFBB030,Камера орошения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.02.03,,,,
,,,,,,CFBB040,Камера приточная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.02.04,ЭЛ 40 20 40 30,,,
,,,CFBC,,,,Кондиционеры и сплит-системы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.03,,,,
,,,,,,CFBC010,Блок кондиционеров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.03.01,,,,
,,,,,,CFBC020,Блок сплит-систем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.2.03.02,,,,
,,,,,,CFBC030,Кондиционер бытовой настенный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.03.03,ЭЛ 40 50 10 28,,,
,,,,,,CFBC040,Кондиционер промышленный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.03.04,ЭЛ 40 50 10 28,,,
,,,,,,CFBC050,Кондиционер центральный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.03.05,ЭЛ 40 50 10 28,,,
,,,,,,CFBC060,Сплит-системы,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.2.03.06,ЭЛ 40 50 10 40,,,
,,CFC,,,,,Оборудование для очистки воздуха,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.3,ЭЛ 40 20,,,
,,,CFCA,,,,Агрегаты пылеулавливающие,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.3.01,ЭЛ 40 50 10 34,,,
,,,CFCB,,,,Скрубберы,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.3.02.01,ЭЛ 40 20 50 53,,,
,,,CFCC,,,,Циклоны,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.3.02.02,ЭЛ 40 20 50 54,,,
,,CFD,,,,,Агрегаты и установки вентиляционные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.4,ЭЛ 40 20,,,
,,,CFDA,,,,Агрегат вентиляционный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.01,,,,
,,,,,,CFDA010,Агрегат вентиляционно-приточный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.4.01.01,ЭЛ 40 20 50 15,,,
,,,,,,CFDA020,Агрегат приточно-вытяжной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.01.03,,,,
,,,CFDB,,,,Блоки управления автоматические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.02,,,,
,,,,,,CFDB010,Блок управления вентиляции,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.02.02,,,,
,,,,,,CFDB020,Модуль управляющий для вентиляторов канальных,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.02.03,,,,
,,,,,,CFDB030,Регулятор скорости вращения вентилятора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.02.04,,,,
,,,,,,CFDB040,Система управления приточной установкой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.02.05,,,,
,,,,,,CFDB050,Узел смесительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.02.06,,,,
,,,CFDC,,,,Установки вентиляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.4.03,,,,
,,CFE,,,,,Агрегаты отопительные и воздухонагреватели,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5,ЭЛ 30 25 30,,,
,,,CFEA,,,,Агрегаты воздушно-отопительные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.5.01,,,,
,,,,,,CFEA010,Агрегат воздушно-отопительный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.01.01,ЭЛ 40 20 50 35,,,
,,,,,,CFEA020,Завеса воздушная для горизонтальной и вертикальной установки,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.01.02,ЭЛ 40 20 50 30,,,
,,,CFEB,,,,Воздухонагреватели,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.02,ЭЛ 40 20 50 36,,,
,,,CFEC,,,,Калориферы,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.03,ЭЛ 40 50 10 26,,,
,,,,,,CFEC010,Калорифер биметаллический с накатным оребрением,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.5.03.01,,,,
,,,,,,CFEC020,Калорифер пластинчатый стальной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.5.03.02,,,,
,,,CFED,,,,Теплообменники,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.04,ЭЛ 40 50 10 44,,,
,,,,,,CFED010,Теплообменник пластинчатый разборный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.04.01,ЭЛ 40 50 10 45,,,
,,,,,,CFED020,Теплообменник кожухотрубчатый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.5.04.03,ЭЛ 40 50 10 44,,,
,,CFF,,,,,Оборудование промышленное холодильное и вентиляционное,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.9.03,,,,
,,,CFFA,,,,Части холодильного и морозильного оборудования и тепловых насосов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,64.9.03.01,,,,
,,,CFFB,,,,"Вентиляторы, кроме настольных, напольных, настенных, оконных, потолочных или вентиляторов для крыш",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,64.9.03.02,"ЭЛ 40 20 50 20
ЭЛ 40 50 10 14",,,
,,CFG,,,,,Элементы вентиляционных камер и шахт,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.1.03
",,,,
,,,CFGA,,,,Двери и люки для вентиляционных камер,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.03.01,,,,
,,,CFGB,,,,Люк для воздуховода,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.1.03.02,ЭЛ 30 18 50,,,
,,,CFGC,,,,Поддон к вентиляционным шахтам,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.03.03,,,,
,,,CFGD,,,,Элемент вентиляционной шахты,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.03.04,,,,
,,CFH,,,,,Элементы дымоходов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"08.1.04
",ЭЛ 30 25 50,,,
,,,CFHA,,,,Заглушка для дымохода,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.1.04.01,ЭЛ 40 15 20 20,,,
,,,CFHB,,,,Люк дымоудаления,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.1.04.03,ЭЛ 30 18 50,,,
,,,CFHC,,,,Оголовок для дымохода,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.04.04,,,,
,,,CFHD,,,,Труба дымоходная для котла,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.1.04.07,ЭЛ 40 15 10 10,,,
,,CFJ,,,,,"Виброизоляторы, зонты, отсосы, решетки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.2
",,,,
,,,CFJA,,,,"Виброизоляторы, вставки гибкие",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.2.01
",,,,
,,,,,,CFJA010,Виброизолятор пружинный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.01.01,ЭЛ 40 20 50 25,,,
,,,,,,CFJA020,Вставка гибкая к вентиляторам,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.2.01.02
19.2.01.03
19.2.01.04
19.2.01.05",,,,
,,,CFJB,,,,Зонты и отсосы вентиляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.2.02
",,,,
,,,,,,CFJB030,Отсос вентиляционный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.02.03,ЭЛ 40 20 50 52,,,
,,,,,,CFJB040,Зонт вентиляционный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.2.02.01
19.2.02.02
19.2.02.04",ЭЛ 40 20 40 20,,,
,,,CFJC,,,,Решетки и сетки в рамках,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.2.03
",,,,
,,,,,,CFJC010,Решетка алюминиевая нерегулируемая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.01,ЭЛ 40 20 30 20,,,
,,,,,,CFJC020,Решетка алюминиевая регулируемая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.02,ЭЛ 40 20 30 20,,,
,,,,,,CFJC030,Решетка из оцинкованной стали нерегулируемая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.03,ЭЛ 40 20 30 20,,,
,,,,,,CFJC040,Решетка из оцинкованной стали регулируемая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.04,ЭЛ 40 20 30 20,,,
,,,,,,CFJC050,Решетка из прочих металлов нерегулируемая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.05,ЭЛ 40 20 30 20,,,
,,,,,,CFJC060,Решетка из прочих металлов регулируемая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.06,ЭЛ 40 20 30 20,,,
,,,,,,CFJC070,Решетка пластмассовая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.2.03.07,ЭЛ 40 20 30 20,,,
,,,,,,CFJC080,Сетка металлическая в рамках,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.2.03.08,,,,
,,CFK,,,,,"Заслонки, клапаны, фильтры, комплектующие для системы вентиляции и кондиционирования воздуха",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.3
",ЭЛ 40 20,,,
,,,CFKA,,,,Заслонки и клапаны для системы вентиляции,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.3.01
",,,,
,,,,,,CFKA010,Дроссель-клапан,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.01.01,,,,
,,,,,,CFKA020,Заслонка воздушная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.02,ЭЛ 40 20 40 12,,,
,,,,,,CFKA030,Заслонка и комплект дроссельный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.01.03,,,,
,,,,,,CFKA040,Заслонка регулирующая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.01.04,,,,
,,,,,,CFKA050,Клапан вентиляционный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.05,ЭЛ 40 15 30 25,,,
,,,,,,CFKA060,Клапан воздушный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.06,ЭЛ 40 20 40 14,,,
,,,,,,CFKA070,Клапан измерительно-регулирующий,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.07,ЭЛ 40 15 30 40,,,
,,,,,,CFKA080,Клапан лепестковый к осевым вентиляторам,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.08,ЭЛ 40 20 40 26,,,
,,,,,,CFKA090,Клапан обратный для вентиляционных каналов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.09,"ЭЛ 40 15 30 30
ЭЛ 40 20 40 25",,,
,,,,,,CFKA100,Клапан обратный с насадкой для вентиляторов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.10,"ЭЛ 40 15 30 30
ЭЛ 40 20 40 25",,,
,,,,,,CFKA110,Клапан огнезадерживающий,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.11,ЭЛ 40 30 20 20,,,
,,,,,,CFKA120,Клапан перекидной искробезопасный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.12,ЭЛ 40 20 40 27,,,
,,,,,,CFKA130,Клапан противопожарный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.01.13,ЭЛ 40 15 30 45,,,
,,,CFKB,,,,Материалы и изделия для кондиционирования воздуха и системы вентиляции,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.3.02
",,,,
,,,,,,CFKB010,Диафрагма камерная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.02.01,ЭЛ 40 15 42 30,,,
,,,,,,CFKB020,Короб крышный для вентиляторов дымоудаления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.02.02,,,,
,,,,,,CFKB030,Переходник для монтажа дополнительных принадлежностей со стороны всасывания,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.02.03,ЭЛ 40 20 20 18,,,
,,,,,,CFKB040,Рефнет-разветвитель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.02.06,,,,
,,,,,,CFKB050,Шибер,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.3.02.07,ЭЛ 40 20 40 40,,,
,,,CFKC,,,,Фильтры и комплектующие для систем вентиляции и кондиционирования воздуха,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"19.3.03
",,,,
,,,,,,CFKC010,Кассета фильтрующая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.03.01,,,,
,,,,,,CFKC020,Корпус фильтров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,19.3.03.02,,,,
,,,,,,CFKC030,Фильтр воздушный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.3.03.03
19.3.03.04
19.3.03.05",ЭЛ 40 20 40 16,,,
,,CFL,,,,,Блоки вентиляционные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.07.01,ЭЛ 30 16 78,,,
,,,,,,CFL010,Блок-диафрагмы жесткости вентиляционный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.06,,,,
,,,,,,CFL020,Блок вентиляционный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.01,,,,
,,,,,,CFL030,Блок вентиляционный и дымоудаления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.02,,,,
,,,,,,CFL040,Блок крыши вентиляционный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,05.1.07.03,,,,
,CG,,,,,,Изделия для системы электроснабжения,,,,,,,A,,"Сети и распределительные устройства
GRID AND DISTRIBUTION SYSTEMS"
,,CGA,,,,,Изделия электроустановочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"25.3.18
77.4.04
20.9.03",,,,
,,,CGAA,,,,Выключатели для электропроводки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.4.01
",,,,
,,,,,,CGAA010,Выключатель для открытой проводки,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.01.01,ЭЛ 40 50 20 20,,,
,,,,,,CGAA020,Выключатель для скрытой проводки,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.01.02,ЭЛ 40 50 20 20,,,
,,,,,,CGAA030,Диммеры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.01.03,,,,
,,,CGAB,,,,Предохранители,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.4.02
",,,,
,,,,,,CGAB010,Вставка плавкая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.01,,,,
,,,,,,CGAB020,Держатель плавких вставок предохранителей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.02,,,,
,,,,,,CGAB030,Основание предохранителей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.03,,,,
,,,,,,CGAB040,Панель с предохранителями,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.04,,,,
,,,,,,CGAB050,Предохранитель плавкий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.05,,,,
,,,,,,CGAB060,Предохранитель плавкий инерционный без контактных стоек,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.06,,,,
,,,,,,CGAB070,Предохранитель пробивной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.07,,,,
,,,,,,CGAB080,Предохранитель резьбовой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.08,,,,
,,,,,,CGAB090,Предохранитель тугоплавкий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.02.09,,,,
,,,CGAC,,,,Разъемы и розетки штепсельные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.4.03
",,,,
,,,,,,CGAC010,Вилка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.03.01,,,,
,,,,,,CGAC020,Комплектующие к розеткам,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.03.02,,,,
,,,,,,CGAC030,"Радиорозетки, телевизионные, телефонные",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.03.03,ЭЛ 40 50 20 10,,,
,,,,,,CGAC040,Розетка кабельная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.03.04,ЭЛ 40 50 20 10,,,
,,,,,,CGAC050,Розетка открытой проводки,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.03.05,ЭЛ 40 50 20 10,,,
,,,,,,CGAC060,Розетка скрытой проводки,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.03.06,ЭЛ 40 50 20 10,,,
,,,,,,CGAC070,Подрозетник,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"11.2.04.03
22.23.19.000.11.3.03.15-0031
22.23.19.000.11.3.03.15-1004",,,,
,,,CGAD,,,,"Шкафы, щитки, ящики для установки электроустройств",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"20.4.04
",,AS,,"Шкафы и панели децентрализованные
Decentralized panels and cabinets"
,,,,,,CGAD020,Шкаф установочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.04.01,,,,
,,,,,,CGAD030,Щит распределительный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,20.4.04.02,ЭЛ 40 50 60 30,,,
,,,,,,CGAD040,Щит с монтажной панелью,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.04.03,,,,
,,,,,,CGAD050,Щит учетно-распределительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.04.04,,,,
,,,,,,CGAD060,Ящик протяжный стальной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.4.04.05,,,,
,,,,,,CGAD070,Шкафы и панели децентрализованные для компонентов силовых выключателей,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASA,,Для компонентов силовых выключателей
,,,,,,CGAD080,"Шкафы и панели децентрализованные для размножителей, преобразователей, развязки",,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASB,,"Размножители, преобразователи, развязки"
,,,,,,CGAD090,Шкафы и панели децентрализованные для компонентов преобразователей,,"Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",,,,,ASC,,Для компонентов преобразователей
