Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,ANL,,,Платформа,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.10,
,,ANM,,,Понтон,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.11,
,,ANN,,,Снаряд землесосный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.12,
,,ANP,,,Станция насосная плавучая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.13,
,,ANQ,,,Станция водолазная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.14,
,,ANR,,,Станция перекачки землесосная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.15,
,,ANS,,,Шаланда,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.16,
,,ANT,,,Шлюпка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.20.16,
,AP,,,,"Приспособления, станки, установки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.21,
,,APA,,,Аппарат для переработки битумосодержащих материалов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.11.91.21.22-042,
,,APB,,,Аппарат для снятия и измельчения старых дефектных рубероидных ковров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.11.91.21.22-051,
,,APC,,,Аппарат высокого давления,"Аппарат, предназначенный для очистки поверхностей мощной струёй воды от различного рода загрязнений, продуктов коррозии и старых покрытий: краски, лаков, плесени и т. п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.21.02,Определение синтезировано
,,,,APC010,Аппарат высокого давления обыкновенный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.21.02-001,
,,,,APC020,Агрегат передвижной с двигателем внутреннего сгорания для гидроочистки поверхностей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.21.02-011,
,,,,APC030,Аппарат моечный высокого давления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.21.02-502,
,,,,APC040,Аппарат передвижной высокого давления с двигателем внутреннего сгорания (моечное оборудование),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.21.02-504,
,,APD,,,"Аппарат пескоструйный, дробеструйный","Аппарат для очистки поверхности от старой краски, окалины, ржавчины (пескоструйная, дробеструйная очистка), для удаления загрязнений и обезжиривания поверхностей перед проведением покраски и для декорационных работ по стеклу и мрамору",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"91.21.03
",Определение синтезировано
,,,,APD010,Аппарат напорно-струйный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.22.91.21.03-001,
,,,,APD020,Аппарат дробеструйный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.22.91.21.03-011,
,,,,APD030,Камера дробеструйная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.22.91.21.03-021,
,,,,APD040,Аппарат пескоструйный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.22.91.21.03-502,
,,,,APD050,Аппарат абразивоструйный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.22.91.21.03-503 28.29.22.91.21.03-504 28.29.22.91.21.03-505 28.29.22.91.21.03-506 28.29.22.91.21.03-507 28.29.22.91.21.03-508,
,,APE,,,Аппарат для плазменной резки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-506,
,,APF,,,Машина стенорезная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.49.11.91.21.22-390
28.24.12.91.21.22-568",
,,APG,,,Машина арматурно-навивочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.11.91.21.22-191,
,,APH,,,Машина для райберовки отверстий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.22-192,
,,APJ,,,Машина листогибочная специальная (вальцы),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.22-194,
,,APK,,,Машина пневматическая для забивания в грунт под любым углом наклона к горизонту и извлечения стержней,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-195,
,,APL,,,Установка,"Отдельный аппарат или совокупность устройств и (или) аппаратов, объединенных в данном месте, чтобы выполнять определенные цели, включая все средства для обеспечения их удовлетворительного оперирования",,Функция установки,,,ГОСТ IEC 60050-151-2014
,,,,APL010,Установка алмазного бурения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.21.20,
,,,,APL020,Установка высокоскоростного газопламенного порошкового напыления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.70.91.21.22-699,
,,,,APL030,Установка газопламенного напыления проволоки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.70.91.21.22-700,
,,,,APL040,"Установка электродуговой металлизации толкающего типа, напыляемый материал металлическая проволока",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.31.91.21.22-701,
,,,,APL050,Установка для сварки полиэтиленовой пленки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.70.91.21.22-446,
,,,,APL060,Установка электрометаллизационная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.22.91.21.22-447,
,,,,APL070,Установка для вакуумирования и подсушки твердой изоляции силовых трансформаторов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.60.91.21.22-431,
,,,,APL080,Установка вакуумной обработки трансформаторного масла,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.60.91.21.22-432,
,,,,APL090,Установка газотехнологическая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.21.22-433,
,,,,APL100,Установка дегазационная для кабельного масла,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.60.91.21.22-434,
,,,,APL110,Установка передвижная маслоочистительная (центрифуги),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.41.91.21.22-437,
,,,,APL120,Установка передвижная цеолитовая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.60.91.21.22-438,
,,,,APL130,Установка электронагревательная для утюжки пола,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.21.13.91.21.22-439,
,,,,APL140,Установка для заготовки защитных покрытий тепловой изоляции,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.60.91.21.22-441,
,,,,APL150,Установка для заливки пенополиуретана,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.11.91.21.22-442,
,,,,APL160,"Установка для изготовления бандажей, диафрагм, пряжек",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.11.91.21.22-443,
,,,,APL170,Установка для приготовления горячей рубероидной массы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.90.11.91.21.22-444,
,,,,APL180,Установка для приготовления клея,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-445,
,,,,APL190,Установка для гидроочистки поверхности,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-674,
,,,,APL200,Установка для подсушки твердой изоляции силовых трансформаторов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.60.91.21.22-676,
,,,,APL210,Установка переносная поверочная для счетчиков холодной и горячей воды,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-682,
,,,,APL220,Установка пылеулавливающая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-684,
,,APM,,,Станок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Функция станка,,91.21.19,
,,,,APM010,Станок для гнутья ручной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.21.19-011,
,,,,APM020,Станок для заточки бурового инструмента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.23.91.21.19-012,
,,,,APM030,Станок с абразивным кругом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.11.91.21.19-013,
,,,,APM040,Станок трубогибочный для труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-014 28.41.31.91.21.19-015 28.41.31.91.21.19-016 ,
,,,,APM050,Станок трубогибочный с электроприводом для труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-017,
,,,,APM060,Станок для гибки арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-021,
,,,,APM070,Станок для гибки и резки арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.24.91.21.19-023,
,,,,APM080,Станок для резки керамики,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.49.11.91.21.19-024,
,,,,APM090,Станок для резки огнеупоров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.49.11.91.21.19-025,
,,,,APM100,Станок для рубки арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.24.91.21.19-026,
,,,,APM110,Станок камнерезный универсальный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.49.11.91.21.19-027,
,,,,APM120,Станок плоско-шлифовальный с крестовым столом и горизонтальным шпинделем высокой точности,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.23.91.21.19-028,
,,,,APM130,Станок с электромеханическим приводом для размотки рулонного материала,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.49.12.91.21.19-030,
,,,,APM140,Станок сверлильный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.41.22.91.21.19-031
30.20.31.91.21.19-103
28.41.22.91.21.19-546",
,,,,APM150,Станок строгальный по металлу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.24.91.21.19-032,
,,,,APM160,Станок токарно-винторезный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.22.91.21.19-033,
,,,,APM170,Станок точильные двусторонние,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.49.12.91.21.19-034,
,,,,APM180,Станок трубонарезный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.22.91.21.19-035,
,,,,APM190,Станок фальцепрокатный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.23.91.21.19-037,
,,,,APM200,Станок фрезерный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.22.91.21.19-038,
,,,,APM210,Станок электрические для резки стержневой арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.24.91.21.19-039,
,,,,APM220,Станок для алмазного сверления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.41.31.91.21.19-500
28.41.31.91.21.19-502",
,,,,APM230,Станок для гибки арматурной стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-504,
,,,,APM240,"Станок для канатной резки бетона, железобетона и кирпича",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-508,
,,,,APM250,Станок для накатывания канавок (шлицов) на трубах,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-510,
,,,,APM260,Станок для резки арматурной стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.21.19-512,
,,,,APM270,Станок вертикальный резьбонарезной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.22.91.21.19-542,
,,,,APM280,Станок трубогибочный в комплекте с дорном для холодной гибки труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,, 28.41.22.91.21.19-543 28.41.22.91.21.19-544 28.41.22.91.21.19-545,
,,APN,,,Пресс,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Функция пресса,,91.21.16,
,,,,APN010,Пресс-ножницы комбинированные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-001,
,,,,APN020,Пресс арматурный для стыкования арматуры периодического профиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-011,
,,,,APN030,Пресс гидравлический с электроприводом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-012,
,,,,APN040,Пресс кривошипный простого действия,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-013,
,,,,APN050,Пресс листогибочный кривошипный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-014,
,,,,APN060,Пресс гидравлический для вертикальной выправки стыков (рельсо-гибочный),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-508,
,,,,APN070,"Пресс гидравлический для запрессовки и выпрессовки, правки и гибки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-510,
,,,,APN080,Пресс гидравлический настольный с ручным приводом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.11.33.91.21.16-500,
,,,,APN090,"Пресс для запрессовки и выпрессовки шпинтонов, в комплекте с насосной станцией",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-534,
,,,,APN100,Пресс однокривошипный открытый не наклоняемые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.33.91.21.16-546,
,,,,APN110,Пресс гидравлический для изготовления образцов асфальтобетона,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.41.33.91.21.16-572
28.41.33.91.21.16-574",
,,APP,,,Комплекс вакуумный для вирибровакуумной обработки бетона при устройстве полов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.11.91.21.22-161,
,,APQ,,,Тележка кабельная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.21.22-401,
,,APR,,,Сепаратор шлама,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.29.12.91.21.22-361,
,,APS,,,Система гидравлическая для монтажа соединительных муфт,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-371,
,,APT,,,Система радиографического контроля трубопроводов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,26.51.66.91.21.22-471,
,,APU,,,"Сборник для накопления, разбора и хранения очищенной (дистиллированной) воды",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,25.73.60.91.21.22-646,
,,APV,,,Гидромолот на базе шагающего экскаватора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-704,
,AQ,,,,"Машины для приготовления, подачи и укладки бетона и раствора",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),"Назначение (функция) машины
 установки",,91.07,
,,AQA,,,Бетононасос,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.02,
,,AQB,,,Бетоносмеситель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.03,
,,AQC,,,Виброоборудование,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.04,
,,AQD,,,Завод бетонный инвентарный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.05,
,,AQE,,,Комплекс для приготовления и очистки глинистых растворов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.06,
,,AQF,,,Растворонасос,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.07,
,,AQG,,,Растворосмеситель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.08,
,,AQH,,,Установка цементационная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.09,
,,AQJ,,,"Цемент-пушка,",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.10,
,,AQK,,,Растворонагнетатель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.07.10,
,,AQL,,,Установка инъекционная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.07.11-001,
,,AQM,,,Установка по приготовлению и подаче растворов из сухих смесей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-002,
,,AQN,,,Комплекс машин для устройства грунто-цементных свай по технологии струйной цементации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-500,
,,AQP,,,Машина инъекционная для цементации предварительно-напряженных анкеров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-502,
,,AQQ,,,Установка для приемки и подачи товарного раствора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-506,
,,AQR,,,Установка смесительно-насосная стационарная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-507,
,,AQS,,,Бункер бетоносмесительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-508,
,,AQT,,,Бетононасос-миксер прицепной с двигателем внутреннего сгорания,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.11-570,
,,AQU,,,Силос для цемента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.07.01-011,
,AR,,,,"Машины и агрегаты для тоннелестроения, горнопроходческих работ и строительства метрополитенов",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),"Назначение (функция) машины
 агрегата",,91.03,
,,ARA,,,Блокоукладчик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.01,
,,ARB,,,Вентилятор,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.02,
,,ARC,,,Комплекс и комбайн проходческие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.05,
,,ARD,,,Машина погрузочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.06,
,,ARE,,,Перфоратор колонковый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.08,
,,ARF,,,Подъем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.09,
,,ARG,,,Станок буровой для бурения скважин в подземных условиях,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.10,
,,ARH,,,Толкатель вагонеток,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.12,
,,ARJ,,,Тюбингоукладчик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.13,
,,ARK,,,Узел тампонажный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.14,
,,ARL,,,Установка бурильная,,,,,,
,,,,ARL010,Установка бурильная пневматическая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.15,
,,,,ARL020,Установка бурильная стволовая пневмогидравлические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.03.16,
,,ARM,,,Выпрямитель,,,,,,
,,,,ARM010,Выпрямитель кремниевый силовой шахтный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.11.50.91.03.19-002,
,,,,ARM020,Выпрямитель для зарядки аккумуляторных батарей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.11.50.91.03.19-001,
,,ARN,,,Кабелепередвижчик на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.14.91.03.19-011,
,,ARP,,,Лесоспуск в шахтном стволе,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.11.91.03.19-031,
,,ARQ,,,Опрокидыватель круговой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.03.19-061,
,,ARR,,,Откатка концевая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.11.91.03.19-071,
,,ARS,,,Питатель пластинчатый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.03.19-081,
,,ART,,,Сболчиватель пневматический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.03.19-091,
,,ARU,,,Сверло горное,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,25.73.40.91.03.19-101,
,,ARV,,,Комплекс георадарный аппаратнопрограммный многоканальный при ведении щитовой проходки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.03.19-502,
,,ARW,,,Комплекс откатки грузов по наклонным выработкам с дизельным локомотивом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.03.19-504,
,,ARX,,,Механизированная установка на базе автомобильного шасси для монтажа кабеленесущих конструкций в подземных сооружениях,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.03.19-512,
,,ARY,,,Мотовоз узкой колеи,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.03.19-514,
,,ARZ,,,Рельсорез,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.03.19-520,
,AS,,,,Машины для сооружений линий связи и электропередач,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Назначение машины,,91.11,
,,ASA,,,Кабелеукладчик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.11.01,
,,ASB,,,Аппарат смазочный тросовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.11.02-001,
,,ASC,,,Волокуша,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.11.02-011,
,,ASD,,,Комплекс для монтажа проводов методом под тяжением,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.11.02-021,
,,ASE,,,Лаборатория передвижная измерительно-настроечная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,26.51.66.91.11.02-031,
,,ASF,,,Машина для горизонтального прокола грунта на базе автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.11.02-041,
,,ASG,,,Пропорщик прицепной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.20.23.91.11.02-051,
,,ASH,,,Тележка раскаточная на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.11.02-061,
,,ASJ,,,Траншеезасыпщик прицепной колесный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.20.23.91.11.02-071,
,,ASK,,,Установка для пневмопрокладки волоконно-оптического кабеля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.12.14.91.11.02-091,
,,ASL,,,Траншеекопатель с режущим скальным диском на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.27.91.11.02-092,
,AT,,,,Электростанции,Энергоустановка или группа энергоустановок для производства электрической энергии или электрической энергии и тепла,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Тип электростанции станции,,91.16,ГОСТ 19431-84
,,ATA,,,Электростанция передвижная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.16.01,
,,,,ATA010,Электростанция передвижная прицепная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.11.32.91.16.01-502,
,,,,ATA020,Установка дизель-генераторная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,27.11.31.91.16.01-500,
,,ATB,,,Электростанция стационарная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.16.03,
,AU,,,,Машины и агрегаты для бурения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Способ бурения,,91.04,
,,AUA,,,Установка вращательного бурения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.04.01,
,,,,AUA010,Машина барражная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.04.01-001,
,,,,AUA020,Буровая установка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.04.01-011,
,,,,AUA030,Комплект оборудования для бурения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.61.91.04.01-021,
,,,,AUA040,Машина бурильно-крановая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.04.01-031 28.92.12.91.04.01-032 ,
,,,,AUA050,Машина бурильная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.12.91.04.01-033 28.92.12.91.04.01-035 28.92.12.91.04.01-036 28.92.12.91.04.01-037,
