Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,AEE,,,Машина и агрегат бетоноукладочные,Машина и агрегат для укладки бетона,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.05,Определение синтезировано
,,,,AEE010,Агрегат распределения бетона на железных дорогах,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-001,
,,,,AEE020,Агрегат для бетонирования стен самоходный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.05-011,
,,,,AEE030,Бетоноукладчик-планировщик со скользящими формами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-021,
,,,,AEE040,Комплект машин для бетонирования каналов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.05-041
28.92.30.91.08.05-042",
,,,,AEE050,Машина бетоноукладочного комплекта на рельс-формах,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.05-053
28.92.30.91.08.05-054
28.92.30.91.08.05-051
28.92.30.91.08.05-052",
,,,,AEE060,Машина высокопроизводительного бетоноукладочного комплекта бетоноукладчик со скользящими формами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-055,
,,,,AEE070,Машина высокопроизводительного бетоноукладочного комплекта машина для нанесения пленкообразущих материалов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-057,
,,,,AEE080,Машина высокопроизводительного бетоноукладочного комплекта нарезчик швов в затвердевшем бетоне продольный и поперечный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-058,
,,,,AEE090,Машина высокопроизводительного бетоноукладочного комплекта профилировщик основания со скользящими формами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.05-061,
