Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,CMD,,,"Комплекс объектов промышленности оптических приборов, фото- и кинооборудования",,Классификатор ОКС по НФТО,,,
,,CME,,,Комплекс объектов промышленности электрических ламп и осветительного оборудования,,Классификатор ОКС по НФТО,,,
,,CMF,,,"Комплекс объектов промышленности электрической распределительной и регулирующей аппаратуры, кабелей и кабельной арматуры",,Классификатор ОКС по НФТО,,,
,,CMG,,,"Комплекс объектов промышленности электродвигателей, электрогенераторов, трансформаторов и, подъемно -транспортного оборудования",,Классификатор ОКС по НФТО,,,
,,CMH,,,Комплекс объектов промышленности электроники и электрооборудования,,Классификатор ОКС по НФТО,,,
,,CMJ,,,Комплекс объектов промышленности электронных компонентов и печатных плат,,Классификатор ОКС по НФТО,,,
,CN,,,,Комплексы ОКС химической промышленности,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CNA,,,Комплекс объектов газовой промышленности,,Классификатор ОКС по НФТО,,,
,,CNB,,,Комплекс объектов промышленности боеприпасов и спецхимии,,Классификатор ОКС по НФТО,,,
,,CNC,,,"Комплекс объектов промышленности красок, лаков, клеев, эфирных масел",,Классификатор ОКС по НФТО,,,
,,CND,,,"Комплекс объектов промышленности мыла и моющих, чистящих и полирующих средств, парфюмерных и косметических средств",,Классификатор ОКС по НФТО,,,
,,CNE,,,Комплекс объектов промышленности неорганических химических веществ,,Классификатор ОКС по НФТО,,,
,,CNF,,,Комплекс объектов промышленности органических химических веществ,,Классификатор ОКС по НФТО,,,
,,CNG,,,Комплекс объектов промышленности пластмасс и синтетических смол,,Классификатор ОКС по НФТО,,,
,,CNH,,,Комплекс объектов промышленности удобрений и азотных соединений,,Классификатор ОКС по НФТО,,,
,,CNJ,,,Комплекс объектов промышленности химических волокон,,Классификатор ОКС по НФТО,,,
D,,,,,Комплексы ОКС энергетики и электроэнергетики,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,DA,,,,Комплексы ОКС атомной энергетики,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,DAA,,,Атомная электрическая станция малой мощности стационарного расположения,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,,
,,DAB,,,Атомная электрическая станция с водо-водяным энергетическим реактором,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,,
,,DAC,,,Атомная электрическая станция с реактором канального типа,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,,
,,DAD,,,Атомная электрическая станция с реактором на быстрых нейтронах,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,,
,DB,,,,Комплексы ОКС гидроэнергетики,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,DBA,,,Гидроэлектростанция,"Электростанция, преобразующая механическую энергию воды в электрическую энергию","Классификатор ОКС по НФТО
ГОСТ 19431-84",,,
,,DBB,,,Гидроэлектростанция приливная,"Гидроэлектростанция, использующая энергию морских приливов и отливов","Классификатор ОКС по НФТО
Терминологический словарь по строительству. М.: Рус. яз., 1986 г.",,,
,,DBC,,,Волновая электростанция,,Классификатор ОКС по НФТО,,,
,DC,,,,Комплексы ОКС теплоэнергетики,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,DCA,,,Тепловая электростанция,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,,
,,,,DCA010,Электрическая станция на возобновляемых источниках энергии,,Классификатор ОКС по НФТО,,,
,,,,DCA020,Электрическая станция на невозобновляемых источниках энергии,,Классификатор ОКС по НФТО,,,
,DE,,,,Комплексы ОКС обеспечения электроэнергией,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,DEA,,,"Переход воздушных линий электропередач, коммуникационный тоннель, объект канализации",,Классификатор ОКС по НФТО,,,
,,DEB,,,Электрическая сеть,,Классификатор ОКС по НФТО,,,
,DF,,,,Комплексы ОКС газораспределения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,DFA,,,Газораспределительная сеть,,Классификатор ОКС по НФТО,,,
,,DFB,,,Комплекс объектов обеспечения сжатым и сжиженным газовым топливом,,Классификатор ОКС по НФТО,,,
,DG,,,,Комплексы ОКС теплоснабжения и кондиционирования воздуха,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,DGA,,,Комплекс объектов вентиляции,,Классификатор ОКС по НФТО,,,
,,DGB,,,"Комплекс объектов механической очистки газов, воздуха",,Классификатор ОКС по НФТО,,,
,,DGC,,,"Комплекс объектов химической очистки газов, воздуха",,Классификатор ОКС по НФТО,,,
,,DGD,,,Тепловой пункт,,Классификатор ОКС по НФТО,,,
,,DGE,,,Холодильный пункт,,Классификатор ОКС по НФТО,,,
,,DGF,,,Тепловая сеть,,Классификатор ОКС по НФТО,,,
E,,,,,"Комплексы ОКС водоснабжения, водоотведения, водоочистки",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,EA,,,,Комплексы ОКС водозабора и водоподготовки,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,EAA,,,"Комплекс объектов хранения воды (резервуары, насосные станции, напорные башни)",,Классификатор ОКС по НФТО,,,
,,EAB,,,Гидротехническое сооружение,,Классификатор ОКС по НФТО,,,
,,EAC,,,Комплекс объектов водоподготовки и очистки воды,"Комплекс устройств, обеспечивающих обработку исходной воды до заданного качества","Классификатор ОКС по НФТО
ОСТ 108.030.128-78",,,
,,EAD,,,Комплекс объектов забора воды,,Классификатор ОКС по НФТО,,,
,EB,,,,Комплексы ОКС водораспределения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,EBA,,,Водопровод (сеть водоснабжения),,Классификатор ОКС по НФТО,,,
,,EBB,,,Насосная станция,"Сооружение, предназначенное для забора воды из водоисточника и подачи ее в водопроводные сети","Классификатор ОКС по НФТО
СТО 34.01-27.3-002-2014",,,
,EC,,,,"Комплексы ОКС очистки сточных, в том числе дренажных, вод",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,ECA,,,Накопительный комплекс объектов водоочистки,,Классификатор ОКС по НФТО,,,
,,ECB,,,Комплекс объектов водоочистки,,Классификатор ОКС по НФТО,,,
,,ECC,,,Комплекс объектов канализации сточных вод,,Классификатор ОКС по НФТО,,,
,ED,,,,Комплексы ОКС приема сточных вод,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,EDA,,,Заглубленный комплекс ОКС для сбора сточных вод,,Классификатор ОКС по НФТО,,,
,,EDB,,,Канализационные сеть,,Классификатор ОКС по НФТО,,,
,,EDC,,,Насосная станция сбора сточных вод,,Классификатор ОКС по НФТО,,,
,,EDD,,,Пруд-накопитель,,Классификатор ОКС по НФТО,,,
,,EDE,,,"Сеть канализации, сеть сбора стоков",,Классификатор ОКС по НФТО,,,
F,,,,,"Комплексы ОКС сбора, переработки и утилизации отходов, обработка вторичного сырья",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,FA,,,,Комплексы ОКС обработки и утилизации неопасных отходов,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,FAA,,,Комплекс объектов переработки и утилизации промышленных и бытовых отходов,,Классификатор ОКС по НФТО,,,
,,FAB,,,Комплекс объектов утилизации отходов животного происхождения,,Классификатор ОКС по НФТО,,,
,FB,,,,Комплексы ОКС переработки вторичного сырья,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,FBA,,,Комплекс объектов переработки вторичного металлического сырья,,Классификатор ОКС по НФТО,,,
,,FBB,,,Комплекс объектов переработки вторичного неметаллического сырья,,Классификатор ОКС по НФТО,,,
,FC,,,,"Комплексы ОКС сбора, обработки и утилизации опасных отходов",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,FCA,,,Комплекс объектов переработки радиоактивных отходов,,Классификатор ОКС по НФТО,,,
,,FCB,,,Комплекс объектов хранения отходов атомных электрических станций и опасных отходов,,Классификатор ОКС по НФТО,,,
G,,,,,"Комплексы ОКС городской среды, охраны природы",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,GA,,,,Комплексы ОКС для временного проживания,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GAA,,,Гостиничный комплекс ОКС,,Классификатор ОКС по НФТО,,,
,,GAB,,,Комплекс ОКС для временного проживания иного назначения,,Классификатор ОКС по НФТО,,,
,GB,,,,Комплексы ОКС бытового обслуживания,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GBA,,,Банный комплекс ОКС,,Классификатор ОКС по НФТО,,,
,,GBB,,,Комплекс объектов похоронного назначения (кладбища),,Классификатор ОКС по НФТО,,,
,,GBC,,,Комплекс объектов бытового обслуживания смешанного назначения,,Классификатор ОКС по НФТО,,,
,GC,,,,Комплексы ОКС жилой застройки,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GCA,,,Жилой комплекс ОКС для постоянного проживания,,Классификатор ОКС по НФТО,,,
,,GCB,,,Инженерная сеть населенных пунктов,,Классификатор ОКС по НФТО,,,
,,GCC,,,Специализированный комплекс объектов жилого назначения,,Классификатор ОКС по НФТО,,,
,GD,,,,Комплексы ОКС общественного питания,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GDA,,,Комплекс объектов общественного питания быстрого обслуживания и на вынос,,Классификатор ОКС по НФТО,,,
,,GDB,,,Комплекс объектов общественного питания длительного посещения,,Классификатор ОКС по НФТО,,,
,GE,,,,Комплексы ОКС сохранения растительного и животного мира,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GEA,,,Комплекс объектов сохранения животного мира,,Классификатор ОКС по НФТО,,,
,,GEB,,,Комплекс объектов сохранения природы в естественном состоянии,,Классификатор ОКС по НФТО,,,
,GF,,,,Почтовые комплексы ОКС,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GFA,,,Комплекс объектов почтовой связи,,Классификатор ОКС по НФТО,,,
,,GFB,,,Комплекс объектов служб доставки и транспортно-экспедиционных услуг,,Классификатор ОКС по НФТО,,,
,GG,,,,Торговые комплексы,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,GGA,,,Специализированный торговый комплекс,,Классификатор ОКС по НФТО,,,
,,GGB,,,Универсальный торговый комплекс,,Классификатор ОКС по НФТО,,,
,,GGC,,,Торгово-складской комплекс,,Классификатор ОКС по НФТО,,,
H,,,,,Транспортные комплексы ОКС,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,HA,,,,Комплексы ОКС автомобильного транспорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HAA,,,Автомобильная дорога в границах населённых пунктов,,Классификатор ОКС по НФТО,,,
,,HAB,,,Автомобильная дорога вне населённых пунктов,,Классификатор ОКС по НФТО,,,
,,HAC,,,Автостоянка,"Здание, сооружение (часть здания, сооружения) или специальная открытая площадка, предназначенная только для стоянки (хранения) автомобилей","Классификатор ОКС по НФТО
СП 154.13130.2013",,,
,,HAD,,,Автотранспортное предприятие,"Предприятие, обеспечивающего перевозку грузов",Классификатор ОКС по НФТО,,,Синтезированное определение
,,HAE,,,Контрольно-пропускной пункт (терминал) автомобильного транспорта,,Классификатор ОКС по НФТО,,,
,,HAF,,,Комплекс объектов автозаправочный,,Классификатор ОКС по НФТО,,,
,,HAG,,,Комплекс объектов обустройства автомобильных дорог,,Классификатор ОКС по НФТО,,,
,,HAH,,,Пассажирский автовокзал (станция),,Классификатор ОКС по НФТО,,,
,,HAJ,,,Профилакторий (станция технического обслуживания) автомобилей,,Классификатор ОКС по НФТО,,,
