Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
,PH,,Система защиты от шума,Система защиты от акустических воздействий,,СП 51.13330.2011,Система снижения шума,IfcSystem,,,
,PJ,,Система защиты людей,Система защиты людей от опасности и нежелательных воздействий,,,"Система безопасности крыши
Система защиты от падения снега
Система жизнеобеспечения
Система жизнеобеспечения населения в чрезвычайной ситуации
Система защиты от защемления для гаражных ворот
Система канатного доступа
Система ограничения доступа",IfcSystem,,,
Q_,,,Система хранения,"Техническая система, предназначенная для хранения (накопления) информации, энергии и других веществ ",,,,,,,
,QA,,Система хранения результатов измерений,Система хранения измеренной информации о потреблении,,,,IfcSystem,,,
,QB,,Система хранения воздуха и газа,Система для хранения воздуха и газов,,,,IfcSystem,,,
,QC,,Система хранения жидкости,Система хранения для жидкостей,,,Заглубленный резервуар для воды,IfcSystem,,,
,QD,,Система накопления энергии,Система накопления для энергии,По напряжению,,,IfcSystem,,,
,,QD10,Система накопления электрической энергии высокого напряжения,"СНЭЭ, предназначенная для подключения первичной ТПН высокого напряжения",,ГОСТ Р 58092.1-2018,,,,,
,,QD20,Система накопления электрической энергии среднего напряжения,"СНЭЭ, предназначенная для подключения к первичной ТПН среднего напряжения",,ГОСТ Р 58092.1-2018,,,,,
,,QD30,Система накопления электрической энергии низкого напряжения,"СНЭЭ, предназначенная для подключения к первичной ТПН низкого напряжения",,ГОСТ Р 58092.1-2018,,,,,
,,QD40,Система накопления электрической энергии общего напряжения,"СНЭЭ, используемая как компонента сети общего назначения",,ГОСТ Р 58092.1-2018,,,,,
,,QD50,Система накопления электрической энергии бытовая,"СНЭЭ, предназначенная для применения частными потребителями, кроме коммерческой, производственной или иной профессиональной деятельности",,ГОСТ Р 58092.1-2018,,,,,
R_,,,Система обустройства (оснащения),"Техническая система, предназначенная для оснащения (обустройства) объекта строительства (его отдельных пространств)",,,,,,,
,RA,,Система озеленения,Система обустройства территорий посредством посадки растений,,,,IfcSystem,СС 10 30 хх 80,,
,RB,,Система материально-технического оснащения,"Система оснащения, представленная посредством неподвижных или подвижных элементов",,,,IfcSystem,,,
,RC,,Система оборудования,"Система оснащения, представленная посредством оборудования, используемого в конкретных ситуациях",,,Докшелтер,IfcSystem,,,
