Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,,,ABABE020,"Железобетонная стойка-колонна, заделываемая в фундамент стаканного типа",,,,,,,
,,,,ABABF,,,Колонна железобетонная сборная для многоэтажных зданий с без балочными перекрытиями,"Вертикальная стержневая конструкция каркаса, предназначенная для восприятия и передачи нагрузки от капители безбалочного перекрытия",ГОСТ 27108-2016,,,,,
,,,ABAC,,,,Колонна стальная,," ГОСТ 23118-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"25.11.23.110.07.2.03.01-0011
25.11.23.110.07.2.03.01-0012
25.11.23.110.07.2.03.01-0013
25.11.23.110.07.2.03.01-0014",,,
,,,ABAD,,,,Опорная плита,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,25.11.23.110.07.2.03.06-0071,,,
,,ABB,,,,,"Фермы, ригели, балки, прогоны",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"05.1.03.14
05.1.03.13
05.1.03.01
05.1.03.02
05.1.03.03
05.1.03.12",,,
,,,ABBA,,,,Ферма железобетонная,"Рама с треугольной решеткой, служащая балкой","ГОСТ 20213-2015
ГОСТ Р ИСО 6707-1-2020
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 30 16 80 30,,
,,,,ABBAA,,,Ферма стропильная,"Несущая конструкция для покрытия больших пролетов, представляющая собой плоскую конструкцию из стержневых элементов","ГОСТ 20213-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"23.61.12.126.05.1.03.14-0021
23.61.12.126.05.1.03.14-0022
23.61.12.126.05.1.03.14-0023
23.61.12.126.05.1.03.14-0024
23.61.12.126.05.1.03.14-0025
23.61.12.126.05.1.03.14-0026
23.61.12.126.05.1.03.14-0027
23.61.12.126.05.1.03.14-0028
23.61.12.126.05.1.03.14-0029
23.61.12.126.05.1.03.14-0030
23.61.12.126.05.1.03.14-0031
23.61.12.126.05.1.03.14-0032
23.61.12.126.05.1.03.14-0033
23.61.12.126.05.1.03.14-0034
23.61.12.126.05.1.03.14-0035
23.61.12.126.05.1.03.14-0036
23.61.12.126.05.1.03.14-0037
23.61.12.126.05.1.03.14-0038
23.61.12.126.05.1.03.14-0039
23.61.12.126.05.1.03.14-0040
23.61.12.126.05.1.03.14-0041",ЭЛ 20 20 36,,
,,,,ABBAB,,,Ферма подстропильная,"Несущая конструкция, предназначенная для опирания стропильных ферм в средних рядах колонн многопролетных зданий","ГОСТ 20213-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"23.61.12.126.05.1.03.14-0001
23.61.12.126.05.1.03.14-0002
23.61.12.126.05.1.03.14-0003
23.61.12.126.05.1.03.14-0004
23.61.12.126.05.1.03.14-0005
23.61.12.126.05.1.03.14-0006
23.61.12.126.05.1.03.14-0007
23.61.12.126.05.1.03.14-0008
23.61.12.126.05.1.03.14-0051",ЭЛ 20 20 38,,
,,,ABBB,,,,Прогон железобетонный для покрытий зданий промышленных и сельскохозяйственных предприятий,"Железобетонный прогон таврового сечения длиной 6 м с переменной высотой стенки, изготовляемый из тяжелого бетона и предназначенный для применения в покрытиях зданий промышленных и сельскохозяйственных предприятий при уклоне кровли до 25% включительно","ГОСТ 26992-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"23.61.12.125.05.1.03.12-0001
23.61.12.125.05.1.03.12-0002",,Определение синтезировано,
,,,ABBC,,,,Ригель железобетонный для многоэтажных зданий,"Железобетонный ригель, изготовляемый из тяжелого бетона и предназначенный для каркасов многоэтажных общественных зданий, производственных, административных и бытовых зданий промышленных предприятий","ГОСТ 18980-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,23.61.12.159.05.1.05.16-0232,ЭЛ 30 16 65,Определение синтезировано,
