Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,,,CABAK030,Регулятор давления пара,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.1.11.03,ЭЛ 40 15 42 50,,
,,,,,,CABAK040,Регулятор перепуска,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.1.11.04,,,
,,,,,,CABAK050,Регулятор расхода и давления,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.1.11.05,ЭЛ 40 15 42 50,,
,,,,,,CABAK060,Указатель уровня жидкостей для воды и пара,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.1.11.06,,,
,,,CABB,,,,Арматура трубопроводная с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.1,ЭЛ 40 15 30,,
,,,,CABBA,,,Вентили и устройства смывные,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,69.1.01,,,
,,,,,,CABBA010,Вентиль запорный с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.1.01.01,ЭЛ 40 15 30 05,,
,,,,,,CABBA020,Устройство смывное автоматические,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.1.01.02,ЭЛ 40 15 30 99,,
,,,,CABBB,,,Задвижки с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.1.02,ЭЛ 40 15 30 10,,
,,,,,,CABBB010,Задвижка с выдвижным шпинделем с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,69.1.02.01,,,
,,,,CABBC,,,Клапаны,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.1.03,ЭЛ 40 15 30 25,,
,,,,,,CABBC010,Клапан балансировочный с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,69.1.03.01,,,
,,,,,,CABBC020,Клапан запорный с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"69.1.03.02
28.14.13.110.69.1.01.01-1004",,,
,,,,,,CABBC030,Клапан регулирующий с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.1.03.03,ЭЛ 40 15 30 40,,
,,,,,,CABBC040,Клапан соленоидный с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,69.1.03.04,,,
,,,CABC,,,,Баки расширительные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.5.01,ЭЛ 40 50 10 35,,
,,,CABD,,,,"Заслонки, клапаны для воздуховодов с электроприводом",, Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.2,,,
,,,,CABDA,,,Заслонки с электроприводом,,,,,,,
,,,,,,CABDA010,Заслонка воздушная с электроприводом,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.2.01.01,ЭЛ 40 20 40 12,,
,,,,CABDB,,,Клапаны с электроприводом,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 40 15 30 25,,
,,,,,,CABDB010,Клапан вентиляционный с электроприводом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.2.02.01,,,
,,,,,,CABDB020,Клапан воздушный с электроприводом,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.2.02.02,ЭЛ 40 20 40 14,,
,,,,,,CABDB030,Клапан дымоудаления,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.2.02.03,ЭЛ 40 15 30 50,,
,,,,,,CABDB040,Клапан огнезадерживающий с электроприводом,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.2.02.04,ЭЛ 40 30 20 20,,
,,,,,,CABDB050,Клапан противопожарный с электроприводом,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.2.02.05,ЭЛ 40 15 30 45,,
,,,CABE,,,,"Элементы термостатические, электроприводы",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.3,,,
,,,,CABEA,,,Электроприводы,,"ГОСТ Р 50369-92
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,69.3.01,,,
,,,,,CABEAA,,Электроприводы для шаровых кранов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.3.01.01,,,
,,,,,CABEAB,,Электроприводы редукторные к клапанам,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.3.01.02,,,
,,,,CABEB,,,Элементы термостатические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.3.02,,,
,,,,,CABEBA,,Термостаты,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,69.3.02.01,,,
,,,,,CABEBB,,Элементы термостатические (терморегуляторы),,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,69.3.02.02,ЭЛ 40 25 10 50,,
,CB,,,,,,Оборудование газовых и воздушных систем,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.1
","ЭЛ 40 15 42
ЭЛ 40 20 40
ЭЛ 40 20 50",,
,,CBA,,,,,Воздуховоды и комплектующие,,"ГОСТ 8468-81
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.1.01
","СТ 10 17
ЭЛ 40 20 10",,
,,,,,,CBA010,Воздуховод алюминиевый гофрированный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.01,СТ 10 17 20 30,,
,,,,,,CBA020,Воздуховод из листовой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.02,СТ 10 17 10,,
,,,,,,CBA030,Воздуховод из оцинкованной стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.03,"СТ 10 17 10 30
СТ 10 17 10 40",,
,,,,,,CBA040,Воздуховод из тонколистовой коррозионно-стойкой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.04,СТ 10 17 10 50,,
,,,,,,CBA050,Воздуховод многослойный звукопоглощающий теплоизолированный гибкий,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.05,ЭЛ 40 20 10 30,,
,,,,,,CBA060,Врезки из оцинкованной стали воротниковые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.06,ЭЛ 40 20 20 10,,
,,,,,,CBA070,Врезки из оцинкованной стали прямые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.07,ЭЛ 40 15 20 10,,
,,,,,,CBA080,Заглушка торцевая оцинкованная для воздуховодов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.08,"ЭЛ 40 15 20 20
ЭЛ 40 20 20 12",,
,,,,,,CBA090,Изделие фасонное для воздуховодов из оцинкованной стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.09,ЭЛ 40 20 20,,
,,,,,,CBA100,Контрфланец для подсоединения к воздуховоду,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.01.10,,,
,,,,,,CBA110,Крепление для воздуховодов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.01.11,,,
,,,,,,CBA120,Фланец прямоугольный из угловой стали для воздуховодов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.01.12,ЭЛ 40 15 20 60,,
,,CBB,,,,,Воздухоотводчики и воздухораспределители,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"19.1.02
",,,
,,,,,,CBB010,Воздухоотводчик,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.01,ЭЛ 40 25 10 12,,
,,,,,,CBB020,Воздухораспределитель вихревой регулируемый из углеродистой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.02,ЭЛ 40 20 30 10,,
,,,,,,CBB030,Воздухораспределитель панельный перфорированный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.03,ЭЛ 40 20 30 10,,
,,,,,,CBB040,Воздухораспределитель прямоструйный из углеродистой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.04,ЭЛ 40 20 30 10,,
,,,,,,CBB050,Воздухораспределитель прямоточный регулируемый из листовой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.05,ЭЛ 40 20 30 10,,
,,,,,,CBB060,Воздухораспределитель прямоточный регулируемый из углеродистой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.06,ЭЛ 40 20 30 10,,
,,,,,,CBB070,Воздухораспределитель эжекционный панельный штампованный из листовой и сортовой стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.07,ЭЛ 40 20 30 10,,
,,,,,,CBB080,Воздухораспределитель эжекционный панельный штампованный из оцинкованной стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,19.1.02.08,ЭЛ 40 20 30 10,,
,,CBC,,,,,Воздухосборники,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.1.03
",ЭЛ 40 25 10 10,,
,,,,,,CBC010,Воздухосборник из стальных бесшовных и сварных труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.03.01,,,
,,,,,,CBC020,Воздухосборник проточный из стальных водогазопроводных и бесшовных труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.03.02,,,
,,CBD,,,,,Дефлекторы,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.1.04
",ЭЛ 40 20 40 18,,
,,,,,,CBD010,Дефлектор вытяжной цилиндрический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.04.01,,,
,,,,,,CBD020,Дефлектор статический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.04.02,,,
,,CBE,,,,,Диффузоры,"Расширяющаяся часть канала или трубопровода, в которой происходит уменьшение скорости потока воздуха, газа или жидкости и возрастание давления","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.1.05
",ЭЛ 40 20 30 30,,
,,,,,,CBE010,Диффузор конический универсальный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.05.01,,,
,,,,,,CBE020,Диффузор потолочный из алюминиевого профиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.05.02,,,
,,,,,,CBE030,Диффузор потолочный металлический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.05.03,,,
,,,,,,CBE040,Диффузор потолочный пластиковый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.05.04,,,
,,CBF,,,,,Узлы прохода вытяжных вентиляционных шахт,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.1.06
",ЭЛ 40 20 40 32,,
,,,,,,CBF010,Узел прохода вытяжных вентиляционных шахт без клапана,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.06.01,,,
,,,,,,CBF020,"Узел прохода вытяжных вентиляционных шахт с клапаном, с площадкой под исполнительный механизм",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.06.02,,,
,,,,,,CBF030,Узел прохода вытяжных вентиляционных шахт с клапаном в искрозащищенном исполнении с ручным управлением,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.06.03,,,
,,,,,,CBF040,Узел прохода вытяжных вентиляционных шахт с клапаном ручного управления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.06.04,,,
,,,,,,CBF050,Узел прохода вытяжных вентиляционных шахт с неутепленным клапаном,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.1.06.05,,,
,,CBG,,,,,Комплектующие шумоглушителей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"19.4.01
",,,
,,,,,,CBG010,Пластина шумопоглощающая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.01.01,,,
,,CBH,,,,,Шумоглушители,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"19.4.02
",ЭЛ 40 20 40 42,,
,,,,,,CBH010,Глушитель шума пластинчатый прямоугольного сечения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.02.01,,,
,,,,,,CBH020,Глушитель шума трубный прямоугольного сечения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.02.02,,,
,,,,,,CBH030,Глушитель шума трубчатый круглого сечения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.02.03,,,
,,,,,,CBH040,Шумоглушитель для круглых воздуховодов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.02.04,,,
,,,,,,CBH050,Шумоглушитель для прямоугольных воздуховодов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.02.05,,,
,,,,,,CBH060,Шумоглушитель крышный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,19.4.02.06,,,
,,CBJ,,,,,Приборы газовые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,66.1,ЭЛ 40 15 42,,
,,,CBJA,,,,Плиты газовые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,66.1.01,ЭЛ 40 15 42 45,,
,,,CBJB,,,,Счетчики газовые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,66.1.02,ЭЛ 40 55 20 14,,
,,,CBJC,,,,Устройства газогорелочные и горелки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,66.1.03,,,
,,,,CBJCA,,,Горелки газовые подовые низкого давления,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,66.1.03.02,ЭЛ 40 15 42 25,,
,,,,CBJCB,,,Горелки газовые с принудительной подачей воздуха среднего давления,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,66.1.03.03,ЭЛ 40 15 42 25,,
,,,,CBJCC,,,Устройства газогорелочные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,66.1.03.04,ЭЛ 40 15 42 25,,
,,,,CBJCD,,,Дополнительные газовые устройства,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,66.1.03.05,,,
,CC,,,,,,Оборудование водяных и жидкостных систем,,,,,,,
,,CCA,,,,,Насосы,"Механическое или иное устройство, которое создает давление в замкнутой системе или вызывает поток жидкости","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"68.1
",ЭЛ 40 50 10 32,,
,,,CCAA,,,,Насос специального применения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01,,,
,,,,,,CCAA010,Насос грязевой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.01,,,
,,,,,,CCAA020,Насос для бассейна,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.02,,,
,,,,,,CCAA030,Насос для скульптур и интерьерных фонтанов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.03,,,
,,,,,,CCAA040,Насос для фильтров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.04,,,
,,,,,,CCAA050,Насос для фонтанов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.05,,,
,,,,,,CCAA060,Насос дозирующие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.06,,,
,,,,,,CCAA070,Насос дренажный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.07,,,
,,,,,,CCAA080,Насос канализационный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.01.08,,,
C,CC,,,,,CCAA090,Питательный насос,,СП 90.13330.2012,,,,,
,,,CCAB,,,,Насос центробежный,"Насос, в который жидкость поступает через центр, и откуда под действием вращающегося лопастного колеса вытекает по касательной","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,68.1.02,,,
,,,,,,CCAB010,Насос консольный одноступенчатый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.02.01,,,
,,,,,,CCAB020,Насос центробежный с погружным электродвигателем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.02.02,,,
,,,CCAC,,,,Насос циркуляционный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.03,,,
,,,,,,CCAC010,Насос циркуляционный для отопления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.1.03.01,,,
,,,CCAD,,,,Насосы роторные объемные для перекачки жидкостей,,,,,,,
,,CCB,,,,,Станции насосные и защиты,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.2,,,
,,,,,,CCB010,Станция управления и защиты,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.2.01.01,,,
,,,,,,CCB020,Станция насосная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,68.2.02.01,,,
,,CCC,,,,,Материалы и изделия для систем водоснабжения и канализации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2
",,,
,,,CCCA,,,,Изделие санитарно-техническое керамическое,"Глазурованное изделие, изготовленное из смеси белых глин и минералов, обожженное при высокой температуре и предназначенное для санитарно-гигиенического и хозяйственного применения путем приема и смыва загрязнений водой","ГОСТ 15167-93
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"18.2.01
",,,
,,,,,,CCCA010,Биде полуфарфоровый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.01.01,ЭЛ 40 50 40 10,,
,,,,,,CCCA020,Ванна,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.01.02,ЭЛ 40 50 40 15,,
,,,,,,CCCA030,Писсуар,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.01.03,ЭЛ 40 50 40 35,,
,,,,,,CCCA040,Раковина,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.01.04,ЭЛ 40 50 40 50,,
,,,,,,CCCA050,Умывальник,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.01.05,ЭЛ 40 50 40 65,,
,,,,,,CCCA060,Унитаз,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.01.06,ЭЛ 40 50 40 70,,
,,,CCCB,,,,Изделие санитарно-техническое металлическое,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.02
",,,
,,,,,,CCCB010,Ванна стальная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.01,ЭЛ 40 50 40 15,,
,,,,,,CCCB020,Ванна чугунная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.02,ЭЛ 40 50 40 15,,
,,,,,,CCCB030,Кабина душевая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.03,"ЭЛ 40 50 40 20
ЭЛ 40 50 40 51",,
,,,,,,CCCB040,Мойка из нержавеющей стали,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.04,"ЭЛ 40 50 40 25
ЭЛ 40 50 40 30",,
,,,,,,CCCB050,Мойка стальная эмалированная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.05,"ЭЛ 40 50 40 25
ЭЛ 40 50 40 30",,
,,,,,,CCCB060,Мойка чугунная эмалированная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.06,"ЭЛ 40 50 40 25
ЭЛ 40 50 40 30",,
,,,,,,CCCB070,Поддон душевой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.07,"ЭЛ 40 50 40 40
ЭЛ 40 50 40 52",,
,,,,,,CCCB080,Раковина и умывальник,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.02.08,"ЭЛ 40 50 40 50
ЭЛ 40 50 40 65",,
,,,,,,CCCB090,Чаша напольная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,18.2.02.09,,,
,,,CCCC,,,,Изделие санитарно-техническое пластиковое,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.03
",,,
,,,,,,CCCC010,Ванна полимерная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,18.2.03.01,ЭЛ 40 50 40 15,,
,,,CCCD,,,,Колодец для систем водоснабжения и канализации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"18.2.04
",,,
