code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 20 40 04,,,Изготовление площадок для обслуживания оборудования и трубопроводов,3.9-62-1,Площадка,на площадке
ВР 20 40 05,,,Изготовление лестниц прямолинейных и криволинейных с ограждением,3.9-62-2,"Лестница
Ограждение",на площадке
ВР 20 40 06,,,"Изготовление галерей, эстакад под трубопроводы",3.9-63-1,"Галерея
Эстакада",на площадке
ВР 20 40 07,,,"Изготовление мелких индивидуальных листовых конструкций массой до 0,5 т (бачки, течки, воронки, желоба, лотки и прочие)",3.9-64-1,"Жёлоб
Лоток
Прочая деталь",на площадке
ВР 20 40 08,,,"Изготовление мелких индивидуальных конструкций (стремянок, связей, кронштейнов, тормозных конструкций и прочие)",3.9-64-2,"Связь металлическая
Распорка
Кронштейн
Стопор",на площадке
ВР 20 45,,Комплексная сборка и установка металлоконструкций,,,,
ВР 20 45 01,,,Монтаж каркасов одноэтажных одно и многопролетных зданий без кранов,3.9-1-1,Каркас,все
ВР 20 45 02,,,Монтаж каркасов одноэтажных одно и многопролетных зданий с мостовыми и подвесными кранами,"3.9-1-2
3.9-1-3
3.9-1-4
3.9-1-5",Каркас,все
ВР 20 45 03,,,Монтаж каркасов одноэтажных одно и многопролетных зданий с подвесными кранами и без них,"3.9-1-6
3.9-1-7",Каркас,все
ВР 20 45 04,,,Монтаж каркасов зданий мусоросжигательных заводов,3.9-2-1,Каркас,все
ВР 20 45 05,,,Монтаж каркасов зданий арочных,3.9-2-2,Каркас,все
ВР 20 45 06,,,"Монтаж каркасов зданий рамных коробчатого сечения типа ""КАНСК""",3.9-2-3,Каркас,все
ВР 20 45 07,,,"Монтаж зданий машинного, котельного и бункерно-деаэраторного отделений ТЭЦ и РТС",3.9-3-1,Каркас,все
ВР 20 45 08,,,Сборка и установка каркасов зданий,"3.9-4-1
3.9-4-2
3.9-4-3",Каркас,все
ВР 20 45 09,,,"Сборка и установка труб вытяжных, дымовых и вентиляционных из листовой стали",3.9-5-1,"Дымоход
Труба (вентиляционная)",все
ВР 20 45 10,,,"Сборка и установка труб вытяжных, дымовых и вентиляционных из листовой стали, поставляемых отдельными элементами",3.9-5-2,"Дымоход
Труба (вентиляционная)",все
ВР 20 45 11,,,"Сборка и установка каркасов вытяжных, дымовых и вентиляционных труб поставляемых отдельными элементами",3.9-5-3,"Дымоход
Труба (вентиляционная)",все
ВР 20 45 12,,,Монтаж бункеров из тонколистовой стали,"3.9-6-1
3.9-6-2
3.9-6-3",Бункер,все
ВР 20 45 13,,,Монтаж бункеров и силосов стационарных,3.9-6-4,"Бункер
Силос",все
ВР 20 45 14,,,Защита листовой сталью сменной на болтах бункеров металлических,3.9-7-1,Бункер,все
ВР 20 45 15,,,Защита листовой сталью сменной на болтах бункеров железобетонных,3.9-7-2,Бункер,все
ВР 20 45 16,,,Защита листовой сталью на сварке бункеров металлических,3.9-7-3,Бункер,все
ВР 20 45 17,,,Монтаж корпусов и опорных конструкций декомпозеров,3.9-8-1,"Декомпозер
Кронштейн",все
ВР 20 45 18,,,Монтаж сгустителей,3.9-8-2,Сгуститель,все
