code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 60 05 01,,,Приготовление тяжелых отделочных растворов известковых,"3.6-29-1
3.6-29-2
3.6-29-3",Черновая отделка конструкций,все
ВР 60 05 02,,,Приготовление тяжелых отделочных растворов цементных,"3.6-29-4
3.6-29-5
3.6-29-6",Черновая отделка конструкций,все
ВР 60 05 03,,,Приготовление тяжелых отделочных растворов цементно-известковых,"3.6-29-7
3.6-29-8
3.6-29-9
3.6-29-10",Черновая отделка конструкций,все
ВР 60 10,,Облицовочные работы,,,,
ВР 60 10 01,,,Облицовка стен гранитными плитами ,"3.15-1-1
3.15-1-2
3.15-1-3
3.15-1-4
3.15-1-5
3.15-1-6
3.15-1-7
3.15-1-8
3.15-1-9
3.15-1-10
3.15-1-11
3.15-1-12
3.15-1-13
3.15-1-14
3.15-1-15
3.15-2-1
3.15-2-2
3.15-2-3
3.15-2-4
3.15-2-5
3.15-2-6
3.15-2-7
3.15-2-8
3.15-2-9
3.15-2-10",Стена,все
ВР 60 10 02,,,Герметизация стыков между изделиями из природного камня,3.15-148-1,Стена,все
ВР 60 10 03,,,Облицовка гранитными плитами колонн,"3.15-3-1
3.15-3-2
3.15-3-3
3.15-3-4
3.15-3-5
3.15-3-6
3.15-3-7
3.15-3-8
3.15-3-9
3.15-3-10
3.15-3-11
3.15-3-12
3.15-3-13
3.15-3-14
3.15-3-15
3.15-3-16
3.15-4-1
3.15-4-2
3.15-4-3
3.15-4-4
3.15-4-5
3.15-4-6
3.15-4-7
3.15-4-8
3.15-4-9
3.15-4-10
3.15-4-11
3.15-4-12
3.15-4-13
3.15-4-14
3.15-4-15
3.15-4-16",Колонна,все
ВР 60 10 04,,,Добавлять или исключать на каждые 10 мм изменения толщины плит при облицовке стен и колонн гранитом полированным,3.15-5-1,Колонна,все
ВР 60 10 05,,,"Добавлять или исключать на каждые 10 мм изменения толщины плит при облицовке стен и колонн чистотесаным и ""под скалу""",3.15-5-2,Колонна,все
ВР 60 10 06,,,Добавлять или исключать на каждые 10 мм изменения толщины плит при облицовке стен и колонн известняком,3.15-5-3,Колонна,все
ВР 60 10 07,,,Облицовка поверхностей линейными фасонными камнями,"3.15-6-1
3.15-6-2
3.15-6-3
3.15-6-4
3.15-6-5
3.15-6-6
3.15-7-1
3.15-7-2
3.15-7-3
3.15-7-4
3.15-7-5
3.15-7-6","Покрытие пола
Стена
Парапет",все
ВР 60 10 08,,,Облицовка поверхностей полированными плитами из мрамора и травертина,"3.15-8-1
3.15-8-2
3.15-8-3","Покрытие пола
Стена
Парапет",все
ВР 60 10 09,,,Облицовка ступеней и подступенков мраморными полированными плитами,3.15-9-1,Лестничный марш,все
ВР 60 10 10,,,Укладка подоконных мраморных полированных плит,3.15-9-2,Подоконник,все
ВР 60 10 11,,,Наружная облицовка по бетонной поверхности керамическими отдельными плитками на полимерцементной мастике стен и колонн,3.15-10-1,"Стена
Колонна",все
ВР 60 10 12,,,Наружная облицовка по бетонной поверхности стен,"3.15-10-2
3.15-11-1
3.15-12-1",Стена,все
ВР 60 10 13,,,Наружная облицовка по бетонной поверхности колонн,"3.15-10-3
3.15-11-2
3.15-12-2",Колонна,все
ВР 60 10 14,,,Облицовка стен наружных керамическими крупноразмерными плитами типа керамогранит,"3.15-170-1
3.15-172-1
3.15-172-2",Стена,все
ВР 60 10 15,,,"Гладкая облицовка стен, столбов, пилястр и откосов (без карнизных, плинтусных и угловых плиток) без установки плиток туалетного гарнитура по кирпичу и бетону",3.15-13-1,"Стена
Колонна
Столб
Пилястра
Откос",все
ВР 60 10 16,,,"Гладкая облицовка стен, столбов, пилястр и откосов (без карнизных, плинтусных и угловых плиток) без установки плиток туалетного гарнитура по дереву",3.15-13-2,"Стена
Колонна
Столб
Пилястра
Откос",все
ВР 60 10 17,,,Затирка швов между плитками ранее облицованных поверхностей с применением сухой смеси,3.15-139-1,,все
ВР 60 10 18,,,"Облицовка стен керамическими плитками на цементном растворе с заполнением швов фуговочной смесью, по кирпичу и бетону",3.15-144-1,Стена,все
ВР 60 10 19,,,"Облицовка стен керамическими плитками на цементном растворе с заполнением швов фуговочной смесью, по дереву",3.15-144-2,Стена,все
ВР 60 10 20,,,"Гладкая облицовка стен (без карнизных, плинтусных и угловых плиток) на клее из сухих смесей по камню и бетону",3.15-149-1,Стена,все
ВР 60 10 21,,,"Гладкая облицовка стен (без карнизных, плинтусных и угловых плиток) на клее из сухих смесей по дереву и гипсовым плитам",3.15-149-2,Стена,все
ВР 60 10 22,,,"Гладкая облицовка столбов и откосов (без карнизных, плинтусных и угловых плиток) на клее из сухих смесей по камню и бетону",3.15-149-3,"Столб
Колонна
Откос",все
ВР 60 10 23,,,"Гладкая облицовка столбов и откосов (без карнизных, плинтусных и угловых плиток) на клее из сухих смесей по дереву и гипсовым плитам",3.15-149-4,"Столб
Колонна
Откос",все
ВР 60 10 24,,,Облицовка стен коврами из мелких мозаичных плиток на клеевом растворе из сухих смесей с затиркой швов,3.15-161-1,Стена,все
ВР 60 10 25,,,Облицовка колонн коврами из мелких мозаичных плиток на клеевом растворе из сухих смесей с затиркой швов,3.15-161-2,Колонна ,все
ВР 60 10 26,,,Установка бордюрных и фризовых керамических плиток при облицовке стен по кирпичу и бетону на растворе,3.15-162-1,Стена,все
ВР 60 10 27,,,Установка бордюрных и фризовых керамических плиток при облицовке стен по кирпичу и бетону на клее из сухих смесей,3.15-162-2,Стена,все
ВР 60 10 28,,,Установка поливинилхлоридных раскладок при внутренней облицовке керамическими плитками,3.15-163-1,"Покрытие пола
Стена",все
ВР 60 10 29,,,Облицовка стен внутренних керамическими крупноразмерными плитами типа керамогранит,"3.15-171-1
3.15-173-1
3.15-173-2",Стена,все
ВР 60 10 30,,,Устройство основания под облицовку искусственным мрамором стен по камню,3.15-14-1,Стена,все
ВР 60 10 31,,,Устройство основания под облицовку искусственным мрамором стен по дереву,3.15-14-2,Стена,все
ВР 60 10 32,,,"Устройство основания под облицовку искусственным мрамором прямоугольных и цилиндрических колонн, столбов, пилонов, пилястр и куполов по камню и бетону",3.15-14-3,"Колонна
Столб
Пилон
Пилястра
Купол",все
ВР 60 10 33,,,"Устройство основания под облицовку искусственным мрамором прямоугольных и цилиндрических колонн, столбов, пилонов, пилястр и куполов по дереву",3.15-14-4,"Колонна
Столб
Пилон
Пилястра
Купол",все
ВР 60 10 34,,,Облицовка оселковым мрамором поверхностей стен гладких,3.15-15-1,Стена,все
ВР 60 10 35,,,"Облицовка оселковым мрамором поверхностей столбов, колонн и пилястр гладких","3.15-15-2
3.15-15-4","Столб
Колонна
Пилястра",все
ВР 60 10 36,,,"Облицовка оселковым мрамором поверхностей столбов, колонн и пилястр с каннелюрами","3.15-15-3
3.15-15-5","Столб
Колонна
Пилястра",все
ВР 60 10 37,,,Облицовка оселковым мрамором поверхностей откосов,3.15-16-1,Откос,все
ВР 60 10 38,,,"Облицовка оселковым мрамором поверхностей тяг, поясков и плинтусов простых",3.15-16-2,"Тяга
Пояс
Плинтус",все
ВР 60 10 39,,,"Облицовка оселковым мрамором поверхностей тяг, поясков и плинтусов сложных",3.15-16-3,"Тяга
Пояс
Плинтус",все
ВР 60 10 40,,,Облицовка оселковым мрамором поверхностей капителей простых,3.15-16-4,Капитель,все
ВР 60 10 41,,,Облицовка оселковым мрамором поверхностей капителей сложных,3.15-16-5,Капитель,все
ВР 60 10 42,,,Облицовка утюжным мрамором поверхностей стен гладких,3.15-17-1,Стена,все
ВР 60 10 43,,,"Облицовка утюжным мрамором поверхностей столбов, колонн и пилястр гладких","3.15-17-2
3.15-17-4","Столб
Колонна
Пилястра",все
ВР 60 10 44,,,"Облицовка утюжным мрамором поверхностей столбов, колонн и пилястр с каннелюрами","3.15-17-3
3.15-17-5","Столб
Колонна
Пилястра",все
ВР 60 10 45,,,Облицовка утюжным мрамором поверхностей откосов,3.15-18-1,Откос,все
ВР 60 10 46,,,"Облицовка утюжным мрамором поверхностей тяг, поясков и плинтусов простых",3.15-18-2,"Тяга
Пояс
Плинтус",все
ВР 60 10 47,,,"Облицовка утюжным мрамором поверхностей тяг, поясков и плинтусов сложных",3.15-18-3,"Тяга
Пояс
Плинтус",все
ВР 60 10 48,,,Облицовка утюжным мрамором поверхностей капителей простых,3.15-18-4,Капитель,все
ВР 60 10 49,,,Облицовка утюжным мрамором поверхностей капителей сложных,3.15-18-5,Капитель,все
ВР 60 10 50,,,Устройство основания под облицовку искусственным мрамором откосов,3.15-14-5,Откос,все
ВР 60 10 51,,,Облицовка стен полированными плитами,"3.15-19-1
3.15-19-2
3.15-19-3
3.15-19-4
3.15-19-5
3.15-19-6
3.15-19-7
3.15-19-8
3.15-19-9
3.15-19-10
3.15-19-11
3.15-19-12
3.15-19-13
3.15-19-14
3.15-19-15
3.15-19-16",Стена,все
ВР 60 10 52,,,Облицовка колонн полированными плитами,"3.15-20-1
3.15-20-2
3.15-20-3
3.15-20-4
3.15-20-5
3.15-20-6
3.15-20-7
3.15-20-8
3.15-20-9
3.15-20-10
3.15-20-11
3.15-20-12
3.15-20-13
3.15-20-14
3.15-20-15
3.15-20-16
3.15-20-17
3.15-20-18
3.15-20-19
3.15-20-20
3.15-20-21
3.15-20-22
3.15-20-23
3.15-20-24
3.15-20-25
3.15-20-26
3.15-20-27",Колонна,все
ВР 60 10 53,,,"Облицовка стен плитами из туфа, известняка и ракушечника","3.15-21-1
3.15-21-2
3.15-21-3
3.15-21-4
3.15-21-5",Стена,все
ВР 60 10 54,,,"Облицовка пилястр, откосов, проемов плитами из туфа, известняка и ракушечника","3.15-21-6
3.15-21-7
3.15-21-8
3.15-21-9
3.15-21-10","Пилястра
Откос
Проём",все
ВР 60 10 55,,,"Облицовка колонн четырехгранных плитами из туфа, известняка и ракушечника","3.15-22-1
3.15-22-2
3.15-22-3
3.15-22-4
3.15-22-5",Колонна,все
ВР 60 10 56,,,"Облицовка колонн многогранных плитами из туфа, известняка и ракушечника","3.15-22-6
3.15-22-7
3.15-22-8
3.15-22-9
3.15-22-10",Колонна,все
ВР 60 10 57,,,Облицовка арок мраморными полированными плитами,"3.15-23-1
3.15-23-2
3.15-23-3
3.15-23-4
3.15-23-5
3.15-23-6",Арка,все
ВР 60 10 58,,,Облицовка крышки парапета гранитными полированными плитами толщиной,"3.15-24-1
3.15-24-2
3.15-24-3",Парапет,все
ВР 60 10 59,,,Облицовка ступеней гранитными плитами,3.15-25-1,Лестничный марш,все
ВР 60 10 60,,,Установка цельных гранитных ступеней толщиной 150 мм,3.15-26-1,Лестничный марш,все
ВР 60 10 61,,,"Облицовка пилястр, откосов полированными плитами из мрамора","3.15-27-1
3.15-27-2
3.15-27-3
3.15-27-4
3.15-27-5
3.15-27-6
3.15-27-7","Пилястра
Откос",все
ВР 60 10 62,,,Облицовка поверхностей декоративными отделочными панелями из древесных материалов,3.15-28-1,"Стена
Пол
Потолок
Колонна
Лестничный марш
Столб
Парапет",все
ВР 60 10 63,,,Добавляется на раскрой панелей в построечных условиях,3.15-28-2,Карниз,все
ВР 60 10 64,,,Установка карнизов одноэлементных из древесных материалов,3.15-28-3,Карниз,все
ВР 60 10 65,,,Установка карнизов двухэлементных из древесных материалов,3.15-28-4,Стена,все
ВР 60 10 66,,,Облицовка стен асбестоцементными листами по готовому деревянному каркасу с креплением шурупами через алюминиевые раскладки,3.15-131-1,Стена,все
ВР 60 10 67,,,Облицовка стен отделочными гипсокартонными панелями (по готовому деревянному каркасу) с креплением шурупами через поливинилхлоридные раскладки,3.15-132-1,Стена,все
ВР 60 10 68,,,Установка алюминиевых раскладок,3.15-133-1,"Арка
Стена
Пол
Потолок
Колонна
Лестничный марш
Столб
Парапет",все
ВР 60 10 69,,,Устройство каркасов из деревянных пропитанных брусков сечением 40 х 25 мм,3.15-134-1,"Арка
Стена
Пол
Потолок
Колонна
Лестничный марш
Столб
Парапет",все
ВР 60 10 70,,,Торкретирование бетонных поверхностей при толщине слоя 20 мм,3.15-135-1,Все монолитные и сборные жб конструкции,все
ВР 60 10 71,,,Торкретирование армированной поверхности по арматурной сетке при толщине слоя 30 мм,3.15-135-2,Все монолитные и сборные жб конструкции,все
ВР 60 10 72,,,Добавляется или исключается на каждые 10 мм изменения толщины слоя к позиции 3.15-135-1,3.15-135-3,Все монолитные и сборные жб конструкции,все
ВР 60 10 73,,,Добавляется или исключается на каждые 10 мм изменения толщины слоя к поз.15-135-2,3.15-135-4,Все монолитные и сборные жб конструкции,все
ВР 60 10 74,,,Облицовка пластиком или листами из синтетических материалов стен по деревянной обрешетке,3.15-145-1,Стена,все
ВР 60 10 75,,,Облицовка пластиком или листами из синтетических материалов стен по сплошному основанию на клее,3.15-145-2,Стена,все
ВР 60 10 76,,,Облицовка пластиком или листами из синтетических материалов оконных и дверных откосов,3.15-145-3,Откос,все
ВР 60 10 77,,,"Наружная облицовка поверхности стен по металлическому каркасу (с его устройством) металлосайдингом, фасадными панелями из оцинкованной стали с полимерным покрытием без пароизоляционного слоя",3.15-160-1,Стена,все
ВР 60 10 78,,,"Наружная облицовка поверхности стен по металлическому каркасу (с его устройством) металлосайдингом, фасадными панелями из оцинкованной стали с полимерным покрытием с устройством пароизоляции",3.15-160-2,Стена,все
ВР 60 10 79,,,Установка декоративных карнизов из полистирола при внутренней отделке помещений,3.15-164-1,Карниз,все
ВР 60 10 80,,,"Облицовка поликарбонатом металлических конструкций с креплением через соединительные профили, поверхность вертикальная",3.15-169-1,Все металлоконструкции,все
ВР 60 10 81,,,"Облицовка поликарбонатом металлических конструкций с креплением через соединительные профили, поверхность горизонтальная",3.15-169-2,Все металлоконструкции,все
ВР 60 10 82,,,Облицовка наружных стен бетонными камнями,3.15-152-1,Стена,все
ВР 60 15,,Дополнительные работы при облицовке конструкций,,,,
ВР 60 15 01,,,Монтаж системы защиты стен и углов - поручень-отбойник на алюминиевом профиле по стенам из кирпича и бетона,"3.15-174-1
3.15-174-3",Стена,все
ВР 60 15 02,,,Монтаж системы защиты стен и углов - поручень-отбойник на алюминиевом профиле по стенам из гипсокартона,"3.15-174-2
3.15-174-4",Стена,все
ВР 60 15 03,,,Монтаж системы защиты стен и углов - доска-отбойник по стенам из кирпича и бетона,"3.15-174-5
3.15-174-7",Стена,все
ВР 60 15 04,,,Монтаж системы защиты стен и углов - доска-отбойник по стенам из гипсокартона,"3.15-174-6
3.15-174-8",Стена,все
ВР 60 15 05,,,Монтаж системы защиты стен и углов - отбойная доска-пластина,3.15-174-9,Стена,все
ВР 60 15 07,,,"Монтаж системы защиты стен и углов (угловых отбойников), материал стен кирпич и бетон","3.15-174-10
3.15-174-12",Стена,все
ВР 60 15 08,,,"Монтаж системы защиты стен и углов (угловых отбойников), материал стен гипсокартон","3.15-174-11
3.15-174-13",Стена,все
ВР 60 15 09,,,"Монтаж системы защиты стен и углов (угловых отбойников), приклеиванием к поверхности",3.15-174-14,Стена,все
ВР 60 15 10,,,Устройство подвесных потолков из декоративно-акустических плит по готовому каркасу с установкой направляющих из алюминиевого профиля и деталей крепления,3.15-29-1,Потолок подвесной,все
ВР 60 15 11,,,Крепление облицовки цокольной части здания уголками из полосовой стали с одним анкером и пироном,"3.15-30-1
3.15-30-2
3.15-30-3
3.15-30-4
3.15-30-5",Стена,все
ВР 60 15 12,,,Крепление облицовки цокольной части здания уголками из полосовой стали с двумя анкерами и пироном,"3.15-30-6
3.15-30-7
3.15-30-8
3.15-30-9
3.15-30-10",Стена,все
ВР 60 15 13,,,Крепление облицовки железобетонных стен выше цокольной части здания уголками из полосовой стали с одним анкером и пироном,"3.15-30-11
3.15-30-12
3.15-30-13
3.15-30-14
3.15-30-15",Стена,все
ВР 60 15 14,,,Крепление облицовки железобетонных стен выше цокольной части здания уголками из полосовой стали с двумя анкерами и пироном,"3.15-30-16
3.15-30-17
3.15-30-18
3.15-30-19
3.15-30-20",Стена,все
ВР 60 15 15,,,Крепление облицовки цокольной части здания опорным элементом желобчатого сечения,"3.15-31-1
3.15-31-2
3.15-31-3
3.15-31-4
3.15-31-5",Стена,все
ВР 60 15 16,,,Крепление облицовки железобетонных стен выше цокольной части здания опорным элементом желобчатого сечения,"3.15-31-6
3.15-31-7
3.15-31-8
3.15-31-9
3.15-31-10",Стена,все
ВР 60 15 17,,,Крепление облицовки кирпичных стен выше цокольной части здания крюками и штырями (пироны) по рабочей вертикальной и горизонтальной арматуре,"3.15-32-1
3.15-32-2
3.15-32-3
3.15-32-4
3.15-32-5",Стена,все
ВР 60 15 18,,,Крепление облицовки кирпичных стен выше цокольной части здания крюками и штырями (пироны) по рабочей вертикальной арматуре,"3.15-32-6
3.15-32-7
3.15-32-8
3.15-32-9
3.15-32-10",Стена,все
ВР 60 15 19,,,Крепление облицовки колонн крюками и скобами,"3.15-33-1
3.15-33-2
3.15-33-3
3.15-33-4",Колонна,все
ВР 60 15 20,,,Крепление облицовки колонн уголками из полосовой стали с одним анкером и пироном,"3.15-34-1
3.15-34-2
3.15-34-3
3.15-34-4",Колонна,все
ВР 60 15 21,,,Крепление облицовки колонн уголками из полосовой стали с двумя анкерами и пироном,"3.15-34-5
3.15-34-6
3.15-34-7
3.15-34-8",Колонна,все
ВР 60 15 22,,,Крепление облицовки колонн опорным элементом желобчатого сечения,"3.15-35-1
3.15-35-2
3.15-35-3
3.15-35-4",Колонна,все
ВР 60 15 23,,,Крепление облицовки стен уголками с анкерами и пиронами,"3.15-36-1
3.15-36-2
3.15-36-3
3.15-36-4
3.15-36-5",Стена,все
ВР 60 15 24,,,Крепление облицовки стен опорным элементом желобчатого сечения с одним анкером и пироном,"3.15-37-1
3.15-37-2
3.15-37-3
3.15-37-4
3.15-37-5",Стена,все
ВР 60 15 25,,,Крепление облицовки стен опорным элементом желобчатого сечения с одним анкером и пироном,"3.15-38-1
3.15-38-2
3.15-38-3
3.15-38-4
3.15-38-5",Стена,все
ВР 60 15 26,,,Крепление облицовки стен крюками и штырями по рабочей арматуре с выпусками,"3.15-39-1
3.15-39-2
3.15-39-3
3.15-39-4
3.15-39-5",Стена,все
ВР 60 15 27,,,Крепление облицовки стен крюками по рабочей арматуре с уголками,"3.15-40-1
3.15-40-2
3.15-40-3
3.15-40-4
3.15-40-5",Стена,все
ВР 60 20,,Монтаж навесных вентилируемых фасадов,,,,
ВР 60 20 01,,,Устройство вентилируемого фасада по цоколю без утеплителя,3.15-143-1,Фасад вентилируемый,все
ВР 60 20 02,,,Устройство вентилируемого фасада по цоколю с утеплением,3.15-143-2,Фасад вентилируемый,все
ВР 60 20 03,,,Устройство вентилируемого фасада выше цоколя без утепления,3.15-143-3,Фасад вентилируемый,все
ВР 60 20 04,,,Устройство вентилируемого фасада выше цоколя с утеплением,3.15-143-4,Фасад вентилируемый,все
ВР 60 20 05,,,Облицовка вертикальных откосов оконных и дверных проемов фиброцементными плитами с установкой сливов и верхнего откоса из оцинкованной стали,3.15-143-5,Фасад вентилируемый,все
ВР 60 20 06,,,Устройство вентилируемого фасада выше цоколя без утепления с люлек,3.15-147-1,Фасад вентилируемый,все
ВР 60 20 07,,,Устройство вентилируемого фасада выше цоколя с утеплением с люлек,3.15-147-2,Фасад вентилируемый,все
ВР 60 20 08,,,Облицовка вертикальных откосов оконных и дверных проемов фиброцементными плитами с установкой сливов и верхнего откоса из оцинкованной стали с люлек,3.15-147-3,Фасад вентилируемый,все
ВР 60 25,,Штукатурка фасадов,,,,
ВР 60 25 01,,,Улучшенная штукатурка цементно-известковым раствором по камню стен,3.15-41-1,Стена,все
ВР 60 25 02,,,Улучшенная штукатурка цементно-известковым раствором по камню колонн круглых (цилиндрических и переменного сечения) фасадов,3.15-41-2,Колонна,все
ВР 60 25 03,,,Улучшенная штукатурка цементно-известковым раствором по камню колонн прямоугольных фасадов,3.15-41-3,Колонна,все
ВР 60 25 04,,,Улучшенная штукатурка цементно-известковым раствором по камню пилястр переменного сечения фасадов,3.15-41-4,Пилястра,все
ВР 60 25 05,,,Улучшенная штукатурка цементно-известковым раствором по камню пилястр прямых фасадов,3.15-41-5,Пилястра,все
ВР 60 25 06,,,"Улучшенная штукатурка цементно-известковым раствором по камню карнизов, тяг и наличников прямолинейных фасадов",3.15-41-6,"Карниз
Тяга
Наличник",все
ВР 60 25 07,,,"Улучшенная штукатурка цементно-известковым раствором по камню карнизов, тяг и наличников криволинейных фасадов",3.15-41-7,"Карниз
Тяга
Наличник",все
ВР 60 25 08,,,Высококачественная штукатурка цементно-известковым раствором по камню пилястр прямых с прорезными рустами фасадов,3.15-42-10,Пилястра,все
ВР 60 25 09,,,Высококачественная штукатурка цементно-известковым раствором по камню стен гладких фасадов,3.15-42-1,Стена,все
ВР 60 25 10,,,Высококачественная штукатурка цементно-известковым раствором по камню стен с прорезными рустами фасадов,3.15-42-2,Стена,все
ВР 60 25 11,,,Высококачественная штукатурка цементно-известковым раствором по камню колонн круглых (цилиндрических и переменного сечения) гладких фасадов,3.15-42-3,Колонна,все
ВР 60 25 12,,,Высококачественная штукатурка цементно-известковым раствором по камню колонн круглых (цилиндрических и переменного сечения) с прорезными рустами фасадов,3.15-42-4,Колонна,все
ВР 60 25 13,,,Высококачественная штукатурка цементно-известковым раствором по камню колонн прямоугольных гладких фасадов,3.15-42-5,Колонна,все
ВР 60 25 14,,,Высококачественная штукатурка цементно-известковым раствором по камню колонн прямоугольных с прорезными рустами фасадов,3.15-42-6,Колонна,все
ВР 60 25 15,,,Высококачественная штукатурка цементно-известковым раствором по камню пилястр переменного сечения гладких фасадов,3.15-42-7,Пилястра,все
ВР 60 25 16,,,Высококачественная штукатурка цементно-известковым раствором по камню пилястр переменного сечения с прорезными рустами фасадов,3.15-42-8,Пилястра,все
ВР 60 25 17,,,Высококачественная штукатурка цементно-известковым раствором по камню пилястр прямых гладких фасадов,3.15-42-9,Пилястра,все
ВР 60 25 18,,,Высококачественная штукатурка цементно-известковым раствором по камню откосов плоских фасадов,"3.15-43-1
3.15-43-3",Откос,все
ВР 60 25 19,,,Высококачественная штукатурка цементно-известковым раствором по камню криволинейных откосов фасадов,"3.15-43-2
3.15-43-4",Откос,все
ВР 60 25 20,,,"Высококачественная штукатурка цементно-известковым раствором по камню карнизов, тяг, наличников прямолинейных фасадов",3.15-44-1,"Карниз
Тяга
Наличник",все
ВР 60 25 21,,,"Высококачественная штукатурка цементно-известковым раствором по камню карнизов, тяг, наличников криволинейных фасадов",3.15-44-2,"Карниз
Тяга
Наличник",все
ВР 60 25 22,,,Высококачественная штукатурка декоративным раствором по камню стен гладких фасадов,3.15-45-1,Стена,все
ВР 60 25 23,,,Высококачественная штукатурка декоративным раствором по камню стен с прорезными рустами фасадов,3.15-45-2,Стена,все
ВР 60 25 24,,,Высококачественная штукатурка декоративным раствором по камню колонн круглых (цилиндрических и переменного сечения) гладких фасадов,3.15-45-3,Колонна,все
ВР 60 25 25,,,Высококачественная штукатурка декоративным раствором по камню колонн круглых (цилиндрических и переменного сечения) с прорезными рустами фасадов,3.15-45-4,Колонна,все
ВР 60 25 26,,,Высококачественная штукатурка декоративным раствором по камню колонн прямоугольных гладких фасадов,3.15-45-5,Колонна,все
ВР 60 25 27,,,Высококачественная штукатурка декоративным раствором по камню колонн прямоугольных с прорезными рустами фасадов,3.15-45-6,Колонна,все
ВР 60 25 28,,,Высококачественная штукатурка декоративным раствором по камню пилястр переменного сечения гладких фасадов,3.15-45-7,Пилястра,все
ВР 60 25 29,,,Высококачественная штукатурка декоративным раствором по камню пилястр переменного сечения с прорезными рустами фасадов,3.15-45-8,Пилястра,все
ВР 60 25 30,,,Высококачественная штукатурка декоративным раствором по камню пилястр прямых гладких фасадов,3.15-45-9,Пилястра,все
ВР 60 25 31,,,Высококачественная штукатурка декоративным раствором по камню пилястр прямых с прорезными рустами фасадов,3.15-45-10,Пилястра,все
ВР 60 25 32,,,Высококачественная штукатурка декоративным раствором по камню плоских откосов фасадов,"3.15-46-1
3.15-46-3",Откос,все
ВР 60 25 33,,,Высококачественная штукатурка декоративным раствором по камню криволинейных откосов фасадов,"3.15-46-2
3.15-46-4",Откос,все
ВР 60 25 34,,,"Высококачественная штукатурка декоративным раствором по камню карнизов, тяг, наличников прямолинейных фасадов",3.15-47-1,"Карниз
Тяга
Наличник",все
ВР 60 25 35,,,"Высококачественная штукатурка декоративным раствором по камню карнизов, тяг, наличников криволинейных фасадов",3.15-47-2,"Карниз
Тяга
Наличник",все
ВР 60 25 36,,,Высококачественная штукатурка поверхностей стен гладких фасадов терразитовым раствором,3.15-48-1,Стена,все
ВР 60 25 37,,,Высококачественная штукатурка поверхностей стен с прорезными рустами фасадов терразитовым раствором,3.15-48-2,Стена,все
ВР 60 25 38,,,Высококачественная штукатурка поверхностей колонн гладких круглых (цилиндрического и переменного сечения) фасадов терразитовым раствором,3.15-48-3,Колонна,все
ВР 60 25 39,,,Высококачественная штукатурка поверхностей колонн с прорезными рустами круглых (цилиндрического и переменного сечения) фасадов терразитовым раствором,3.15-48-4,Колонна,все
ВР 60 25 40,,,Высококачественная штукатурка поверхностей колонн гладких прямоугольных фасадов терразитовым раствором,3.15-48-5,Колонна,все
ВР 60 25 41,,,Высококачественная штукатурка поверхностей колонн с прорезными рустами прямоугольных фасадов терразитовым раствором,3.15-48-6,Колонна,все
ВР 60 25 42,,,Высококачественная штукатурка поверхностей откосов плоских фасадов терразитовым раствором,"3.15-48-7
3.15-48-9",Откос,все
ВР 60 25 43,,,Высококачественная штукатурка поверхностей откосов криволинейных фасадов терразитовым раствором,"3.15-48-8
3.15-48-10",Откос,все
ВР 60 25 44,,,Высококачественная штукатурка поверхностей пилястр гладких переменного сечения фасадов терразитовым раствором,3.15-48-11,Пилястра,все
ВР 60 25 45,,,Высококачественная штукатурка поверхностей пилястр с прорезными рустами переменного сечения фасадов терразитовым раствором,3.15-48-12,Пилястра,все
ВР 60 25 46,,,Высококачественная штукатурка поверхностей пилястр гладких прямых фасадов терразитовым раствором,3.15-48-13,Пилястра,все
ВР 60 25 47,,,Высококачественная штукатурка поверхностей пилястр с прорезными рустами прямых фасадов терразитовым раствором,3.15-48-14,Пилястра,все
ВР 60 25 48,,,"Высококачественная штукатурка поверхностей карнизов, тяг, наличников прямолинейных фасадов терразитовым раствором",3.15-48-15,"Карниз
Тяга
Наличник",все
ВР 60 25 49,,,"Высококачественная штукатурка поверхностей карнизов, тяг, наличников криволинейных фасадов терразитовым раствором",3.15-48-16,"Карниз
Тяга
Наличник",все
ВР 60 25 50,,,"Устройство многослойной теплоизоляционной системы ""Термофасад"" с применением негорючих минераловатных утеплителей с земли и лесов по технологии ""Хантер-Стар""",3.15-137-1,Фасад,все
ВР 60 25 51,,,"Устройство многослойной теплоизоляционной системы ""Термофасад"" с применением негорючих минераловатных утеплителей с электролюлек по технологии ""Хантер-Стар""",3.15-137-2,Фасад,все
ВР 60 25 52,,,"Устройство стартового ряда теплоизоляции системы ""Синтеко""",3.15-138-1,Фасад,все
ВР 60 25 53,,,"Устройство системы утепления ""Синтеко"" на глухой поверхности стены",3.15-138-2,Фасад,все
ВР 60 25 54,,,"Устройство системы утепления ""Синтеко"" вокруг оконных и дверных проемов",3.15-138-3,Фасад,все
ВР 60 25 55,,,"Защитно-декоративная штукатурка фасадов по теплоизоляции системы ""Стомикс"" с подготовкой поверхности",3.15-156-1,Фасад,все
ВР 60 25 56,,,"Декоративная многослойная отделка откосов на фасадах зданий с устройством теплоизоляции системы ""Стомикс""",3.15-156-2,Фасад,все
ВР 60 25 57,,,"Окраска фасадов по защитно-декоративной штукатурке системы ""Стомикс"" акрилатными красками",3.15-156-3,Фасад,все
