Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
,,,BFQA,,,Вырубка старых поврежденных плиток вручную,,ГЭСНр 81-02-57-2020,,,,
,,,BFQB,,,Расчистка мест после вырубки старых поврежденных плиток,,ГЭСНр 81-02-57-2020,,,,
,,,BFQC,,,Укладка плиток на растворе с расшивкой швов,,ГЭСНр 81-02-57-2020,,,,
,,,BFQD,,,Протирка поверхности при укладке керамических плиток,,ГЭСНр 81-02-57-2020,,,,
,,,BFQE,,,Вырубка старого раствора,,ГЭСНр 81-02-57-2020,,,,
,,,BFQF,,,Срубка раствора с кромок соседних плиток,,ГЭСНр 81-02-57-2020,,,,
,,,BFQG,,,Подгонка плиток по месту,,ГЭСНр 81-02-57-2020,,,,
,,,BFQH,,,Приготовление раствора для смены керамических плиток,,ГЭСНр 81-02-57-2020,,,,
,,,BFQJ,,,Укладка плиток на клей,,ГЭСНр 81-02-57-2020,,,,
,,,BFQK,,,Затирка швов после укладки плитки,,ГЭСНр 81-02-57-2020,,,,
,,,BFQL,,,Протирка поверхности облицовки после укладки плитки,,ГЭСНр 81-02-57-2020,,,,
,,BFR,,,,Ремонт резиновых напольных покрытий из релина,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-16,
,,,BFRA,,,Обрезка напольного покрытия по контуру ремонтируемых мест,,ГЭСНр 81-02-57-2020,,,,
,,,BFRB,,,Снятие старого покрытия с очисткой основания,,ГЭСНр 81-02-57-2020,,,,
,,,BFRC,,,Нарезка заготовок из нового материала резиновых напольных покрытий из релина,,ГЭСНр 81-02-57-2020,,,,
,,,BFRD,,,Прирезка заготовок из релина к месту укладки,,ГЭСНр 81-02-57-2020,,,,
,,,BFRE,,,Наклейка нового материала из релина с укаткой,,ГЭСНр 81-02-57-2020,,,,
,,BFS,,,,Ремонт топинговых покрытий,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-17,
,,,BFSA,,,Нанесение разметки на ремонтируемые участки топинговых покрытий,,ГЭСНр 81-02-57-2020,,,,
,,,BFSB,,,Нарезка швов топинговых покрытий,,ГЭСНр 81-02-57-2020,,,,
,,,BFSC,,,Вырубка поврежденных мест топинговых покрытий,,ГЭСНр 81-02-57-2020,,,,
,,,BFSD,,,Расчистка поврежденных мест топинговых покрытий,,ГЭСНр 81-02-57-2020,,,,
,,,BFSE,,,Заделка выбоин с грунтовкой топинговых покрытий,,ГЭСНр 81-02-57-2020,,,,
,,,BFSF,,,Нанесение топинга,,ГЭСНр 81-02-57-2020,,,,
,,,BFSG,,,Разравнивание вручную грунтовки после нанесения топинга,,ГЭСНр 81-02-57-2020,,,,
,,,BFSH,,,Нанесение пропитки по бетону при ремонте топинговых покрытий,,ГЭСНр 81-02-57-2020,,,,
,BG,,,,,Печные ремонтные работы,,ГЭСНр 81-02-60-2020,По виду работ,,,
,,BGA,,,,Разборка кладки печей и очагов,,ГЭСНр 81-02-60-2020,По виду работ,, ГЭСНр 60-1,
,,,BGAA,,,Снятие приборов печей и очагов,,ГЭСНр 81-02-60-2020,,,,
,,,BGAB,,,Непосредственная разборка кладки печей и очагов,,ГЭСНр 81-02-60-2020,,,,
,,,BGAC,,,Снятие изразцов печей и очагов,,ГЭСНр 81-02-60-2020,,,,
,,,BGAD,,,Снятие футляров из кровельной стали печей и очагов,,ГЭСНр 81-02-60-2020,,,,
,,BGB,,,,Разборка дымовых кирпичных труб и боровов,,ГЭСНр 81-02-60-2020,По виду работ,, ГЭСНр 60-2,
,,BGC,,,,Большой ремонт печей,,ГЭСНр 81-02-60-2020,,,ГЭСНр 60-3,
,,,BGCA,,,"Разборка лицевой стороны печи, прогоревших дымоходов и топливников",,ГЭСНр 81-02-60-2020,,,,
,,,BGCB,,,Восстановление разобранной кладки с добавлением нового кирпича при большом ремонте печей,,ГЭСНр 81-02-60-2020,,,,
,,,BGCC,,,Установка изразцов при большом ремонте печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGCD,,,Снятие печных приборов при большом ремонте печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGCE,,,Установка печных приборов при большом ремонте печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGCF,,,Промывка поверхности облицовки печей после большого ремонта печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGCG,,,Протирка поверхности облицовки печей после большого ремонта печи,,ГЭСНр 81-02-60-2020,,,,
,,BGD,,,,Малый ремонт печей,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-4 ,
,,,BGDA,,,Разборка поврежденных участков кладки при малом ремонте печей,,ГЭСНр 81-02-60-2020,,,,
,,,BGDB,,,Восстановление кладки разобранного участка при малом ремонте печей,,ГЭСНр 81-02-60-2020,,,,
,,,BGDC,,,Отделка поверхности ремонтируемого участка кладки при малом ремонте печей,,ГЭСНр 81-02-60-2020,,,,
,,BGE,,,,Перекладка частей русской печи,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-5,
,,,BGEA,,,Разборка кладки частей русской печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGEB,,,Восстановление разобранной кладки русской печи с добавлением нового кирпича,,ГЭСНр 81-02-60-2020,,,,
,,BGF,,,,Смена водогрейных и пищеварных котлов,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-6 ,
,,,BGFA,,,Разборка кладки со снятием старого котла,,ГЭСНр 81-02-60-2020,По виду работ,,,
,,,BGFB,,,Установка нового котла,,ГЭСНр 81-02-60-2020,По виду работ,,,
,,,,BGFBA,,Восстановление разобранной кладки при смене водогрейных и пищевых котлов,,ГЭСНр 81-02-60-2020,,,,
,,,,BGFBB,,Добавлением нового кирпича при смене водогрейных и пищевых котлов,,ГЭСНр 81-02-60-2020,,,,
,,BGG,,,,Перекладка дымовых труб,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-7,
,,,BGGA,,,Разборка кладки дымовых труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGGB,,,Кладка дымовых труб с добавлением нового кирпича,,ГЭСНр 81-02-60-2020,,,,
,,,BGGC,,,Устройство горизонтальных разделок при перекладки дымовых труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGGD,,,Швабровка каналов дымовых труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGGE,,,Выкладка выдр и головок с устройством отливов при перекладке дымовых труб,,ГЭСНр 81-02-60-2020,,,,
,,BGH,,,,Перекладка вертикальных разделок печей,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-8,
,,,BGHA,,,Разборка кладки поврежденной части разделки,,ГЭСНр 81-02-60-2020,,,,
,,,BGHB,,,Восстановление разобранного участка разделки с добавлением нового кирпича,,ГЭСНр 81-02-60-2020,,,,
,,BGJ,,,,Ремонт отдельных частей трубы,,ГЭСНр 81-02-60-2020,,,ГЭСНр 60-9,
,,,BGJA,,,Укрепление отдельных кирпичей патрубка или их замена,,ГЭСНр 81-02-60-2020,,,,
,,,BGJB,,,Закрепление существующих приборов при ремонте отдельных частей трубы,,ГЭСНр 81-02-60-2020,,,,
,,,BGJC,,,Швабровка отремонтированных поверхностей при ремонте отдельных частей трубы,,ГЭСНр 81-02-60-2020,,,,
,,BGK,,,,Исправление кладки дымовой трубы,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-10,
,,,BGKA,,,Разборка неисправной кирпичной кладки с очисткой кирпича,,ГЭСНр 81-02-60-2020,,,,
,,,BGKB,,,Восстановление разобранной кладки с заменой негодных кирпичей при исправлении кладки дымовой трубы,,ГЭСНр 81-02-60-2020,,,,
,,,BGKC,,,Швабровка восстановленной поверхности при исправлении кладки дымовой трубы,,ГЭСНр 81-02-60-2020,,,,
,,BGL,,,,Смена изразцов облицовки печей,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-11,
,,,BGLA,,,Удаление поврежденных изразцов с расчисткой и промывкой мест установки,,ГЭСНр 81-02-60-2020,,,,
,,,BGLB,,,Подбор новых изразцов по цвету с подтеской их по месту,,ГЭСНр 81-02-60-2020,,,,
,,,BGLC,,,Установка изразцов на растворе с закреплением,,ГЭСНр 81-02-60-2020,,,,
,,,BGLD,,,Расшивкой швов при смене изразцов облицовки печей,,ГЭСНр 81-02-60-2020,,,,
,,,BGLE,,,Протирка облицовки ветошью при смене изразцов облицовки печей,,ГЭСНр 81-02-60-2020,,,,
,,BGM,,,,Промазка трещин в кладке печи,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-12,
,,,BGMA,,,Расчистка трещин для промазки трещин в кладке печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGMB,,,Расшивка трещин для промазки трещин в кладке печи,,ГЭСНр 81-02-60-2020,,,,
,,,BGMC,,,Промазка трещин глиняным раствором,,ГЭСНр 81-02-60-2020,,,,
,,BGN,,,,Обделка кирпичом топливников,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-13,
,,,BGNA,,,Непосредственная обделка кирпичом топливников,,ГЭСНр 81-02-60-2020,,,,
,,,BGNB,,,Промазка трещин в кладке после обделки кирпичом топливников,,ГЭСНр 81-02-60-2020,,,,
,,BGP,,,,Смена приборов в печах,,ГЭСНр 81-02-60-2020,По виду работ,,,
,,,BGPA,,,Снятие старых приборов для смены приборов в печах,,ГЭСНр 81-02-60-2020,,,,
,,,BGPB,,,Постановка нового прибора с укреплением его проволокой,,ГЭСНр 81-02-60-2020,,,,
,,BGQ,,,,Смена предтопочных листов,,ГЭСНр 81-02-60-2020,По виду работ,,"ГЭСНр 60-14
ГЭСНр 60-15",
,,,BGQA,,,Снятие старых предтопочных листов,,ГЭСНр 81-02-60-2020,,,,
,,,BGQB,,,Заготовка новых предтопочных листов из кровельной стали,,ГЭСНр 81-02-60-2020,,,,
,,,BGQC,,,Установка предтопочных листов на место,,ГЭСНр 81-02-60-2020,,,,
,,BGR,,,,Прочистка дымохода,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-16,
,,,BGRA,,,Пробивка отверстия для прочистки дымохода,,ГЭСНр 81-02-60-2020,,,,
,,,BGRB,,,Удаление сажи после прочистки дымохода,,ГЭСНр 81-02-60-2020,,,,
,,,BGRC,,,Обратная заделка дымохода после прочистки дымохода,,ГЭСНр 81-02-60-2020,,,,
,,,BGRD,,,Опробование дымохода,,ГЭСНр 81-02-60-2020,,,,
,,BGS,,,,Устройство отверстий для печей и труб,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-17,
,,,BGSA,,,Разметка отверстий для печей и труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGSB,,,Удаление засыпки и смазки при устройстве отверстий для печей и труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGSC,,,Отбивка штукатурки при устройстве отверстий для печей и труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGSD,,,Перерубка драни (при оштукатуренных потолках) при устройстве отверстий для печей и труб,,ГЭСНр 81-02-60-2020,,,,
,,,BGSE,,,Выпиливание отверстий в накате и подшивке потолка,,ГЭСНр 81-02-60-2020,,,,
,,,BGSF,,,Выпиливание отверстий в полах,,ГЭСНр 81-02-60-2020,,,,
,,BGT,,,,Устройство дымовых каналов в кирпичных стенах,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-18,
,,,BGTA,,,Отбивка штукатурки при устройстве дымовых каналов в кирпичных стенах,,ГЭСНр 81-02-60-2020,,,,
,,,BGTB,,,Пробивка борозды для устройства каналов кирпича,,ГЭСНр 81-02-60-2020,,,,
,,,BGTC,,,Заделка борозды с внешней стороны кирпичом на растворе,,ГЭСНр 81-02-60-2020,,,,
,,,BGTD,,,Смазка стенок канала,,ГЭСНр 81-02-60-2020,,,,
,,,BGTE,,,Швабровка стенок канала,,ГЭСНр 81-02-60-2020,,,,
,,BGU,,,,Смена колпаков на дымовых трубах,,ГЭСНр 81-02-60-2020,По виду работ,,ГЭСНр 60-19,
,,,BGUA,,,Снятие старого колпака,,ГЭСНр 81-02-60-2020,,,,
,,,BGUB,,,Изготовление нового колпака,,ГЭСНр 81-02-60-2020,,,,
,,,BGUC,,,Установка колпака на место с закреплением проволокой,,ГЭСНр 81-02-60-2020,,,,
,BH,,,,,"Капитальный ремонт лестниц, крылец",,ГЭСНр 81-02-59-2020,По способу производства работ,,,
,,BHA,,,,Разборка деревянных лестниц и крылец,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-1 ,
,,,BHAA,,,Разборка лестничных маршей с перилами и площадками,,ГЭСНр 81-02-59-2020,,,,
,,,BHAB,,,Разборка крылец с площадками и ступенями,,ГЭСНр 81-02-59-2020,,,,
,,,BHAC,,,Выкапывание деревянных стульев крыльца,,ГЭСНр 81-02-59-2020,,,,
,,BHB,,,,Разборка деревянных чердачных лестниц,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-2,
,,BHC,,,,Разборка металлических лестничных решеток,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-3,
,,,BHCA,,,Снятие решетки с перерезкой звеньев решетки автогеном,,ГЭСНр 81-02-59-2020,,,,
,,BHD,,,,Разборка поручней,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-4 ,
,,,BHDA,,,Снятие поручня,,ГЭСНр 81-02-59-2020,,,,
,,,BHDB,,,Вывертывание шурупов,,ГЭСНр 81-02-59-2020,,,,
,,BHE,,,,Ремонт ступеней,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-5,
,,,BHEA,,,Снятие негодных ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHEB,,,Изготовление новых ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHEC,,,Установка новых ступеней на место,,ГЭСНр 81-02-59-2020,,,,
,,,BHED,,,Расчистка трещин и отбитых мест при ремонте ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHEE,,,Устройство опалубки при ремонте ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHEF,,,Разборка опалубки при ремонте ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHEG,,,Заделка мест ремонта ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHEH,,,Шлифование отремонтированных мест вручную,,ГЭСНр 81-02-59-2020,,,,
,,,BHEJ,,,Затирка и железнение отремонтированных мест ступеней,,ГЭСНр 81-02-59-2020,,,,
,,BHF,,,,Устройство вставок в каменных ступенях,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-6,
,,,BHFA,,,Вырубка гнезд в поврежденных местах для устройства вставок в каменных ступенях,,ГЭСНр 81-02-59-2020,,,,
,,,BHFB,,,Установка вставок в гнезда с заготовкой вставок,,ГЭСНр 81-02-59-2020,,,,
,,BHG,,,,Ремонт деревянного поручня,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-7,
,,,BHGA,,,Снятие сменяемой части поручня,,ГЭСНр 81-02-59-2020,,,,
,,,BHGB,,,Расчистка поврежденных мест деревянного поручня,,ГЭСНр 81-02-59-2020,,,,
,,,BHGC,,,Постановка заделок с зачисткой после заделки со шпаклевкой и шлифовкой,,ГЭСНр 81-02-59-2020,,,,
,,BHH,,,,Укрепление стоек металлических решеток ограждений,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-8,
,,,BHHA,,,Расчистка гнезд для укрепления стоек,,ГЭСНр 81-02-59-2020,,,,
,,,BHHB,,,Расклинивание стойки металлическими клиньями,,ГЭСНр 81-02-59-2020,,,,
,,,BHHC,,,Заделка гнезд цементным раствором с затиркой и заглаживанием поверхности,,ГЭСНр 81-02-59-2020,,,,
,,BHJ,,,,Ремонт металлических лестничных решеток,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-9,
,,,BHJA,,,Очистка решеток от коррозии,,ГЭСНр 81-02-59-2020,,,,
,,,BHJB,,,Выправка решеток,,ГЭСНр 81-02-59-2020,,,,
,,BHK,,,,Смена отдельных каменных и железобетонных ступеней,,ГЭСНр 81-02-59-2020,По виду работ,,ГЭСНр 59-10,
,,,BHKA,,,Пробивка вручную гнезд или борозд в кирпичных стенах для смены отдельных каменных и железобетонных ступеней,,ГЭСНр 81-02-59-2020,,,,
,,,BHKB,,,Снятие ступеней с опоры с устройством временного крепления вышележащей ступени,,ГЭСНр 81-02-59-2020,,,,
,,,BHKC,,,Установка ступеней с заделкой их концов в стену и выверкой правильности установки ступеней,,ГЭСНр 81-02-59-2020,,,,
,BJ,,,,,"Капитальный ремонт крыши, кровли",,ГЭСНр 81-02-58-2020,По способу производства работ,,,
,,BJA,,,,Разборка деревянных элементов конструкций крыш,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-1,
,,,BJAA,,,Непосредственная разборка деревянных элементов конструкций крыш,,ГЭСНр 81-02-58-2020,,,,
,,,BJAB,,,Очистка деревянных элементов конструкций крыш,,ГЭСНр 81-02-58-2020,,,,
,,,BJAC,,,Укладка материалов деревянных элементов конструкций крыш на стройплощадке,,ГЭСНр 81-02-58-2020,,,,
,,BJB,,,,Разборка слуховых окон,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-2,
,,,BJBA,,,Разборка с очисткой слуховых окон,,ГЭСНр 81-02-58-2020,,,,
,,,BJBB,,,Укладка материалов слуховых окон на стройплощадке,,ГЭСНр 81-02-58-2020,,,,
,,BJC,,,,Разборка мелких покрытий и обделок из листовой стали,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-3,
,,,BJCA,,,Разборка креплений мелких покрытий и обделок из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJCB,,,Разборка на элементы мелких покрытий и обделок из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJCC,,,Укладка на стройплощадке мелких покрытий и обделок из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,BJD,,,,Разборка парапетных решеток,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-4,
,,,BJDA,,,Разборка креплений парапетных решеток,,ГЭСНр 81-02-58-2020,,,,
,,,BJDB,,,Разборка на элементы парапетных решеток,,ГЭСНр 81-02-58-2020,,,,
,,,BJDC,,,Укладка на стройплощадке парапетных решеток,,ГЭСНр 81-02-58-2020,,,,
,,BJE,,,,Ремонт деревянных элементов конструкций крыш,,ГЭСНр 81-02-58-2020,,,ГЭСНр 58-5 ,
,,,BJEA,,,Установка временных разгрузочных креплений,,ГЭСНр 81-02-58-2020,,,,
,,,BJEB,,,Снятие временных разгрузочных креплений,,ГЭСНр 81-02-58-2020,,,,
,,,BJEC,,,Удаление негодного деревянного элемента конструкций крыш,,ГЭСНр 81-02-58-2020,,,,
,,,BJED,,,Заготовка нового деревянного элемента конструкций крыш,,ГЭСНр 81-02-58-2020,,,,
,,,BJEE,,,Установка нового деревянного элемента конструкций крыш,,ГЭСНр 81-02-58-2020,,,,
,,BJF,,,,Ремонт отдельных мест покрытия из хризотилцементных листов,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-6,
,,,BJFA,,,Снятие покрытия из хризотилцементных листов,,ГЭСНр 81-02-58-2020,,,,
,,,BJFB,,,Укладка хризотилцементных листов с прибивкой гвоздями и прокладкой шайб,,ГЭСНр 81-02-58-2020,,,,
,,BJG,,,,Ремонт отдельными местами рулонного покрытия и смена существующих рулонных кровель на кровли из наплавляемых материалов,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-7,
,,,BJGA,,,Расчистка рулонного покрытия,,ГЭСНр 81-02-58-2020,,,,
,,,BJGB,,,Снятие старого рулонного покрытия,,ГЭСНр 81-02-58-2020,,,,
,,,BJGC,,,Разогревание готовой мастики,,ГЭСНр 81-02-58-2020,,,,
,,,BJGD,,,Покрытие новыми рулонными материалами,,ГЭСНр 81-02-58-2020,,,,
,,BJH,,,,Смена отдельных листов металлической кровли или постановка заплат,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-8,
,,,BJHA,,,Смена негодных листов металлической кровли в одном месте,,ГЭСНр 81-02-58-2020,,,,
,,,BJHB,,,Заготовка новых листов металлической кровли,,ГЭСНр 81-02-58-2020,,,,
,,,BJHC,,,Закрепление новых листов металлической кровли,,ГЭСНр 81-02-58-2020,,,,
,,,BJHD,,,Заготовка и прибивка кляммер,,ГЭСНр 81-02-58-2020,,,,
,,,BJHE,,,Вырубка негодной части металлической кровли,,ГЭСНр 81-02-58-2020,,,,
,,,BJHF,,,"Заготовка новых листов металлической кровли (картин, заплат)",,ГЭСНр 81-02-58-2020,,,,
,,BJJ,,,,Промазка фальцев и свищей в покрытии из кровельной стали,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-9 ,
,,,BJJA,,,"Очистка поврежденных кровельной стали мест от краски, замазки и ржавчины",,ГЭСНр 81-02-58-2020,,,,
,,,BJJB,,,Выправка загибов и заусенец на ремонтируемых местах,,ГЭСНр 81-02-58-2020,,,,
,,,BJJC,,,Промазка фальцев и свищей,,ГЭСНр 81-02-58-2020,,,,
,,BJK,,,,Смена частей водосточных труб,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-10 ,
,,,BJKA,,,Снятие негодных частей водосточных труб,,ГЭСНр 81-02-58-2020,,,,
,,,BJKB,,,Навеска новых готовых частей водосточных труб с укреплением,,ГЭСНр 81-02-58-2020,,,,
,,BJL,,,,Ремонт металлических парапетных решеток,,ГЭСНр 81-02-58-2020,По виду работ,,ГЭСНр 58-11,
,,,BJLA,,,Выправление погнутых элементов металлических парапетных решеток без снятия,,ГЭСНр 81-02-58-2020,,,,
,,,BJLB,,,Укрепление отдельных элементов металлических парапетных решеток,,ГЭСНр 81-02-58-2020,,,,
,,,BJLC,,,Крепление металлических парапетных решеток в местах заделки,,ГЭСНр 81-02-58-2020,,,,
,,BJM,,,,Устройство обрешетки,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-12,
,,,BJMA,,,Раскрой брусков и досок,,ГЭСНр 81-02-58-2020,,,,
,,,BJMB,,,Крепление элементов обрешетки гвоздями,,ГЭСНр 81-02-58-2020,,,,
,,BJN,,,,Устройство покрытия из рулонных материалов насухо,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-13,
,,,BJNA,,,Раскрой рулонного материалов,,ГЭСНр 81-02-58-2020,,,,
,,,BJNB,,,Укладка материалов покрытия насухо,,ГЭСНр 81-02-58-2020,,,,
,,,BJNC,,,Пришивка гвоздями и шпаклевка стыков мастикой покрытия из рулонных материалов,,ГЭСНр 81-02-58-2020,,,,
,,BJP,,,,Смена покрытия из листовой стали,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-14,
,,,BJPA,,,Разборка старой кровли из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJPB,,,"Заготовка картин для рядового покрытия скатов, свесов, настенных желобов и разжелобков",,ГЭСНр 81-02-58-2020,,,,
,,,BJPC,,,"Покрытие кровли готовыми картинами с установкой и прибивкой кляммер, присоединением рядового покрытия к желобам и разжелобкам",,ГЭСНр 81-02-58-2020,,,,
,,,BJPD,,,"Изоляция готовой герметизирующей замазкой всех фальцев открытия карнизного свеса, настенного желоба, разжелобков, а также фальцев рядового покрытия",,ГЭСНр 81-02-58-2020,,,,
,,,BJPE,,,Укладка подкладочного слоя из рубероида на мастике по всей ширине,,ГЭСНр 81-02-58-2020,,,,
,,,BJPF,,,Укладка подкладочного слоя из старой кровельной стали вдоль желоба и нижней части разжелобков,,ГЭСНр 81-02-58-2020,,,,
,,,BJPG,,,Защита специальными щитами перекрытий зданий от атмосферных осадков в перерывах между рабочими сменами,,ГЭСНр 81-02-58-2020,,,,
,,BJQ,,,,Перенавеска водосточных труб,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-12,
,,,BJQA,,,Снятие труб с коленами и воронками,,ГЭСНр 81-02-58-2020,,,,
,,,BJQB,,,Выправка помятых мест частей труб и креплений,,ГЭСНр 81-02-58-2020,,,,
,,,BJQC,,,Навеска труб с креплением ухватами или хомутами,,ГЭСНр 81-02-58-2020,,,,
,,,BJQD,,,Замена негодных ухватов и пробок,,ГЭСНр 81-02-58-2020,,,,
,,BJR,,,,Ремонт выравнивающих стяжек отдельными местами,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-16,
,,,BJRA,,,Вырубка с расчисткой поврежденных мест стяжки,,ГЭСНр 81-02-58-2020,,,,
,,,BJRB,,,Подготовка поврежденных мест стяжки,,ГЭСНр 81-02-58-2020,,,,
,,,BJRC,,,Заделка выбоин цементным раствором с железнением,,ГЭСНр 81-02-58-2020,,,,
,,,BJRD,,,Огрунтовка подготовленных мест,,ГЭСНр 81-02-58-2020,,,,
,,,BJRE,,,Заделка выбоин асфальтовой смесью с уплотнением и трамбованием поверхности вручную,,ГЭСНр 81-02-58-2020,,,,
,,BJS,,,,Разборка теплоизоляции на кровле,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-17,
,,,BJSA,,,Разборка теплоизоляции,,ГЭСНр 81-02-58-2020,,,,
,,BJT,,,,Смена обрешетки,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-18,
,,,BJTA,,,Снятие досок или брусков обрешетки,,ГЭСНр 81-02-58-2020,,,,
,,,BJTB,,,Перепиливание новых досок для смены обрешетки,,ГЭСНр 81-02-58-2020,,,,
,,,BJTC,,,Укладка новых досок или брусков обрешетки на место с пришивкой гвоздями,,ГЭСНр 81-02-58-2020,,,,
,,BJU,,,,Смена мелких покрытий и обделок из листовой стали,,ГЭСНр 81-02-58-2020,По виду работ,," ГЭСНр 58-19
 ГЭСНр 58-20",
,,,BJUA,,,Разборка мелких покрытий из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJUB,,,Заготовка картин и кляммер мелких покрытий из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJUC,,,Укладка картин мелких покрытий из листовой стали на место с выправкой костылей для карнизных свесов и крючьев для желобов,,ГЭСНр 81-02-58-2020,,,,
,,,BJUD,,,Восстановление примыкания обделок мелких покрытий из листовой стали к существующей кровле,,ГЭСНр 81-02-58-2020,,,,
,,,BJUE,,,Снятие старых элементов обделок из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJUF,,,Заготовка новых деталей обделок из листовой стали,,ГЭСНр 81-02-58-2020,,,,
,,,BJUG,,,Укрепление элементов обделок из листовой стали на месте,,ГЭСНр 81-02-58-2020,,,,
,,BJV,,,,Смена колпаков на дымовых и вентиляционных трубах,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-21,
,,,BJVA,,,Снятие старого колпака дымовых и вентиляционных труб,,ГЭСНр 81-02-58-2020,,,,
,,,BJVB,,,Изготовление нового колпака дымовых и вентиляционных труб,,ГЭСНр 81-02-58-2020,,,,
,,,BJVC,,,Установка на место с креплением нового колпака дымовых и вентиляционных труб,,ГЭСНр 81-02-58-2020,,,,
,,BJW,,,,Смена ухватов для водосточных труб,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-22,
,,,BJWA,,,Снятие старых ухватов для водосточных труб,,ГЭСНр 81-02-58-2020,,,,
,,,BJWB,,,Заготовка новых ухватов для водосточных труб,,ГЭСНр 81-02-58-2020,,,,
,,,BJWC,,,Установка новых ухватов для водосточных труб в прежние гнезда,,ГЭСНр 81-02-58-2020,,,,
,,,BJWD,,,Замена пробок новых ухватов для водосточных труб,,ГЭСНр 81-02-58-2020,,,,
,,BJX,,,,Устройство обделок в местах примыкания кровли к радио и телеантеннам при капитальном ремонте крыш,,ГЭСНр 81-02-58-2020,По виду работ,, ГЭСНр 58-23,
