Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,
,,TCA,,,,,Контроль качества монтажных сварных соединений,,ГЭСНм 2020,,,,
,,,TCAA,,,,Проведение измерительного контроля,,ГЭСНм 2020,,,,
,,,TCAB,,,,Проведение других методов неразрушающего контроля,,ГЭСНм 2020,,,,
,,,TCAC,,,,Проведение визуального контроля,,ГЭСНм 2020,,,,
,,,TCAD,,,,Проведение рентгенографического контроля,,ГЭСНм 2020,,,,
,,,TCAE,,,,Проведение ультразвуковой дефектоскопии,,ГЭСНм 2020,,,,
,,TCB,,,,,Проведение комплекса пусконаладочных работ в целях подготовки оборудования для комплексного опробования,,ГЭСНм 2020,,,,
,,,TCBA,,,,Испытание на прочность соединений,,ГЭСНм 2020,,,,
,,,TCBB,,,,Испытание на плотность соединений,,ГЭСНм 2020,,,,
,,,TCBC,,,,Проведение пневматического индивидуального испытания,,ГЭСНм 2020,,,,
,,,TCBD,,,,Проведение гидравлического индивидуального испытания,,ГЭСНм 2020,,,,
U,,,,,,,Пуско-наладочные работы,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,UA,,,,,,Работы подготовительного этапа пусконаладочных работ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,"ГЭСНп 81-05-01-2020 
ГЭСНп 81-05-02-2020
ГЭСНп 81-05-03-2020
ГЭСНп 81-05-04-2020
ГЭСНп 81-05-05-2020 
ГЭСНп 81-05-06-2020
ГЭСНп 81-05-07-2020
ГЭСНп 81-05-08-2020 
ГЭСНп 81-05-09-2020
ГЭСНп 81-05-16-2020    ",
,,UAA,,,,,Изучение документации,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAB,,,,,Составление проекта производства пусконаладочных работ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAC,,,,,Разработка рабочих программ по наладке и пуску оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAD,,,,,Утверждение рабочих программ по наладке и пуску оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAE,,,,,Подготовка испытательного оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAF,,,,,Подготовка измерительной аппаратуры,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAG,,,,,Организация объектной лаборатории,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAH,,,,,Подготовка инструктивно-методических материалов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAJ,,,,,"Составление перечня документации, оформление которой необходимо на различных стадиях производства и приемки пусконаладочных работ на каждом функциональном узле",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAK,,,,,Разработка первой редакции эксплуатационных инструкций,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAL,,,,,Оказание технической помощи монтажным организациям на завершающей стадии монтажа оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAM,,,,,Проверка смонтированного оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UAMA,,,,"Проверка смонтированного оборудования, на соответствие их основных технических характеристик требованиям, установленным в паспортах",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAMB,,,,"Проверка смонтированного оборудования, на соответствие их основных технических характеристик требованиям, установленным в инструкциях предприятий-изготовителей",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAMC,,,,"Проверка смонтированного оборудования, на соответствие их основных технических характеристик требованиям, установленным в рабочей документации",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAMD,,,,Выявление дефектов оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAME,,,,Подготовка к индивидуальным испытаниям,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAN,,,,,Работы при проверке смонтированного тепломеханического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UANA,,,,Входной контроль энергетического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UANB,,,,Приемка тепломеханического оборудования из монтажа в наладку,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UANC,,,,Составление ведомостей выявленных дефектов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAND,,,,Указание мероприятий по устранению дефектов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UANE,,,,Контроль за устранением выявленных дефектов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAP,,,,,Работы при проверке смонтированного электротехнического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UAPA,,,,Работы по сбору испытательных схем,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPB,,,,Приемка электротехнического оборудования из монтажа в наладку,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPC,,,,Комплекс работ по проверке контуров заземления в соответствии НТД,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPD,,,,Комплекс работ по определению электромагнитной обстановки и совместимости оборудования и технических средств автоматизированных систем в соответствии с требованиями НТД,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPE,,,,Измерение сопротивления изоляции в соответствии с НТД,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPF,,,,"Проверка схем коммутации электротехнического оборудования и выкатных элементов в ячейках КРУ 6 кВ и 0,4 кВ",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPG,,,,Проверка схем электрических соединений,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPH,,,,Испытание кабелей,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPJ,,,,Проверка параметров оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAPK,,,,Снятие характеристик оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UAQ,,,,,Работы при проверке смонтированных автоматизированных систем контроля и управления (АСУТП),,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UAQA,,,,Приемка технических средств из монтажа в наладку,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQB,,,,Автономное тестирование программно-технических средств ПТК,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQC,,,,Калибровка первичного измерительного преобразователя (ПИП),,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQD,,,,Подготовка методик проверки измерительных каналов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQE,,,,Проверка схем коммутации технических средств в шкафах устройств сопряжения с объектом,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQF,,,,Проверка схем коммутации технических средств в сборках задвижек,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQG,,,,Проверка схем коммутации технических средств в промшкафах,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UAQH,,,,Проверка схем коммутации технических средств в соединительных коробках,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,UB,,,,,,"Работы, проводимые в период индивидуальных испытаний оборудования",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,"ГЭСНп 81-05-01-2020 
ГЭСНп 81-05-02-2020
ГЭСНп 81-05-03-2020
ГЭСНп 81-05-04-2020
ГЭСНп 81-05-05-2020 
ГЭСНп 81-05-06-2020
ГЭСНп 81-05-07-2020
ГЭСНп 81-05-08-2020 
ГЭСНп 81-05-09-2020
ГЭСНп 81-05-16-2020    ",
,,UBA,,,,,Проверка работы оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UBB,,,,,Корректировка параметров настройки систем жизнедеятельности оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UBC,,,,,Составление акта рабочей комиссии о приемке оборудования после индивидуальных испытаний,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UBD,,,,,Проведение индивидуальных испытаний тепломеханического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UBDA,,,,Визуальный осмотр оборудования после монтажа,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDB,,,,Наладка ОПС трубопроводов без технологической среды (холодная наладка),,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDC,,,,Прокрутка электродвигателей механизмов собственных нужд с целью определения направления вращения и выявления возможных повреждений,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDD,,,,Проведение гидравлических испытаний технологических систем,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDE,,,,Проведение испытаний технологических систем на плотность,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDF,,,,Очистка технологических трубопроводов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDG,,,,Очистка оборудования при индивидуальных испытаниях,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDH,,,,Проведение испытаний механизмов системы топливоподачи,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDJ,,,,Проведение испытаний компрессоров,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDK,,,,Испытания систем инструментального воздуха,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDL,,,,Опрессовка технологических систем бакового хозяйства,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBDM,,,,"Наладка инженерных систем (отопления, вентиляции, кондиционирования, пожаротушения и др.)",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UBE,,,,,Проведение индивидуальных испытаний электротехнического оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UBEA,,,,Комплекс работ по определению электромагнитных полей контуров помещений зданий на предмет электромагнитной совместимости,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEB,,,,Проведение испытаний силовых трансформаторов с проверкой их функционирования на холостом ходу в соответствии с НТД,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEC,,,,Проведение испытаний изоляции обмотки статоров турбогенераторов повышенным напряжением промышленной частоты,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBED,,,,Наладка элементов оборудования системы возбуждения турбогенераторов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEE,,,,Проведение испытаний оборудования системы возбуждения турбогенераторов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEF,,,,Проведение испытаний элементов систем дистанционной и автоматической синхронизации турбогенераторов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEG,,,,Наладка ГТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEH,,,,Проведение испытаний ГТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEJ,,,,Наладка измерительных трансформаторов тока и напряжения,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEK,,,,Проведение испытаний измерительных трансформаторов тока и напряжения,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEL,,,,"Наладка ячеек КРУ - 0,4 кВ с подачей напряжения в сборки задвижек",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEM,,,,Наладка ячеек КРУ - 6 кВ с подачей напряжения на МСН,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEN,,,,Проверка фазировки с прокруткой электродвигателей МСН с целью определения направления вращения и выявления возможных повреждений,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEP,,,,Наладка оборудования щита постоянного тока,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBEQ,,,,Наладка и испытания элементов устройств РЗА,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBER,,,,Проверка работоспособности элементов системы собственных нужд с подачей напряжения,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBES,,,,Наладка устройств и схемных элементов основного и резервного питания ПТК,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UBF,,,,,"Проведение индивидуальных испытаний автоматизированных систем контроля, в том числе АСУТП",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UBFA,,,,"Обеспечение технических средств надежной системой электроснабжения, в том числе резервными системами электропитания",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFB,,,,Наладка инженерной станции (АРМ администратора системы),,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFC,,,,Загрузка программного обеспечения (базового и прикладного),,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFD,,,,Наладка операторских станций АРМ ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFE,,,,Настройка интерфейсов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFF,,,,Проверка программно-технических средств самодиагностики ПТК,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFG,,,,Проверка измерительных каналов до клеммников ПТК,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFH,,,,Наладка схем управления трубопроводной электрифицированной и пневматической арматуры на полевом уровне до клеммников шкафов ПТК,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFJ,,,,Регулировка сочленений регулирующих и запорных органов с исполнительными механизмами,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFK,,,,Настройка концевых выключателей,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UBFL,,,,Наладка схем управления МСН до клеммников ПТК,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,UC,,,,,,Поузловая наладка,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,"ГЭСНп 81-05-01-2020 
ГЭСНп 81-05-02-2020
ГЭСНп 81-05-03-2020
ГЭСНп 81-05-04-2020
ГЭСНп 81-05-05-2020 
ГЭСНп 81-05-06-2020
ГЭСНп 81-05-07-2020
ГЭСНп 81-05-08-2020 
ГЭСНп 81-05-09-2020
ГЭСНп 81-05-16-2020    ",
,,UCA,,,,,Холодная наладка,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UCAA,,,,Работы по наладке оборудования отдельными бригадами,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAB,,,,Работы по тепломеханическому оборудованию при холодной наладке,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,,UCABA,,,Наладка и испытания систем вентиляции и кондиционирования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABB,,,Промывка маслосистем оборудования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABC,,,"Прокрутка МСН (дымососов, дутьевых вентиляторов, мельниц и т.п.) в режиме холостого хода",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABD,,,Промывка оборудования в границах функционально-технологического узла,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABE,,,Продувка оборудования в границах функционально-технологического узла,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABF,,,Промывка трубопроводов в границах функционально-технологического узла,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABG,,,Продувка трубопроводов в границах функционально-технологического узла,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABH,,,Наладка комплексного воздухоочистительного устройства ГТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABJ,,,Постановка ПТУ на валоповорот,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABK,,,Наладка электронной гидравлической системы регулирования ПТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABL,,,Наладка вспомогательных систем и функционально-технологических узлов ПТУ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABM,,,Постановка газотурбинной установки на валоповорот,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABN,,,Наладка режима разворота газотурбинной установки до уровня зажигания,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABP,,,Опробование газовых дожимных компрессорных установок в режиме холостого хода,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABQ,,,Наладка работы системы топливоподачи на холостом ходу,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABR,,,Подготовка функционально-технологических узлов к подаче технологической среды,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABS,,,Наладка систем сжатого (инструментального) воздуха,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCABT,,,"Расчет уставок: ТС, ТЗ, ТБ и АВР",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAC,,,,Работы по электротехническому оборудованию при холодной наладке,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,,UCACA,,,Функциональная наладка электротехнических систем с испытанием технических средств контроля и управления электрооборудованием,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCACB,,,Установка параметрических заданий,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCACC,,,Проверка уставок сигнализации,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCACD,,,Проверка уставок релейных защит,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCACE,,,Проверка уставок электротехнических блокировок,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCACF,,,Проверка уставок АВР,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCACG,,,"Наладка устройств РЗА с проверкой ""на сигнал""",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAD,,,,"Работы по автоматизированным системам контроля и управления, в том числе АСУТП",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,,UCADA,,,Проверка работоспособности измерительных каналов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADB,,,Наладка системы отображения информации,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADC,,,Наладка схем управления запорной и регулирующей арматуры с АРМ,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADD,,,"Наладка систем сигнализации, технологических блокировок и АВР способом имитации технологических параметров, без воздействия на арматуру, с выставлением технологических уставок",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADE,,,Наладка систем архивирования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADF,,,Наладка систем протоколирования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADG,,,Наладка систем расчетных задач технико-экономических показателей,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCADH,,,"Наладка ТЗ, действующих на останов оборудования, путем имитации параметров без воздействия на арматуру, но с выставлением технологических уставок",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAE,,,,Загрузка программного обеспечения АСУТП,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAF,,,,Проверка программного обеспечения АСУТП,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAG,,,,"Проверка правильности прохождения всех аналоговых и дискретных сигналов от ПИП к программно-техническим средствам и вторичным приборам блочного и центрального щитов управления, включая резервные и дублируемые каналы технологических функций АСУТП",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAH,,,,"Выставление всех установок ТЗ, ТБ, ТС и АВР на технических средствах контроля и управления",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAJ,,,,Проверка хода регулирующих органов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAK,,,,Проверка хода электромагнитных клапанов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAL,,,,Калибровка предельных выключателей крутящих моментов двигателей,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAM,,,,Проверка направления вращения приводов технологических механизмов,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAN,,,,Проверка направления движения исполнительных механизмов при управляющем воздействии,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAP,,,,Проверка возможности оперативного управления со щита управления,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAQ,,,,"Проверка работоспособности технологических функций ТЗ, ТБ, ТС, АВР",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAR,,,,Проверка расчетных параметров статических и динамических настроек,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,UCAS,,,,Выполнение прокрутки механизмов на холостом ходу,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,UCB,,,,,Работы по горячей наладке,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,UCBA,,,,Режимно-наладочные работы,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCBAA,,,Режимно-наладочные работы по тепломеханическому оборудованию,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,,,UCBAAA,,Заполнение функционально-технологических узлов рабочей средой,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBAAB,,"Опробование вспомогательных систем, оборудования, обеспечивающих проведение промывок и продувок функционально-технологических зон оборудования пускового комплекса",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBAAC,,"Опробование аппаратуры, обеспечивающей проведение промывок и продувок функционально-технологических зон оборудования пускового комплекса",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBAAD,,"Опробование вспомогательных устройств, обеспечивающих проведение промывок и продувок функционально-технологических зон оборудования пускового комплекса",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBAAE,,Опробование функционально-технологических узлов под нагрузкой с достижением проектных параметров,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBAAF,,Опробование алгоритмов технологических функций АСУТП,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCBAB,,,Режимно-наладочные работы по электротехническому оборудованию,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,,,UCBABA,,Проведение испытаний устройств РЗА,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBABB,,Проведение функциональных испытаний электротехнического оборудования и систем,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBABC,,Проведение технического сопровождения наладки функционально-технологического узла,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,UCBAC,,,"Режимно-наладочные работы по автоматизированным системам контроля и управления, в том числе АСУТП",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",по виду работ,,,
,,,,,UCBACA,,Проверка работоспособности алгоритмов технологических функций,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBACB,,Проверка работоспособности алгоритмов систем автоматического регулирования (САР) с определением и установкой статических и динамических настроек системы и подтверждением качества регулирования,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBACC,,Проверка работоспособности алгоритмов ТЗ в границах функционально-технологического узла агрегата без воздействия на арматуру,,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
,,,,,UCBACD,,"Корректировка настроек концевых выключателей и указателей положения запорной и регулирующей арматуры, при необходимости",,"ГЭСНп 2020
РД 34.70.110-92 
СП 76.13330.2016 ",,,,
