Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,BBD,,,Закладка и уплотнение зарядов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBE,,,Подсоединение инициирующих элементов – детонаторов к взрывной сети,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBF,,,"Заполнение оставшейся части шпура песком, отсевом и прочее, забивание деревянной пробкой",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBG,,,Подрыв зарядов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBH,,,"Выявление невзорвавшихся зарядов, приведение их в безопасное состояние отключением или подрывом на месте",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBJ,,,"Уборка обломков сооружения, материалов засыпки, предохраняющих плит и прочее",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,BC,,,,Снос специальным способом ,"Инструментальный способ, прием достижения какой-либо цели или решения конкретной задачи","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По способу производства работ,,
,,BCA,,,Снос гидровзрывным способом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,,BCAA,,Снос дроблением конструкции,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,BCAB,,Снос раскалыванием конструкции,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,BCB,,,Снос термическим способом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BCB010,Термическое разрушение с применением кислородного копья,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BCB020,Термическое разрушение с применением газоструйного порошково-кислородного копья,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BCB030,Термическое разрушение с применением порошково-кислородного резака,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BCB040,Термическое разрушение с применением реактивно-струйной горелки,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BCB050,Термическое разрушение с применением электродугового плавления,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,BCC,,,Снос электрогидравлическим способом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,,BCCA,,Раскалывание конструкции гидравлическим ударом высокого давления,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,BCD,,,Снос гидрораскалыванием,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,,BCDA,,Бурение скважин при сносе гидрораскалыванием,Образование горной выработки путём последовательного разрушения поверхности забоя и извлечения продуктов разрушения с помощью специального бурового оборудования,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,BCDB,,Установка в скважины клиновых устройств,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,BCDC,,Приведение в действие клиновых устройств с помощью гидроцилиндра,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
C,,,,,Демонтаж конструкций ,Ликвидация здания (сооружения) путем разборки сборных и обрушения монолитных конструкций с предварительным демонтажем технических систем и элементов отделки,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011","По виду конструкций, материалов и изделий",,
,CA,,,,Демонтаж железобетонных конструкций ,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAA,,,Демонтаж железобетонных фундаментов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAB,,,Демонтаж железобетонных стен,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAC,,,Демонтаж железобетонных перекрытий,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAD,,,Демонтаж железобетонных колонн,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAE,,,Демонтаж железобетонных ферм,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAF,,,Демонтаж железобетонных балок и блоков,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAG,,,Демонтаж железобетонных свай,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAH,,,Демонтаж железобетонных панелей,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAJ,,,Демонтаж железобетонных ригелей,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAK,,,Демонтаж железобетонных перемычек,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAL,,,Демонтаж железобетонных лестниц,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CAM,,,Демонтаж железобетонных перегородок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,CB,,,,Демонтаж стальных конструкций ,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBA,,,Демонтаж стальных каркасов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBB,,,Демонтаж стальных подпорок и эстакад,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBC,,,Демонтаж стальных балок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBD,,,Демонтаж стальных площадок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBE,,,Демонтаж стальных ферм,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBF,,,Демонтаж стальных лестниц,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBG,,,Демонтаж стальных колонн,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CBH,,,Демонтаж стальных листовых материалов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,CC,,,,Демонтаж каменных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCA,,,Демонтаж каменных фундаментов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCB,,,Демонтаж каменных стен,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCC,,,Демонтаж каменных столбов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCD,,,Демонтаж каменных отопительных печей,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCE,,,Демонтаж каменных сводов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCF,,,Демонтаж каменных куполов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CCG,,,Демонтаж каменных перегородок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,CD,,,,Демонтаж деревянных конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDA,,,Демонтаж деревянных ферм,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDB,,,Демонтаж деревянных балок,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDC,,,Демонтаж деревянных рам,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDD,,,Демонтаж деревянных щитов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDE,,,Демонтаж деревянных подкосов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,CDF,,,Демонтаж деревянных стоек,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
