Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,CCG,,,Комплекс объектов производства химических реактивов и особо чистых веществ,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,CCH,,,Комплекс объектов химико-фотографического производства,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,CD,,,,Комплексы ОКС химико-фармацевтической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CDA,,,Комплекс объектов производства фармацевтических субстанций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CDB,,,"Комплекс объектов производства лекарственных форм, препаратов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CDC,,,Комплекс объектов парфюмерно-косметической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CDD,,,Комплекс объектов эфиромасличного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CG,,,,Комплексы ОКС промышленности органических химических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CGA,,,Комплекс объектов предприятий лесохимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CGB,,,Комплекс объектов предприятий метанольной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CGC,,,Комплекс объектов предприятий органического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CGD,,,Комплекс объектов производства пищевых кислот,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CGE,,,Комплекс объектов производства синтетического каучука и латекса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CH,,,,Комплексы ОКС агрохимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CHA,,,Комплекс объектов промышленности удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CHB,,,Комплекс объектов производства средств борьбы с вредителями и болезнями растений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CHC,,,Комплекс сушильных объектов  при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CHD,,,Комплекс печей при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CJ,,,,Комплексы ОКС промышленности пластмасс и синтетических смол,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CJA,,,Комплекс объектов производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CJB,,,Комплекс объектов роизводства полуфабрикатов из синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CK,,,,Комплексы ОКС целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CKD,,,Комплекс объектов побочных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CKE,,,"Комплекс объектов макулатурной массы, хлопковой и тряпичной полумассы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CKH,,,Комплекс объектов по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CKJ,,,Комплекс объектов производства полуфабрикатов целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CKK,,,Комплекс объектов производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CL,,,,Комплексы ОКС промышленности химических волокон,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CLA,,,Комплекс объектов производства компонентов химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CLB,,,Комплекс объектов производства химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CM,,,,Комплексы ОКС вспомогательной инфраструктуры химической промышленности,,,По виду комплекса ОКС,,,
,,CMA,,,Комплекс вспомогательных объектов производства синтетических смол и пластических масс,,,,,,
,,CMB,,,Комплекс вспомогательных объектов химического производства и удобрений,,,,,,
,,CMC,,,Комплекс объектов абсорбции и улавливания газов при производстве удобрений и ином химическом производстве,,,,,,
,,CMD,,,Комплекс обеспечивающих объектов производства химической промышленности,,,,,,
,,CME,,,Комплекс вспомогательных объектов коксохимической и нефтеперерабатывающей промышленности,,,,,,
,CN,,,,Комплексы ОКС производства промышленных газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CNA,,,Комплекс объектов получения и переработки газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CNL,,,Комплекс объектов кислородной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CNM,,,Комплекс объектов получения инертного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CQ,,,,Комплексы ОКС нефтеперерабатывающей и нефтехимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CQA,,,Комплекс объектов предприятий переработки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CQB,,,Комплекс объектов производства нефтепродуктов и продуктов нефтехимического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
D,,,,,Комплексы ОКС энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,DA,,,,Комплексы ОКС атомной энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,DAA,,,Комплекс объектов атомной электростанции,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,,
,DB,,,,Комплексы ОКС гидроэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,DBA,,,Комплекс объектов гидроэлектростанции,"Электростанция, преобразующая механическую энергию воды в электрическую энергию","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,,
,DC,,,,Комплексы ОКС теплоэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,DCA,,,Комплекс объектов теплоэлектростанции,,"
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,,
,DD,,,,Комплексы ОКС прочей энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,DDA,,,Комплекс объектов электрических станций на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,DDB,,,Комплекс объектов электрических станций на невозобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,DH,,,,Комплексы ОКС обеспечивающей и вспомогательной инфраструктуры энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,DHA,,,Комплекс вспомогательных объектов энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,DHB,,,Комплекс объектов передачи электроэнергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,DHC,,,Комплекс объектов промышленности ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
E,,,,,Комплексы ОКС инженерных сетей и объектов инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,EA,,,,Комплексы ОКС инженерных сетей ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,EAA,,,Комплекс объектов сети теплоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAB,,,Комплекс объектов сети водоотведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,EAC,,,Комплекс объектов электрической сети,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ОСТ 108.030.128-78",,,,
