Класс,Подкласс,Тип (%%),Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,KKS,Примечание
,,BJ30,Каркас связевый,"Пространственная конструктивная система, включающая безригельный или ригельный каркас с нежесткими или жесткими узлами соединений ригелей с колоннами и вертикальные диафрагмы жесткости; основные вертикальные нагрузки воспринимаются и передаются на основание колоннами каркаса, а горизонтальные нагрузки - вертикальными диафрагмами жесткости.",,СП 14.13330.2018,"Каркас связевый с железобетонными диафрагмами
Каркас связевый с ядрами жесткости
Каркас связевый со стальными связями",,,,,
,BL,,Конструкции мостовых опор,"Несущий элемент мостового сооружения, поддерживающий пролетные строения и передающий нагрузки от них на фундамент",По расположению,"СП 46.13330.2012
ГОСТ 33178-2014",,IfcBuildingSystem,,,,
,,BL10,Конструкции промежуточных опор,"Конструкции опор, предназначенные для установки и стыковки на них смежных секций пролетных строений и передачи воспринимаемых нагрузок на грунт",,"ГОСТ 22583-77
ГОСТ 33178-2014","Бык
Пойменная опора
Промежуточная опора
Пилон",,,,,
,,BL20,Конструкции береговых опор,"Конструкции крайних опор моста в сопряжении его с геомассивом берегового склона и подходной насыпи, воспринимающие нагрузки от пролетного строения и переходной плиты и давления грунта геомассива берегового склона и насыпи",,"СП 35.13330.2011
",Устой (опора береговая),,,,,
,BM,,Конструкции обделки тоннелей,"Постоянная несущая конструкция, воспринимающая внешние нагрузки, ограждающая тоннель и образующая его внутреннюю поверхность",По типу исполнения,ГОСТ 33152-2014,,IfcBuildingSystem,,,,
,,BM10,Конструкции обделки тоннелей набрызг-бетонные,"Конструкции обделки тоннелей, выполненные из набрызг-бетона",,ГОСТ 33152-2014,"Ребристая обделка тоннеля
из набрызг-бетона
Обделка сводчатого очертания из набрызг-бетона",,,,,
,,BM20,Конструкции обделки тоннелей монолитные железобетонные,"Конструкции обделки тоннелей, выполненные из монолитного железобетона",,ГОСТ 33152-2014,Обделка сводчатого очертания из монолитного железобетона,,,,,
,,BM30,Конструкции обделки тоннелей сборные железобетонные,"Конструкции обделки тоннелей, выполненные из сборного железобетона",,ГОСТ 33152-2014,Обделка сводчатого очертания из сборных элементов,,,,,
,,BM40,Конструкции обделки тоннелей с комбинированной обделкой,Конструкции обделки тоннелей с комбинированной обделкой,,ГОСТ 33152-2014,Обделка сводчатого очертания из монолитного и сборного железобетона,,,,,
,,BM50,Конструкции обделки тоннелей монолитные бетонные,"Конструкции обделки тоннелей, выполненные из монолитного бетона",,ГОСТ 33152-2014,"Обделка тоннеля
из монолитного бетона двухсводчатой конструкции
Обделка тоннеля
из монолитного бетона двухъярусной конструкции",,,,,
,,BM60,Конструкции обделки тоннелей тюбинговые,"Конструкции обделки тоннелей, выполненные из одинаковых элементов сплошного или ребристого сечения: тюбингов",,ГОСТ 33152-2014,"Обделка тоннеля из чугунных тюбингов
Обделка тоннеля из  железобетонных тюбингов",,,,,
,,BM70,Конструкции обделки тоннелей блочные,"Конструкции обделки тоннелей, выполненные из одинаковых элементов сплошного или ребристого сечения: блоков",,ГОСТ 33152-2014,Обделка тоннеля из железобетонных блоков,,,,,
,,BM80,Конструкции обделки тоннелей решетчатые арочные,"Конструкции обделки тоннелей, усиленные решетчатой аркой",,ГОСТ 33152-2014,"Ребристая обделка тоннеля
из набрызг-бетона с решетчатыми арками",,,,,
,,BM90,Конструкции обделки тоннелей анкерные,Конструкции обделки тоннелей с анкерным креплением,,ГОСТ 33152-2014,"Двухслойная обделка тоннеля замкнутого очертания, усиленная
анкерами",,,,,
,BN,,Специальная конструктивная система,"Конструктивная система, выполняющая конкретную специальную функцию",По типу системы,,,IfcBuildingSystem,,,,
,,BN10,Система преднапряжения,"Конструктивная система, обоеспечивающая контролируемое создание постоянных усилий и деформаций в конструкции, которые будут противодействовать напряжениям, возникающим от постоянных и временных нагрузок и/или от усадки бетона путем натяжения арматурных пучков",,СТО СРО-С 60542960 00017-2014 ,Система преднапряжения защитной оболочки,,,,,
,,BN20,Система усиления конструкций,"Конструктивная система, обеспечивающая повышение несущей способности или структурной целостности конструкции",,СП 46.13330.2012,,,,,,
,BP,,Конструкции пролетных строений,"Конструкции, предназначенные для восприятия нагрузок и передачи их на опоры и грунт",,ГОСТ 22583-77,,,,,,
,BQ,,Конструкции мостового полотна ,Часть пролетного строения моста,По типу конструкции моста,,,,,,,
,,BQ10,Конструкции мостового полотна автодорожного моста,"Совокупность всех элементов, расположенных на пролетном строении, предназначенных для обеспечения нормальных условий безопасности движения транспортных средств и пешеходов, а также для отвода воды с поверхности покрытия моста и в сопряжениях с подходами. Включает в себя одежду ездового полотна, тротуары, ограждающие устройства, устройства водоотвода, обогрева, освещения, деформационные швы и сопряжения моста с подходами",,ГОСТ Р 53627-2009,"Конструкции путепровода
Конструкции эстакады",,,,,
,,BQ20,Конструкции мостового полотна железнодорожного моста,"Верхняя часть пролетного строения железнодорожного моста, воспринимающая нагрузку от колес подвижного состава и передающая ее на несущую часть пролетного строения",,Большая Российская Энциклопедия,"Мостовое полотно с ездой на балласте
Мостовое полотно на  поперечинах
Безбалластное мостовое полотно ",,,,,
,BR,,Конструкции входной части тоннеля,"Конструкции укрепления и оформления входной части тоннеля в виде рампы, портала или оголовка",По типу исполнения,ГОСТ 33152-2014,,,,,,Определение синтезировано
,,BR10,Конструкции рампы,"Заглубленный ниже уровня поверхности земли съезд или выезд автотранспортных средств, которые расположены на припортальных участках тоннеля неглубокого заложения",,ГОСТ 33152-2014,,,,,,
,,BR20,Конструкции портала,"Архитектурно оформленная конструкция входной части тоннеля, состоящая из усиленного звена тоннельной обделки и подпорных стен и обеспечивающая устойчивость лобового и боковых откосов и отвод воды",,ГОСТ 33152-2014,,,,,,
,,BR30,Конструкции оголовка,"Архитектурно оформленная конструкция входной части тоннеля, состоящая из усиленного звена тоннельной обделки и обеспечивающая устойчивость лобового откоса",,ГОСТ 33152-2014,,,,,,
C_,,,Наземная строительная система,"Строительная система, формирующая наземные участки",,,,,,,,
,CA,,Конструкции основания,"Наземная строительная система, обеспечивающая поддержку других строительных конструкций",По типу устройства,,,IfcSystem,,,,
,,CA10,Грунтовая подушка,Конструкции из уплотненных слоев малосжимаемых грунтов,,,,,,,,
,,CA20,Шпунтовое ограждение,Водонепроницаемые замкнутые конструкции из погружаемых шпунтовых свай для ограждения места устройства фундамента на естественном основании или ростверка свайного фундамента,,СТО НОСТРОЙ 2.29.109-2013,,,,,,
,,CA30,Армированные конструкции основания,Конструкции основания с внедрением дополнительных высокопрочных элементов для обеспечения требуемых характеристик основания,,,,,,,,
,,CA40,Конструкции противофильтрационной завесы,"Преграда, устраиваемая в грунтовом массиве и прорезающая водоносные горизонты с целью исключения или снижения водопритоков к подземному сооружению",,СП 250.1325800.2016,,,,,,
,CB,,Конструкции наземного покрытия,Наземная строительная система твердых покрытий наружных зон,,,"Спортивное покрытие
Аэродромное покрытие",IfcSystem,,,,
,CC,,Конструкции участков разделения транспортных потоков,"Наземная строительная система, обеспечивающая разделение транспортных потоков",,"ГОСТ Р 58653-2019
СП 34.13330.2021",Круговое движение (кольцевая развязка транспорта),IfcSystem,,,,
,CD,,Конструкции дорожной обочины,"Элемент дороги, примыкающий непосредственно к проезжей части и предназначенный для обеспечения устойчивости земляного полотна, повышения безопасности дорожного движения, организации движения пешеходов и велосипедистов, а также использования при чрезвычайных ситуациях",,"СП 78.13330.2012
ГОСТ 33475-2015","Обочина грунтовая
Обочина укрепленная",IfcSystem,,,,
,CE,,Конструкции основания железнодорожных путей,"Наземная строительная система, являющаяся основанием для железнодорожных путей",,СП 238.1326000.2015,Насыпь,IfcSystem,,,,
,CF,,Конструкции системы озеленения,Конструкции водохозяйственных сооружений,,,,IfcSystem,,,,
,CG,,Конструкции водохозяйственных сооружений,"Наземная строительная система, предназначенная для транспортирования, хранения или фильтрации воды, или для организации пространства вдоль или над водоемом",,,"Откос канала
Водовод",IfcSystem,,,,
,CH,,Конструкции трубопроводных траншей,Наземная строительная система для повторно заполняемых траншей,,,"Конструктивные элементы траншеи
",IfcSystem,,,,
,CJ,,Опорные и грунто- удерживающие конструкции,"Наземная строительная система, воспринимающая вертикальную или горизонтальную нагрузку",По назначению,,Шпунт,IfcSystem,,,,
