Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,CJA,,,Объекты производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.08.002.,,,,
,,,CJAA,,"Здание цеха по производству пластмасс, полимеров",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.08.002.001,,,,
,,,CJAB,,Здание цеха производства синтетических смол,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.08.002.002,,,,
,,CJB,,,Объекты производства полуфабрикатов из синтетических смол и пластических масс,,Приказ Минстроя России от 02.11.2022 N 928/пр,,BH__0011,07.08.001.,,,,
,,,CJBA,,Здание цеха производства полуфабрикатов из синтетических смол и пластических масс,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BPG_0005",07.08.001.001,,,,
,CK,,,,Целлюлозно-бумажная промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,07.11.,,,,
,,CKD,,,Объекты заводов побочных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.002.,,,,
,,,CKDA,,Здание цеха переработки побочных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.002.001,,,,
,,CKE,,,"Объекты заводов макулатурной массы, хлопковой и тряпичной полумассы",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,BH__0011,07.11.001.,ВН ПН 40 10 24,,,
,,,CKEA,,Здание цеха приготовления макулатурной массы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.001.001,,,,
,,,CKEB,,Здание цеха приготовления полумассы бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.001.002,,,,
,,,CKEC,,"Здание цеха приготовления химикатов заводов макулатурной массы, хлопковой и тряпичной полумассы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.001.003,,,,
,,CKH,,,Объекты предприятий по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.003.,,,,
,,,CKHA,,"Здание цеха производства бумаги, картона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.003.002,,,,
,,,CKHB,,Здание цеха приготовления химикатов предприятий по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.003.001,,,,
,,CKJ,,,Объекты производства полуфабрикатов целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.004.,,,,
,,,CKJA,,Здание цеха по производству полуфабрикатов целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.004.001,,,,
,,CKK,,,Объекты производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.005.,,,,
,,,CKKA,,Здание цеха производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.005.001,,,,
,CL,,,,Промышленность химических волокон,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.09. ,,,,
,,CLA,,,Объекты производства компонентов химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,07.09.001.,,,,
,,,CLAA,,Здание цеха производства компонентов химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BH__0011",07.09.001.001,,,,
,,,CLAB,,Здание цеха хранения и приготовления химикалий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BH__0011",07.09.001.002,,,,
,,CLB,,,Объекты производства химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.09.002.,,,,
,,,CLBA,,Здание цеха по производству химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.09.002.001,,,,
,,,CLBB,,Сооружение кислотной станции производств химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.09.002.002,,,,
,CM,,,,Вспомогательная инфраструктура химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.,,,,
,,CMA,,,Вспомогательные объекты производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.001.,,,,
,,,CMAA,,Административно-бытовое здание производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",07.12.001.001,,,,
,,,CMAB,,Здание лаборатории производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",07.12.001.002,,,,
,,,CMAC,,Здание цеха переработки пластмасс и отходов из них,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.001.003,,,,
,,,CMAD,,Здание цеха резки производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.001.004,,,,
,,CMB,,,Вспомогательные объекты химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.002.,,,,
,,,CMBA,,Административно-бытовое здание химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",07.12.002.001,,,,
,,,CMBB,,Здание фасовочного цеха химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BH__0011
",07.12.002.002,,,,
,,,CMBC,,Здание цеха упарки и утилизации промсточных вод химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.002.003,,,,
,,,CMBE,,Здание ремонтно-механического цеха химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.002.005,,,,
,,CMC,,,Объекты абсорбции и улавливания газов при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.,,,,
,,,CMCA,,Сооружение абсорбции газов  при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.001,,,,
,,,CMCB,,Сооружение улавливания газов при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.002,,,,
,,,CMCC,,Сооружение утилизации газов при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.003,,,,
,,CMD,,,Обеспечивающие объекты производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,07.12.004.,,,,
,,,CMDA,,Здание (сооружение) испытательной станции производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.001,,,,
,,,CMDB,,"Здание приемки, хранения и подготовки сырья производства химической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
BPG_0005
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.002,,,,
,,,CMDC,,Здание пункта управления производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.003,,,,
,,,CMDD,,Здание цеха наполнения баллонов производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.004,,,,
,,,CMDE,,Сооружение азотной станции производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.005,,,,
,,,CMDF,,Сооружение водородной станции (электролиз воды) производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.006,,,,
,,,CMDH,,Сооружение компрессорной станции производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.008,,,,
,,,CMDJ,,Сооружение пункта промывки цистерн производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.009,,,,
,,,CMDK,,Сооружение сливо-наливной эстакады производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0028
BH__0011",07.12.004.010,,,,
,,,CMDL,,Сооружение станции химводоподготовки производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.011,,,,
,,,CMDM,,"Сооружение термического обезвреживания жидких, газообразных и твердых отходов производства химической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.012,,,,
,,,CMDN,,Сооружение факельной установки производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BPG_0005
",07.12.004.013,,,,
,,,CMDP,,Здание лаборатории производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.004.014,,,,
,,CME,,,Вспомогательные объекты коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.005.,,,,
,,,CMEA,,Здание (сооружение) лабораторного корпуса коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.001,,,,
,,,CMEB,,Здание (сооружение) нефтеналивного и погрузочного терминала коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.002,,,,
,,,CMEC,,Здание (сооружение) производственно-технического назначения коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.003,,,,
,,,CMEE,,"Сооружение бензинопровода, мазутопровода ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
XPG_0010
XPG_0019
CPG_0023
",07.12.005.005,,,,
,,,CMEG,,Сооружение сливной эстакады коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BQ__0028
BH__0011
BPG_0005
",07.12.005.007,,,,
,,,CMEH,,Административно-бытовое здание коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.008,,,,
,CN,,,,Производство промышленных газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,07.04.,ВН ПН 40 10 34,,,
,,CNA,,,Объекты получения и переработки газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,07.04.001.,,,,
,,,CNAA,,Здание цеха по переработке газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005
BPG_0011
BQ__0001
BQ__0005",07.04.001.001,,,,
,,,CNAB,,Сооружение блока паровой конверсии газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.04.001.002,,,,
,,,CNAC,,Сооружение компрессионного блока объектов получения и переработки газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.001.003,,,,
,,,CNAD,,Сооружение переработки газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.001.004,,,,
,,,CNAE,,"Сооружение сжижения, регазификации газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.001.005,,,,
,,CNL,,,Объекты предприятий кислородной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.002.,,,,
,,,CNLA,,Здание цеха кислородной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005
BPG_0011
BQ__0001
BQ__0005",07.04.002.001,,,,
,,,CNLB,,Сооружение газификационной станции продуктов разделения воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.002.002,,,,
,,,CNLC,,Сооружение кислородно-азотного регулирующего пункта (КРП),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.002.003,,,,
,,,CNLD,,Сооружение системы хранения сжиженных продуктов разделения воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPW_0007,07.04.002.004,,,,
,,CNM,,,Объекты предприятий получения инертного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.003.,,,,
,,,CNMA,,Сооружение получения инертного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.003.001,,,,
,CQ,,,,Нефтеперерабатывающая и нефтехимическая промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.03. ,,,,
,,CQA,,,Объекты предприятий переработки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.03.001.,,,,
,,,CQAA,,Здание (сооружение) цеха по переработке нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.03.001.001,,,,
,,,CQAB,,Сооружение установки перегонки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.03.001.002,,,,
,,,CQAC,,Сооружение установки подготовки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.03.001.003,,,,
,,CQB,,,Объекты производства нефтепродуктов и продуктов нефтехимического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,07.03.002.,,,,
,,,CQBA,,Здание цеха по производству катализаторов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.001,,,,
,,,CQBB,,Здание цеха по производству продуктов нефтехимического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.003,,,,
,,,CQBC,,Здание цеха по производству поверхностно-активных веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.002,,,,
,,,CQBD,,Здание цеха по производству смазочных масел и присадок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",07.03.002.005,,,,
,,,CQBE,,"Здание цеха по производству синтетических жирозаменителей (в том числе, кислот и средств бытового назначения)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.004,,,,
,,,CQBF,,Здание цеха по производству топлива для транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",07.03.002.006,,,,
D,,,,,Объекты энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.,ВН ПН 50 35 50,,,
,DA,,,,Атомная энергетика,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,05.01.,ВН ПН 50 35 20,,,
,,DAA,,,Атомная электростанция,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.01.001.,,,,
,,,DAAA,,Здание систем контроля и управления атомной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.01.001.001,,,,
,,,DAAB,,Здание (сооружение) турбины атомной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPE_0004
",05.01.001.002,,,,
,,,DAAC,,Здание (сооружение) реактора атомной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",05.01.001.003,,,,
,DB,,,,Гидроэнергетика,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.02.,,,,
,,DBA,,,Гидроэлектростанция,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.02.001.,ВН ПН 50 35 10,,,
,,,DBAA,,Здание гидроэлектростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPE_0004",05.02.001.001,,,,
,DC,,,,Теплоэнергетика,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.04.,,,,
,,DCA,,,Теплоэлектростанции,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,XPE_0004,05.04.001.,"ВН ПН 50 65 10
ВН ПН 50 65 20",,,
,,,DCAA,,Здание теплоэлектростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPE_0004",05.04.001.001,,,,
,DD,,,,Прочая энергетика,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,05.03.,,,,
,,DDA,,,Электрические станции на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.03.001.,,,,
,,,DDAA,,Сооружение ветряной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BPG_0005
BQ__0033",05.03.001.001,,,,
,,,DDAB,,Сооружение солнечной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BPG_0005",05.03.001.002,,,,
,,,DDAC,,Здание систем контроля и управления электрических станций на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BQ__0018",05.03.001.003,,,,
,,DDB,,,Электрическая станция на невозобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.03.002.,,,,
,,,DDBA,,Сооружение газопоршневой электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BPG_0005",05.03.002.001,,,,
,DH,,,,Обеспечивающая и вспомогательная инфраструктура энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.05.,,,,
,,DHA,,,Вспомогательные объекты энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,05.05.001.,,,,
,,,DHAA,,Административно-бытовое здание  объектов энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.05.001.001,,,,
,,,DHAB,,Здание (сооружение) производственно-технического назначения объектов энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.05.001.002,,,,
,,,DHAD,,Сооружение градирни,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BPG_0005",05.05.001.004,,,,
,,DHB,,,Объекты передачи электроэнергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,SPE_0001,05.05.003.,,,,
,,,DHBA,,Сооружение перехода высоковольтной линии электропередач через естественные и искусственные сооружения  ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
XPG_0003
",05.05.003.003,,,,
,,,DHBB,,Сооружение воздушной линии электропередачи,"Устройство для передачи электроэнергии по проводам, расположенным на открытом воздухе и прикрепленным при помощи изолирующих конструкций и арматуры к опорам, несущим конструкциям, кронштейнам и стойкам на инженерных сооружениях (мостах, путепроводах и т.п.).",Правила устройства электроустановок (ПУЭ),,"XPG_0019
SPE_0001",05.05.003.001,,,,
,,,DHBC,,Сооружение кабельной электрической линии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
XPG_0019",05.05.003.002,,,,
,,,DHBD,,Сооружение тяговой подстанции для транспорта электроэнергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
",05.05.003.004,,,,
,,,DHBE,,Сооружение узловой и главной понизительной подстанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
BPG_0005
",05.05.003.005,,,,
,,,DHBF,,"Сооружение электрической, трансформаторной подстанции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
BPG_0005
",05.05.003.006,,,,
,,,DHBG,,Сооружение распределительного устройства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
BPG_0005
",05.05.003.007,,,,
,,DHC,,,Промышленность ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",05.05.002.,,,,
,,,DHCA,,Здание цеха по производству ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.05.002.001,,,,
E,,,,,Инженерные сети и объекты инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.,,,,
,EA,,,,Инженерные сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.,,,,
,,EAA,,,Сети теплоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.001.,,,,
,,,EAAA,,Линейное сооружение сети теплоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"CPG_0023
XPG_0010
XPG_0019",12.01.001.001,,,,
,,,EAAB,,Здание котельной,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"MN__0021
BQ__0001
BQ__0005
XPE_0004
BPG_0005
CPT_0001",12.01.001.002,,,,
,,,EAAC,,"Сооружение индивидуального, автономного теплового пункта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
CPT_0001
",12.01.001.003,,,,
,,,EAAD,,Сооружение центрального теплового пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
CPT_0001
BPG_0005
",12.01.001.004,,,,
,,,EAAE,,Сооружение подкачивающей насосной станции ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",12.01.001.005,,,,
,,EAB,,,Сети водоотведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.002.,,,,
,,,EABA,,Линейное сооружение сети водоотведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
XPG_0010
BH__0011",12.01.002.001,,,,
,,,EABB,,Сооружение снегоплавильного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",12.01.002.002,,,,
,,,EABC,,Здание (сооружение) канализационной насосной станции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005
BQ__0001
BQ__0005",12.01.002.003,,,,
,,,EABD,,Сооружение очистки сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",12.01.002.004,,,,
,,,EABE,,Сооружение очистки воды для хозяйственно-бытовых целей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",12.01.002.005,,,,
,,EAC,,,Электрические сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.003.,,,,
,,,EACA,,Сооружение воздушной линии электропередачи электрической сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
SPE_0001",12.01.003.001,,,,
,,,EACB,,Сооружение инфраструктуры электрической сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
",12.01.003.002,,,,
,,,EACC,,Сооружение кабельной электрической линии  электрической сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
SPE_0001
",12.01.003.003,,,,
,,,EACD,,Сооружение контактной сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
XPG_0019",12.01.003.004,,,,
,,EAD,,,Сети водоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.004.,,,,
,,,EADA,,Сооружение водоподготовки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005
",12.01.004.007,,,,
,,,EADB,,Линейное сооружение сети водоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
XPG_0010
BH__0011",12.01.004.001,,,,
,,,EADC,,Сооружение водовода,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0010
BH__0011
XPG_0019",12.01.004.002,,,,
,,,EADD,,Здание (сооружение) насосной станции сети водоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001
BQ__0005
BH__0011
BPG_0005",12.01.004.003,,,,
,,,EADE,,Сооружение водонапорной башни,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BH__0011
XPG_0007
BPG_0005",12.01.004.004,,,,
,,,EADG,,"Водозаборное сооружение (водозаборный узел, скважина)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XQ__0003
BH__0011
",12.01.004.006,,,,
,,EAE,,,"Слаботочные сети (сети связи, видеонаблюдения, пожарной сигнализации и др.)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.005.,,,,
,,,EAEA,,Линейное сооружение слаботочной сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
",12.01.005.001,,,,
,,,EAEB,,Объект инфраструктуры слаботочных сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
",12.01.005.002,,,,
