Класс,Подкласс,Тип (%%),Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,KKS,Примечание,Синонимы,УИН
,AF,,Лестничные конструкции,Многосоставная система для пешего перехода на разные уровни,,ГОСТ Р ИСО 6707-1-2020,"Лестничный марш
Лестница",IfcBuildingSystem,,,,Определение синтезировано,,KSI050000035
,AG,,Конструкции рампы,"Многосоставная система, обеспечивающая связь между двумя уровнями",,ГОСТ Р ИСО 6707-1-2020,"Рампа
Пандус
Платформа",IfcBuildingSystem,,,,Определение синтезировано,,KSI050000036
,,AG010,Железнодорожная рампа,"Сооружение, предназначенное для производства погрузочно-разгрузочных работ, примыкающее одной стороной к стене склада, а другой стороной располагающееся вдоль железнодорожного пути (железнодорожная рампа) или автоподъезда (автомобильная рампа)",,СП 56.13330.2021,,,,,,,,KSI050000037
,,AG020,Автомобильная рампа,"Сооружение, предназначенное для производства погрузочно-разгрузочных работ, примыкающее одной стороной к стене склада, а другой стороной располагающееся вдоль железнодорожного пути (железнодорожная рампа) или автоподъезда (автомобильная рампа)",,СП 56.13330.2021,,,,,,,,KSI050000038
,AH,,Балконные конструкции,"Многосоставная система, выступающая с наружной стороны здания",,ГОСТ Р ИСО 6707-1-2020,"Балкон
Веранда
Терраса",IfcBuildingSystem,,,,Определение синтезировано,,KSI050000039
,AJ,,Эркерные конструкции,"Многосоставная система, выступающая с наружной стороны здания, в котором устроено одно или несколько окон",,ГОСТ Р ИСО 6707-1-2020,"Эркер
Лоджия",IfcBuildingSystem,,,,Определение синтезировано,,KSI050000040
,AK,,Конструкции слухового окна,"Строительная конструкция с окном, выступающая над наклонной плоскостью скатной крыши",,ГОСТ Р ИСО 6707-1-2020,"Слуховое окно
Чердачное окно",IfcBuildingSystem,,,,,,KSI050000041
,AL,,Конструкции надстройки,"Многосоставная система, создающая расширение внутреннего пространства, построенное на кровле строительного объекта",,,"Барабан
Четверик
Зенитный фонарь",IfcBuildingSystem,"ЭЛ 30 18 52
ЭЛ 30 18 52 20
ЭЛ 30 18 52 30",,,,,KSI050000042
,AM,,Световой колодец,Открытый участок без кровли в крупном строении для освещения и вентиляции,,"Архитектура: иллюстрированный справочник, 2005",Световой колодец,IfcBuildingSystem,,,,,,KSI050000043
B_,,,Конструктивная система,"Техническая система, представляющая собой инженерную конструкцию",,,,,,,,,,KSI050000044
,BA,,Основание здания или сооружения,"Массив грунта, воспринимающий нагрузки и воздействия от здания или сооружения и передающий на здание или сооружение воздействия от природных и техногенных процессов, происходящих в массиве грунта",По типу основания,Федеральный закон от 30.12.2009 N 384-ФЗ,"Грунтовое основание
Основание",IfcSystem,ЭЛ 10 25,,,,,KSI050000045
,,BA10,Естественное основание,"Массив грунта в условиях природного залегания, используемый в качестве основания сооружений",,Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978,,,,,,,,KSI050000046
,,BA20,Искусственное основание,"Площадка из грунта, искусственно сформированная с помощью материала для засыпки углубления или для поднятия уровня строительной площадки",,ГОСТ Р ИСО 6707-1-2020,,,,,,,,KSI050000047
,BB,,Несущие конструкции фундамента,"Система несущих конструкций, соединяющих объект строительства с основанием",По типу устройства,,,IfcBuildingSystem,СС 10 10,,,,,KSI050000048
,,BB10,Ленточные фундаменты,"Протяженный, узкий, как правило, горизонтальный фундамент",,ГОСТ Р ИСО 6707-1-2020,Ленточный фундамент,,СС 10 10 10,,,,,KSI050000049
,,BB20,Столбчатые фундаменты,Отдельные фундаменты под колонны или ранд-балки,,СП 50-101-2004,Отдельно стоящий фундамент,,СС 10 10 40,,,,,KSI050000050
,,BB30,Плитные фундаменты,"Фундамент в виде сплошной несущей бетонной плиты, которая полностью находится под конструкцией",,ГОСТ Р ИСО 6707-1-2020,Фундаментная плита,,СС 10 10 50,,,Фундаментная плита иногда выходит за пределы основания конструкции,,KSI050000051
,,BB40,Свайные фундаменты,"Фундамент, в котором используются сваи",,ГОСТ Р ИСО 6707-1-2020,"Свайный фундамент
Куст свай
Свайное поле",,СС 10 10 20,,,,,KSI050000052
,,BB50,Комбинированные фундаменты,Конструкции фундаментов комбинированного типа,,,Плитно-свайный фундамент,,,,,,,KSI050000053
