Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,ACA,,,Объекты растениеводства,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,BH__0011,06.04.002.,,,,,KSI030001063
,,,ACAA,,Здание питомника и селекции,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ","06.04.002.001
",,,,,KSI030000052
,,,ACAB,,"Здание (сооружение) сушки, очистки зерна и семян",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.04.002.002,ВН ПН 10 50 10 ,,,,KSI030000046
,,,ACAC,,Здание сортировки и переработки,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.04.002.003,,,,,KSI030001065
,,,ACAD,,Здание цеха обеззараживания семян,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.04.002.004,,,,,KSI030001066
,,,ACAE,,Здание цеха производства посевных семян,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.002.005,,,,,KSI030001067
,,,ACAF,,Сооружение элеватора,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
BPG_0005",06.04.002.006,,,,,KSI030001068
,,,ACAG,,Здание инсектария,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"
BPG_0005 
",06.04.002.007,,,,,KSI030001069
,,,ACAH,,Здание цеха по переработке пищевых продуктов леса,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",06.04.002.008,,,,,KSI030001070
,,ACB,,,Тепличные (культивационные) комплексы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,06.04.001.,ВН ПН 10 50,,,,KSI030000048
,,,ACBA,,Сооружение теплицы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005 
BPG_0011 ",06.04.001.002,ВН ПН 10 50 30,,,,KSI030000049
,,,ACBB,,"Сооружение оранжереи, климатрона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005 
BPG_0005 
BPG_0011 
",06.04.001.001,,,,,KSI030001064
,,ACC,,,Объекты предприятий лесозаготовки и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,06.04.003.,,,,,KSI030000034
,,,ACCA,,Здание дровобалансового цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.001,,,,,KSI030001055
,,,ACCB,,Здание цеха деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.002,,,,,KSI030001056
,,,ACCC,,Здание цеха сушки и сортировки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.003,,,,,KSI030001057
,,,ACCD,,Здание (сооружение) лесозаготовительного цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.004,,,,,KSI030001058
,,,ACCE,,Здание (сооружение) лесоперевалочной базы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.005,,,,,KSI030001059
,,,ACCF,,Здание сушильно-раскроечного цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.006,,,,,KSI030001060
,,,ACCG,,Сооружение комплекса подготовки и подачи сырья ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005 
",06.04.003.007,,,,,KSI030001061
,AD,,,,Обеспечивающая и вспомогательная инфраструктура отрасли сельского хозяйства и пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.05.,,,,,KSI030000057
,,ADA,,,Вспомогательные объекты животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.001.,,,,,KSI030001071
