Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,GF,,,,Административно-деловое управление,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.01.,,,,,KSI030001232
,,GFA,,,Объекты коммуникации,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.004.,,,,,KSI030000875
,,,GFAA,,"Здание информационного, вычислительного центра (центр обработки данных)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
XPE_0004",01.01.004.001,,,,,KSI030001233
,,,GFAB,,"Здание радиотелецентра, центра связи",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018",01.01.004.002,,,,,KSI030000878
,,,GFAC,,Сооружение радиобашни (радиомачты),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BPG_0005",01.01.004.003,,,,,KSI030000880
,,GFB,,,Объекты промышленных площадок,, Приказ Минстроя России от 02.11.2022 N 928/пр,,BPG_0005,01.01.006.,,,,,KSI030001234
,,,GFBB,,"Здание (сооружение) промышленного, технологического, индустриального, агропромышленного парка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018",01.01.006.002,,,,,KSI030001235
,,GFC,,,Объекты делового и финансового управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0020,01.01.003.,,,,,KSI030000894
,,,GFCA,,Здание банка,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0020",01.01.003.001,,,,,KSI030000895
,,,GFCB,,Офисное здание,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0020",01.01.003.002,,,,,KSI030000896
,,GFD,,,Объекты государственного и муниципального управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.001.,,,,,KSI030000898
,,,GFDA,,"Здание органа государственного или муниципального учреждения, фонда",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.001.001,,,,,KSI030001236
,,,GFDB,,Здание органа государственной или муниципальной власти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
",01.01.001.002,,,,,KSI030001237
,,,GFDC,,"Здание представительства, консульства ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.01.001.003,,,,,KSI030001238
,,GFE,,,"Объекты обеспечения безопасности, охраны правопорядка и правосудия",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.005.,,,,,KSI030000912
,,,GFEA,,"Здание (сооружение), относящееся к охране государственной границы",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BF__0056
XF__0016
BF__0062
BQ__0018
BPG_0011
BQ__0001",01.01.005.005,,,,,KSI030000917
,,,GFEB,,Здание служб и органов по охране общественного порядка,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.001,,,,,KSI030000918
,,,GFEC,,Здание (сооружение) уголовно-исполнительных учреждений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019 
BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.004,,,,,KSI030000924
,,,GFED,,"Здание следственных, надзорных органов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.002,,,,,KSI030001002
,,,GFEE,,Здание суда,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.005.003,,,,,KSI030001003
,,GFF,,,Объекты обеспечения ликвидации чрезвычайных ситуаций и стихийных бедствий,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,01.01.002.,,,,,KSI030000920
,,,GFFA,,Здание (сооружение) центра по проведению спасательных операций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",01.01.002.002,,,,,KSI030000921
,,,GFFB,,Здание (сооружение) объекта пожарной охраны,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0008,01.01.002.001,,,,,KSI030000922
,GH,,,,Многофункциональные центры городских и сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,01.05.,,,,,KSI030001038
,,GHA,,,Многофункциональные центры сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0007,01.05.002.,,,,,KSI030001039
,,,GHAA,,Здание универсального центра общественных коммуникаций и социального развития,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.001,,,,,KSI030001040
,,,GHAB,,"Здание многофункционального центра размещения социально-культурных, административных и оздоровительных объектов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.002,,,,,KSI030001041
,,,GHAC,,Здание многофункционального центра размещения объектов административно-хозяйственного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.003,,,,,KSI030001042
,,,GHAD,,Здание многофункционального центра размещения объектов социально-образовательных объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.004,,,,,KSI030001043
,,,GHAE,,Здание многофункционального центра размещения культурно-бытовых объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0007
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.005,,,,,KSI030001044
,,,GHAF,,Здание многофункционального центра размещения спортивно-развлекательных объектов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0052
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.002.006,,,,,KSI030001045
,,GHB,,,Многофункциональные центры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0007,01.05.001.,,,,,KSI030001218
,,,GHBA,,Здание многофункционального торгово-делового центра,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0012
BPG_0020
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.001.002,,,,,KSI030000617
,,,GHBB,,"Здание универсального центра общественных коммуникаций, многофункционального центра",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0020
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",01.05.001.001,,,,,KSI030000618
H,,,,,Объекты транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.,,,,,KSI030000622
,HA,,,,Объекты автомобильного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.01.,,,,,KSI030000623
,,HAA,,,Автомобильные дороги,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BN__0026 ,04.01.001.,,,,,KSI030001253
,,,HAAA,,"Дорога, улица в границах населенного пункта",,"Федеральный закон от 08.11.2007 № 257-ФЗ
ТР ТС 014/2011
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,"BN__0028
BQ__0021 
BQ__0020 
XPG_0019
ZPD_0001
BN__0033
BPG_0021
BPG_0022
BPG_0024
BPG_0025
",04.01.001.002,ВН ЛО 10 10,,,,KSI030000624
,,,HAAB,,Обычная автомобильная дорога (нескоростная автомобильная дорога) вне населенного пункта,,"Федеральный закон от 08.11.2007 № 257-ФЗ
ТР ТС 014/2011
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,"BN__0026 
BQ__0021 
BQ__0020 
XPG_0019
ZPD_0001
BN__0033
BPG_0021
BPG_0022
BPG_0024
BPG_0025",04.01.001.003,ВН ЛО 10 10,,,,KSI030000625
,,,HAAC,,"Автомагистраль, скоростная автомобильная дорога",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BN__0026 
BQ__0021 
BQ__0020 
XPG_0019
ZPD_0001
BN__0033
BPG_0021
BPG_0022
BPG_0024
BPG_0025",04.01.001.001,,,,,KSI030001254
,,HAB,,,Автостоянки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0008,04.01.002.,,,,,KSI030001255
,,,HABA,,"Здание (сооружение) автостоянки, гаража",," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 506.1311500.2021",,"BQ__0008
BN__0035
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",04.01.002.001,"ВН НН 91
ВН НН 91 10
ВН НН 91 20
ВН НН 92
ВН НН 92 10
ВН НН 92 20
ВН НН 92 30

",,,,KSI030000626
,,,HABB,,Здание (сооружение) подземной автостоянки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0008
BN__0035
BPG_0011
BQ__0005
ZPG_0005",04.01.002.002,,,,,KSI030001256
,,HAD,,,Объекты обустройства автомобильных дорог и пропускные пункты,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,04.01.004.,,,,,KSI030001257
,,,HADA,,Сооружение пропускного пункта объектов автомобильных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0057
BQ__0029
",04.01.004.003,,,,,KSI030000628
,,,HADB,,Сооружение информационно-технических средств регулирования и обеспечения безопасности автомобильных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XQ__0001,04.01.004.001,,,,,KSI030001258
,,,HADC,,Сооружение остановочного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,04.01.004.002,,,,,KSI030001259
,,,HADD,,Сооружение пункта весового и габаритного контроля,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BF__0057
BQ__0029
",04.01.004.004,,,,,KSI030001260
,,,HADE,,Сооружение устройства искусственного электроосвещения автомобильной дороги,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
XPG_0019
",04.01.004.005,,,,,KSI030001261
,,,HADF,,Сооружение шумозащитного (акустического) экрана автомобильных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
",04.01.004.006,,,,,KSI030001262
,,HAF,,,Объекты автозаправочных станций,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 58404-2019",,BF__0057,04.01.003.,,,,,KSI030000629
,,,HAFA,,Соружение автомобильной газозаправочной станции (АГЗС),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0057
",04.01.003.001,,,,,KSI030001263
,,,HAFB,,Сооружение АЗС (в том числе многотопливной),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0057
",04.01.003.002,,,,,KSI030001264
,,,HAFC,,Сооружение газонаполнительной компрессорной станции (АГНКС),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0057
",04.01.003.003,,,,,KSI030001265
,,,HAFD,,Сооружение криогенной автомобильной газозаправочной станции (КриоАГЗС),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0057
",04.01.003.004,,,,,KSI030001266
,,HAG,,,Пассажирские автовокзалы и станции,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0062,04.01.005.,,,,,KSI030001267
,,,HAGA,,Здание автовокзала,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33062-2014 ",,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BF__0062",04.01.005.001,,,,,KSI030000631
,,,HAGB,,Здание автотранспортной пассажирской станции,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 33062-2014 ",,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BF__0062",04.01.005.002,,,,,KSI030001268
,,HAJ,,,Станции технического обслуживания автомобилей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0029,04.01.006.,,,,,KSI030000632
,,,HAJA,,Здание (сооружение) станции технического обслуживания для пассажирского и грузового автотранспорта,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BQ__0029",04.01.006.002,,,,,KSI030001269
,,,HAJB,,Здание (сооружение) станции технического обслуживания легковых автомашин,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BQ__0029",04.01.006.003,,,,,KSI030001270
,,,HAJC,,Здание (сооружение) мойки автомобильного транспорта ,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BQ__0029",04.01.006.001,,,,,KSI030001271
,HB,,,,Объекты водного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.02.,,,,,KSI030000637
,,HBA,,,Объекты обеспечения контроля и безопасности мореплавания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,04.02.001.,,,,,KSI030000639
,,,HBAA,,Сооружение контрольно-пропускного пункта водного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0034,04.02.001.001,,,,,KSI030001272
,,,HBAB,,"Сооружение системы, обеспечивающей безопасность мореплавания",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
XPG_0002",04.02.001.002,,,,,KSI030000646
,,HBB,,,Портовые объекты,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0005,04.02.002.,,,,,KSI030000640
,,,HBBA,,"Сооружение погрузки, разгрузки водного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0002
BPG_0005",04.02.002.002,,,,,KSI030000641
,,,HBBB,,"Здание (сооружение) пассажирского вокзала, станции водного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"
BF__0062
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",04.02.002.001,,,,,KSI030001273
,,,HBBC,,Сооружение производственно-технической базы водного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",04.02.002.003,,,,,KSI030001274
,,,HBBD,,Здание (сооружение) технического обслуживания и ремонта судов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
BPG_0005
ZPG_0005
BPG_0011
BQ__0001",04.02.002.005,,,,,KSI030000647
,,,HBBE,,Судоподъемное и судоспусковое сооружение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0001
XPW_0002
XPG_0003
",04.02.002.004,,,,,KSI030000648
,,HBC,,,Причалы,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 350.1326000.2018",,BF__0005,04.02.003.,,,,,KSI030000644
,,,HBCA,,"Сооружение грузового причала, пирса",,"СП 350.1326000.2018 
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,"BQ__0034
XPG_0008
BF__0066
XPG_0003",04.02.003.001,,,,,KSI030000645
,,,HBCB,,"Сооружение пассажирского причала, пирса",,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0003
BQ__0034
XPG_0008
BF__0062
",04.02.003.002,,,,,KSI030001275
,HC,,,,Объекты воздушного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.03.,,,,,KSI030000662
,,HCA,,,Аэродромы (пассажирские аэродромы),"Территория, включающая здания, установленное инженерно-техническое оборудование и оборудование, предназначенная для посадки, взлета и маневрирования воздушных судов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р ИСО 6707-1-2020",,BN__0029,04.03.001.,,,,,KSI030000663
,,,HCAA,,Сооружение ангара для хранения и технического обслуживания и ремонта авиатехники,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0031
BPG_0005
",04.03.001.001,,,,,KSI030001276
,,,HCAB,,Сооружение взлетно-посадочной полосы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
XPG_0001
XPG_0003
BN__0029",04.03.001.002,,,,,KSI030001277
,,,HCAC,,Сооружение командно-диспетчерского пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BN__0031
BPG_0011
BQ__0001
XPG_0002
",04.03.001.003,,,,,KSI030001278
,,,HCAD,,Сооружение места стоянки воздушного судна,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
BN__0029

",04.03.001.004,,,,,KSI030001279
,,,HCAE,,Здание (сооружение) производственно-технического назначения  объектов воздушного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0018
BQ__0005
ZPG_0005
",04.03.001.005,,,,,KSI030001280
,,,HCAF,,Сооружение рулежной дорожки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
XPG_0001
XPG_0003
BN__0029
",04.03.001.006,,,,,KSI030001281
,,,HCAG,,"Сооружение системы, обеспечивающей безопасность авиаполетов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
XF__0001
XPG_0002
",04.03.001.007,,,,,KSI030001282
,,,HCAH,,Сооружение топливозаправочного комплекса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0029
BPG_0005
",04.03.001.008,,,,,KSI030001283
,,HCB,,,Аэропорты (пассажирские аэропорты),,"Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р ИСО 6707-1-2020",,BF__0050,04.03.002.,ВН ПН 20 55 10,,,,KSI030000664
,,,HCBA,,Здание аэровокзала (пассажирского терминала),,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0005
ZPG_0005
BF__0062
BPG_0011
BQ__0001",04.03.002.001,,,,,KSI030001284
,,,HCBB,,Здание (сооружение) грузового терминала аэропорта,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BF__0058
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",04.03.002.002,,,,,KSI030001285
,,,HCBC,,Здание (сооружение) технических служб аэропорта,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",04.03.002.003,,,,,KSI030001286
,,,HCBD,,Сооружение объекта охраны аэропорта,,Приказ Минстроя России от 02.11.2022 N 928/пр,,BPG_0005,04.03.002.004,,,,,KSI030001287
,,HCC,,,Вертодромы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0054,04.03.003.,,,,,KSI030000665
,,,HCCA,,"Сооружение места стоянки, ангара для вертолетов и технического обслуживания",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0031
XPG_0005
",04.03.003.001,,,,,KSI030001288
,,,HCCB,,Сооружение посадочной площадки для вертолетов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0054
XPG_0005",04.03.003.002,,,,,KSI030001289
,HD,,,,Прочий транспорт,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.05.,,,,,KSI030000666
,,HDA,,,Городской наземный транспорт,," Приказ Минстроя России от 02.11.2022 N 928/пр 
",,BF__0062,04.05.001.  ,ВН ПН 10 30 40,,,,KSI030000667
,,,HDAA,,Здание диспетчерского пункта управления и контроля городского наземного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0018
BQ__0005
ZPG_0005
BPG_0005
",04.05.001.001,,,,,KSI030001290
,,,HDAB,,Сооружение трамвайного депо,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0031
BPG_0005
BPG_0011
BN__0035
",04.05.001.002,,,,,KSI030001291
,,,HDAC,,Сооружение монорельса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
XPG_0019
",04.05.001.003,,,,,KSI030001292
,,,HDAD,,Сооружение трамвайной линии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
BN__0036",04.05.001.004,,,,,KSI030001293
,,HDB,,,Объекты метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BF__0062,04.05.002.,ВН ЛО 10 30,,,,KSI030000736
,,,HDBA,,Сооружение линии метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0018
XPG_0008
XPG_0019
",04.05.002.001,,,,,KSI030000737
,,,HDBB,,Сооружение станции метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
ZPG_0005
BF__0062
",04.05.002.002 ,,,,,KSI030000738
,,,HDBC,,Сооружение депо метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
BQ__0031
",04.05.002.003,,,,,KSI030000739
,,HDC,,,Фуникулеры и подъемники,, Приказ Минстроя России от 02.11.2022 N 928/пр,,BF__0062,04.05.003.,,,,,KSI030000740
,,,HDCA,,Сооружение канатной дороги,, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BF__0062
BPG_0017
XPG_0003",04.05.003.001,,,,,KSI030000741
,,,HDCB,,Сооружение линии для фуникулера,, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BF__0062
XPG_0019
CFGM0004
BPG_0017
",04.05.003.002,,,,,KSI030000743
,,,HDCC,,Сооружение подъемника (в том числе лифтового),, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BPG_0017
BF__0062",04.05.003.003,,,,,KSI030001318
,,,HDCD,,"Сооружение станции, остановочного пункта для фуникулера, канатной дороги",, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BPG_0011
ZPG_0005
BF__0062",04.05.003.004,,,,,KSI030001319
,HE,,,,Объекты железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,04.04.,"ВН ЛО 10 20
ВН ЛО 10 40",,,"Железная дорога
Монорельс",KSI030000669
,,HEA,,,Железнодорожные пути,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя верхнее строение пути, земляное полотно, водоотводные, водопропускные, противодеформационные, защитные и укрепительные сооружения земляного полотна, расположенные в полосе отвода, а также искусственные сооружения"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019",,BN__0027,04.04.001.,,А,,,KSI030000670
,,,HEAA,,Сооружение железнодорожного пути общего пользования на перегоне,"Железнодорожные пути на территориях железнодорожных станций, открытых для выполнения операций по приему и отправлению поездов, приему и выдаче грузов, багажа и грузобагажа, по обслуживанию пассажиров и выполнению сортировочной и маневровой работы, а также железнодорожные пути, соединяющие такие станции","Федеральный закон от 10.01.2003 N 17-ФЗ (ред. от 14.03.2022) ""О железнодорожном транспорте в Российской Федерации""",,"BN__0030
BQ__0023
XPG_0019
BF__0051
BN__0027",04.04.001.002,,,,,KSI030000671
,,,HEAB,,Сооружение железнодорожного пути необщего пользования,"Железнодорожные подъездные пути, примыкающие непосредственно или через другие железнодорожные подъездные пути к железнодорожным путям общего пользования и предназначенные для обслуживания определенных пользователей услугами железнодорожного транспорта на условиях договоров или выполнения работ для собственных нужд","Федеральный закон от 10.01.2003 N 17-ФЗ (ред. от 14.03.2022) ""О железнодорожном транспорте в Российской Федерации""",,"BN__0030
XPG_0019
BF__0051
BN__0027",04.04.001.001,,,,,KSI030000672
,,,HEAC,,Сооружение земляного полотна,, Приказ Минстроя России от 02.11.2022 N 928/пр,,"XPG_0005
XPG_0019
",04.04.001.003,,,,,KSI030001294
,,,HEAD,,Сооружение железнодорожного пути на станции,, Приказ Минстроя России от 02.11.2022 N 928/пр,,"XPG_0019
BF__0051
BN__0027
BN__0030
BQ__0023
",04.04.001.004,,,,,KSI030001295
,,HEB,,,Объекты железнодорожного транспорта обслуживания грузовых перевозок,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019",,BF__0058,04.04.002.,,L,,,KSI030000673
,,,HEBA,,"Здание (сооружение) грузового двора, терминала железнодорожного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0005
BF__0058
",04.04.002.001,,,,,KSI030001296
,,,HEBB,,"Сооружение погрузки, разгрузки железнодорожного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005",04.04.002.002,,,,,KSI030001297
,,,HEBC,,Сооружение производственно-технической базы железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BPG_0011
BQ__0001
BQ__0018
BQ__0005
ZPG_0005",04.04.002.003,,,,,KSI030001298
,,HEC,,,Объекты железнодорожного транспорта обслуживания пассажирских перевозок ,"Часть инфраструктуры железнодорожного транспорта общего пользования, его коммуникации и объекты, предназначенные для обслуживания пассажиров"," Приказ Минстроя России от 02.11.2022 N 928/пр 
 ГОСТ 33942-2016",,XPG_0019,04.06.003.,"ВН ПН 20 55 40
ВН ПН 20 55 70
ВН ПН 20 55 80",H,,,KSI030000674
,,,HECA,,Здание железнодорожного вокзала,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
",04.04.003.001,,,,,KSI030001299
,,,HECB,,Сооружение пассажирской платформы железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0001
XPG_0003
BF__0062",04.04.003.002,,,,,KSI030001300
,,,HECC,,Сооружение кассово-турникетного павильона железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
ZPG_0005
BPG_0005
BF__0062
",04.04.003.003,,,,,KSI030001301
,,HED,,,Объекты ремонта и обслуживания локомотивов и вагонов,," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019",,BH__0011,04.04.004.,,K,,,KSI030000675
,,,HEDA,,Здание (сооружение) вагонного депо,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BH__0011",04.04.004.001,,K,,,KSI030001302
,,,HEDB,,Здание (сооружение) локомотивного депо,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001
BQ__0005
ZPG_0005
BH__0011
BPG_0011",04.04.004.002,,J,,,KSI030001303
,,HEE,,,Объекты управления и контроля железнодорожных перевозок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,04.04.005.,,M,,,KSI030000678
,,,HEEA,,Здание (сооружение) центра управления железнодорожными перевозками ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0018
BQ__0005
ZPG_0005",04.04.005.001,,,,,KSI030001304
,,,HEEB,,Сооружение контрольно-пропускного пункта объектов железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005
BPG_0005
XF__0016",04.04.005.002,,,,,KSI030001305
,,HEF,,,Объекты обустройства железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,04.04.006.,,,,,KSI030001306
