Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,DAE,,,Сталь жаропрочная,"Сталь, работающая в нагруженном состоянии при высоких температурах в течение определенного времени и обладающая при этом достаточной жаростойкостью","ГОСТ 5632-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,,СТ 10 02 10 50,,,KSI170000448
,DB,,,,Сплавы цветных металлов,,"ГОСТ 25086-2011
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,,СТ 10 02 20,,,KSI170000449
,,DBA,,,Алюминий и сплавы,,"ГОСТ 4784-2019
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"10.1
59.1.10.01",СТ 10 02 20 10,,,KSI170000450
,,,,DBA010,Алюминий первичный,,"ГОСТ Р 57434-2017
Приказ Минстроя России от 17.11.2022 N 969/пр",,,10.1.01.01,,,,KSI170000451
,,,,DBA020,Сплавы алюминия,,"ГОСТ 4784-2019
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"10.1.01.02
59.1.10.01",,,,KSI170000452
,,DBB,,,Медь и сплавы,,"ГОСТ 32597-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"10.2
59.1.10.02",СТ 10 02 20 30,,,KSI170000453
,,,,DBB010,Бронза оловянная,,"ГОСТ 613-79
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,10.2.01.01,СТ 10 02 20 15,,,KSI170000454
,,,,DBB020,Латунь литейная,,"ГОСТ 17711-93
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000455
,,,,DBB030,Сплавы медно-фосфористые,,"ГОСТ 4515-93
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000456
,,DBC,,,"Свинец, цинк, олово и сплавы",,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,"10.3
",,,,KSI170000457
,,,,DBC010,Свинец,,"ГОСТ 22861-93
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"10.3.01.03
10.3.02.05
59.1.10.03",СТ 10 02 20 45,,,KSI170000458
,,,,DBC020,Олово,,"ГОСТ Р 57774-2017
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"10.3.02.02
59.1.10.03",СТ 10 02 20 40,,,KSI170000459
,,,,DBC030,Цинк и сплавы цинковые антифрикционные,,"ГОСТ 21438-95
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"01.3.05.36
",СТ 10 02 20 55,,,KSI170000460
,,,,DBC040,Баббит оловянный и свинцовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"10.3.02.01
59.1.10.03",,,,KSI170000461
,,,,DBC050,Роли свинцовые,,"ГОСТ 89-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"10.3.02.04
",,,,KSI170000462
,,,,DBC060,Припои оловянно-свинцовые,," ГСССД 149-90
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"10.3.02.03
59.1.10.03",,,,KSI170000463
,,DBD,,,Вольфрам и его сплавы,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,, 01.3.05.38,СТ 10 02 20 20,,,KSI170000464
,,DBE,,,Никель и его сплавы,,"ГОСТ 6689.2-92
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,,СТ 10 02 20 35,,,KSI170000465
,,DBF,,,Латунь,,"ГОСТ 17711-93
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,59.1.10.02,СТ 10 02 20 25,,,KSI170000466
,,DBG,,,Титановый сплав,,"ГОСТ 19863.1-91
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,10.4.02.04,СТ 10 02 20 50,,,KSI170000467
,DC,,,,Материалы на основе металлических сплавов,,,По виду материала,,,,,,KSI170000468
,,DCA,,,Листовые материалы,,"ГОСТ 11269-76
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"08.3.05
59.1.08.03",СТ 10 12 20,,,KSI170000469
,,,DCAA,,Листовая сталь,,"ГОСТ 19903-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"08.3.05
",СТ 10 12 20 20,,,KSI170000470
,,,DCAB,,Сталь листовая из титан-цинка,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 12 20 40,,,KSI170000471
,,,DCAC,,Листовой алюминий,"Листы из алюминия и алюминиевых сплавов, предназначенные для нужд народного хозяйства и экспорта","ГОСТ 21631-76
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"10.1.02.02
59.1.10.01",СТ 10 12 20 30,,,KSI170000472
,,,DCAD,,Листовая медь,,"Руководство АО ""ЦНИИПромзданий"" от 01.01.2005
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"10.2.02.04
10.2.02.05
59.1.10.02",СТ 10 12 20 10,,,KSI170000473
,,,DCAE,,Профнастил из листовой стали,,"СП 266.1325800.2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"08.3.09.01
","СТ 10 12 30 10
ЭЛ 20 20 55",,,KSI170000474
,,,DCAF,,Листовой прокат,,"ГОСТ 19903-2015
ГОСТ 19904-90
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"08.3.05
59.1.08.03",,,,KSI170000475
,,,DCAG,,Фольга,,"ГОСТ 618-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,12.2.03.12,,,,KSI170000476
,,,,DCAG010,Фольга алюминиевая,,"ГОСТ 618-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"12.2.03.12
59.1.12.02",,,,KSI170000477
,,,,DCAG020,Фольга медная,,"ГОСТ 5638-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,12.2.03.12,,,,KSI170000478
,,DCB,,,Пигменты готовые,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,14.5.07,,,,KSI170000479
,,,,DCB010,Пудра алюминиевая,"Пудра (порошок), представляющая собой тонкоизмельченные частицы алюминия пластинчатой формы и применяемая в качестве алюминиевых пигментов широкого назначения (светоотражающие, коррозионнозащитные, термостойкие, декоративные и другие краски), эмалей, лаков, шпатлевок и для производства газобетона","ГОСТ 5494-2022
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.5.07.01,,,,KSI170000480
,,,,DCB020,Пудра бронзовая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"59.1.14.05
59.1.01.07",,,,KSI170000481
,,,,DCB030,Сурик,"Природный неорганический пигмент красно-коричневого цвета, состоящий из оксида железа с примесью глинистых минералов и кварца","ГОСТ 8135-74
Приказ Минстроя России от 17.11.2022 N 969/пр",,,59.1.14.05,,,,KSI170000482
,,DCC,,,Фибра стальная,"Стальная фибра, получаемая путем резки стального листа и предназначенную для дисперсного армирования бетонов и растворов на гидравлических вяжущих"," СТО НОСТРОЙ 2.27.125-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
ТУ 0991-123-53832025-2001",По виду материала,,59.1.08.04,,,,KSI170000483
E,,,,,Полимеры,"Вещество, характеризующееся многократным повторением одного или более составных звеньев, соединенных между собой в количестве, достаточном для проявления комплекса свойств, который остается практически неизменным при добавлении или удалении одного или нескольких составных звеньев","ГОСТ 24888-81
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"01.7.14
",,,,KSI170000484
,EA,,,,Термопласты,,,По виду материала,,,,,,KSI170000485
,,EAA,,,Полиэтилен,,"ГОСТ 24888-81
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,01.7.14.05,,,,KSI170000486
,,EAB,,,Полипропилен,,"ГОСТ 24888-81
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,,,,,KSI170000487
,,EAC,,,Полистирол,,"ГОСТ 24888-81
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,01.7.14.03,,,,KSI170000488
,,EAD,,,Поливинилхлорид,,ГОСТ 24888-81,По виду материала,,01.7.14.07,,,,KSI170000489
,,,,EAD010,Хлорированный поливинилхлорид,,ГОСТ Р ИСО 2507-2-2015,,,,,,,KSI170000490
,,EAE,,,Полиизобутилен,,ГОСТ 24888-81,По виду материала,,,,,,KSI170000491
,,EAF,,,Полибутен,,ГОСТ Р 56730-2015,По виду материала,,,,,,KSI170000492
,,EAG,,,Полиметилметакрилат,,ГОСТ 24888-81,По виду материала,,,,,,KSI170000493
,,EAH,,,Поливинилацетат,,ГОСТ 24888-81,По виду материала,,,,,,KSI170000494
,,EAJ,,,Полифторэтилен,,,По виду материала,,,,,,KSI170000495
,,EAK,,,Полиакрилат,,ГОСТ 24888-81,По виду материала,,,,,,KSI170000496
,,EAL,,,Полиметакрилат,,ТУ 6-01-270-84,По виду материала,,,,,,KSI170000497
,,EAM,,,Поликарбонат,Сложный полиэфир угольной кислоты и диоксисоединений,ГОСТ 24888-81,По виду материала,,,,,,KSI170000498
,,EAN,,,Полиамид,,ГОСТ 24888-81,По виду материала,,,,,,KSI170000499
,,EAP,,,Ацетат целлюлозы,,,По виду материала,,,,,,KSI170000500
,,EAQ,,,Фторполимер,,ГОСТ 31610.20-2-2017,По виду материала,,,,,,KSI170000501
,,,,EAQ010,Тефлон (фторопласт),Пластмасса на основе фторсодержащих полиолефинов и (или) их сополимеров,"ГОСТ 24888-81
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000502
,EB,,,,Реактопласты,,,По виду материала,,,,,,KSI170000503
,,EBA,,,Ненасыщенные полиэфиры,,"ГОСТ 27952-2017
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,01.3.05.38,,,,KSI170000504
,,EBB,,,Полиизоцианат,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,14.2.04.04,,,,KSI170000505
,,EBC,,,Кремнийорганические полимеры,,ГОСТ 32794-2014,По виду материала,,,,,,KSI170000506
,,EBD,,,Смолы и соединения эпоксидные,,"ГОСТ Р 56752-2015
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,14.2.04,СТ 10 06,,,KSI170000507
,,,,EBD010,Смола акриловая,,,,,,,,,KSI170000508
,,,,EBD020,Смола алкидная,,ГОСТ 26194-84,,,,,,,KSI170000509
,,,,EBD030,Смола аминоформальдегидная,,,,,,,,,KSI170000510
,,,,EBD040,Смола виниловая,,ГОСТ Р 54560-2015,,,,,,,KSI170000511
,,,,EBD050,Смола винилэфирная,,ГОСТ 32794-2014,,,,,,,KSI170000512
,,,,EBD060,Смола карбамидная,,"ГОСТ 32794-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.2.04.04,,,,KSI170000513
,,,,EBD070,Смола меламиновая,,ГОСТ 32794-2014,,,,,,,KSI170000514
,,,,EBD080,Смола мочевиноформальдегидная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI170000515
,,,,EBD090,Смола пенополиуретановая,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,59.1.14.02,СТ 10 06 30,,,KSI170000516
,,,,EBD100,Смола полиамидная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,14.2.04.04,,,,KSI170000517
,,,,EBD110,Смола полиэфирная,"Термореактивная смола, содержащая эпоксидные группы, способные к образованию поперечных связей в процессе отверждения, в результате которого формируется эпоксидопласт","ГОСТ 27952-2017
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.2.04.02
59.1.14.02",,,,KSI170000518
,,,,EBD120,Смола фенольная,"Термореактивная смола, которая образуется в результате реакции между фенолом и формальдегидом в кислой или щелочной среде и при отверждении которой формируется фенопласт",ГОСТ 32794-2014,,,,,,,KSI170000519
,,,,EBD130,Смола фенолформальдегидная,"Смола фенольного типа, полученная путем поликонденсации фенола с формальдегидом",ГОСТ 32794-2014,,,,,,,KSI170000520
,,,,EBD140,Смола эпоксидная,"Термореактивная смола, содержащая эпоксидные группы, способные к образованию поперечных связей в процессе отверждения, в результате которого формируется эпоксидопласт","ГОСТ 32794-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"14.2.04.03
59.1.14.02",СТ 10 06 60,,,KSI170000521
,,,,EBD150,Ненасыщенные полиэстровые смолы,,,,,,,,,KSI170000522
,EC,,,,Синтетические каучуки,,"  ГОСТ 11138-78
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,14.2.06.04,,,,KSI170000523
,,,,EC010,Бутадиенстирольный каучук,,СБЦП 81-02-13-2001,,,,,,,KSI170000524
,,,,EC020,Бутиловый каучук,,ГОСТ ISO 2302-2016,,, 14.2.06.02,,,,KSI170000525
,,,,EC030,Полихлоропреновый каучук,,ГОСТ ISO 2475-2013,,,,,,,KSI170000526
,,,,EC040,Полисульфидный каучук,,ГОСТ ISO 1629-2019,,,,,,,KSI170000527
,,,,EC050,Полиуретановый каучук,,ГОСТ 34376.2-2017,,,,,,,KSI170000528
,,,,EC060,Силиконовый каучук,,,,,,,,,KSI170000529
,ED,,,,Материалы на основе полимеров,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,"01.7.14
",,,,KSI170000530
,,EDA,,,Пленки,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,,,СТ 10 15 40,,,KSI170000531
,,,,EDA010,Полиэтиленовая пленка,"Пленка, изготовляемая методом экструзии из полиэтилена высокого давления (низкой плотности) и композиций на его основе, содержащих пигменты (красители), стабилизаторы, скользящие, антистатические и модифицирующие добавки","ГОСТ 10354-82
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"01.7.07.12
59.1.01.07",СТ 10 15 40 10,,,KSI170000532
,,,,EDA020,Полипропиленовая пленка,,"ГОСТ 33118-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,12.1.01.03,СТ 10 15 40 20,,,KSI170000533
,,,,EDA030,Пленка поливинилхлоридная,"Отделочная декоративная пленка без клеевого слоя и с клеевым слоем на обратной стороне, защищенным специальной бумагой. Пленку изготовляют вальцово-каландровым способом из поливинилхлорида, пластификаторов, пигментов и различных добавок.",ГОСТ 24944-81,,,01.6.02.03,,,,KSI170000534
,,,,EDA040,Пленка полиэтилентерефталатная,"Пленка, изготовляемая из полиэтилентерефталата методом экструзии расплава на поверхность валка с последующей ориентацией, термофиксацией и охлаждением полотна",ГОСТ 24234-80,,,,,,,KSI170000535
,,,,EDA050,Пленка поливинилбутиральная клеящая,"Клеящая пленка, изготовленная из пластифицированного и непластифицированного поливинилбутираля по ГОСТ 9439-85.
Пленка применяется при изготовлении безосколочных стекол для остекления средств транспорта и другого назначения",ГОСТ 9438-85,,,,,,,KSI170000536
,,,,EDA060,Пленка винипластовая каландрированная,"Пленка, получаемая переработкой жесткой поливинилхлоридной композиции вальцево-каландровым или экструзионно-каландровым методом",ГОСТ 16398-81,,,,,,,KSI170000537
,,EDB,,,Пористая резина,,ГОСТ 11722-78,По виду материала,,,,,,KSI170000538
,,,,EDB010,Пористая резина на основе EVA (этиленвинилацетат),,ГОСТ 11722-78,,,,,,,KSI170000539
,,,,EDB020,Пористая резина на основе EPDM (этилен-пропиленовый каучук),,ГОСТ 11722-78,,,,,,,KSI170000540
,,,,EDB030,Пористая резина на основе неопрена CR/SBR,,ГОСТ 11722-78,,,,,,,KSI170000541
,,,,EDB040,Пористая резина на основе твердого каучука,,ГОСТ 11722-78,,,,,,,KSI170000542
,,EDC,,,Газонаполненные полимеры,,,По виду материала,,,,,,KSI170000543
,,,EDCA,,Пенопласт,,"ГОСТ  Р 59686-2021
Приказ Минстроя России от 17.11.2022 N 969/пр",,,12.2.05.06,,,,KSI170000544
,,,,EDCA010,Пенополистирол,,ГОСТ 15588-2014,,,"12.2.05.06
12.2.05.09",,,,KSI170000545
,,,,EDCA020,Пенополиуретан,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.14.01,,,,KSI170000546
,,,,EDCA030,Поролон,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.10.17,,,,KSI170000547
,,,,EDCA040,Пенофенопласт,,ГОСТ Р 56076-2014,,,,,,,KSI170000548
,,,,EDCA050,Пенополипропилен,,СП 23-103-2003,,,,,,,KSI170000549
,,,EDCB,,Поропласт,"Пенопласт, в котором большая часть ячеек связаны между собой",ГОСТ 32794-2014,,,,,,,KSI170000550
,,,,EDCB010,Пенополиэтилен,"Полужесткий или эластичный теплоизоляционный материал на основе полимеров, полученных из этилена, или на основе полимеров, полученных из этилена и/или пропилена","ГОСТ Р 56729-2015
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 10 10,,,KSI170000551
,,,,EDCB020,Поропласт фенольно-формальдегидный,,,,,,,,,KSI170000552
,,,,EDCB030,Поропласт кремнийорганический,,,,,,,,,KSI170000553
,,,,EDCB040,Пенополивинилхлорид,,,,,,,,,KSI170000554
,,EDD,,,Волокна и фибра полимерные,, СТО НОСТРОЙ 2.27.125-2013,По виду материала,,,,,,KSI170000555
,,,EDDA,,Фибра полимерная,, СТО НОСТРОЙ 2.27.125-2013,,,01.1.02.07,,,,KSI170000556
,,,,EDDA010,Фибра полиэфирная,,,,,,,,,KSI170000557
F,,,,,Синтетические материалы,,,По виду материала,,,,,,KSI170000558
,FA,,,,Клеи неорганические,,,По виду материала,,14.1.,,,,KSI170000559
,,FAA,,,Клей на акриловой основе,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,14.1.02.01,,,,KSI170000560
,,FAB,,,Клеи на основе карбамидоформальдегидных смол,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000561
,,FAC,,,Клей поливинилацетатный,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,14.1.02.03,,,,KSI170000562
,,FAD,,,Клей полиуретановый,"Клей на основе уретановых полимеров, образующих поперечные связи при реакции с водой","ГОСТ 33122-2022 
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,14.1.05.02,,,,KSI170000563
,,FAE,,,Клеи на основе резорциноформальдегидных смол,,ГОСТ 20907-2016,По виду материала,,,,,,KSI170000564
,,FAF,,,Клей на основе эпоксидных смол,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,14.1.05.04,,,,KSI170000565
,,,,FAF010,Клей на основе эпоксидных смол холодного отверждения,,,,,,,,,KSI170000566
,,,,FAF020,Клеи на основе эпоксидных смол горячего отверждения,,,,,,,,,KSI170000567
,,FAG,,,Клеи на основе фенолформальдегидных смол,"Двухкомпонентный клей на основе феноло-формальдегидных смол, отверждаемый с помощью кислых отвердителей",ГОСТ 33122-2022 ,По виду материала,,,,,,KSI170000568
,,FAH,,,Клей фенолополивинилацетальный,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,,,,,KSI170000569
,,FAJ,,,Клей на основе гипса,"Сухие строительные клеевые смеси заводского изготовления, изготавливаемые на гипсовых вяжущих, смешанных (сложных) минеральных вяжущих на основе гипсового вяжущего, содержащие полимерные добавки в размере не более 5% (в сухом состоянии) от массы смеси, предназначенные для монтажа гипсокартонных листов, гипсовых плит и блоков, элементов архитектурного декора на основе гипсового вяжущего при проведении внутренних работ при строительстве, ремонте и реконструкции зданий и сооружений","ГОСТ Р 58275-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,14.1.06.01,,,,KSI170000570
,,FAK,,,Клей на основе цемента,"Сухие строительные клеевые смеси, изготавливаемые в заводских условиях на цементном вяжущем или смешанных (сложных) минеральных вяжущих на основе портландцементного клинкера и/или высокоалюминатного цемента, содержащие модифицирующие добавки и применяемые для устройства плиточных облицовок при строительстве, ремонте и реконструкции зданий и сооружений","ГОСТ Р 56387-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,14.1.06.02,,,,KSI170000571
,,,,FAK010,Клей полимерцементный,,"ГОСТ Р 56387-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.1.06.04,,,,KSI170000572
,,FAL,,,Клей на силикатной основе,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,14.1.06.03,,,,KSI170000573
,,FAN,,,Клей на основе полиэфирных смол,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000574
,,FAP,,,Клей на основе полиэфирных смол насыщенных,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000575
,,FAQ,,,Клей на основе полиэфирных смол ненасыщенных,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000576
,,FAR,,,Клей на основе полиамидов,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000577
,,FAS,,,Клей на основе полимеров и сополимеров винил хлорида,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000578
,,FAU,,,Клей на основе поливинилакрилатов,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000579
,,FAV,,,Клей на основе синтетических каучуков,,ГОСТ 30535-97,По виду материала,,,,,,KSI170000580
,,FAW,,,"Клей на основе сополимеров этилена с винилацетатом, полиолефинов, полиамидов (клеи-расплавы)",,ГОСТ 30535-97,По виду материала,,,,,,KSI170000581
,FB,,,,Лакокрасочные материалы,"Жидкий, пастообразный или порошковый материал, образующий при нанесении на окрашиваемую поверхность лакокрасочное покрытие с защитными, декоративными и/или специальными техническими свойствами",ГОСТ 28246-2017,По виду материала,,,,,,KSI170000582
,,FBA,,,Лаки,"Лакокрасочный материал, образующий при нанесении на окрашиваемую поверхность прозрачное лакокрасочное покрытие с защитными, декоративными или специальными техническими свойствами",ГОСТ 28246-2017,По виду материала,,14.4.,,,,KSI170000583
,,,FBAA,,"Лаки на основе сложных полиэфиров, акриловых или виниловых полимеров в неводной среде",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"14.4.03
",,,,KSI170000584
,,,,FBAA010,Лак алкидный,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.01
",,,,KSI170000585
,,,,FBAA020,Лак бакелитовый,Раствор фенолоформальдегидных смол резольного типа в этиловом спирте,"ГОСТ 901-2017
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.02
",,,,KSI170000586
,,,,FBAA030,Лак битумный,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.03
",,,,KSI170000587
,,,,FBAA040,Лак каменноугольный,"Раствор каменноугольного пека в маслах, являющихся продуктами коксования угля. Каменноугольные лаки предназначаются для покрытия чугунных, стальных конструкций в целях предохранения их от коррозии, а также для защиты деревянных поверхностей от биоповреждений","ГОСТ 1709-75
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.04,,,,KSI170000588
,,,,FBAA050,Лак кремнийорганический,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.05
",,,,KSI170000589
,,,,FBAA060,Лак меламинный,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.06,,,,KSI170000590
,,,,FBAA070,Лак мочевинный,,"ГОСТ 24404-80
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.07,,,,KSI170000591
,,,,FBAA080,Лак на основе акриловых сополимеров,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.08
",,,,KSI170000592
,,,,FBAA090,Лак на основе сополимеров винилхлорида,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.09
",,,,KSI170000593
,,,,FBAA100,Лак на основе хлорсульфированного полиэтилена,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,14.4.03.10,,,,KSI170000594
,,,,FBAA110,Лак нитроцеллюлозный,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.03.11
",,,,KSI170000595
,,,,FBAA120,Лак пентафталевый,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000596
,,,,FBAA130,Лак перхлорвиниловый,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.13,,,,KSI170000597
,,,,FBAA140,Лак поливинилацетатный,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.14,,,,KSI170000598
,,,,FBAA150,Лак полиуретановый,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.15,,,,KSI170000599
,,,,FBAA160,Лак эпоксидный,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,14.4.03.16,,,,KSI170000600
,,,FBAB,,Лаки на основе акриловых или виниловых полимеров в водной среде,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000601
,,,,FBAB010,Лак водно-дисперсионный акриловый,,"ГОСТ Р 52165-2003
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000602
,,FBB,,,Краски,"Жидкий или пастообразный пигментированный лакокрасочный материал, в котором пленкообразующим веществом лакокрасочного материала являются различные марки олиф или водная дисперсия синтетических полимеров, образующий при нанесении на окрашиваемую поверхность непрозрачное лакокрасочное покрытие","ГОСТ 28246-2017
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"14.3.02
14.4.02
",СТ 10 13 35,,,KSI170000603
,,,FBBA,,"Краски на основе сложных полиэфиров, акриловых или виниловых полимеров в неводной среде",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"14.4.02

",,,,KSI170000604
,,,,FBBA010,Белила готовые,,"ГОСТ 10503-71
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000605
,,,,FBBA020,Краска кремнийорганическая,,"ГОСТ 9.401-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"14.4.02.02
14.3.02.02
",,,,KSI170000606
,,,,FBBA030,Краска минерального типа,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI170000607
,,,,FBBA040,Краска на масляной основе,"Жидкий или пастообразный пигментированный лакокрасочный материал, в котором пленкообразующим веществом являются различные марки олиф, образующий при нанесении на окрашиваемую поверхность непрозрачное лакокрасочное покрытие","ГОСТ 28246-2017
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"14.4.02.04
",СТ 10 13 35 50,,,KSI170000608
,,,,FBBA050,Краска на основе силиконовой смолы,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 13 35 30,,,KSI170000609
