Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,,ACH100,Вспученный вермикулит,"Материал, получаемый вспучиванием при обжиге подготовленных зерен из природных видов гидратированной слюды","ГОСТ 25137-82
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"12.2.03.04 
02.2.05",СТ 10 14 20 07 03,,,KSI170000071
,,ACJ,,,Щебень из пеностекла,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.8.01.08,,,,KSI170000072
,AD,,,,Песок,,,По виду материала,,"2.3 
59.1.02.03",,,,KSI170000073
,,ADA,,,Песок природный,"Неорганический сыпучий материал с крупностью зерен до 4 мм, образовавшийся в результате естественного разрушения горных пород и получаемый при разработке песчаных и песчано-гравийных месторождений","ГОСТ 32824-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"02.3.01.02
59.1.02.03
",СТ 10 10 30,,,KSI170000074
,,,,ADA010,"Песок из изверженных, метаморфических и осадочных пород",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"02.3.01.04 
59.1.02.03",,,,KSI170000075
,,,,ADA020,Песок кварцевый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Песок кварцевый ЛПК-5
Песок кварцевый формовочный
Песок кварцевый, фракция 0-0,63 мм","02.3.01.07
59.1.02.03",СТ 10 10 30 30,,,KSI170000076
,,,,ADA030,Песок из горных пород вулканического происхождения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"02.3.01.03
59.1.02.03",,,,KSI170000077
,,,,ADA040,Песок баритовый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"02.3.01.01
59.1.02.03",СТ 10 10 30 10,,,KSI170000078
,,,,ADA050,Песок из отсевов дробления обогащенный,"Песок с улучшенным зерновым составом, получаемый с применением специального обогатительного оборудования и поставляемый без разделения на фракции","ГОСТ 25137-82
ГОСТ 31424-2010
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"02.3.01.05
59.1.02.03",,,,KSI170000079
,,ADB,,,Дробленый песок,"Неорганический сыпучий материал с крупностью зерен до 4 мм, полученный из отсева дробления горных пород при производстве щебня и отходов металлургической и других видов промышленности, а также при дроблении горных пород и гравия с использованием специального дробильно-размольного оборудования","ГОСТ 32730-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"02.3.01.05
59.1.02.03

",СТ 10 10 31,,,KSI170000080
