Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,,,GGBF,,Сравнение измеренных значений динамических параметров с предыдущими значениями,,ГОСТ 31937-2024,,,,,KSI090000430
,,,GGBG,,Отслеживание скорости изменения технического состояния объекта,,ГОСТ 31937-2024,,,,,KSI090000431
,,,GGBH,,Измерение динамических параметров конкретных зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000432
,,,GGBJ,,Составление паспорта здания (сооружения),,ГОСТ 31937-2024,,,,,KSI090000433
,,,GGBK,,Сравнение категории технического состояния здания (сооружения) с нормативным или работоспособным техническим состоянием,,ГОСТ 31937-2024,,,,,KSI090000434
,,,GGBL,,Составление заключения по этапу общего мониторинга технического состояния зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000435
,,,GGBM,,"Составление заключения о техническом состоянии каждого здания (сооружения), по которым проводился общий мониторинг технического состояния",,ГОСТ 31937-2024,,,,,KSI090000436
,,GGC,,,"Проведение мониторинга технического состояния зданий и сооружений, находящихся в ограниченно работоспособном или аварийном состоянии",,ГОСТ 31937-2024,По условию производства работ,,,,KSI090000437
,,,GGCA,,"Проведение мониторинга процессов, протекающих в конструкциях зданий (сооружений) до выполнения работ по восстановлению или усилению объектов",,ГОСТ 31937-2024,,,,,KSI090000438
,,,GGCB,,"Проведение мониторинга процессов, протекающих в грунте до выполнения работ по восстановлению или усилению объектов",,ГОСТ 31937-2024,,,,,KSI090000439
,,,GGCC,,"Проведение мониторинга процессов, протекающих в конструкциях зданий (сооружений) во время проведения работ по восстановлению или усилению объектов",,ГОСТ 31937-2024,,,,,KSI090000440
,,,GGCD,,Определение текущих динамических параметров объекта,,ГОСТ 31937-2024,,,,,KSI090000441
,,,GGCE,,Фиксация степени изменения ранее выявленных дефектов и повреждений конструкций объекта,,ГОСТ 31937-2024,,,,,KSI090000442
,,,GGCF,,Выявление вновь появившихся дефектов и повреждений,,ГОСТ 31937-2024,,,,,KSI090000443
,,,GGCG,,Проведение повторных измерений деформаций,,ГОСТ 31937-2024,,,,,KSI090000444
,,,GGCH,,Анализ полученной на текущем этапе мониторинга информации,,ГОСТ 31937-2024,,,,,KSI090000445
,,,GGCJ,,"Подготовка заключения о техническом состоянии объекта, находящегося в ограниченно работоспособном или аварийном состоянии",,ГОСТ 31937-2024,,,,,KSI090000446
,,,GGCK,,"Проведение мониторинга процессов, протекающих в грунте во время проведения работ по восстановлению или усилению объектов",,ГОСТ 31937-2024,,,,,KSI090000447
,,,GGCL,,"Сравнение текущих динамических параметров объекта с параметрами, измеренными на предыдущем этапе",,ГОСТ 31937-2024,,,,,KSI090000448
,,,GGCM,,"Сравнение измеренных значений деформаций со значениями аналогичных величин, полученными на предыдущем этапе",,ГОСТ 31937-2024,,,,,KSI090000449
,,GGD,,,"Проведение мониторинга технического состояния зданий и сооружений, попадающих в зону влияния нового строительства, реконструкции или природно-техногенных воздействий",,ГОСТ 31937-2024,По условию производства работ,,,,KSI090000450
,,,GGDA,,Оценка геомеханического состояния до начала строительных работ,,ГОСТ 31937-2024,,,,,KSI090000451
,,,GGDB,,Прогноз изменения геомеханического состояния породного массива под влиянием горных работ,,ГОСТ 31937-2024,,,,,KSI090000452
,,,GGDC,,Проведение инструментальных наблюдений за сдвижением земной поверхности,,ГОСТ 31937-2024,,,,,KSI090000453
,,,GGDD,,"Проведение инструментальных наблюдений за сдвижением объектов, расположенных на земной поверхности",,ГОСТ 31937-2024,,,,,KSI090000454
,,,GGDE,,Определение абсолютных и относительных значений деформаций конструкций зданий (сооружений),,"ГОСТ 31937-2024
ГОСТ 24846-2019",,,,,KSI090000455
,,,GGDF,,Сравнение полученных значений деформаций с расчетными и допустимыми значениями,,"ГОСТ 31937-2024
ГОСТ 24846-2019",,,,,KSI090000456
,,,GGDG,,Выявление причин возникновения деформаций,,"ГОСТ 31937-2024
ГОСТ 24846-2019",,,,,KSI090000457
,,,GGDH,,Выявление степени опасности деформаций для нормальной эксплуатации объектов,,"ГОСТ 31937-2024
ГОСТ 24846-2019",,,,,KSI090000458
,,,GGDJ,,Принятие своевременных мер по борьбе с возникающими деформациями и их последствиями,,"ГОСТ 31937-2024
ГОСТ 24846-2019",,,,,KSI090000459
,,,GGDL,,Уточнение расчетных данных физико-механических характеристик грунтов,,"ГОСТ 31937-2024
ГОСТ 24846-2019",,,,,KSI090000460
,,,GGDM,,Уточнение расчетных схем для различных типов зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000461
,,,GGDN,,Уточнение расчетных схем для различных коммуникаций,,ГОСТ 31937-2024,,,,,KSI090000462
,,,GGDP,,Установление эффективности принимаемых профилактических и защитных мероприятий,,ГОСТ 31937-2024,,,,,KSI090000463
,,,GGDQ,,Уточнение закономерностей процесса сдвижения грунтовых пород,,ГОСТ 31937-2024,,,,,KSI090000464
,,,GGDR,,Уточнение зависимости параметров процесса сдвижения грунтовых пород от основных влияющих факторов ,,ГОСТ 31937-2024,,,,,KSI090000465
,,,GGDS,,Оценка зоны влияния динамических воздействий на окружающие здания и сооружения при погружении свайных элементов строящихся зданий,,ГОСТ 31937-2024,,,,,KSI090000466
,,,GGDT,,Определение внешних границ мульды сдвижения на земной поверхности при подземном способе возведения объекта,,ГОСТ 31937-2024,,,,,KSI090000467
,,,GGDU,,Определение значений ожидаемых максимальных сдвижений и деформаций земной поверхности при подземном способе возведения объекта,,ГОСТ 31937-2024,,,,,KSI090000468
,,,GGDV,,Определение значений ожидаемых сдвижений и деформаций земной поверхности в точках мульды сдвижений при подземном способе возведения объекта,,ГОСТ 31937-2024,,,,,KSI090000469
,,,GGDW,,Определение общей продолжительности процесса сдвижения земной поверхности над производимой подземной выработкой,,ГОСТ 31937-2024,,,,,KSI090000470
,,,GGDX,,Проведение геодезическо-маркшейдерских работ при мониторинге технического состояния зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000471
,,,GGDY,,Определение периода опасных деформаций,,ГОСТ 31937-2024,,,,,KSI090000472
,,GGE,,,Проведение мониторинга технического состояния уникальных зданий и сооружений,,ГОСТ 31937-2024,По условию производства работ,,,,KSI090000473
,,,GGEA,,Составление индивидуальных программ проведения измерений и анализа состояния несущих конструкций,,ГОСТ 31937-2024,,,,,KSI090000474
,,,GGEB,,Установка автоматизированной стационарной системы (станции) мониторинга технического состояния,,ГОСТ 31937-2024,,,,,KSI090000475
,,,GGEC,,Настройка автоматизированной стационарной системы (станции) мониторинга технического состояния,,ГОСТ 31937-2024,,,,,KSI090000476
,,,GGED,,Выявление мест изменения напряженно-деформированного состояния конструкций ,,ГОСТ 31937-2024,,,,,KSI090000477
,,,GGEE,,Определение уровня крена здания или сооружения,,ГОСТ 31937-2024,,,,,KSI090000478
,,,GGEF,,Анализ различных измеренных параметров строительных конструкций,,ГОСТ 31937-2024,,,,,KSI090000479
,,,GGEG,,Сравнение измеренных параметров строительных конструкций с их предельными допустимыми значениями,,ГОСТ 31937-2024,,,,,KSI090000480
,,,GGEH,,Установка системы мониторинга инженерно-технического обеспечения,,ГОСТ 31937-2024,,,,,KSI090000481
,,,GGEJ,,Комплексная обработка результатов проводимых измерений,,ГОСТ 31937-2024,,,,,KSI090000482
,,,GGEK,,"Выдача заключения по результатам мониторинга технического состояния оснований и строительных конструкций уникальных зданий (сооружений) 
",,ГОСТ 31937-2024,,,,,KSI090000483
,,,GGEL,,"Мониторинг общей безопасности  уникальных зданий (сооружений)
(с комплексной оценкой риска) на случай возникновения аварийных воздействий природного и техногенного характера",,ГОСТ 31937-2024,,,,,KSI090000484
,GH,,,,Проведение мониторинга температурно-влажностного режима,,"ГОСТ Р 56198-2014
ГОСТ Р 55567-2013",,,,,KSI090000485
