Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,,CAM,,,Опрос местного населения,,СП 446.1325800.2019,,"Опрос местного населения о проявлении опасных геологических и инженерно-геологических процессов
Опрос местного населения об имевших место чрезвычайных ситуациях",,,KSI090000070
,CB,,,,Инженерно-геодезические полевые работы,,"СП 126.13330.2017
СП 11-104-97
СБЦ
ГОСТ 32836-2014",По виду работ,,,,KSI090000071
,,CBA,,,Создание опорных геодезических сетей,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",По виду работ,,,,KSI090000072
,,,CBAA,,Создание планово-высотных съемочных геодезических сетей,,"СП 126.13330.2017
СП 11-104-97
СБЦ",По условию производства работ,,,,KSI090000073
,,,,CBAA010,Создание геодезических сетей специального назначения,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000074
,,,,CBAA020,Создание геодезической разбивочной основы для выноса в натуру сетей инженерно-технического обеспечения,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000075
,,,,CBAA030,Создание геодезической разбивочной основы для выноса в натуру основных осей возводимых объектов,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000076
,,,,CBAA040,Создание геодезической разбивочной основы для проведения мониторинга осадок и кренов сооружения в период его строительства,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000077
,,,CBAB,,Создание нивелирной сети,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",По виду работ,,,,KSI090000078
,,,,CBAB010,Создание нивелирной сети I класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000079
,,,,CBAB020,Создание нивелирной сети II класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000080
,,,,CBAB030,Создание нивелирной сети III класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000081
,,,,CBAB040,Создание нивелирной сети IV класса,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000082
,,,CBAC,,Производство детальных разбивочных работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000083
,,CBB,,,Геодезическая съемка подземных коммуникаций,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000084
,,CBC,,,Геодезическая съемка сооружений,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000085
,,CBD,,,Топографическая съемка,"Комплекс работ, выполняемых с целью получения съемочного оригинала топографической карты или плана, а также получение топографической информации в другой форме","СП 126.13330.2017
СП 11-104-97
СБЦ ",По виду работ,,,,KSI090000086
,,,CBDA,,Стереотопографическая съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000087
,,,CBDB,,Мензульная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000088
,,,CBDC,,Тахеометрическая съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000089
,,,CBDD,,Теодолитная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000090
,,,CBDE,,Буссольная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000091
,,,CBDF,,Гидролокационная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000092
,,,CBDG,,Аэрофотосъёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000093
,,,CBDH,,Цифровая съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000094
,,CBE,,,Инженерно-гидрографические геодезические работы,,"СП 126.13330.2017
СП 11-104-97
СБЦ",По виду работ,,,,KSI090000095
,,,CBEA,,Создание планово-высотных инженерно-гидрографических геодезических сетей ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000096
,,,CBEB,,Топографические съемки прибрежной части (полосы) суши инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000097
,,,CBEC,,Русловые съемки инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000098
,,,CBED,,Промеры глубин инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000099
,,,CBEE,,Нивелирование водной поверхности инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000100
,,,CBEF,,Однодневные связки уровней воды инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000101
,,,CBEG,,Мгновенные связки уровней воды инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000102
,,,CBEH,,Гидрографическое траление инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000103
,,,CBEJ,,Обследование подводных препятствий инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000104
,,,CBEK,,Трассирование судовых ходов инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000105
,,,CBEL,,Специальные гидрографические работы ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,,,KSI090000106
,,CBF,,,Лазерное сканирование,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,,,KSI090000107
,,CBG,,,Полевое трассирование,,"СП 11-104-97
ГОСТ 32869-2014",,,,,KSI090000108
,CC,,,,Инженерно-геологические полевые работы,,"СП 11-105-97
СБЦ",По виду работ,,,,KSI090000109
,,CCA,,,Буровые работы при инженерно-геологических полевых работах,,"СП 11-105-97
СБЦ",По способу производства работ,,,,KSI090000110
,,,CCAA,,Бурение вручную при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000111
,,,CCAB,,Бурение переносными буровыми установками при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000112
,,,CCAC,,Колонковое бурение при инженерно-геологических полевых работах,,"СП 11-105-97
СБЦ",,,,,KSI090000113
,,,CCAD,,Механическое ударно-канатное бурение при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000114
,,,CCAE,,Шнековое бурение скважин и шурфов-дудок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000115
,,,CCAF,,Вибрационное бурение при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000116
,,,CCAG,,Бурение с обратной промывкой при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000117
,,CCB,,,Горнопроходческие работы при инженерно-геологических работах,,"СП 11-105-97
СБЦ",По способу производства работ,,,,KSI090000118
,,,CCBA,,Проходка открытых горных выработок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000119
,,,CCBB,,Проходка подземных горных выработок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000120
,,,CCBC,,Дополнительные работы при проходке горных выработок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,,,KSI090000121
,,CCC,,,Опытно-фильтрационные работы и стационарное наблюдение при инженерно-геологических работах,,"СП 11-105-97
СБЦ",По виду работ,,,,KSI090000122
,,,CCCA,,Опытно-фильтрационные работы,,"СП 11-105-97
СБЦ",,,,,KSI090000123
,,,CCCB,,Стационарные наблюдения,Постоянные (непрерывные или периодические) наблюдения (измерения) за изменениями состояния отдельных факторов (компонентов) территории в заданных пунктах.,"СП 11-105-97
СБЦ",,,,,KSI090000124
,,,CCCC,,Сопутствующие работы при проведении опытно-фильтрационных работ,,"СП 11-105-97
СБЦ",,,,,KSI090000125
,,CCD,,,Рекультивационные работы при инженерно-геологических изысканиях,,"СП 11-105-97
СБЦ",,,,,KSI090000126
,,CCE,,,Радиометрические работы при инженерно-геологических изысканиях,,"СП 11-105-97
СБЦ",По виду работ,,,,KSI090000127
,,,CCEA,,Определение плотности потока радона,,"СП 11-105-97
СБЦ",,,,,KSI090000128
,CD,,,,Инженерно-экологические полевые работы,,"СП 11-102-97
СБЦ
ГОСТ 32836-2014",По виду работ,,,,KSI090000129
,,CDA,,,Контрольно-измерительные работы при инженерно-экологических изысканиях,,"СП 11-102-97
СБЦ",,,,,KSI090000130
,,CDB,,,Проходка горных выработок для получения экологической информации,,"СП 11-102-97
СБЦ",,,,,KSI090000131
,CE,,,,Инженерно-геотехнические полевые работы,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
ГОСТ 32836-2014",По виду работ,,,,KSI090000132
,,CEA,,,Полевые испытания грунтов с определением их стандартных прочностных характеристик,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000133
,,CEB,,,Полевые испытания грунтов с определением их стандартных деформационных характеристик,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000134
,,CEC,,,Испытание эталонных свай,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000135
,,CED,,,Испытание натурных свай,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000136
,,CEE,,,Определение стандартных механических характеристик грунтов,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,По способу производства работ,,,,KSI090000137
,,,,CEE010,Определение характеристик грунтов методом статического зондирования,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000138
,,,,CEE020,Определение характеристик грунтов методом динамического зондирования,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000139
,,,,CEE030,Определение характеристик грунтов методом бурового зондирования,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000140
,,CEF,,,Проходка горных выработок при инженерно-геотехнических работах,,Приказ Минрегиона РФ от 30.12.2009 N 624 ,,,,,KSI090000141
,CF,,,,Гидрометеорологические полевые работы,,"СП 11-103-97
СБЦ",По виду работ,,,,KSI090000142
,,CFA,,,Гидроморфологические работы,,"СП 11-103-97
СБЦ",По виду работ,,,,KSI090000143
,,,CFAA,,Разбивка морфометрического створа,,"СП 11-103-97
СБЦ",,,,,KSI090000144
,,,CFAB,,Нивелирование морфометрического створа,,"СП 11-103-97
СБЦ",,,,,KSI090000145
,,,CFAC,,Установление высоких исторических уровней воды,,"СП 11-103-97
СБЦ",,,,,KSI090000146
,,,CFAD,,Определение мгновенных уклонов водной поверхности,,"СП 11-103-97
СБЦ",,,,,KSI090000147
,,,CFAE,,Съемка земляного полотна подходов к существующим мостам,,"СП 11-103-97
СБЦ",,,,,KSI090000148
,,,CFAF,,Съемка земляного полотна подходов к существующим регуляционным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,,,KSI090000149
,,,CFAG,,Нивелирование земляного полотна подходов к существующим мостам,,"СП 11-103-97
СБЦ",,,,,KSI090000150
,,,CFAH,,Съемка земляного полотна подходов к существующим выправительным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,,,KSI090000151
,,,CFAJ,,Нивелирование земляного полотна подходов к существующим выправительным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,,,KSI090000152
,,,CFAK,,Нивелирование земляного полотна подходов к существующим регуляционным берегоукрепительным сооружениям,,"СП 11-103-97
СБЦ",,,,,KSI090000153
,,,CFAL,,Прокладка магистрального теодолитно-нивелирного хода для привязки точек высоких вод,,"СП 11-103-97
СБЦ",,,,,KSI090000154
,,,CFAM,,Промеры глубин гидроморфологических работ,,"СП 11-103-97
СБЦ",,,,,KSI090000155
,,,CFAN,,Установка постоянных реперов,,"СП 11-103-97
СБЦ",,,,,KSI090000156
,,,CFAP,,Нивелирование постоянных реперов,,"СП 11-103-97
СБЦ",,,,,KSI090000157
,,CFB,,,Инженерно-гидрологические изыскания,,"СП 11-103-97
СБЦ",По виду работ,,,,KSI090000158
,,,CFBA,,Измерение уровней водного объекта,,"СП 11-103-97
СБЦ",,,,,KSI090000159
,,,CFBB,,Измерение уклонов водной поверхности,,"СП 11-103-97
СБЦ",,,,,KSI090000160
,,,CFBC,,Измерение расходов воды,,"СП 11-103-97
СБЦ",,,,,KSI090000161
,,,CFBD,,Измерение скоростей течений воды,,"СП 11-103-97
СБЦ",,,,,KSI090000162
,,,CFBE,,Измерение направлений течений воды,,"СП 11-103-97
СБЦ",,,,,KSI090000163
,,CFC,,,Инженерно-метеорологические изыскания,,"СП 11-103-97
СБЦ",По виду работ,,,,KSI090000164
,,,CFCA,,Сбор материалов наблюдательной сети,,"СП 11-103-97
СБЦ",,,,,KSI090000165
,CG,,,,Поиск и разведка подземных вод для целей водоснабжения,,"СП 11-103-97
СБЦ",,,,,KSI090000166
,CH,,,,Разведка грунтовых строительных материалов,,"СП 11-103-97
СБЦ",,,,,KSI090000167
,CJ,,,,Отбор проб,,"СП 11-103-97
СБЦ",,,,,KSI090000168
D,,,,,Обмерные работы,,"ГОСТ Р 56905-2016
СБЦ",По виду работ,,,,KSI090000169
,DA,,,,Проведение схематических обмеров,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000170
,DB,,,,Проведение архитектурных обмеров,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000171
,DC,,,,Проведение архитектурно-археологических обмеров,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000172
,DD,,,,Обмерная фотофиксация,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000173
,DE,,,,Проведение фотограмметрических обмеров,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000174
,DF,,,,Проведение геодезического обмера,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000175
,DG,,,,Проведение натурных обмеров,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000176
,DH,,,,Лазерное сканирование для обмерных работ,,"ГОСТ Р 56905-2016
СБЦ",,,,,KSI090000177
E,,,,,Проведение исследований,,"СП 47.13330.2016
СБЦ",По способу проведения работ,,,,KSI090000178
,EA,,,,Проведение геотехнического исследования,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",По виду работ,,,,KSI090000179
,,EAA,,,Проведение специальных исследований характеристик грунтов,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,"По отдельным программам для нестандартных, в том числе нелинейных методов расчета оснований фундаментов и конструкций зданий и сооружений",,KSI090000180
,,EAB,,,Проведение исследований гидрогеологических свойств,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000181
,,EAC,,,Проведение исследований в стационарных условиях,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000182
,,EAD,,,Оценка состояния возводимых объектов,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000183
,EB,,,,Проведение лабораторных исследований,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",По виду работ,,,,KSI090000184
,,EBA,,,Проведение лабораторных исследований грунтов,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000185
,,EBB,,,Проведение лабораторных исследований подземных вод,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000186
,,EBC,,,Проведение лабораторных исследований поверхностных вод,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000187
,,EBD,,,Проведение лабораторных химико-аналитические исследований ,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000188
,,EBE,,,Проведение лабораторных исследований механических свойств грунтов с определением характеристик для конкретных схем расчета оснований фундаментов,,"Приказ Минрегиона РФ от 30.12.2009 N 624 
СБЦ",,,,,KSI090000189
,EC,,,,Проведение инженерно-экологических исследований,,"СП 11-102-97
СБЦ",По виду работ,,,,KSI090000190
,,ECA,,,Проведение исследования загрязненности атмосферного воздуха,,"СП 11-102-97
СБЦ",,,,,KSI090000191
,,ECB,,,Проведение исследования загрязненности почв,,"СП 11-102-97
СБЦ",,,,,KSI090000192
,,ECC,,,Проведение исследования загрязненности грунтов,,"СП 11-102-97
СБЦ",,,,,KSI090000193
,,ECD,,,Проведение исследования загрязненности поверхностных вод,,"СП 11-102-97
СБЦ",,,,,KSI090000194
,,ECE,,,Проведение исследования загрязненности подземных вод,,"СП 11-102-97
СБЦ",,,,,KSI090000195
,,ECF,,,Проведение исследования радиационной обстановки,,"СП 11-102-97
СБЦ",,,,,KSI090000196
,,ECG,,,Проведение газогеохимических исследований,,"СП 11-102-97
СБЦ",,,,,KSI090000197
,,ECH,,,Проведение исследования физических воздействий,,"СП 11-102-97
СБЦ",По виду работ,,,,KSI090000198
,,,,ECH010,Исследование уровня шума,,"СП 11-102-97
СБЦ",,,,,KSI090000199
,,,,ECH020,Исследование электромагнитного поля,,"СП 11-102-97
СБЦ",,,,,KSI090000200
,,,,ECH030,Исследование вибраций,,"СП 11-102-97
СБЦ",,,,,KSI090000201
,,ECJ,,,Проведение исследования растительности,,"СП 11-102-97
СБЦ",,,,,KSI090000202
,,ECK,,,Проведение исследования животного мира,,"СП 11-102-97
СБЦ",,,,,KSI090000203
,,ECL,,,Оценка фитопродуктивности растительных сообществ,,"СП 11-102-97
СБЦ",,,,,KSI090000204
,,ECM,,,Проведение почвенных исследований,,"СП 11-102-97
СБЦ",,,,,KSI090000205
,,ECN,,,Проведение эколого-гидрогеологического исследования,,"СП 11-102-97
СБЦ",,,,,KSI090000206
,,ECP,,,Проведение исследования радиационной обстановки на территории,,"СП 11-102-97
СБЦ",,,,,KSI090000207
,,ECQ,,,Проведение санитарных химических исследований почвы и грунта,,"СП 11-102-97
СБЦ",По виду работ,,,,KSI090000208
,,,ECQA,,Выявление наличия содержания органических соединений в пробах,,"СП 11-102-97
СБЦ",,,,,KSI090000209
,,,ECQB,,Оценка содержания органических соединений в пробах,,"СП 11-102-97
СБЦ",,,,,KSI090000210
,,,ECQC,,Выявление наличия содержания соединений тяжелых металлов в пробах,,"СП 11-102-97
СБЦ",,,,,KSI090000211
,,,ECQD,,Оценка содержания соединений тяжелых металлов в пробах,,"СП 11-102-97
СБЦ",,,,,KSI090000212
