Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,,,AAJ060,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 3Ф15.15-1,"Фундамента с размерами подошвы 1500 х 1500 мм, под стены толщиной до 250 мм",ГОСТ 24022-80,,,,,,,,KSI160000040
,,,,,,AAJ070,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 3Ф18.18-2,"Фундамента с размерами подошвы 1800 х 1800 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,,KSI160000041
,AB,,,,,,Элементы несущих конструкций зданий и сооружений,,,,,,"ЭЛ 20 20
ЭЛ 20 20 05",,,,KSI160000042
,,ABA,,,,,Колонны и опоры,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,"ЭЛ 30 16 40
ЭЛ 30 16 80 15",,,,KSI160000043
,,,ABAA,,,,Капитель (конструкция для восприятия нагрузки),"Конструкция каркаса, расположенная вверху колонны и предназначенная для восприятия нагрузки от вышележащего безбалочного перекрытия, включая усилия продавливания","ГОСТ 27108-2016
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.1.03.05
05.3.01.08",ЭЛ 30 16 25,,,,KSI160000044
,,,ABAB,,,,Колонна железобетонная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.1.03.07
",,,,,KSI160000045
,,,,ABABA,,,Колонна железобетонная для многоэтажных зданий,"Железобетонная колонна сплошного прямоугольного поперечного сечения из тяжелого бетона, предназначенная для каркасов многоэтажных общественных зданий, производственных, административных и бытовых зданий промышленных предприятий",ГОСТ 18979-2014,,,,,,,,KSI160000046
,,,,ABABB,,,Колонна железобетонная для одноэтажных зданий предприятий,"Железобетонная колонна сплошного и сквозного (двухветвевая) прямоугольного поперечного сечения из тяжелого бетона, предназначенная для каркасов одноэтажных зданий предприятий всех отраслей промышленности и сельского хозяйства","ГОСТ 25628.1-2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,07.2.03.06,ЭЛ 30 16 41,,,,KSI160000047
,,,,ABABC,,,Колонна железобетонная бескрановая для одноэтажных зданий предприятий,"Железобетонная колонна из тяжелого бетона сплошного прямоугольного поперечного сечения, предназначенная для каркасов одноэтажных зданий предприятий без мостовых кранов",ГОСТ 25628.2-2016,,,,,,,,KSI160000048
,,,,ABABD,,,Колонна железобетонная крановая для одноэтажных зданий предприятий,"Железобетонная колонна из тяжелого бетона, предназначенная для каркасов одноэтажных зданий предприятий с мостовыми опорными кранами грузоподъемностью до 50 т всех отраслей промышленности",ГОСТ 25628.3-2016,,,,ЭЛ 30 16 22,,,,KSI160000049
