Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,,,,CABAK040,Регулятор перепуска,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.1.11.04,,,,,KSI160001360
,,,,,,CABAK050,Регулятор расхода и давления,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.1.11.05,ЭЛ 40 15 42 50,,,,KSI160001361
,,,,,,CABAK060,Указатель уровня жидкостей для воды и пара,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.1.11.06,,,,,KSI160001362
,,,,CABAL,,,Воздухоотводчик (вантуз),"Фазоразделительная арматура, предназначенная для сброса и удаления воздуха, скапливающегося в трубопроводах",ГОСТ 24856-2014,,,,,,,,KSI160001363
,,,CABB,,,,Арматура трубопроводная с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.1,ЭЛ 40 15 30,,,,KSI160001364
,,,,CABBA,,,Вентили и устройства смывные,," ФССЦ 81-01-2001
Приказ Минстроя России от 17.11.2022 N 969/пр",,,69.1.01,,,,,KSI160001365
,,,,,,CABBA010,Вентиль запорный с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.1.01.01,ЭЛ 40 15 30 05,,,,KSI160001366
,,,,,,CABBA020,Устройство смывное автоматические,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.1.01.02,ЭЛ 40 15 30 99,,,,KSI160001367
,,,,CABBB,,,Задвижки с электроприводом,," ФССЦ 81-01-2001
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.1.02,ЭЛ 40 15 30 10,,,,KSI160001368
,,,,,,CABBB010,Задвижка с выдвижным шпинделем с электроприводом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.1.02.01,,,,,KSI160001369
,,,,CABBC,,,Клапаны,," ФССЦ 81-01-2001
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.1.03,ЭЛ 40 15 30 25,,,,KSI160001370
,,,,,,CABBC010,Клапан балансировочный с электроприводом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.1.03.01,,,,,KSI160001371
,,,,,,CABBC020,Клапан запорный с электроприводом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"69.1.03.02
",,,,,KSI160001372
,,,,,,CABBC030,Клапан регулирующий с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.1.03.03,ЭЛ 40 15 30 40,,,,KSI160001373
,,,,,,CABBC040,Клапан соленоидный с электроприводом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.1.03.04,,,,,KSI160001374
,,,CABC,,,,Баки расширительные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"18.5.01
",ЭЛ 40 50 10 35,,,,KSI160001375
,,,CABD,,,,"Заслонки, клапаны для воздуховодов с электроприводом",, Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.2,,,,,KSI160001376
,,,,CABDA,,,Заслонки с электроприводом,,,,,69.2.01.01,,,,,KSI160001377
,,,,,,CABDA010,Заслонка воздушная с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.2.01.01,ЭЛ 40 20 40 12,,,,KSI160001378
,,,,CABDB,,,Клапаны с электроприводом,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,69.2.02,ЭЛ 40 15 30 25,,,,KSI160001379
,,,,,,CABDB010,Клапан вентиляционный с электроприводом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.2.02.01,,,,,KSI160001380
,,,,,,CABDB020,Клапан воздушный с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.2.02.02,ЭЛ 40 20 40 14,,,,KSI160001381
,,,,,,CABDB030,Клапан дымоудаления,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.2.02.03,ЭЛ 40 15 30 50,,,,KSI160001382
,,,,,,CABDB040,Клапан огнезадерживающий с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.2.02.04,ЭЛ 40 30 20 20,,,,KSI160001383
,,,,,,CABDB050,Клапан противопожарный с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.2.02.05,ЭЛ 40 15 30 45,,,,KSI160001384
,,,CABE,,,,"Элементы термостатические, электроприводы",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.3.,,,,,KSI160001385
,,,,CABEA,,,Электроприводы,,"ГОСТ Р 50369-92
Приказ Минстроя России от 17.11.2022 N 969/пр",,, 69.3.01,,,,,KSI160001386
,,,,,CABEAA,,Электроприводы для шаровых кранов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.3.01.01,,,,,KSI160001387
,,,,,CABEAB,,Электроприводы редукторные к клапанам,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.3.01.02,,,,,KSI160001388
,,,,CABEB,,,Элементы термостатические,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.3.02,,,,,KSI160001389
,,,,,CABEBA,,Термостаты,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,69.3.02.01,,,,,KSI160001390
,,,,,CABEBB,,Элементы термостатические (терморегуляторы),,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,69.3.02.02,ЭЛ 40 25 10 50,,,,KSI160001391
,CB,,,,,,Оборудование газовых и воздушных систем,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.1
","ЭЛ 40 15 42
ЭЛ 40 20 40
ЭЛ 40 20 50",,,,KSI160001392
,,CBA,,,,,Воздуховоды и комплектующие,,"ГОСТ 8468-81
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.1.01
","СТ 10 17
ЭЛ 40 20 10",,,,KSI160001393
,,,,,,CBA010,Воздуховод алюминиевый гофрированный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.01,СТ 10 17 20 30,,,,KSI160001394
,,,,,,CBA020,Воздуховод из листовой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.02,СТ 10 17 10,,,,KSI160001395
,,,,,,CBA030,Воздуховод из оцинкованной стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.03,"СТ 10 17 10 30
СТ 10 17 10 40",,,,KSI160001396
,,,,,,CBA040,Воздуховод из тонколистовой коррозионно-стойкой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.04,СТ 10 17 10 50,,,,KSI160001397
,,,,,,CBA050,Воздуховод многослойный звукопоглощающий теплоизолированный гибкий,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.05,ЭЛ 40 20 10 30,,,,KSI160001398
,,,,,,CBA060,Врезки из оцинкованной стали воротниковые,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.06,ЭЛ 40 20 20 10,,,,KSI160001399
,,,,,,CBA070,Врезки из оцинкованной стали прямые,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.07,ЭЛ 40 15 20 10,,,,KSI160001400
,,,,,,CBA080,Заглушка торцевая оцинкованная для воздуховодов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.08,"ЭЛ 40 15 20 20
ЭЛ 40 20 20 12",,,,KSI160001401
,,,,,,CBA090,Изделие фасонное для воздуховодов из оцинкованной стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.09,ЭЛ 40 20 20,,,,KSI160001402
,,,,,,CBA100,Контрфланец для подсоединения к воздуховоду,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.01.10,,,,,KSI160001403
,,,,,,CBA110,Крепление для воздуховодов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.01.11,,,,,KSI160001404
,,,,,,CBA120,Фланец прямоугольный из угловой стали для воздуховодов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.01.12,ЭЛ 40 15 20 60,,,,KSI160001405
,,CBB,,,,,Воздухоотводчики и воздухораспределители,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"19.1.02
",,,,,KSI160001406
,,,,,,CBB010,Воздухоотводчик,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.01,ЭЛ 40 25 10 12,,,,KSI160001407
,,,,,,CBB020,Воздухораспределитель вихревой регулируемый из углеродистой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.02,ЭЛ 40 20 30 10,,,,KSI160001408
,,,,,,CBB030,Воздухораспределитель панельный перфорированный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.03,ЭЛ 40 20 30 10,,,,KSI160001409
,,,,,,CBB040,Воздухораспределитель прямоструйный из углеродистой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.04,ЭЛ 40 20 30 10,,,,KSI160001410
,,,,,,CBB050,Воздухораспределитель прямоточный регулируемый из листовой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.05,ЭЛ 40 20 30 10,,,,KSI160001411
,,,,,,CBB060,Воздухораспределитель прямоточный регулируемый из углеродистой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.06,ЭЛ 40 20 30 10,,,,KSI160001412
,,,,,,CBB070,Воздухораспределитель эжекционный панельный штампованный из листовой и сортовой стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.07,ЭЛ 40 20 30 10,,,,KSI160001413
,,,,,,CBB080,Воздухораспределитель эжекционный панельный штампованный из оцинкованной стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.02.08,ЭЛ 40 20 30 10,,,,KSI160001414
,,CBC,,,,,Воздухосборники,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.1.03
",ЭЛ 40 25 10 10,,,,KSI160001415
,,,,,,CBC010,Воздухосборник из стальных бесшовных и сварных труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.03.01,,,,,KSI160001416
,,,,,,CBC020,Воздухосборник проточный из стальных водогазопроводных и бесшовных труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.03.02,,,,,KSI160001417
,,CBD,,,,,Дефлекторы,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.1.04
",ЭЛ 40 20 40 18,,,,KSI160001418
,,,,,,CBD010,Дефлектор вытяжной цилиндрический,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.04.01,,,,,KSI160001419
,,,,,,CBD020,Дефлектор статический,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.04.02,,,,,KSI160001420
,,CBE,,,,,Диффузоры,"Расширяющаяся часть канала или трубопровода, в которой происходит уменьшение скорости потока воздуха, газа или жидкости и возрастание давления","Терминологический словарь по строительству на 12 языках (ВНИИИС Госстроя СССР)
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.1.05.,ЭЛ 40 20 30 30,,,,KSI160001421
,,,,,,CBE010,Диффузор конический универсальный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.05.01,,,,,KSI160001422
,,,,,,CBE020,Диффузор потолочный из алюминиевого профиля,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.05.02,,,,,KSI160001423
,,,,,,CBE030,Диффузор потолочный металлический,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.05.03,,,,,KSI160001424
,,,,,,CBE040,Диффузор потолочный пластиковый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.05.04,,,,,KSI160001425
,,CBF,,,,,Узлы прохода вытяжных вентиляционных шахт,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"19.1.06
",ЭЛ 40 20 40 32,,,,KSI160001426
,,,,,,CBF010,Узел прохода вытяжных вентиляционных шахт без клапана,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.06.01,,,,,KSI160001427
,,,,,,CBF020,"Узел прохода вытяжных вентиляционных шахт с клапаном, с площадкой под исполнительный механизм",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.06.02,,,,,KSI160001428
,,,,,,CBF030,Узел прохода вытяжных вентиляционных шахт с клапаном в искрозащищенном исполнении с ручным управлением,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.06.03,,,,,KSI160001429
,,,,,,CBF040,Узел прохода вытяжных вентиляционных шахт с клапаном ручного управления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.06.04,,,,,KSI160001430
,,,,,,CBF050,Узел прохода вытяжных вентиляционных шахт с неутепленным клапаном,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.1.06.05,,,,,KSI160001431
,,CBG,,,,,Комплектующие шумоглушителей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.01.,,,,,KSI160001432
,,,,,,CBG010,Пластина шумопоглощающая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.01.01,,,,,KSI160001433
,,CBH,,,,,Шумоглушители,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,19.4.02.,ЭЛ 40 20 40 42,,,,KSI160001434
,,,,,,CBH010,Глушитель шума пластинчатый прямоугольного сечения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.02.01,,,,,KSI160001435
,,,,,,CBH020,Глушитель шума трубный прямоугольного сечения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.02.02,,,,,KSI160001436
,,,,,,CBH030,Глушитель шума трубчатый круглого сечения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.02.03,,,,,KSI160001437
,,,,,,CBH040,Шумоглушитель для круглых воздуховодов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.02.04,,,,,KSI160001438
,,,,,,CBH050,Шумоглушитель для прямоугольных воздуховодов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.02.05,,,,,KSI160001439
,,,,,,CBH060,Шумоглушитель крышный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,19.4.02.06,,,,,KSI160001440
,,CBJ,,,,,Приборы газовые,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,66.1,ЭЛ 40 15 42,,,,KSI160001441
,,,CBJA,,,,Плиты газовые,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,66.1.01.,ЭЛ 40 15 42 45,,,,KSI160001442
,,,CBJB,,,,Счетчики газовые,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,66.1.02.,ЭЛ 40 55 20 14,,,,KSI160001443
,,,CBJC,,,,Устройства газогорелочные и горелки,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,66.1.03.,,,,,KSI160001444
,,,,CBJCA,,,Горелки газовые подовые низкого давления,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,66.1.03.02,ЭЛ 40 15 42 25,,,,KSI160001445
,,,,CBJCB,,,Горелки газовые с принудительной подачей воздуха среднего давления,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,66.1.03.03,ЭЛ 40 15 42 25,,,,KSI160001446
,,,,CBJCC,,,Устройства газогорелочные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,66.1.03.04,ЭЛ 40 15 42 25,,,,KSI160001447
,,,,CBJCD,,,Дополнительные газовые устройства,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,66.1.03.05,,,,,KSI160001448
,CC,,,,,,Оборудование водяных и жидкостных систем,,,,,,,,,,KSI160001449
,,CCA,,,,,Насосы,"Механическое или иное устройство, которое создает давление в замкнутой системе или вызывает поток жидкости","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"68.1
",ЭЛ 40 50 10 32,,,,KSI160001450
,,,CCAA,,,,Насос специального применения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01,,,,,KSI160001451
,,,,,,CCAA010,Насос грязевой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.01,,,,,KSI160001452
,,,,,,CCAA020,Насос для бассейна,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.02,,,,,KSI160001453
,,,,,,CCAA030,Насос для скульптур и интерьерных фонтанов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.03,,,,,KSI160001454
,,,,,,CCAA040,Насос для фильтров,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.04,,,,,KSI160001455
,,,,,,CCAA050,Насос для фонтанов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.05,,,,,KSI160001456
,,,,,,CCAA060,Насос дозирующие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.06,,,,,KSI160001457
,,,,,,CCAA070,Насос дренажный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.07,,,,,KSI160001458
,,,,,,CCAA080,Насос канализационный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.01.08,,,,,KSI160001459
,,,,,,CCAA090,Питательный насос,,СП 90.13330.2012,,,,,,,,KSI160001460
,,,CCAB,,,,Насос центробежный,"Насос, в который жидкость поступает через центр, и откуда под действием вращающегося лопастного колеса вытекает по касательной","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,68.1.02,,,,,KSI160001461
,,,,,,CCAB010,Насос консольный одноступенчатый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.02.01,,,,,KSI160001462
,,,,,,CCAB020,Насос центробежный с погружным электродвигателем,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.02.02,,,,,KSI160001463
,,,CCAC,,,,Насос циркуляционный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.03,,,,,KSI160001464
,,,,,,CCAC010,Насос циркуляционный для отопления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.1.03.01,,,,,KSI160001465
,,,CCAD,,,,Насосы роторные объемные для перекачки жидкостей,,,,,,,,,,KSI160001466
,,CCB,,,,,Станции насосные и защиты,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.2.,,,,,KSI160001467
,,,,,,CCB010,Станция управления и защиты,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.2.01.01,,,,,KSI160001468
,,,,,,CCB020,Станция насосная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,68.2.02.,,,,,KSI160001469
,,CCC,,,,,Материалы и изделия для систем водоснабжения и канализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.2
",,,,,KSI160001470
,,,CCCA,,,,Изделие санитарно-техническое керамическое,"Глазурованное изделие, изготовленное из смеси белых глин и минералов, обожженное при высокой температуре и предназначенное для санитарно-гигиенического и хозяйственного применения путем приема и смыва загрязнений водой","ГОСТ 15167-93
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"18.2.01
",,,,,KSI160001471
,,,,,,CCCA010,Биде полуфарфоровый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.01.01,ЭЛ 40 50 40 10,,,,KSI160001472
,,,,,,CCCA020,Ванна,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.01.02,ЭЛ 40 50 40 15,,,,KSI160001473
,,,,,,CCCA030,Писсуар,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.01.03,ЭЛ 40 50 40 35,,,,KSI160001474
,,,,,,CCCA040,Раковина,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.01.04,ЭЛ 40 50 40 50,,,,KSI160001475
,,,,,,CCCA050,Умывальник,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.01.05,ЭЛ 40 50 40 65,,,,KSI160001476
,,,,,,CCCA060,Унитаз,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.01.06,ЭЛ 40 50 40 70,,,,KSI160001477
,,,CCCB,,,,Изделие санитарно-техническое металлическое,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.2.02
",,,,,KSI160001478
,,,,,,CCCB010,Ванна стальная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.01,ЭЛ 40 50 40 15,,,,KSI160001479
,,,,,,CCCB020,Ванна чугунная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.02,ЭЛ 40 50 40 15,,,,KSI160001480
,,,,,,CCCB030,Кабина душевая,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.03,"ЭЛ 40 50 40 20
ЭЛ 40 50 40 51",,,,KSI160001481
,,,,,,CCCB040,Мойка из нержавеющей стали,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.04,"ЭЛ 40 50 40 25
ЭЛ 40 50 40 30",,,,KSI160001482
,,,,,,CCCB050,Мойка стальная эмалированная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.05,"ЭЛ 40 50 40 25
ЭЛ 40 50 40 30",,,,KSI160001483
,,,,,,CCCB060,Мойка чугунная эмалированная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.06,"ЭЛ 40 50 40 25
ЭЛ 40 50 40 30",,,,KSI160001484
,,,,,,CCCB070,Поддон душевой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.07,"ЭЛ 40 50 40 40
ЭЛ 40 50 40 52",,,,KSI160001485
,,,,,,CCCB080,Раковина и умывальник,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.02.08,"ЭЛ 40 50 40 50
ЭЛ 40 50 40 65",,,,KSI160001486
,,,,,,CCCB090,Чаша напольная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.02.09,,,,,KSI160001487
,,,CCCC,,,,Изделие санитарно-техническое пластиковое,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.2.03
",,,,,KSI160001488
,,,,,,CCCC010,Ванна полимерная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,18.2.03.01,ЭЛ 40 50 40 15,,,,KSI160001489
,,,CCCD,,,,Колодец для систем водоснабжения и канализации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"18.2.04
",,,,,KSI160001490
,,,,,,CCCD010,Колодец водопроводный полиэтиленовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.01,,,,,KSI160001491
,,,,,,CCCD020,Колодец дождевой пластиковый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.02,,,,,KSI160001492
,,,,,,CCCD030,Колодец дождеприемный безлотковый полиэтиленовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.03,,,,,KSI160001493
,,,,,,CCCD040,Колодец дренажный пластиковый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.04,,,,,KSI160001494
,,,,,,CCCD050,Колодец канализационный лотковый полиэтиленовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.05,,,,,KSI160001495
,,,,,,CCCD060,Колодец смотровой пластиковый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,18.2.04.06,,,,,KSI160001496
