Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,,,ABG080,Инженер по строительному контролю,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000061
,,,,ABG090,Инженер строительной лаборатории,,Постановление Госстандарта РФ от 26.12.1994 N 367,,42499,,,,KSI190000062
,,,,ABG100,Инженер-сметчик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22696,,,,KSI190000063
,,ABJ,,,Архитектор,"Специалист в области архитектуры, создающий здания и комплексы зданий, а также города в соответствии с функциональными, конструктивными и эстетическими ",Постановление Госстандарта РФ от 26.12.1994 N 367,,20196,,,,KSI190000064
,,,,ABJ010,Ландшафтный архитектор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23705,,,,KSI190000065
,,,,ABJ020,Архитектор организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000066
,,ABK,,,Градостроитель проекта,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000067
,,ABL,,,Эксперт,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27779,,,,KSI190000068
,,,,ABL010,Строительный эксперт,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000069
,,,,ABL020,Эксперт-эколог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000070
,,,,ABL030,Эколог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000071
,,,,ABL040,Эксперт-социолог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000072
,,,,ABL050,Эксперт транспортного развития территорий,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000073
,,,,ABL060,Эксперт-экономист градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000074
,,,,ABL070,Эксперт инженерного обеспечения территории,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000075
,,ABM,,,Социолог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000076
,,ABN,,,Экономист градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000077
,,ABP,,,Механик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,24110,,,,KSI190000078
,,ABQ,,,Главный специалист,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20889,,,,KSI190000079
,,,,ABQ010,Главный специалист в отделе (архитектурно-планировочной мастерской),,"Постановление Минтруда России от 21.08.1998 N 37
Приказ Минздравсоцразвития России от 23.04.2008 N 188",,,,,,KSI190000080
,,,,ABQ020,Главный специалист в отделе инженерных изысканий,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000081
,,ABR,,,Техник,,Постановление Госстандарта РФ от 26.12.1994 N 367,,26927,,,,KSI190000082
,,,,ABR010,Техник организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000083
,,,,ABR020,Техник-проектировщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27102,,,,KSI190000084
,,ABS,,,Ведущий инженер отдела (комплексного или по видам инженерных изысканий),,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000085
,,ABT,,,Лаборант,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23690,,,,KSI190000086
,,ABU,,,Буровой мастер,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23806,,,,KSI190000087
,,ABV,,,Топограф,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27159,,,,KSI190000088
,,ABW,,,Старший топограф,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27159,,,,KSI190000089
,AC,,,,Технический исполнитель,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000090
,,ACA,,,Агент,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000091
,,,,ACA010,Агент по продаже недвижимости,,Постановление Госстандарта РФ от 26.12.1994 N 367,,20026,,,,KSI190000092
