c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,,0036,,,,,Код ТНВЭД,XNCC0036,Товарная номенклатура внешнеэкономической деятельности Евразийского экономического союза,,Текстовый,,,,,,,,KSI210000056
,,,,0037,,,,,Код ОКВГУМ,XNCC0037,"Общероссийский классификатор видов грузов, упаковки и упаковочных материалов",,Текстовый,,,,,,,,KSI210000057
,,,,0038,,,,,Код ОКОФ,XNCC0038,Общероссийский классификатор основных фондов,,Текстовый,,,,,,,,KSI210000058
,,,,0039,,,,,Код ОКП,XNCC0039,Общероссийский классификатор продукции,,Текстовый,,,,,,,,KSI210000059
,,,,0040,,,,,Код ОКС,XNCC0040,Общероссийский классификатор стандартов ,,Текстовый,,,,,,,,KSI210000060
,,,,0041,,,,,Код ОКТС,XNCC0041,Общероссийский классификатор трансформационных событий ,,Текстовый,,,,,,,,KSI210000061
,,,,0042,,,,,Код КОКСФН,XNCC0042,Классификатор объектов капитального строительства по функциональному назначению,,Текстовый,,,,,,,,KSI210000062
,,,R,,,,,Региональные классификаторы,,XNCR,,,,,,,,,,,KSI210000063
,,,,0001,,,,,Код МССК,XNCR0001,Московская Строительная Система Классификаторов,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 40 10 10,,,,,KSI210000064
,,,P,,,,,Сборники расценок,,XNCP,,,,,,,,,,,KSI210000065
,,,,0001,,,,,Код ГЭСН,XNCP0001,Государственные Элементные Сметные Нормы,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<ARe>",,,KSI210000066
,,,,0002,,,,,Код ТЕР,XNCP0002,Территориальные единичные расценки в строительстве,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000067
,,,,0003,,,,,Код ФЕР,XNCP0003,Федеральные единичные расценки,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000068
,,,,0004,,,,,Код измерителя ГЭСН,XNCP0004,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000069
,,,,0005,,,,,Код измерителя ГЭСНм,XNCP0005,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000070
,,,,0006,,,,,Код измерителя ГЭСНр,XNCP0006,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000071
,,,,0007,,,,,Код измерителя ГЭСНп,XNCP0007,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000072
,,,,0008,,,,,Код измерителя ГЭСНмр,XNCP0008,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000073
,,,,0009,,,,,Код состава работ ГЭСН,XNCP0009,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000074
,,,,0010,,,,,Код состава работ ГЭСНм,XNCP0010,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000075
,,,,0011,,,,,Код состава работ ГЭСНр,XNCP0011,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000076
,,,,0012,,,,,Код состава работ ГЭСНп,XNCP0012,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000077
,,,,0013,,,,,Код состава работ ГЭСНмр,XNCP0013,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000078
,,,,0014,,,,,Код измерителя расхода ГЭСН,XNCP0014,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000079
,,,,0015,,,,,Код измерителя расхода ГЭСНм,XNCP0015,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000080
,,,,0016,,,,,Код измерителя расхода ГЭСНр,XNCP0016,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000081
,,,,0017,,,,,Код измерителя расхода ГЭСНп,XNCP0017,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000082
,,,,0018,,,,,Код измерителя расхода ГЭСНмр,XNCP0018,,,Текстовый,,,,,"<PCo>
<PMn>
<PRe>
<CPr>
<CMa>",,,KSI210000083
,,,F,,,,,Зарубежные классификационные системы,,XNCF,,,,,,,,,,,KSI210000084
,,,,0001,,,,,Код OmniClass,XNCF0001,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",,,KSI210000085
,,,,0002,,,,,Код Uniclass 2015,XNCF0002,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",,,KSI210000086
,,,,0003,,,,,Код MasterFormat,XNCF0003,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",,,KSI210000087
,,,,0004,,,,,Код Uniformat II,XNCF0004,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",,,KSI210000088
,,,,0005,,,,,Код CCS,XNCF0005,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",,,KSI210000089
,,,,0006,,,,,Код CoClass,XNCF0006,,,Текстовый,,,,,"<TeS>
<FnS>
<Com>
<CPr>
<CMa>
<Are>",,,KSI210000090
,,,W,,,,,Ведомственные классификаторы,,XNCW,,,,,,,,,,,KSI210000091
,,,,0001,,,,,Код РЖД,XNCW0001,"Классификатор ОАО ""РЖД""",,Текстовый,,,,,,,,KSI210000092
,,,,0002,,,,,Код KKS,XNCW0002,"Классификатор Государственная корпорация по атомной энергии ""Росатом"" (ЕСККАЭ)","Приказ №1/545-П от 28.05.2018 г.  Государственная корпорация по атомной энергии ""Росатом""",Текстовый,,,,,,,,KSI210000093
,,,U,,,,,Пользовательские,,XNCU,,,,,,,,,,,KSI210000094
,,T,,,,,Тип и вид,,,XNT_,,,,,,,,,,,KSI210000095
,,,,0001,,,,,Вид,XNT_0001,,,Текстовый,,,,,,,,KSI210000096
,,,,0002,,,,,Тип,XNT_0002,,,Текстовый,,,,,,,,KSI210000097
,,,,0003,,,,,Класс,XNT_0003,,,Текстовый,,,,,,,,KSI210000098
,,,,0004,,,,,Категория,XNT_0004,,,Текстовый,,,,,,,,KSI210000099
,,,,0005,,,,,Марка,XNT_0005,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,Текстовый,,,ПР 40 10 14,,,,,KSI210000100
,,,,0006,,,,,Имя,XNT_0006,,,Текстовый,,,,,,,,KSI210000101
,,,,0007,,,,,Цвет,XNT_0007,,,Текстовый,,,,,,,,KSI210000102
,,,,0008,,,,,Производитель,XNT_0008,,,Текстовый,,,,,,,,KSI210000103
,,,,0009,,,,,Наименование по каталогу,XNT_0009,,,Текстовый,,,,,,,,KSI210000104
,,,,0010,,,,,Артикул по каталогу,XNT_0010,,,Текстовый,,,,,,,,KSI210000105
,,,,0011,,,,,Группа,XNT_0011,,,Текстовый,,,,,,,,KSI210000106
,,,,0012,,,,,Объект культурного наследия,XNT_0012,"К объектам культурного наследия (памятникам истории и культуры) народов Российской Федерации (далее - объекты культурного наследия)  относятся объекты недвижимого имущества (включая объекты археологического наследия) и иные объекты с исторически связанными с ними территориями, произведениями живописи, скульптуры, декоративно-прикладного искусства, объектами науки и техники и иными предметами материальной культуры, возникшие в результате исторических событий, представляющие собой ценность с точки зрения истории, археологии, архитектуры, градостроительства, искусства, науки и техники, эстетики, этнологии или антропологии, социальной культуры и являющиеся свидетельством эпох и цивилизаций, подлинными источниками информации о зарождении и развитии культуры.",Федеральный закон от 25.06.2002 N 73-ФЗ,Логический,,,,,"<RZo>
<CCo>
<Cen>",,,KSI210002030
,,,,0013,,,,,Вид объекта культурного наследия,XNT_0013,Вид объекта культурного наследия в соответствии с Федеральным законом от 25.06.2002 N 73-ФЗ,  Федеральный закон от 25.06.2002 N 73-ФЗ,Из списка,"Памятники; 
Ансамбли; 
Достопримечательные места",,,,"<RZo>
<CCo>
<Cen>",,,KSI210002060
