Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание,Синонимы,УИН
,,,JLAC,,,,Выравнивание концов полиэтиленовых труб,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-003,,,KSI110001817
,,,JLAD,,,,Механическая резка полиэтиленовых труб,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-004,,,KSI110001818
,,,JLAE,,,,Установка отвода на газопроводе из полиэтиленовых труб в горизонтальной плоскости,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-005,,,KSI110001819
,,,JLAF,,,,Установка тройника на газопроводе из полиэтиленовых труб в горизонтальной плоскости,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-006,,,KSI110001820
,,,JLAG,,,,Установка седловых отводов полиэтиленовых с закладными нагревателями на газопроводе из полиэтиленовых труб,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-007,,,KSI110001821
,,,JLAH,,,,"Установка отвода на газопроводе из полиэтиленовых труб сваркой ""встык"" нагревательным элементом",,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-008,,,KSI110001822
,,,JLAJ,,,,"Установка тройника на газопроводе из полиэтиленовых труб сваркой ""встык"" нагревательным элементом",,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-009,,,KSI110001823
,,,JLAK,,,,"Установка неразъемного соединения ""полиэтилен-сталь"" на газопроводе",,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-010,,,KSI110001824
,,JLB,,,,,Противокоррозионная изоляция стальных газопроводов,,ГЭСН 81-02-24-2020,по виду работ,,,,,KSI110001825
,,,JLBA,,,,Изоляция термоусаживающимися лентами сварных стыков газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-020,,,KSI110001826
,,,JLBB,,,,Изоляция комбинированным мастично-ленточным материалом сварных стыков газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-021,,,KSI110001827
,,JLC,,,,,Подземная укладка трубопроводов,,ГЭСН 81-02-24-2020,по месту производства работ,,,,,KSI110001828
,,,JLCA,,,,Укладка в траншею изолированных стальных газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-030,,,KSI110001829
,,,JLCB,,,,Укладка газопроводов из полиэтиленовых труб в траншею с установленного барабана,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-031,,,KSI110001830
,,,JLCC,,,,Опрессовка полиэтиленовых труб на барабане,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-032,,,KSI110001831
,,,JLCD,,,,Укладка газопроводов из одиночных полиэтиленовых труб в траншею,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-033,,,KSI110001832
,,JLD,,,,,Надземная прокладка стальных газопроводов,,ГЭСН 81-02-24-2020,по месту производства работ,,,,,KSI110001833
,,,JLDA,,,,Монтаж металлических опор для надземной прокладки стальных газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-040,,,KSI110001834
,,,JLDB,,,,Надземная прокладка стальных газопроводов на металлических опорах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-041,,,KSI110001835
,,JLE,,,,,Установка стальных кранов и задвижек на газопроводах,,ГЭСН 81-02-24-2020,по виду работ,,,,,KSI110001836
,,,JLEA,,,,Сборка узла газового крана в колодцах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-050,,,KSI110001837
,,,JLEB,,,,Установка узла газового крана в колодцах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-051,,,KSI110001838
,,,JLEC,,,,Монтаж задвижки для надземной установки на газопроводах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-052,,,KSI110001839
,,,JLED,,,,Монтаж задвижки для подземной установки на газопроводах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-053,,,KSI110001840
,,JLF,,,,,Устройство цокольного ввода газопровода в здание,,ГЭСН 81-02-24-2020,,,"ГЭСН 24-02-060
ГЭСН 24-02-061
ГЭСН 24-02-062",,,KSI110001841
,,JLG,,,,,Установка конденсатосборника на наружных сетях газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-070,,,KSI110001842
,,JLH,,,,,Установка гидравлического затвора на наружных сетях газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-071,,,KSI110001843
,,JLJ,,,,,Установка двухлинзового компенсатора на газопроводах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-072,,,KSI110001844
,,JLK,,,,,Установка газовых свечей,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-080,,,KSI110001845
,,JLL,,,,,Устройство контрольной трубки на кожухе перехода газопровода,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-081,,,KSI110001846
,,JLM,,,,,Врезка под газом в действующие стальные газопроводы,,ГЭСН 81-02-24-2020,,,"ГЭСН 24-02-090
ГЭСН 24-02-091
ГЭСН 24-02-092
ГЭСН 24-02-093",,,KSI110001847
,,JLN,,,,,Отключение и заглушка под газом действующих газопроводов,,ГЭСН 81-02-24-2020,по виду работ,,,,,KSI110001848
,,,JLNA,,,,Отключение и заглушка под газом действующих стальных газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-100,,,KSI110001849
,,,JLNB,,,,Установка и снятие передавливателей для отключения газопроводов из полиэтиленовых труб,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-101,,,KSI110001850
,,,JLNC,,,,Перекрытие полиэтиленовой трубы газопровода с помощью перекрывающего устройства,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-102,,,KSI110001851
,,JLP,,,,,Электрохимзащита газопроводов,,ГЭСН 81-02-24-2020,по виду работ,,,,,KSI110001852
,,,JLPA,,,,"Монтаж контрольно-измерительного пункта, электрода сравнения на газопроводах",,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-110,,,KSI110001853
,,,JLPB,,,,Установка станции катодной защиты с устройством защитного заземления на газопроводах,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-111,,,KSI110001854
,,,JLPC,,,,Монтаж узла присоединения дренажной станции к рельсам ,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-112,,,KSI110001855
,,,JLPD,,,,Устройство глубинного анодного заземлителя глубиной 50 м при сооружении электрохимической защиты подземных стальных газопроводов,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-113,,,KSI110001856
,,JLQ,,,,,Испытание газопроводов,,ГЭСН 81-02-24-2020,по виду работ,,,,,KSI110001857
,,,JLQA,,,,Очистка полости трубопровода продувкой воздухом при испытаниях трубопровода,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-120,,,KSI110001858
,,,JLQB,,,,Монтаж инвентарного узла для очистки и испытания газопровода,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-121,,,KSI110001859
,,,JLQC,,,,Подъем давления при испытании воздухом газопроводов низкого и среднего давления,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-122,,,KSI110001860
,,,JLQD,,,,Подъем давления при испытании воздухом газопроводов высокого давления,,ГЭСН 81-02-24-2020,,,ГЭСН 24-02-123,,,KSI110001861
,,,JLQE,,,,Выдержка газопровода под давлением при испытании на прочность и герметичность,,ГЭСН 81-02-24-2020,,,"ГЭСН 24-02-124
ГЭСН 24-02-125",,,KSI110001862
K,,,,,,,Устройство линий электропередач,,ГЭСН 81-02-33-2020,по типу конструкций,,,,,KSI110001863
,KA,,,,,,Устройство воздушных линий электропередач напряжением 35-1150 кВ,,ГЭСН 81-02-33-2020,по виду работ,,,,,KSI110001864
,,KAA,,,,,Установка сборных железобетонных фундаментов под железобетонные центрифугированные опоры линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-001,,,KSI110001865
,,KAB,,,,,Установка сборных железобетонных фундаментов под стальные опоры линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-001,,,KSI110001866
,,KAC,,,,,Устройство монолитных железобетонных фундаментов под стальные опоры линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-002,,,KSI110001867
,,KAD,,,,,Бурение котлованов под железобетонные центрифугированные опоры линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-007,,,KSI110001868
,,KAE,,,,,Установка железобетонных центрифугированных опор линий электропередач в пробуренные котлованы,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-008,,,KSI110001869
,,KAF,,,,,Установка железобетонных центрифугированных опор линий электропередач в отрытые котлованы,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-009,,,KSI110001870
,,KAG,,,,,Установка стальных лестниц на железобетонные центрифугированные опоры линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-010,,,KSI110001871
,,KAH,,,,,Установка стальных опор линий электропередач,,ГЭСН 81-02-33-2020,,,"ГЭСН 33-01-016 
ГЭСН 33-01-017
ГЭСН 33-01-018",,,KSI110001872
,,KAJ,,,,,Подвеска проводов без пересечений с препятствиями,,ГЭСН 81-02-33-2020,,,"ГЭСН 33-01-024
ГЭСН 33-01-025
ГЭСН 33-01-026",,,KSI110001873
,,KAK,,,,,Подвеска проводов между анкерными опорами с пересечением препятствий,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-027,,,KSI110001874
,,KAL,,,,,Подвеска проводов между промежуточными опорами с пересечением препятствий,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-028,,,KSI110001875
,,KAM,,,,,Подвеска грозозащитных тросов между опорами с пересечением препятствий,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-029,,,KSI110001876
,,KAN,,,,,Устройство транспозиции проводов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-030 ,,,KSI110001877
,,KAP,,,,,Устройство транспозиции грозозащитных тросов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-031,,,KSI110001878
,,KAQ,,,,,Выполнение антикоррозионного покрытия грозозащитных тросов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-032 ,,,KSI110001879
,,KAR,,,,,"Подвеска проводов методом ""под тяжением"" без пересечений с препятствиями",,ГЭСН 81-02-33-2020,,,"ГЭСН 33-01-051
ГЭСН 33-01-052
ГЭСН 33-01-053
ГЭСН 33-01-054",,,KSI110001880
,,KAS,,,,,"Подвеска грозозащитных тросов методом ""под тяжением"" без пересечений с препятствиями",,ГЭСН 81-02-33-2020,,,"ГЭСН 33-01-055
ГЭСН 33-01-056
ГЭСН 33-01-057",,,KSI110001881
,,KAT,,,,,"Подвеска проводов между анкерными опорами методом ""под тяжением"" с пересечением препятствий",,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-058,,,KSI110001882
,,KAU,,,,,"Подвеска проводов между промежуточными опорами методом ""под тяжением"" с пересечением препятствий",,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-059,,,KSI110001883
,,KAV,,,,,"Подвеска грозозащитных тросов между опорами методом ""под тяжением"" с пересечением препятствий",,ГЭСН 81-02-33-2020,,,ГЭСН 33-01-060,,,KSI110001884
,KB,,,,,,Устройство открытых распределительных устройств напряжением 35-1150 кВ,,ГЭСН 81-02-33-2020,по виду работ,,,,,KSI110001885
,,KBA,,,,,Установка сборных железобетонных фундаментов под порталы,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-001,,,KSI110001886
,,KBB,,,,,Установка сборных железобетонных фундаментов под опоры для оборудования ОРУ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-001,,,KSI110001887
,,KBC,,,,,Установка сборных железобетонных конструкций порталов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-007,,,KSI110001888
,,KBD,,,,,Установка опор под оборудование ОРУ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-007,,,KSI110001889
,,KBE,,,,,Установка прожекторных мачт,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-007,,,KSI110001890
,,KBF,,,,,Установка отдельно стоящих молниеотводов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-007,,,KSI110001891
,,KBG,,,,,Установка стальных конструкций для порталов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-013,,,KSI110001892
,,KBH,,,,,Установка стальных конструкций для крепления оборудования ОРУ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-013,,,KSI110001893
,,KBJ,,,,,Установка стальных конструкций молниеотводов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-013,,,KSI110001894
,,KBK,,,,,Установка стальных конструкций отдельностоящих прожекторных мачт,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-013,,,KSI110001895
,,KBL,,,,,Укладка продольных рельсовых путей колеи на сборных железобетонных плитах при устройстве ОРУ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-019,,,KSI110001896
,,KBM,,,,,Укладка поперечных рельсовых путей на сборных железобетонных плитах при устройстве ОРУ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-020,,,KSI110001897
,,KBN,,,,,Укладка пересечений продольных рельсовых путей колеи с поперечными рельсовыми путями на сборных железобетонных плитах при устройстве ОРУ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-021,,,KSI110001898
,,KBP,,,,,Установка сборных железобетонных конструкций огнезащитных перегородок для трансформаторов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-02-022,,,KSI110001899
,KC,,,,,,Дополнительные работы при устройстве линий электропередач,,ГЭСН 81-02-33-2020,по виду работ,,,,,KSI110001900
,,KCA,,,,,Гидроизоляция сборных железобетонных фундаментов при устройстве линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-001,,,KSI110001901
,,KCB,,,,,Гидроизоляция железобетонных центрифугированных опор при устройстве линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-001,,,KSI110001902
,,KCC,,,,,Гидроизоляция железобетонных порталов при устройстве линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-001,,,KSI110001903
,,KCD,,,,,Гидроизоляция стоек линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-001,,,KSI110001904
,,KCE,,,,,Антикоррозионное покрытие оттяжек опор линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-002,,,KSI110001905
,,KCF,,,,,Выполнение заземляющих устройств с горизонтальными заземлителями при устройстве линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-003,,,KSI110001906
,,KCG,,,,,Забивка вертикальных заземлителей при устройстве линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-004,,,KSI110001907
,,KCH,,,,,Погрузо-разгрузочные работы при устройстве линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-005,,,KSI110001908
,,KCJ,,,,,Окраска установленных стальных опор линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-006,,,KSI110001909
,,KCK,,,,,Окраска установленных стальных конструкций железобетонных центрифугированных опор линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-007,,,KSI110001910
,,KCL,,,,,Окраска установленных стальных конструкций линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-008,,,KSI110001911
,,KCM,,,,,Рыхление скального грунта под фундаменты опор линий электропередач,,ГЭСН 81-02-33-2020,,,ГЭСН 33-03-009,,,KSI110001912
,KD,,,,,,"Устройство линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,по виду работ,,,,,KSI110001913
,,KDA,,,,,"Установка деревянных опор линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,"ГЭСН 33-04-001
ГЭСН 33-04-002",,,KSI110001914
,,KDB,,,,,"Установка железобетонных опор линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-003,,,KSI110001915
,,KDC,,,,,"Установка одностоечных опор с железобетонными вибрированными стойками линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-004,,,KSI110001916
,,KDD,,,,,"Установка оттяжек к опорам линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-005,,,KSI110001917
,,KDE,,,,,"Установка ригелей на стойки опор линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-006,,,KSI110001918
,,KDF,,,,,"Установка ригелей на приставки опор линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-006,,,KSI110001919
,,KDG,,,,,"Установка железобетонных плит для опор линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-007,,,KSI110001920
,,KDH,,,,,"Установка ригелей для опор линий электропередач напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-006,,,KSI110001921
,,KDJ,,,,,Подвеска проводов,,ГЭСН 81-02-33-2020,,,"ГЭСН 33-04-008
ГЭСН 33-04-009
ГЭСН 33-04-010",,,KSI110001922
,,KDK,,,,,Подвеска тросов,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-010,,,KSI110001923
,,KDL,,,,,Подвеска проводов на переходах через препятствия,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-011,,,KSI110001924
,,KDM,,,,,Установка деревянных защит для подвески проводов на переходах через препятствия,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-012,,,KSI110001925
,,KDN,,,,,Устройство ответвлений от ВЛ к зданиям,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-013,,,KSI110001926
,,KDP,,,,,Установка светильников,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-014,,,KSI110001927
,,KDQ,,,,,Устройство заземления опор ВЛ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-015,,,KSI110001928
,,KDR,,,,,Устройство подстанций,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-015,,,KSI110001929
,,KDS,,,,,"Развозка конструкций и материалов опор ВЛ 0,38-10 кВ по трассе",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-016,,,KSI110001930
,,KDT,,,,,"Подвеска самонесущих изолированных проводов (СИП-2А) напряжением от 0,4 кВ до 1 кВ (со снятием напряжения)",,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-017,,,KSI110001931
,KE,,,,,,"Устройство трансформаторных подстанций напряжением 10/0,4 кВ",,ГЭСН 81-02-33-2020,по виду работ,,,,,KSI110001932
,,KEA,,,,,Установка столбовых трансформаторных подстанций,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-027,,,KSI110001933
,,KEB,,,,,Установка мачтовых трансформаторных подстанций,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-027,,,KSI110001934
,,KEC,,,,,Установка комплектных трансформаторных подстанций шкафного типа,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-028,,,KSI110001935
,,KED,,,,,Установка комплектных трансформаторных подстанций киоскового типа,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-029,,,KSI110001936
,,KEE,,,,,Установка разрядников при устройстве трансформаторных подстанций,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-030,,,KSI110001937
,,KEF,,,,,Установка разъединителей при устройстве трансформаторных подстанций,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-030,,,KSI110001938
,,KEG,,,,,Установка пунктов секционирования при устройстве трансформаторных подстанций,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-031,,,KSI110001939
,KF,,,,,,"Демонтажные работы линии электропередачи напряжением 0,38-35 кВ",,ГЭСН 81-02-33-2020,по виду работ,,,,,KSI110001940
,,KFA,,,,,Демонтаж проводов ВЛ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-040,,,KSI110001941
,,KFB,,,,,Снятие ответвлений ВЛ к зданиям,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-041,,,KSI110001942
,,KFC,,,,,Демонтаж опор ВЛ,,ГЭСН 81-02-33-2020,,,ГЭСН 33-04-042,,,KSI110001943
L,,,,,,,Устройство автомобильных дорог,,ГЭСН 81-02-27-2020,по виду работ,,,,,KSI110001944
,LA,,,,,,"Устройство оснований и покрытий дорог из грунтов, укрепляемых вяжущими материалами",,ГЭСН 81-02-27-2020,по виду работ,,"ГЭСН 27-01-001
ГЭСН 27-01-002
ГЭСН 27-01-003
ГЭСН 27-01-004",,,KSI110001945
,,LAA,,,,,Планировка земляного полотна при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001946
,,LAB,,,,,Прикатка земляного полотна при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001947
,,LAC,,,,,Распределение грунта при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001948
,,LAD,,,,,Распределение цемента при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001949
,,LAE,,,,,Размельчение грунта с увлажнением при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001950
,,LAF,,,,,Перемешивание грунта с вяжущими при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001951
,,LAG,,,,,Разравнивание материалов при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001952
,,LAH,,,,,Профилирование при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001953
,,LAJ,,,,,Укатка при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001954
,,LAK,,,,,Уход за покрытием оснований при устройстве автомобильных дорог,, ГЭСН 81-02-27-2020,,,,,,KSI110001955
,LB,,,,,,Устройство дренажей при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,по виду работ,,"ГЭСН 27-02-001
ГЭСН 27-02-002
ГЭСН 27-02-003",,,KSI110001956
,,LBA,,,,,Копание ровиков при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001957
,,LBB,,,,,Пропил хризотилцементных труб при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001958
,,LBC,,,,,Вдавливание щебня в грунт при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001959
,,LBD,,,,,Укладка гидроизоляционного слоя по дну ровика при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001960
,,LBE,,,,,Укладка щебня в ровик при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001961
,,LBF,,,,,Укладка стеклоткани по слою щебня при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001962
,,LBG,,,,,Укладка дренирующих труб при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001963
,,LBH,,,,,Устройство фильтрующей обсыпки из гравия при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001964
,,LBJ,,,,,Устройство песчаного дренирующего слоя при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001965
,,LBK,,,,,Устройство сбросов воды из продольных дренажей при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001966
,,LBL,,,,,Устройство дренажных воронок под обочинами при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,,,,,,KSI110001967
,LC,,,,,,Устройство водосбросных сооружений при устройстве автомобильных дорог,,ГЭСН 81-02-27-2020,по виду работ,,"ГЭСН 27-02-004
ГЭСН 27-02-005
ГЭСН 27-02-006
ГЭСН 27-02-007
ГЭСН 27-02-008",,,KSI110001968
,,LCA,,,,,Копание траншеи вручную при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001969
,,LCB,,,,,Устройство щебеночной подготовки при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001970
,,LCC,,,,,Установка железобетонных конструкций лотка в откосах насыпи,,ГЭСН 81-02-27-2020,,,,,,KSI110001971
,,LCD,,,,,Укладка конструкций лотка на цементном растворе с заделкой шва сопряжения с проезжей частью битумной мастикой,,ГЭСН 81-02-27-2020,,,,,,KSI110001972
,,LCE,,,,,Планировка основания перед укладкой бортового камня (лотка),,ГЭСН 81-02-27-2020,,,,,,KSI110001973
,,LCF,,,,,Установка бетонных и железобетонных конструкций колодца,,ГЭСН 81-02-27-2020,,,,,,KSI110001974
,,LCG,,,,,Бетонирование дна ливнеприемника и фундамента под бортовой камень,,ГЭСН 81-02-27-2020,,,,,,KSI110001975
,,LCH,,,,,Уход за бетоном при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001976
,,LCJ,,,,,Укладка хризотилцементной трубы при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001977
,,LCK,,,,,Установка чугунной решетки и чугунного люка при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001978
,,LCL,,,,,Обратная засыпка грунта с уплотнением и поливом воды при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001979
,,LCM,,,,,Установка бетонного упора при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001980
,,LCN,,,,,Установка шпоры при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001981
,,LCP,,,,,Укладка бетонных плит при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,,,,KSI110001982
,,LCQ,,,,,Укрепление площадки за шпорами гасителя сборными бетонными плитами при размываемых грунтах при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,,,ГЭСН 27-02-009,,,KSI110001983
,,LCR,,,,,Установка бортовых камней при устройстве водосборных сооружений,,ГЭСН 81-02-27-2020,по виду работ,,ГЭСН 27-02-010,,,KSI110001984
,,,LCRA,,,,Установка бетонного бортового камня с заполнением швов цементным раствором,,ГЭСН 81-02-27-2020,,,,,,KSI110001985
,,,LCRB,,,,"Устройство бетонного основания с уплотнением, установкой и снятием опалубки",,ГЭСН 81-02-27-2020,,,,,,KSI110001986
,,,LCRC,,,,Монтаж опалубки при устройстве бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001987
,,,LCRD,,,,Установка бортовых камней с подтеской,,ГЭСН 81-02-27-2020,,,,,,KSI110001988
,,,LCRE,,,,Заливка швов при устройстве бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001989
,,,LCRF,,,,Расшивка швов при устройстве бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001990
,,,LCRG,,,,Очистка гранитных бортов,,ГЭСН 81-02-27-2020,,,,,,KSI110001991
,,,LCRH,,,,Установка природных бортовых гранитных камней типа 3ГП,,ГЭСН 81-02-27-2020,,,,,,KSI110001992
,,,LCRJ,,,,Ручная кантовка камней при устройстве бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001993
,,,LCRK,,,,Опиловка бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001994
,,,LCRL,,,,Омоноличивание швов между камнями при устройстве бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001995
,,,LCRM,,,,Покрытие готового бортового камня мастикой,,ГЭСН 81-02-27-2020,,,,,,KSI110001996
,,,LCRN,,,,Снятие копирных струн при установке бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001997
,,,LCRP,,,,Прорезка усадочных швов при установке бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001998
,,,LCRQ,,,,Прорезка температурных швов при установке бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110001999
,,,LCRR,,,,Герметичная заделка швов при установке бортовых камней,,ГЭСН 81-02-27-2020,,,,,,KSI110002000
