Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание,Синонимы,УИН
,,,,AAASP,,,Устройство дамб,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-103 
ГЭСН 01-01-104
ГЭСН 01-01-105",,,KSI110000076
,,,,AAASQ,,,Устройство каналов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-103 
ГЭСН 01-01-104
ГЭСН 01-01-105",,,KSI110000077
,,,AAAT,,,,Удержание грунта и растительного слоя с использованием противоэрозийного материала,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-051 ,,,KSI110000078
,,,AAAU,,,,Устройство площадок с естественным растительным слоем с использованием газонной решетки,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-052 ,,,KSI110000079
,,AAB,,,,,Уплотнение грунта,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000080
,,,AABA,,,,Уплотнение грунта механизированным способом,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-001
ГЭСН 01-02-002
ГЭСН 01-02-003
ГЭСН 01-02-004
ГЭСН 01-02-005
ГЭСН 01-02-007
ГЭСН 01-02-009
ГЭСН 01-02-012
ГЭСН 01-02-013",,,KSI110000081
,,,AABB,,,,Полив водой уплотняемого грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-006,,,KSI110000082
,,,AABC,,,,Устройство грунтовых подушек на просадочных грунтах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-010,,,KSI110000083
,,,AABD,,,,Устройство непросадочного основания из грунтоцементной смеси,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-011,,,KSI110000084
,,AAC,,,,,Устройство насыпи на болотах,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000085
,,,AACA,,,,Удаление растительно-корневого покрова и торфа,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-017,,,KSI110000086
,,,AACB,,,,Устройство прорези на болотах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-018,,,KSI110000087
,,,AACC,,,,Перемещение грунта для отсыпки насыпей в пределах болота,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-019,,,KSI110000088
,,,AACD,,,,Обкатка насыпей на болотах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-020,,,KSI110000089
,,,AACE,,,,Контрольное бурение насыпей на болотах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-021,,,KSI110000090
,,AAD,,,,,Дополнительные земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000091
,,,AADA,,,,Отделка земляного полотна железнодорожного пути широкой колеи путевым стругом ,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-028,,,KSI110000092
,,,AADB,,,,Устройство уступов по откосам насыпей,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-029,,,KSI110000093
,,,AADC,,,,Устройство уступов в основании насыпей,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-030,,,KSI110000094
,,,AADD,,,,Бурение ям,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-031,,,KSI110000095
,,,AADE,,,,Разработка ям в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-080 ,,,KSI110000096
,,,AADF,,,,Погрузка разрыхленных вечномерзлых грунтов в автомобили-самосвалы,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-081 ,,,KSI110000097
,,,AADG,,,,Оттаивание вечномерзлых грунтов паропрогревом,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-083 ,,,KSI110000098
,,,AADH,,,,Засыпка пазух котлованов спецсооружений дренирующим песком,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-033,,,KSI110000099
,,,AADJ,,,,Теплоизоляция открытых поверхностей торфом,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-084 ,,,KSI110000100
,,,AADK,,,,Теплоизоляция поверхности оснований под насыпи торфом,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-085 ,,,KSI110000101
,,,AADL,,,,"Мощение камнем откосов, горизонтальных поверхностей и дна котлованов",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-086 ,,,KSI110000102
,,,AADM,,,,Уборка снега со строительных площадок и дорог,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-087 ,,,KSI110000103
,,,AADN,,,,Пробег машин к месту работы,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-088 ,,,KSI110000104
,,,AADP,,,,Механизированная разработка скальных грунтов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-091 
ГЭСН 01-02-092",,,KSI110000105
,,,AADQ,,,,Погрузка вручную неуплотненного мерзлого грунта в транспортные средства из штабелей и отвалов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-093 ,,,KSI110000106
,,,AADR,,,,Устройство тропы на горном склоне,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-095,,,KSI110000107
,,,AADS,,,,Оборка горных склонов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-096 ,,,KSI110000108
,,,AADT,,,,Разборка навалов на уступах склонов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-097,,,KSI110000109
,,,AADU,,,,Устройство тросово-сетчатого ограждения,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-098 ,,,KSI110000110
,,,AADV,,,,Временное хранение плодородного слоя почвы,,СП 18.13330.2019,,,,,,KSI110000111
,,AAE,,,,,Разработка грунта вручную,,ГЭСН 81-02-01-2020 ,по способу производства работ,,,,,KSI110000112
,,,AAEA,,,,Разработка грунта вручную с креплениями в траншеях,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-055,,,KSI110000113
,,,AAEB,,,,Копание (рытье) ям вручную,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-058,,,KSI110000114
,,,AAEC,,,,Погрузка вручную неуплотненного грунта в транспортные средства из штабелей и отвалов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-060,,,KSI110000115
,,,AAED,,,,Засыпка вручную траншей,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-061,,,KSI110000116
,,,AAEE,,,,Засыпка вручную ям,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-061,,,KSI110000117
,,,AAEF,,,,Засыпка вручную пазух котлованов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-061,,,KSI110000118
,,,AAEG,,,,Разработка скального грунта отбойными молотками,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-065,,,KSI110000119
,,,AAEH,,,,Крепление инвентарными щитами стенок траншей,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-066,,,KSI110000120
,,,AAEJ,,,,Устройство водоотлива при разработке грунта вручную,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-068,,,KSI110000121
,,AAF,,,,,"Подготовительные работы, связанные с валкой леса и расчисткой площадей и трасс",,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000122
,,,AAFA,,,,Валка деревьев с корня,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-099,,,KSI110000123
,,,AAFB,,,,Трелевка древесины,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-100,,,KSI110000124
,,,AAFC,,,,"Разделка древесины, полученной от валки леса",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-101,,,KSI110000125
,,,AAFD,,,,Устройство разделочных площадок,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-102,,,KSI110000126
