Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,,,BEGG,,,Навеска створок и форточек при устройстве форточек в оконных переплетах,,ГЭСНр 81-02-56-2020,,,,,,KSI140000454
,,,BEGH,,,Нарезка стекол,,ГЭСНр 81-02-56-2020,,,,,,KSI140000455
,,,BEGJ,,,Вставка стекол,,ГЭСНр 81-02-56-2020,,,,,,KSI140000456
,,,BEGK,,,Установка пришивных отливов при устройстве форточек в оконных переплетах,,ГЭСНр 81-02-56-2020,,,,,,KSI140000457
,,,BEGL,,,Постановка оконных и форточных приборов,,ГЭСНр 81-02-56-2020,,,,,,KSI140000458
,,BEH,,,,Установка неостекленных оконных переплетов в готовые коробки,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-8 ,,,KSI140000459
,,,BEHA,,,Пригонка створок к коробкам при установке неостекленных оконных переплетов в готовые коробки,,ГЭСНр 81-02-56-2020,,,,,,KSI140000460
,,,BEHB,,,Навеска створок с разметкой мест врезки петель при установке неостекленных оконных переплетов в готовые коробки,,ГЭСНр 81-02-56-2020,,,,,,KSI140000461
,,,BEHC,,,Врезка петель при установке неостекленных оконных переплетов в готовые коробки,,ГЭСНр 81-02-56-2020,,,,,,KSI140000462
,,,BEHD,,,Установка оконных приборов при установке неостекленных оконных переплетов в готовые коробки,,ГЭСНр 81-02-56-2020,,,,,,KSI140000463
,,BEJ,,,,Демонтаж дверных коробок,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-9,,,KSI140000464
,,,BEJA,,,Отбивка штукатурки в откосах при демонтаже дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000465
,,,BEJB,,,Снятие дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000466
,,,BEJC,,,Выламывание четвертей в кладке при демонтаже дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000467
,,BEK,,,,Снятие дверных полотен,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-10 ,,,KSI140000468
,,,BEKA,,,Снятие дверных полотен со снятием петель,,ГЭСНр 81-02-56-2020,,,,,,KSI140000469
,,BEL,,,,Снятие наличников,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-11,,,KSI140000470
,,,BELA,,,Снятие наличников с одной стороны оконных или дверных проемов,,ГЭСНр 81-02-56-2020,,,,,,KSI140000471
,,BEM,,,,Смена дверных и оконных приборов,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-12,,,KSI140000472
,,,BEMA,,,Снятие приборов при смене дверных и оконных приборов,,ГЭСНр 81-02-56-2020,,,,,,KSI140000473
,,,BEMB,,,Установка новых приборов при смене дверных и оконных приборов,,ГЭСНр 81-02-56-2020,,,,,,KSI140000474
,,BEN,,,,Ремонт дверных коробок,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-13 ,,,KSI140000475
,,,BENA,,,Смена на месте бруска коробки с заготовкой нового элемента,,ГЭСНр 81-02-56-2020,,,,,,KSI140000476
,,,BENB,,,Конопатка коробок при ремонте дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000477
,,,BENC,,,Снятие дверных полотен при ремонте дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000478
,,,BEND,,,Обратная навеска дверных полотен после ремонта дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000479
,,,BENE,,,Выравнивание перекосов после ремонта дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000480
,,,BENF,,,Дополнительное крепление после ремонта дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000481
,,,BENG,,,Пристрожка четвертей после ремонта дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000482
,,BEP,,,,Перевязка дверных полотен,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-14 ,,,KSI140000483
,,,BEPA,,,Разборка дверного полотна,,ГЭСНр 81-02-56-2020,,,,,,KSI140000484
,,,BEPB,,,"Опиливание торцов обвязки и средников, филенок",,ГЭСНр 81-02-56-2020,,,,,,KSI140000485
,,,BEPC,,,Выделка новых сопряжений,,ГЭСНр 81-02-56-2020,,,,,,KSI140000486
,,,BEPD,,,Сборка на клею при перевязке дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000487
,,,BEPE,,,Постановка нагелей при перевязке дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000488
,,,BEPF,,,Зачистка после перевязки дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000489
,,BEQ,,,,Ремонт дверных полотен,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-15 ,,,KSI140000490
,,,BEQA,,,Высверливание нагелей при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000491
,,,BEQB,,,Снятие негодного бруса при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000492
,,,BEQC,,,Очистка сопряжений от клея при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000493
,,,BEQD,,,Заготовка нового бруска с выделкой сопряжений при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000494
,,,BEQE,,,Пригонка бруска для ремонта дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000495
,,,BEQF,,,Постановка на клей при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000496
,,,BEQG,,,Высверливание отверстий для нагелей при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000497
,,,BEQH,,,Изготовление при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000498
,,,BEQJ,,,Постановка нагелей при ремонте дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000499
,,BER,,,,Ремонт калевки дверных полотен,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-16,,,KSI140000500
,,,BERA,,,Вырезка или выдалбливание части бруска с калевкой длиной до 30 см,,ГЭСНр 81-02-56-2020,,,,,,KSI140000501
,,,BERB,,,Постановка готовой части бруска с калевкой на клею,,ГЭСНр 81-02-56-2020,,,,,,KSI140000502
,,,BERC,,,Пришивка шпильками при ремонте калевки дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000503
,,BES,,,,Ремонт порогов,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-17 ,,,KSI140000504
,,,BESA,,,Отеска и острожка поврежденного места порога,,ГЭСНр 81-02-56-2020,,,,,,KSI140000505
,,,BESB,,,Пригонка нового бруска для ремонта порогов,,ГЭСНр 81-02-56-2020,,,,,,KSI140000506
,,,BESC,,,Установка бруска на порог с закреплением гвоздями,,ГЭСНр 81-02-56-2020,,,,,,KSI140000507
,,BET,,,,Укрепление оконных и дверных коробок,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-18,,,KSI140000508
,,,BETA,,,Закрепление коробок дополнительными ершами при укреплении оконных и дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000509
,,,BETB,,,Конопатка паклей при укреплении оконных и дверных коробок,,ГЭСНр 81-02-56-2020,,,,,,KSI140000510
,,BEU,,,,Обивка дверей дерматином,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-19 ,,,KSI140000511
,,,BEUA,,,Прибивка дерматина с прокладкой войлока с устройством валиков и набивкой тесьмы,,ГЭСНр 81-02-56-2020,,,,,,KSI140000512
,,BEV,,,,Ремонт ворот и калиток,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-20 ,,,KSI140000513
,,,BEVA,,,Снятие калиток и ворот,,ГЭСНр 81-02-56-2020,,,,,,KSI140000514
,,,BEVB,,,Укрепление столбов при ремонте ворот и калиток,,ГЭСНр 81-02-56-2020,,,,,,KSI140000515
,,,BEVC,,,Ремонт калиток (или ворот) со сменой частей в полотнах,,ГЭСНр 81-02-56-2020,,,,,,KSI140000516
,,,BEVD,,,Прирезка приборов при ремонте ворот и калиток,,ГЭСНр 81-02-56-2020,,,,,,KSI140000517
,,,BEVE,,,Навеска калиток и ворот,,ГЭСНр 81-02-56-2020,,,,,,KSI140000518
,,BEW,,,,Установка дверных полотен,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-21,,,KSI140000519
,,,BEWA,,,Пригонка дверных полотен к коробке,,ГЭСНр 81-02-56-2020,,,,,,KSI140000520
,,,BEWB,,,Разметка мест острожки для установки дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000521
,,,BEWC,,,Острожка четвертей с пригонкой полотен для установки дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000522
,,,BEWD,,,Разметка мест установки петель с долблением гнезд для установки дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000523
,,,BEWE,,,Крепление петель шурупами для установки дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000524
,,,BEWF,,,Навеска дверных полотен,,ГЭСНр 81-02-56-2020,,,,,,KSI140000525
,,BEX,,,,Навеска плотничных дверей,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-22,,,KSI140000526
,,,BEXA,,,Прирезка дверных полотен плотничных дверей к проему,,ГЭСНр 81-02-56-2020,,,,,,KSI140000527
,,,BEXB,,,Пригонка дверных полотен плотничных дверей к проему,,ГЭСНр 81-02-56-2020,,,,,,KSI140000528
,,,BEXC,,,Установка и крепление петель на шурупах для навески плотничных дверей,,ГЭСНр 81-02-56-2020,,,,,,KSI140000529
,,,BEXD,,,Постановка приборов для навески плотничных дверей на петлях,,ГЭСНр 81-02-56-2020,,,,,,KSI140000530
,,,BEXE,,,Навеска плотничных дверей на петлях,,ГЭСНр 81-02-56-2020,,,,,,KSI140000531
,,BEY,,,,Обрамление проемов угловой сталью,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-23,,,KSI140000532
,,,BEYA,,,Отбивка штукатурки вручную для обрамления проемов угловой сталью,,ГЭСНр 81-02-56-2020,,,,,,KSI140000533
,,,BEYB,,,Установка металлоконструкций со сваркой для обрамления проемов угловой сталью,,ГЭСНр 81-02-56-2020,,,,,,KSI140000534
,,BEZ,,,,Замена в оконных проемах элементов стеклопрофилита,,ГЭСНр 81-02-56-2020,По виду работ,,ГЭСНр 56-24,,,KSI140000535
,,,BEZA,,,Выемка негодных элементов для замены в оконных проемах элементов стеклопрофилита,,ГЭСНр 81-02-56-2020,,,,,,KSI140000536
,,,BEZB,,,Установка новых элементов стеклопрофилита с герметизацией стыков,,ГЭСНр 81-02-56-2020,,,,,,KSI140000537
,BF,,,,,Капитальный ремонт полов,,ГЭСНр 81-02-57-2020,По способу производства работ,,,,,KSI140000538
,,BFA,,,,Разборка оснований покрытия полов,,ГЭСНр 81-02-57-2020,По виду работ,, ГЭСНр 57-1,,,KSI140000539
,,,BFAA,,,Разборка кирпичных столбиков под лаги,,ГЭСНр 81-02-57-2020,,,,,,KSI140000540
,,,BFAB,,,Разборка лаг,,ГЭСНр 81-02-57-2020,,,,,,KSI140000541
,,,BFAC,,,Разборка простильных полов оснований покрытия полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000542
,,,BFAD,,,Разборка дощатых оснований щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000543
,,,BFAE,,,Острожка провесов вручную при устройстве оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000544
,,BFB,,,,Разборка покрытий полов,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-2 ,,,KSI140000545
,,,BFBA,,,Разборка покрытий с очисткой материалов и оснований,,ГЭСНр 81-02-57-2020,,,,,,KSI140000546
,,,BFBB,,,Укладка на строительной площадке разобранного покрытия пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000547
,,BFC,,,,Разборка плинтусов,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-3 ,,,KSI140000548
,,,BFCA,,,Непосредственная разборка плинтусов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000549
,,,BFCB,,,Разборка плинтусов с очисткой годного материала и оснований,,ГЭСНр 81-02-57-2020,,,,,,KSI140000550
,,,BFCC,,,Укладка годного материала плинтусов на строительной площадке,,ГЭСНр 81-02-57-2020,,,,,,KSI140000551
,,BFD,,,,Смена и перестилка дощатых покрытий полов,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-4 ,,,KSI140000552
,,,BFDA,,,Разборка полов с плинтусами и вентиляционными решетками,,ГЭСНр 81-02-57-2020,,,,,,KSI140000553
,,,BFDB,,,Настилка пола из досок с поперечным перепиливанием по размеру помещения с подготовкой досок по толщине с добавлением новых досок,,ГЭСНр 81-02-57-2020,,,,,,KSI140000554
,,,BFDC,,,Подготовка досок по толщине при смене и перестилке дощатых покрытий полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000555
,,,BFDD,,,Добавление новых досок при смене и перестилке дощатых покрытий полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000556
,,,BFDE,,,Острожка провесов при смене и перестилке дощатых покрытий полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000557
,,,BFDF,,,Выравнивание лаг с изготовлением прокладок при смене и перестилке дощатых покрытий плов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000558
,,BFE,,,,Ремонт дощатых покрытий,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-5,,,KSI140000559
,,,BFEA,,,"Расчистка щелей, при ремонте дощатых покрытий",,ГЭСНр 81-02-57-2020,,,,,,KSI140000560
,,,BFEB,,,Заготовка реек с загонкой их в щели при ремонте дощатых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000561
,,,BFEC,,,Прострожка провесов вручную при ремонте дощатых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000562
,,,BFED,,,Удаление негодных досок в полах при ремонте дощатых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000563
,,,BFEE,,,Укладкой новых досок при ремонте дощатых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000564
,,,BFEF,,,Укрепление досок при ремонте дощатых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000565
,,,BFEG,,,Острожка провесов вручную при ремонте дощатых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000566
,,BFF,,,,"Острожка и циклевка полов, бывших в эксплуатации",,ГЭСНр 81-02-57-2020,По виду работ,, ГЭСНр 57-6,,,KSI140000567
,,,BFFA,,,"Подметание пола до острожки и циклевке полов, бывших в эксплуатации",,ГЭСНр 81-02-57-2020,,,,,,KSI140000568
,,,BFFB,,,"Утапливание шляпок гвоздей до острожки и циклевке полов, бывших в эксплуатации",,ГЭСНр 81-02-57-2020,,,,,,KSI140000569
,,,BFFC,,,Острожка пола бывших в эксплуатации,,ГЭСНр 81-02-57-2020,,,,,,KSI140000570
,,,BFFD,,,Уборка стружки после острожки пола бывших в эксплуатации,,ГЭСНр 81-02-57-2020,,,,,,KSI140000571
,,,BFFE,,,Циклевка пола бывших в эксплуатации,,ГЭСНр 81-02-57-2020,,,,,,KSI140000572
,,BFG,,,,Ремонт покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-7 ,,,KSI140000573
,,,BFGA,,,Удаление негодных планок при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000574
,,,BFGB,,,Очистка основания при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000575
,,,BFGC,,,Укладка новых планок при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000576
,,,BFGD,,,Пристрожка планок при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000577
,,,BFGE,,,Пригонка планок при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000578
,,,BFGF,,,Прибивка гвоздями планок при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000579
,,,BFGG,,,Острожка вручную при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000580
,,,BFGH,,,Циклевка вручную при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000581
,,,BFGJ,,,Укладка мастики с выравниванием при ремонте покрытий из штучного паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000582
,,BFH,,,,Смена простильных дощатых полов,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-8 ,,,KSI140000583
,,,BFHA,,,Разборка простильных полов при смене дощатых полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000584
,,,BFHB,,,Очистка годных досок при смене простильных дощатых полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000585
,,,BFHC,,,Устройство настила из досок по готовым опорам при смене простильных дощатых полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000586
,,,BFHD,,,Пробивка досок гвоздями при смене простильных дощатых полов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000587
,,BFJ,,,,Ремонт покрытий из плиток поливинилхлоридных,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-9,,,KSI140000588
,,,BFJA,,,Снятие отставших поливинилхлоридных плиток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000589
,,,BFJB,,,Очистка основания при ремонте покрытий из плиток поливинилхлоридных,,ГЭСНр 81-02-57-2020,,,,,,KSI140000590
,,,BFJC,,,Смазка основания мастикой при ремонте покрытий из плиток поливинилхлоридных,,ГЭСНр 81-02-57-2020,,,,,,KSI140000591
,,,BFJD,,,Наклеивание поливинилхлоридных плиток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000592
,,BFK,,,,Заделка выбоин в полах,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-10 ,,,KSI140000593
,,,BFKA,,,Вырубка поврежденных мест для заделки выбоин в полах,,ГЭСНр 81-02-57-2020,,,,,,KSI140000594
,,,BFKB,,,Расчистка поврежденных мест для заделки выбоин в полах,,ГЭСНр 81-02-57-2020,,,,,,KSI140000595
,,,BFKC,,,Подготовка поврежденных мест для заделки выбоин в полах,,ГЭСНр 81-02-57-2020,,,,,,KSI140000596
,,,BFKD,,,Приготовление раствора (смеси) для заделки выбоин в полах,,ГЭСНр 81-02-57-2020,,,,,,KSI140000597
,,,BFKE,,,"Заделка выбоин с уплотнением, шпаклевкой и шлифовкой вручную",,ГЭСНр 81-02-57-2020,,,,,,KSI140000598
,,,BFKF,,,Железнение поверхности,,ГЭСНр 81-02-57-2020,,,,,,KSI140000599
,,,BFKG,,,Промазка кромок горячим битумом,,ГЭСНр 81-02-57-2020,,,,,,KSI140000600
,,BFL,,,,Устройство оснований под покрытие пола,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-11,,,KSI140000601
,,,BFLA,,,Подготовка основания для устройства оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000602
,,,BFLB,,,Разметка материалов для устройства оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000603
,,,BFLC,,,Заготовка материалов для устройства оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000604
,,,BFLD,,,Укладка плит под устройство оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000605
,,,BFLE,,,Нанесение мастики для устройства оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000606
,,,BFLF,,,Очистка швов от мастики для устройства оснований под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000607
,,,BFLG,,,Устройство обрешетки из досок под покрытие пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000608
,,BFM,,,,Устройство паркетного покрытия пола на гвоздях,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-12,,,KSI140000609
,,,BFMA,,,Подготовка основания для устройства паркетного покрытия пола на гвоздях,,ГЭСНр 81-02-57-2020,,,,,,KSI140000610
,,,BFMB,,,Укладка паркетной планки на гвоздях,,ГЭСНр 81-02-57-2020,,,,,,KSI140000611
,,,BFMC,,,Пригонка паркетного покрытия пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000612
,,,BFMD,,,Прирезка в местах примыкания паркетного покрытия пола,,ГЭСНр 81-02-57-2020,,,,,,KSI140000613
,,,BFME,,,Укладка доски на гвоздях для устройства паркетного покрытия пола на гвоздях,,ГЭСНр 81-02-57-2020,,,,,,KSI140000614
,,BFN,,,,Смена вентиляционных половых решеток,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-13,,,KSI140000615
,,,BFNA,,,Расчистка места под снятие вентиляционных половых решеток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000616
,,,BFNB,,,Снятие вентиляционных половых решеток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000617
,,,BFNC,,,Установка новых решеток вентиляционных половых решеток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000618
,,,BFND,,,Укрепление новых вентиляционных половых решеток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000619
,,BFP,,,,Ремонт полов из щитового паркета,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-14 ,,,KSI140000620
,,,BFPA,,,Снятие старых квадр полов из щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000621
,,,BFPB,,,Очистка основания под ремонт полов из щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000622
,,,BFPC,,,Углубление основания под ремонт полов из щитового паркета при надобности,,ГЭСНр 81-02-57-2020,,,,,,KSI140000623
,,,BFPD,,,Укладка квадр на клею,,ГЭСНр 81-02-57-2020,,,,,,KSI140000624
,,,BFPE,,,Острожка под ремонт полов из щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000625
,,,BFPF,,,Циклевка полов щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000626
,,,BFPG,,,Снятие паркетных полов с плинтусами,,ГЭСНр 81-02-57-2020,,,,,,KSI140000627
,,,BFPH,,,Укладка вновь паркетных щитов с выверкой и пришивкой гвоздями,,ГЭСНр 81-02-57-2020,,,,,,KSI140000628
,,,BFPJ,,,Заделка стыков соединений квадрами,,ГЭСНр 81-02-57-2020,,,,,,KSI140000629
,,,BFPK,,,Настилка добора и фриза с прострожкой провесов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000630
,,,BFPL,,,Установка плинтусов щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000631
,,,BFPM,,,Снятие негодных филенок щитового паркета,,ГЭСНр 81-02-57-2020,,,,,,KSI140000632
,,,BFPN,,,Установка новых филенок с прокладкой квадр,,ГЭСНр 81-02-57-2020,,,,,,KSI140000633
,,BFQ,,,,Смена керамических плиток в полах,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-15 ,,,KSI140000634
,,,BFQA,,,Вырубка старых поврежденных плиток вручную,,ГЭСНр 81-02-57-2020,,,,,,KSI140000635
,,,BFQB,,,Расчистка мест после вырубки старых поврежденных плиток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000636
,,,BFQC,,,Укладка плиток на растворе с расшивкой швов,,ГЭСНр 81-02-57-2020,,,,,,KSI140000637
,,,BFQD,,,Протирка поверхности при укладке керамических плиток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000638
,,,BFQE,,,Вырубка старого раствора,,ГЭСНр 81-02-57-2020,,,,,,KSI140000639
,,,BFQF,,,Срубка раствора с кромок соседних плиток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000640
,,,BFQG,,,Подгонка плиток по месту,,ГЭСНр 81-02-57-2020,,,,,,KSI140000641
,,,BFQH,,,Приготовление раствора для смены керамических плиток,,ГЭСНр 81-02-57-2020,,,,,,KSI140000642
,,,BFQJ,,,Укладка плиток на клей,,ГЭСНр 81-02-57-2020,,,,,,KSI140000643
,,,BFQK,,,Затирка швов после укладки плитки,,ГЭСНр 81-02-57-2020,,,,,,KSI140000644
,,,BFQL,,,Протирка поверхности облицовки после укладки плитки,,ГЭСНр 81-02-57-2020,,,,,,KSI140000645
,,BFR,,,,Ремонт резиновых напольных покрытий из релина,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-16,,,KSI140000646
,,,BFRA,,,Обрезка напольного покрытия по контуру ремонтируемых мест,,ГЭСНр 81-02-57-2020,,,,,,KSI140000647
,,,BFRB,,,Снятие старого покрытия с очисткой основания,,ГЭСНр 81-02-57-2020,,,,,,KSI140000648
,,,BFRC,,,Нарезка заготовок из нового материала резиновых напольных покрытий из релина,,ГЭСНр 81-02-57-2020,,,,,,KSI140000649
,,,BFRD,,,Прирезка заготовок из релина к месту укладки,,ГЭСНр 81-02-57-2020,,,,,,KSI140000650
,,,BFRE,,,Наклейка нового материала из релина с укаткой,,ГЭСНр 81-02-57-2020,,,,,,KSI140000651
,,BFS,,,,Ремонт топпинговых покрытий,,ГЭСНр 81-02-57-2020,По виду работ,,ГЭСНр 57-17,,,KSI140000652
,,,BFSA,,,Нанесение разметки на ремонтируемые участки топпинговых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000653
,,,BFSB,,,Нарезка швов топпинговых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000654
,,,BFSC,,,Вырубка поврежденных мест топпинговых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000655
,,,BFSD,,,Расчистка поврежденных мест топпинговых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000656
,,,BFSE,,,Заделка выбоин с грунтовкой топпинговых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000657
,,,BFSF,,,Нанесение топпинга,,ГЭСНр 81-02-57-2020,,,,,,KSI140000658
,,,BFSG,,,Разравнивание вручную грунтовки после нанесения топпинга,,ГЭСНр 81-02-57-2020,,,,,,KSI140000659
,,,BFSH,,,Нанесение пропитки по бетону при ремонте топпинговых покрытий,,ГЭСНр 81-02-57-2020,,,,,,KSI140000660
,BG,,,,,Печные ремонтные работы,,ГЭСНр 81-02-60-2020,По виду работ,,,,,KSI140000661
,,BGA,,,,Разборка кладки печей и очагов,,ГЭСНр 81-02-60-2020,По виду работ,, ГЭСНр 60-1,,,KSI140000662
,,,BGAA,,,Снятие приборов печей и очагов,,ГЭСНр 81-02-60-2020,,,,,,KSI140000663
,,,BGAB,,,Непосредственная разборка кладки печей и очагов,,ГЭСНр 81-02-60-2020,,,,,,KSI140000664
,,,BGAC,,,Снятие изразцов печей и очагов,,ГЭСНр 81-02-60-2020,,,,,,KSI140000665
,,,BGAD,,,Снятие футляров из кровельной стали печей и очагов,,ГЭСНр 81-02-60-2020,,,,,,KSI140000666
,,BGB,,,,Разборка дымовых кирпичных труб и боровов,,ГЭСНр 81-02-60-2020,По виду работ,, ГЭСНр 60-2,,,KSI140000667
,,BGC,,,,Большой ремонт печей,,ГЭСНр 81-02-60-2020,,,ГЭСНр 60-3,,,KSI140000668
,,,BGCA,,,"Разборка лицевой стороны печи, прогоревших дымоходов и топливников",,ГЭСНр 81-02-60-2020,,,,,,KSI140000669
,,,BGCB,,,Восстановление разобранной кладки с добавлением нового кирпича при большом ремонте печей,,ГЭСНр 81-02-60-2020,,,,,,KSI140000670
,,,BGCC,,,Установка изразцов при большом ремонте печи,,ГЭСНр 81-02-60-2020,,,,,,KSI140000671
,,,BGCD,,,Снятие печных приборов при большом ремонте печи,,ГЭСНр 81-02-60-2020,,,,,,KSI140000672
