Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания,Синонимы,УИН
,,CCA,,,"Комплекс объектов лакокрасочной, клеевой промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000070
,,CCB,,,Комплекс объектов производства продукции бытовой химии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000071
,,CCD,,,Комплекс объектов предприятий содовой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000073
,,CCE,,,Комплекс объектов производства прочих неорганических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000074
,,CCF,,,Комплекс объектов производства неорганических кислот,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000494
,,CCG,,,Комплекс объектов производства химических реактивов и особо чистых веществ,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000495
,,CCH,,,Комплекс объектов химико-фотографического производства,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,,,KSI020000496
,CD,,,,Комплексы ОКС химико-фармацевтической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000075
,,CDA,,,Комплекс объектов производства фармацевтических субстанций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000076
,,CDB,,,"Комплекс объектов производства лекарственных форм, препаратов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000077
,,CDC,,,Комплекс объектов парфюмерно-косметической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000078
,,CDD,,,Комплекс объектов эфиромасличного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000079
,CG,,,,Комплексы ОКС промышленности органических химических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000105
,,CGA,,,Комплекс объектов предприятий лесохимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000106
,,CGB,,,Комплекс объектов предприятий метанольной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000107
,,CGC,,,Комплекс объектов предприятий органического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000108
,,CGD,,,Комплекс объектов производства пищевых кислот,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000109
,,CGE,,,Комплекс объектов производства синтетического каучука и латекса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000110
,CH,,,,Комплексы ОКС агрохимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000116
,,CHA,,,Комплекс объектов промышленности удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000117
,,CHB,,,Комплекс объектов производства средств борьбы с вредителями и болезнями растений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000118
,,CHC,,,Комплекс сушильных объектов  при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000119
,,CHD,,,Комплекс печей при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000120
