Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания,Синонимы,УИН
,RE,,,,"Комплексы ОКС вспомогательной инфраструктуры  здравоохранения, спорта, физической культуры, отдыха и развлечения",,,,,,,,KSI020000648
,,REA,,,Комплексы вспомогательных объектов досуга,,,,,,,,KSI020000649
,,REB,,,Комплексы вспомогательных объектов лечебного обеспечения,,,,,,,,KSI020000650
,,REC,,,Комплексы вспомогательных объектов объектов кратковременного проживания,,,,,,,,KSI020000651
,,RED,,,Комплексы вспомогательных объектов спорта,,,,,,,,KSI020000652
S,,,,,Комплексы ОКС для хранения,,,,,,,,KSI020000653
,SA,,,,Комплексы ОКС складов и хранилищ,,,,,,,,KSI020000654
,,SAA,,,Комплексы складских объектов,,,,,,,,KSI020000655
,,SAB,,,Комплексы объектов хранения с искусственным охлаждением,,,,,,,,KSI020000656
,,SAC,,,Комплексы объектов хранилищ,,,,,,,,KSI020000657
,,SAD,,,"Комплексы объектов резервуаров, емкостей",,,,,,,,KSI020000658
