Класс,Тип (%%),Наименование системы,Определение системы,Примеры системы/подсистемы,Источник,IFC,МССК,РЖД,ПСК,Примечание,Синонимы,УИН
,M10,Система передачи данных,"Информационная и коммуникационная система, предназначенная для передачи данных",Локально-вычислительная сеть,ГОСТ Р 52551-2016,,,,,,,KSI040000055
,M20,Система персональной связи,"Информационная и коммуникационная система, предназначенная для связи между людьми","Система телефонной связи
Система экстренной связи","ГОСТ 21704-76
СП 132.13330.2011",,,,,,,KSI040000056
,M30,Система информирования,"Информационная и коммуникационная система, предназначенная для информирования",Система видеоизображения (спортивного сооружения),СП 332.1325800.2017,,,,,,,KSI040000057
N,,Система транспортировки,"Инженерная система, обеспечивающая транспортировку людей или грузов","Конвейер
Эскалатор","ГОСТ 18501-73
ГОСТ Р ИСО 6707-1-2020",IfcBuildingSystem,,,,Инженерные системы зданий и сооружений,,KSI040000058
P,,Система охраны и обеспечения безопасности,Инженерная система обеспечения защиты любого объекта от источников потенциальной опасности или возможных повреждений,,,IfcBuildingSystem,,,,Инженерные системы зданий и сооружений,,KSI040000059
,P10,Система противопожарной защиты,"Комплекс организационных мероприятий и технических средств, направленных на защиту людей и имущества от воздействия опасных факторов пожара и (или) ограничение последствий воздействия опасных факторов пожара на объект защиты (продукцию)",,Федеральный закон от 04.06.2018 N 123-ФЗ,,,,,,,KSI040000060
,P20,Система обеспечения охраны объектов,"Инженерная система, включающая комплекс технических средств, направленных на предотвращение несанкционированного проникновения","Система видеонаблюдения
Система контроля и управления доступом",ГОСТ Р 52551-2016,,,,,,,KSI040000061
,P30,Система обеспечения персональной безопасности,"Инженерная система, включающая комплекс технических средств, направленных на предотвращение получения травм",,,,,,,,,KSI040000062
,P40,Система электробезопасности,Инженерная система обеспечения защиты от поражения электрическим током,,,,"СС 30 60
СС 30 65",,,,,KSI040000063
,P50,Система безопасности объекта промышленности и транспорта,Инженерная система обеспечения защиты промышленных и транспортных объектов от источников потенциальной опасности или возможных повреждений,,,,,,,,,KSI040000064
Q,,Система освещения,"Инженерная система, предназначенная для управления уровнем освещения",,,IfcBuildingSystem,"СС 20
CC 40 15",,,Инженерные системы зданий и сооружений,,KSI040000065
,Q10,Система основного освещения,"Инженерная система, предназначенная для управления уровнем освещения строительных объектов различного назначения в нормальных условиях эксплуатации",,,,,,,,,KSI040000066
,Q20,Система аварийного освещения,"Освещение, предусматриваемое в случае выхода из строя питания рабочего освещения",Аварийное эвакуационное освещение,Федеральный закон от 30.12.2009 N 384-ФЗ,,СС 20 10 40,,,,,KSI040000067
,Q30,Система резервного освещения,Вид системы аварийного освещения для продолжения работы в случае отключения рабочего освещения,,ГОСТ Р 55842-2013,,,,,,,KSI040000068
,Q40,Система освещения специального назначения,"Инженерная система, предназначенная для управления уровнем освещения специального назначения","Аэродромный световой комплекс
Система охранного освещения",СП 132.13330.2011,,,,,,,KSI040000069
R,,Железнодорожная система,"Инженерная система, обеспечивающая движение колесных транспортных средств по рельсовым путям","Железнодорожная рельсовая колея
Железнодорожное электроснабжение
Железнодорожная автоматика и телемеханика
Железнодорожная электросвязь","ГОСТ 34530-2019  
ГОСТ Р 53431-2009
ГОСТ 33889-2016  ",,,,,Инженерные системы зданий и сооружений,,KSI040000070
,R10,Система станционной автоматики,"Станционная система централизованного контроля и управления объектами железнодорожной автоматики и телемеханики с обеспечением установленных требований безопасности движения железнодорожных поездов и заданной пропускной способности;
Система централизованного контроля и управления объектами железнодорожной автоматики и телемеханики на железнодорожных станциях с обеспечением установленных требований безопасности движения поездов и заданной пропускной способности","Система ключевой зависимости стрелок и сигналов;
Система блочной маршрутно-релейной централизации;
Система очистки и электрообогрева стрелочных переводов и электроприводов.","ГОСТ Р 53431-2009
ГОСТ 34530-2019",,,AA,,,,KSI040000074
,R20,Система механизации и автоматизации сортировочных горок,"Система, обеспечивающая реализацию маршрутов и управление стрелками спускной части сортировочной горки в автоматическом и ручном режимах, контроль и регистрацию вагонов и остановок отцепов на спускной части сортировочных горок","Система горочной централизации релейного типа;
Система регулирования скорости скатывания отцепов;
Система контроля заполнения путей сортировочного парка.","ГОСТ Р 53431-2009
ГОСТ 34530-2019
Приказ ОАО ""РЖД"" от 02.03.2022 г. №ЦДИ-73",,,AB,,,,KSI040000075
,R30,Система интервального регулирования движения поездов,"Система железнодорожной автоматики и телемеханики, предназначенная для обеспечения интервального регулирования движения поездов на перегоне","Система автоматической блокировки с централизованным размещением аппаратуры микропроцессорная;
Система полуавтоматической блокировки микропроцессорная;
Электрожезловая система.","ГОСТ Р 53431-2009
ГОСТ 34530-2019
Приказ ОАО ""РЖД"" от 02.03.2022 г. №ЦДИ-73",,,AC,,,,KSI040000076
,R40,Система переездной сигнализации и система сигнализации на объектах железной дороги,"Устройства автоматического включения при приближении поезда сигнальных показаний переездных светофоров и звуковой сигнализации, запрещающих движение через железнодорожный переезд автотранспорту","Автоматическая переездная светофорная сигнализация
Оповещение работающих на путях;
","ГОСТ Р 53431-2009
ГОСТ 34530-2019
Приказ ОАО ""РЖД"" от 02.03.2022 г. №ЦДИ-73",,,AD,,,,KSI040000077
,R50,Система контроля и безопасности железнодорожного подвижного состава,"Автоматизированная система обнаружения вагонов с отрицательной динамикой (АСООД) предназначена для обнаружения на ходу поезда вагонов с повышенными колебаниями (отрицательной динамикой), измерения этих колебаний и передачи данных по этим вагонам на АРМ оператора ближайшего ПТО;
Система сигнализации на железнодорожном транспорте, передающая сигнальные показания в кабину локомотива, моторвагонного поезда, дрезины и т.п.)","Система обнаружения заторможенных колесных пар;
Система автоматической локомотивной сигнализации.",Приказ Минтранса России от 23.06.2022 N 250 ,,,AE,,,,KSI040000078
,R60,Система передачи транспортной сети железнодорожной электросвязи,"Совокупность средств железнодорожной электросвязи и подсистем управления, синхронизации, нумерации, тарификации, сигнализации, обеспечивающая электросвязь определенного вида;
Комплекс технических средств, обеспечивающих образование линейного тракта, типовых групповых трактов и каналов передачи первичной сети связи железнодорожного транспорта;
Цифровая сеть или совокупность цифровых сетей, построенных на различных телекоммуникационных технологиях, обеспечивающая доставку информации в виде сигналов железнодорожной электросвязи от любого ее порта к заданному или заданным портам.","Волоконно-оптическая система передачи железнодорожной электросвязи;
Система тактовой сетевой синхронизации цифровой сети железнодорожной электросвязи.","ГОСТ 33889-2016
ГОСТ 34773-2021
ГОСТ 33397-2015",,,BA,,,,KSI040000079
,R70,Железнодорожная система технологической сети связи,"Технологические сети связи предназначены для обеспечения производственной деятельности организаций, управления технологическими процессами в производстве;
Сеть железнодорожной электросвязи, предназначенная для организации и выполнения технологических процессов железнодорожного транспорта, которая не присоединена к сети связи общего пользования","Система перегонной связи;
Система парковой связи;
Система ремонтно-оперативной железнодорожной радиосвязи.","Федеральный закон от 07.07.2003 N 126-ФЗ
Приказ Минтранса России от 23.06.2022 N 250 
ГОСТ 34773-2021
ГОСТ 33397-2015",,,BB,,,,KSI040000080
,R80,Система электроснабжения железнодорожных потребителей,Обеспечение электрической энергией железнодорожного электроподвижного состава и нетяговых железнодорожных потребителей,"Система тягового железнодорожного электроснабжения постоянного тока;
Система тягового железнодорожного электроснабжения переменного тока;
Система электроснабжения железнодорожной автоматики и телемеханики.",ГОСТ 32895-2014,,,CA,,,,KSI040000081
,R90,"Система освещения объектов, искусственных и инженерных сооружений и устройств железнодорожного транспорта ","Освещение, обеспечивающее нормируемые осветительные условия (освещенность, качество освещения) для обеспечения безопасности движения поездов, работников железнодорожного транспорта и пассажиров",Освещение рабочее наружное,ГОСТ Р 54984-2012,,,CB,,,,KSI040000082
,R100,Система путевого развития железнодорожной линии,"Оборудованная рельсами полоса земли либо поверхности искусственного сооружения, которая используется для движения железнодорожного подвижного состава;.
Часть железнодорожной линии, ограниченная смежными станциями, разъездами, обгонными пунктами или путевыми постами;
Дополнительные группы путей на станциях, помимо главных, предназначенные для обгона, скрещения, приема и отправления поездов.","Путевое развитие железнодорожного перегона;
Путевое развитие железнодорожной станции.","ГОСТ 34530-2019
Приказ Минтранса России от 23.06.2022 N 250 ",,,DA,,,,KSI040000083
,R110,Система весогабаритного контроля железнодорожного подвижного состава,"Система весового и габаритного железнодорожного контроля (СЖДК) предназначена для измерений массы и габаритов подвижного состава, а также автоматического контроля показателей развески единиц железнодорожного подвижного состава в движении, в том числе железнодорожных цистерн с жидкими грузами, включая сжиженные газы",,"ГОСТ 33760-2016
ГОСТ 9238-2022",,,HAA,,,,KSI040000090
S,,Система обустройства,"Функциональная система, предназначенная для оснащения строительного объекта и его помещений специализированным инвентарем и/или оборудованием","Мебель (система)
Объекты благоустройства (система)","ГОСТ Р 56195-2014
Федеральный закон №190-ФЗ от 29.12.2004 ГОСТ Р ИСО 6707-1-2020
ГОСТ Р 52766-2007",IfcBuildingSystem,,,,Системы оснащения зданий и сооружений,,KSI040000071
,S10,Система малых архитектурных форм,"Система вокзального комплекса (остановочного пункта), включающая предметы, сооружения и устройства функционального, информационного и декоративного назначения",,ГОСТ 33942-2016,,,GAB,,,,KSI040000091
,S20,Система ограждений,"Система, обеспечивающая безопасность пассажиров, упорядочение движения пешеходов и предотвращение выхода на ж.д. пути (ограничивающее ограждение), предотвращение падения с высоты здания, сооружения",,"Распоряжение ОАО ""РЖД"" от 10.03.2016 N 398р",,,GAC,,,,KSI040000092
T,,Система оснащения объектов транспорта,"Инженерная система, обеспечивающая сооружения оборудованием для контроля и управления транспортными потоками",,ГОСТ Р 56670-2015,,,,,Системы оснащения зданий и сооружений,,KSI040000072
,T10,Система контроля посадки пассажиров (платформы),,,"Приказ ОАО ""РЖД"" от 02.03.2022 г. №ЦДИ-73
Распоряжение ОАО ""РЖД"" от 11.08.2022 г. N 2096/р",,,HAB005,,"Соответствует понятию ""Система контроля посадки пассажиров машинистом""",,KSI040000093
U,,Дорожная система,Наземная система для обеспечения автомобильного транспортного потока,"Проезжая часть, тротуар",,IfcAllignment,,,,,,KSI040000073
