Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,,HCD,,,"Сборка гидравлической схемы привода автомата канатного пиления, проверка уровня масла, проведение необходимых регулировок и отладки системы гидравлического привода, проверка работоспособности автомата на холостом ходу",,ГЭСН 81-02-46-2022,,,,,,KSI130000391
,,HCE,,,Сборка системы охлаждения и промывки,,ГЭСН 81-02-46-2022,,,,,,KSI130000392
,,HCF,,,Установка погружных колонн в готовые отверстия,,ГЭСН 81-02-46-2022,,,,,,KSI130000393
,,HCG,,,"Установка и юстировка дюбельных опор под ролики, определение правильного направления вращения алмазного каната, установка и закрепление приводного колеса",,ГЭСН 81-02-46-2022,,,,,,KSI130000394
,,HCH,,,Юстировка роликов и протяжка каната по монтажной схеме,,ГЭСН 81-02-46-2022,,,,,,KSI130000395
,,HCJ,,,"Подача воды на маслостанцию и канат, включение маслостанции, привода вращения, пробное пиление при малых оборотах вращения",,ГЭСН 81-02-46-2022,,,,,,KSI130000396
,,HCK,,,"Пиление железобетонной конструкции, контроль процесса пиления",,ГЭСН 81-02-46-2022,,,,,,KSI130000397
,,HCL,,,"Укорачивание, скручивание и опрессовка каната металлическими втулками",,ГЭСН 81-02-46-2022,,,,,,KSI130000398
,,HCM,,,"Расклинивание пропила подготовленными клиньями, перестановка штуцера подачи воды",,ГЭСН 81-02-46-2022,,,,,,KSI130000399
J,,,,,Проведение дополнительных работ при реконструкции,,ГЭСН 81-02-46-2022,,,,,,KSI130000400
,JA,,,,Переноска грузов вручную в подземных сооружениях,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-001,,,KSI130000401
,,JAA,,,Подъем или погрузка материалов на малоемкие приборы перемещения,,ГЭСН 81-02-46-2022,,,,,,KSI130000402
,,JAB,,,Переноска грузов,,ГЭСН 81-02-46-2022,,,,,,KSI130000403
,,JAC,,,Опускание опрокидыванием,,ГЭСН 81-02-46-2022,,,,,,KSI130000404
,,JAD,,,Разгрузка складированием на месте,,ГЭСН 81-02-46-2022,,,,,,KSI130000405
,,JAE,,,Разгрузка опрокидыванием,,ГЭСН 81-02-46-2022,,,,,,KSI130000406
,JB,,,,Немеханизированная уборка территории в подземных сооружениях,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-002,,,KSI130000407
,,JBA,,,Перемещение бригады по территории,,ГЭСН 81-02-46-2022,,,,,,KSI130000408
,,JBB,,,Уборка территории,,ГЭСН 81-02-46-2022,,,,,,KSI130000409
,,JBC,,,Поддержание чистоты на территории,,ГЭСН 81-02-46-2022,,,,,,KSI130000410
,JC,,,,"Приготовление безусадочных, быстротвердеющих составов тиксотропного типа",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-003,,,KSI130000411
,,JCA,,,Дозировка составляющих,,ГЭСН 81-02-46-2022,,,,,,KSI130000412
,,JCB,,,Перемешивание состава,,ГЭСН 81-02-46-2022,,,,,,KSI130000413
,JD,,,,Нанесение на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-08-004
ГЭСН 46-08-005
ГЭСН 46-08-009
ГЭСН 46-08-010",,,KSI130000414
,,JDA,,,Установка опалубки для нанесения на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2022,,,,,,KSI130000415
,,JDB,,,Разборка опалубки после нанесения на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2022,,,,,,KSI130000416
,,JDC,,,Приготовление грунтовочного состава,,ГЭСН 81-02-46-2022,,,,,,KSI130000417
,,JDD,,,Нанесение грунтовочного состава,,ГЭСН 81-02-46-2022,,,,,,KSI130000418
,,JDE,,,Насыщение поверхности водой под нанесение на поверхности бетонных и железобетонных конструкций составов тиксотропного типа,,ГЭСН 81-02-46-2022,,,,,,KSI130000419
,,JDF,,,Нанесение наливного безусадочного быстротвердеющего состава тиксотропного типа на подготовленную поверхность вручную,,ГЭСН 81-02-46-2022,,,,,,KSI130000420
,,JDG,,,Нанесение безусадочного сухого состава тиксотропного типа на подготовленную поверхность в один слой,,ГЭСН 81-02-46-2022,,,,,,KSI130000421
,,JDH,,,Нанесение тиксотропного состава на подготовленную поверхность вручную в один слой,,ГЭСН 81-02-46-2022,,,,,,KSI130000422
,,JDJ,,,Нанесение пленкообразующего состава на акриловой основе,,ГЭСН 81-02-46-2022,,,,,,KSI130000423
,,JDK,,,Разравнивание нанесенного состава,,ГЭСН 81-02-46-2022,,,,,,KSI130000424
,JE,,,,"Высокоточная цементация оборудования, металлоконструкций с применением составов на цементно-эпоксидной основе",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-011,,,KSI130000425
,,JEA,,,Установка опалубки,,ГЭСН 81-02-46-2022,,,,,,KSI130000426
,,JEB,,,Разборка опалубки,,ГЭСН 81-02-46-2022,,,,,,KSI130000427
,,JEC,,,Заделка стыков опалубки,,ГЭСН 81-02-46-2022,,,,,,KSI130000428
,,JED,,,Насыщение поверхности водой,,ГЭСН 81-02-46-2022,,,,,,KSI130000429
,,JEE,,,Укладка смеси с одновременным распределением материала,,ГЭСН 81-02-46-2022,,,,,,KSI130000430
,JF,,,,Установка анкеров с применением составов на цементно-эпоксидной основе,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-012,,,KSI130000431
,,JFA,,,Разметка мест сверления,,ГЭСН 81-02-46-2022,,,,,,KSI130000432
,,JFB,,,Сверление отверстий под установку анкеров с применением составов на цементно-эпоксидной основе,,ГЭСН 81-02-46-2022,,,,,,KSI130000433
,,JFC,,,Обеспыливание отверстий,,ГЭСН 81-02-46-2022,,,,,,KSI130000434
,,JFD,,,Заполнение отверстий составом,,ГЭСН 81-02-46-2022,,,,,,KSI130000435
,,JFE,,,Установка анкеров,,ГЭСН 81-02-46-2022,,,,,,KSI130000436
,JG,,,,Гидроизоляция швов,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-013,,,KSI130000437
,,JGA,,,Выгрузка материалов на месте производства работ,,ГЭСН 81-02-46-2022,,,,,,KSI130000438
,,JGB,,,Очистка шва от пыли и грязи,,ГЭСН 81-02-46-2022,,,,,,KSI130000439
,,JGC,,,Заполнение шва герметическим материалом,,ГЭСН 81-02-46-2022,,,,,,KSI130000440
,,JGD,,,Выравнивание поверхности шва,,ГЭСН 81-02-46-2022,,,,,,KSI130000441
,,JGE,,,Зачистка кромок шва шлифмашинкой,,ГЭСН 81-02-46-2022,,,,,,KSI130000442
,,JGF,,,Укладка в тело шва пенополиэтиленового теплоизоляционного прокладочного шнура,,ГЭСН 81-02-46-2022,,,,,,KSI130000443
,,JGG,,,Очистка бетонной поверхности сжатым воздухом с помощью компрессора,,ГЭСН 81-02-46-2022,,,,,,KSI130000444
,,JGH,,,"Укладка гидроизоляционной ленты, включая стыковку",,ГЭСН 81-02-46-2022,,,,,,KSI130000445
,,JGJ,,,Нанесение клеевого состава на подготовленную поверхность,,ГЭСН 81-02-46-2022,,,,,,KSI130000446
,,JGK,,,Приготовление клея,,ГЭСН 81-02-46-2022,,,,,,KSI130000447
,,JGL,,,Запечатывание гидроизоляционной ленты клеевым составом,,ГЭСН 81-02-46-2022,,,,,,KSI130000448
,,JGM,,,Соединение концов ленты внахлест,,ГЭСН 81-02-46-2022,,,,,,KSI130000449
,JH,,,,Навеска и перенавеска альпинистского снаряжения,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-033,,,KSI130000450
,,JHA,,,Визуальный осмотр страховочных тросов,,ГЭСН 81-02-46-2022,,,,,,KSI130000451
,,JHB,,,Проверка страховочных тросов,,ГЭСН 81-02-46-2022,,,,,,KSI130000452
,,JHC,,,Раскладка длин концов страховочных тросов,,ГЭСН 81-02-46-2022,,,,,,KSI130000453
,,JHD,,,Выверка длин концов страховочных тросов,,ГЭСН 81-02-46-2022,,,,,,KSI130000454
,,JHE,,,Крепление основного страховочного троса к опорной конструкции (вязка узлов),,ГЭСН 81-02-46-2022,,,,,,KSI130000455
,,JHF,,,Опускание основного страховочного троса на проектную отметку,,ГЭСН 81-02-46-2022,,,,,,KSI130000456
,,JHG,,,Крепление вспомогательного страховочного троса к опорной конструкции (вязка узлов),,ГЭСН 81-02-46-2022,,,,,,KSI130000457
,,JHH,,,Опускание вспомогательного страховочного троса на проектную отметку,,ГЭСН 81-02-46-2022,,,,,,KSI130000458
,,JHJ,,,Проверка альпинистского снаряжения,,ГЭСН 81-02-46-2022,,,,,,KSI130000459
,,JHK,,,Подготовка альпиниста к спуску,,ГЭСН 81-02-46-2022,,,,,,KSI130000460
,,JHL,,,Сверление отверстий на проектной отметке,,ГЭСН 81-02-46-2022,,,,,,KSI130000461
,,JHM,,,Установка анкеров на проектной отметке,,ГЭСН 81-02-46-2022,,,,,,KSI130000462
,,JHN,,,Крепление рабочего троса к анкерам на проектной отметке,,ГЭСН 81-02-46-2022,,,,,,KSI130000463
,,JHP,,,Крепление альпиниста к рабочему тросу,,ГЭСН 81-02-46-2022,,,,,,KSI130000464
,,JHQ,,,Демонтаж рабочего троса,,ГЭСН 81-02-46-2022,,,,,,KSI130000465
,JJ,,,,Очистка поверхности,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-044,,,KSI130000466
,,JJA,,,Очистка поверхности сжатым воздухом,,ГЭСН 81-02-46-2022,,,,,,KSI130000467
,,JJB,,,Гидроструйная очистка поверхности,,ГЭСН 81-02-46-2022,,,,,,KSI130000468
,,JJC,,,Гидроабразивная очистка поверхности,,ГЭСН 81-02-46-2022,,,,,,KSI130000469
,JK,,,,Перевод стоек понтона в рабочее положение,,ГЭСН 81-02-46-2022,По условию производства работ,,ГЭСН 46-08-100,,,KSI130000470
,,JKA,,,Выгрузка материалов на площадке временного складирования,,ГЭСН 81-02-46-2022,,,,,,KSI130000471
,,JKB,,,Распаковка на площадке временного складирования,,ГЭСН 81-02-46-2022,,,,,,KSI130000472
,,JKC,,,Открытие люка-лаза с разболчиванием болтов,,ГЭСН 81-02-46-2022,,,,,,KSI130000473
,,JKD,,,Перенос стоек с болтами и гайками до места производства работ,,ГЭСН 81-02-46-2022,,,,,,KSI130000474
,,JKE,,,Подъем материалов на площадку люка-лаза,,ГЭСН 81-02-46-2022,,,,,,KSI130000475
,,JKF,,,Перенос укороченных стоек с площадки люка-лаза на понтон,,ГЭСН 81-02-46-2022,,,,,,KSI130000476
,,JKG,,,Демонтаж установленных монтажных стоек по периметру понтона,,ГЭСН 81-02-46-2022,,,,,,KSI130000477
,,JKH,,,Установка укороченных стоек по периметру понтона на болтах,,ГЭСН 81-02-46-2022,,,,,,KSI130000478
,,JKJ,,,Перевод ранее установленных центральных стоек в рабочее положение,,ГЭСН 81-02-46-2022,,,,,,KSI130000479
,,JKK,,,Перенос удлиненных стоек после демонтажа от места производства работ до площадки временного складирования,,ГЭСН 81-02-46-2022,,,,,,KSI130000480
,JL,,,,Пропарка поверхности технологических трубопроводов и оборудования внутри резервуара,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-106,,,KSI130000481
,,JLA,,,Проведение замеров концентрации паров углеводородов на резервуаре,,ГЭСН 81-02-46-2022,,,,,,KSI130000482
,,JLB,,,Проведение замеров концентрации паров углеводородов в каре резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000483
,,JLC,,,"Подключение пропарочного шланга к трубопроводу, подлежащему пропарке",,ГЭСН 81-02-46-2022,,,,,,KSI130000484
,,JLD,,,Проверка шланга на герметичность,,ГЭСН 81-02-46-2022,,,,,,KSI130000485
,,JLE,,,Проведение пропарки внутренней поверхности трубопровода резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000486
,,JLF,,,"Отключение пропарочного шланга от трубопровода, подвергавшегося пропарке",,ГЭСН 81-02-46-2022,,,,,,KSI130000487
,JM,,,,Промывка внутренней поверхности резервуара,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-107,,,KSI130000488
,,JMA,,,Проведение замеров концентрации паров углеводородов на резервуаре при промывке,,ГЭСН 81-02-46-2022,,,,,,KSI130000489
,,JMB,,,Проведение замеров концентрации паров углеводородов в каре резервуара при промывке,,ГЭСН 81-02-46-2022,,,,,,KSI130000490
,,JMC,,,Сборка моечной установки,,ГЭСН 81-02-46-2022,,,,,,KSI130000491
,,JMD,,,Сборка шлангов,,ГЭСН 81-02-46-2022,,,,,,KSI130000492
,,JME,,,Сборка насадок на обваловании резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000493
,,JMF,,,Спуск рабочего в резервуар для выполнения работ по промывке,,ГЭСН 81-02-46-2022,,,,,,KSI130000494
,,JMG,,,Проведение промывки внутренней поверхности резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000495
,,JMH,,,"Откачка нефтепарафинистых отложений, поступающих в приямок, в процессе промывки",,ГЭСН 81-02-46-2022,,,,,,KSI130000496
,,JMJ,,,Подъем рабочего из резервуара после работ по промывке,,ГЭСН 81-02-46-2022,,,,,,KSI130000497
,,JMK,,,Выключение оборудования,,ГЭСН 81-02-46-2022,,,,,,KSI130000498
,JN,,,,Дозачистка внутренней поверхности резервуара от твердых донных отложений,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-08-108,,,KSI130000499
,,JNA,,,Спуск рабочего в резервуар для выполнения работ по дозачистке,,ГЭСН 81-02-46-2022,,,,,,KSI130000500
,,JNB,,,Дозачистка резервуара вручную,,ГЭСН 81-02-46-2022,,,,,,KSI130000501
,,JNC,,,Складирование нефтешлама в емкости для передачи на утилизацию,,ГЭСН 81-02-46-2022,,,,,,KSI130000502
,,JND,,,Подъем контейнера с нефтешламом на поверхность резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000503
,,JNE,,,Транспортировка на площадку хранения,,ГЭСН 81-02-46-2022,,,,,,KSI130000504
,,JNF,,,Подъем рабочего из резервуара после работ по дозачистке,,ГЭСН 81-02-46-2022,,,,,,KSI130000505
K,,,,,Работы по благоустройству при реконструкции,,ГЭСНр 81-02-68-2022,по виду работ,,,,,KSI130000506
,KA,,,,Смена отдельных частей металлического ограждения спортивных площадок,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-25,,,KSI130000507
,,KAA,,,Удаление негодной сетки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000508
,,KAB,,,Укрепление новой сетки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000509
,,KAC,,,Удаление негодной стойки с отсоединением пожилин,,ГЭСНр 81-02-68-2022,,,,,,KSI130000510
,,KAD,,,Удаление негодной стойки с отсоединением сетки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000511
,,KAE,,,Установка стойки из трубы с бетонированием фундамента,,ГЭСНр 81-02-68-2022,,,,,,KSI130000512
,,KAF,,,Присоединение пожилин,,ГЭСНр 81-02-68-2022,,,,,,KSI130000513
,,KAG,,,Присоединение сетки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000514
,,KAH,,,Удаление негодной пожилины с отсоединением от стоек и сетки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000515
,,KAJ,,,Установка пожилины с присоединением к стойкам и сетке,,ГЭСНр 81-02-68-2022,,,ГЭСНр 68-26,,,KSI130000516
,KB,,,,Разборка деревянных заборов,,ГЭСНр 81-02-68-2022,по виду работ,,,,,KSI130000517
,,KBA,,,Снятие ограждения,,ГЭСНр 81-02-68-2022,,,,,,KSI130000518
,,KBB,,,Снятие столбов,,ГЭСНр 81-02-68-2022,,,,,,KSI130000519
,KC,,,,Ремонт деревянных ворот,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-27,,,KSI130000520
,,KCA,,,Ремонт полотен и калиток со сменой отдельных частей полотен с добавлением нового лесоматериала,,ГЭСНр 81-02-68-2022,,,,,,KSI130000521
,,KCB,,,Укрепление столбов,,ГЭСНр 81-02-68-2022,,,,,,KSI130000522
,KD,,,,Доработка торцевых поверхностей изделий из природного камня при мощении и монтаже,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-28,,,KSI130000523
,,KDA,,,Транспортировка на стройплощадку,,ГЭСНр 81-02-68-2022,,,,,,KSI130000524
,,KDB,,,Разгрузка изделия,,ГЭСНр 81-02-68-2022,,,,,,KSI130000525
,,KDC,,,Перемещение изделия к месту опиловки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000526
,,KDD,,,Перемещение изделия на станок,,ГЭСНр 81-02-68-2022,,,,,,KSI130000527
,,KDE,,,Разметка контура торца,,ГЭСНр 81-02-68-2022,,,,,,KSI130000528
,,KDF,,,Фрезерование,,ГЭСНр 81-02-68-2022,,,,,,KSI130000529
,,KDG,,,Перемещение изделия со станка в штабель,,ГЭСНр 81-02-68-2022,,,,,,KSI130000530
,,KDJ,,,Погрузка изделия на автотранспорт,,ГЭСНр 81-02-68-2022,,,,,,KSI130000531
,,KDK,,,Транспортировка на стройплощадку для доработки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000532
,,KDL,,,Перемещение изделия к месту обработки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000533
,,KDM,,,Перемещение изделия для обработки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000534
,,KDN,,,"Бучардирование: грубое, получистовое, чистовое",,ГЭСНр 81-02-68-2022,,,,,,KSI130000535
,,KDP,,,Перемещение изделия после обработки в штабель,,ГЭСНр 81-02-68-2022,,,,,,KSI130000536
,,KDQ,,,Термоструйная обработка,,ГЭСНр 81-02-68-2022,,,,,,KSI130000537
,,KDR,,,Разметка и выборка технологической фаски на ребрах поверхности,,ГЭСНр 81-02-68-2022,,,,,,KSI130000538
,,KDS,,,"Шлифование: грубое (обдир), среднее, тонкое, лощение",,ГЭСНр 81-02-68-2022,,,,,,KSI130000539
,,KDT,,,Полирование,,ГЭСНр 81-02-68-2022,,,,,,KSI130000540
,KE,,,,Ремонт массивной гранитной облицовки мостов и набережных,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-29,,,KSI130000541
,,KEA,,,Погрузка и разгрузка плит,,ГЭСНр 81-02-68-2022,,,,,,KSI130000542
,,KEB,,,Демонтаж (выбуривание) перронов,,ГЭСНр 81-02-68-2022,,,,,,KSI130000543
,,KEC,,,Распазовка плит гранитных,,ГЭСНр 81-02-68-2022,,,,,,KSI130000544
,,KED,,,Окалывание кромок плит,,ГЭСНр 81-02-68-2022,,,,,,KSI130000545
,,KEE,,,Скобивание гранитной плиты,,ГЭСНр 81-02-68-2022,,,,,,KSI130000546
,,KEF,,,"Выкалывание ""ленты"" по периметру лицевой поверхности плиты",,ГЭСНр 81-02-68-2022,,,,,,KSI130000547
,,KEG,,,Обжиг камня с 4-х сторон,,ГЭСНр 81-02-68-2022,,,,,,KSI130000548
,,KEH,,,Обработка гранитной облицовки (наковка),,ГЭСНр 81-02-68-2022,,,,,,KSI130000549
,,KEJ,,,Сверление отверстий под пироны,,ГЭСНр 81-02-68-2022,,,,,,KSI130000550
,,KEK,,,Приклеивание отколотых кусков,,ГЭСНр 81-02-68-2022,,,,,,KSI130000551
,,KEL,,,Перемещение плит в процессе обработки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000552
,,KEM,,,Погрузка откалываемых массивов при автомобильных перевозках,,ГЭСНр 81-02-68-2022,,,,,,KSI130000553
,,KEN,,,Выгрузка откалываемых массивов при автомобильных перевозках,,ГЭСНр 81-02-68-2022,,,,,,KSI130000554
,KF,,,,Валка деревьев,,ГЭСНр 81-02-68-2022 ,по виду работ,,ГЭСНр 68-3,,,KSI130000555
,,KFA,,,Валочный пропил дерева бензопилой,,ГЭСНр 81-02-68-2022,,,,,,KSI130000556
,,KFB,,,Валка дерева в необходимом направлении,,ГЭСНр 81-02-68-2022,,,,,,KSI130000557
,,KFC,,,Распиловка дерева на кряжи с выноской,,ГЭСНр 81-02-68-2022,,,,,,KSI130000558
,,KFD,,,Установка дорожных знаков ограждений,,ГЭСНр 81-02-68-2022,,,,,,KSI130000559
,,KFE,,,Подготовка автовышки и гидроподъемника,,ГЭСНр 81-02-68-2022,,,,,,KSI130000560
,,KFF,,,Подготовка площадки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000561
,,KFG,,,Подъем-спуск рабочего в автовышке на заданную высоту,,ГЭСНр 81-02-68-2022,,,,,,KSI130000562
,,KFH,,,"Спиливание ствола дерева частями по 0,5м с применением приспособлений для безопасных методов работы",,ГЭСНр 81-02-68-2022,,,,,,KSI130000563
,,KFJ,,,Обрезка сучьев,,ГЭСНр 81-02-68-2022,,,,,,KSI130000564
,,KFK,,,Раскряжевка,,ГЭСНр 81-02-68-2022,,,,,,KSI130000565
,,KFL,,,Спиливание скелетных ветвей,,ГЭСНр 81-02-68-2022,,,,,,KSI130000566
,,KFM,,,Спиливание вершины ствола,,ГЭСНр 81-02-68-2022,,,,,,KSI130000567
,,KFN,,,Уборка порубочных остатков,,ГЭСНр 81-02-68-2022,,,,,,KSI130000568
,,KFP,,,Складирование в кучи порубочных остатков,,ГЭСНр 81-02-68-2022,,,,,,KSI130000569
,,KFQ,,,Закрепление верхолазного пояса,,ГЭСНр 81-02-68-2022,,,,,,KSI130000570
,,KFR,,,Поэтапное спиливание дерева,,ГЭСНр 81-02-68-2022,,,,,,KSI130000571
,,KFS,,,Снятие веревки,,ГЭСНр 81-02-68-2022,,,,,,KSI130000572
,,KFT,,,Спиливание крупных сучьев,,ГЭСНр 81-02-68-2022,,,,,,KSI130000573
,,KFU,,,Обрубка средних и мелких сучьев,,ГЭСНр 81-02-68-2022,,,,,,KSI130000574
,,KFV,,,Сбор сучьев с укладкой в кучи,,ГЭСНр 81-02-68-2022,,,,,,KSI130000575
,,KFW,,,Переход к другому дереву,,ГЭСНр 81-02-68-2022,,,,,,KSI130000576
,,KFX,,,Валка деревьев в городских условиях,,ГЭСНр 81-02-68-2022,,,,,,KSI130000577
,KG,,,,Ремонт асфальтобетонного покрытия,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-13,,,KSI130000578
,,KGA,,,Разборка асфальтобетонного покрытия вокруг колодцев,,ГЭСНр 81-02-68-2022,,,,,,KSI130000579
,,KGB,,,Погрузка асфальтобетона на бортовой автомобиль,,ГЭСНр 81-02-68-2022,,,,,,KSI130000580
,,KGC,,,Разборка покрытия,,ГЭСНр 81-02-68-2022,,,,,,KSI130000581
,,KGD,,,"Сгребание материала, полученного от разборки покрытия",,ГЭСНр 81-02-68-2022,,,,,,KSI130000582
,,KGE,,,Разломка и обрубка краев асфальтобетона,,ГЭСНр 81-02-68-2022,,,,,,KSI130000583
,,KGF,,,Очистка основания при ремонте асфальтобетонного покрытия,,ГЭСНр 81-02-68-2022,,,,,,KSI130000584
,,KGG,,,Проливка битумом и смазка краев обрубленных мест,,ГЭСНр 81-02-68-2022,,,,,,KSI130000585
,,KGH,,,Укладка асфальтобетонной смеси,,ГЭСНр 81-02-68-2022,,,,,,KSI130000586
,,KGJ,,,Укатка катком асфальтобетонного покрытия,,ГЭСНр 81-02-68-2022,,,,,,KSI130000587
,,KGK,,,Россыпь дополнительного слоя щебня и высевок,,ГЭСНр 81-02-68-2022,,,,,,KSI130000588
,,KGL,,,Разравнивание дополнительного слоя щебня и высевок,,ГЭСНр 81-02-68-2022,,,,,,KSI130000589
,,KGM,,,Уплотнение дополнительного слоя щебня и высевок,,ГЭСНр 81-02-68-2022,,,,,,KSI130000590
,,KGN,,,Укладка асфальтобетонной смеси при ремонте тротуаров,,ГЭСНр 81-02-68-2022,,,,,,KSI130000591
,,KGP,,,Разравнивание асфальтобетонной смеси,,ГЭСНр 81-02-68-2022,,,,,,KSI130000592
,,KGQ,,,Уплотнение асфальтобетонной смеси,,ГЭСНр 81-02-68-2022,,,,,,KSI130000593
,,KGR,,,Посыпка отремонтированных мест песком,,ГЭСНр 81-02-68-2022,,,,,,KSI130000594
,,KGS,,,Затирка трамбовкой,,ГЭСНр 81-02-68-2022,,,,,,KSI130000595
,,KGT,,,Заделка трещин в асфальтобетонных покрытиях вручную битумом,,ГЭСНр 81-02-68-2022,,,,,,KSI130000596
,KH,,,,Регулирование высотного положения крышек колодцев,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-37,,,KSI130000597
,,KHA,,,Выгрузка новых железобетонных регулировочных колец,,ГЭСНр 81-02-68-2022,,,,,,KSI130000598
,,KHB,,,Снятие крышки и корпуса люка,,ГЭСНр 81-02-68-2022,,,,,,KSI130000599
,,KHC,,,Установка новых железобетонных регулировочных колец с зачисткой и покрытием поверхности цементным раствором,,ГЭСНр 81-02-68-2022,,,,,,KSI130000600
,,KHD,,,Установка люка на железобетонные регулировочные кольца с цементированием обоймы,,ГЭСНр 81-02-68-2022,,,,,,KSI130000601
,KJ,,,,Устройство выравнивающего слоя из асфальтобетонной смеси,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-10,,,KSI130000602
,,KJA,,,Очистка оснований при устройстве выравнивающего слоя из асфальтобетонной смеси,,ГЭСНр 81-02-68-2022,,,,,,KSI130000603
,,KJB,,,Укладка асфальтобетонной смеси с укаткой при устройстве выравнивающего слоя,,ГЭСНр 81-02-68-2022,,,,,,KSI130000604
,KK,,,,Ремонт садовых дорожек,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-8,,,KSI130000605
,,KKA,,,Разрыхление грунта вручную,,ГЭСНр 81-02-68-2022,,,,,,KSI130000606
,,KKB,,,Добавление материала покрытия с россыпью,,ГЭСНр 81-02-68-2022,,,,,,KSI130000607
,,KKC,,,Поливка добавленного материала покрытия вручную,,ГЭСНр 81-02-68-2022,,,,,,KSI130000608
,,KKD,,,Планировка покрытия вручную,,ГЭСНр 81-02-68-2022,,,,,,KSI130000609
,,KKE,,,Уплотнение покрытия вручную,,ГЭСНр 81-02-68-2022,,,,,,KSI130000610
,,KKF,,,Россыпь песка или каменной мелочи с разметанием и окончательной укаткой вручную,,ГЭСНр 81-02-68-2022,,,,,,KSI130000611
,KL,,,,Штыковка почвы при омоложении растений,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-7,,,KSI130000612
,,KLA,,,Штыковка почвы с переворачиванием пласта и разбивкой крупных комьев лопатой,,ГЭСНр 81-02-68-2022,,,,,,KSI130000613
,KM,,,,Омоложение живых изгородей и кустарников,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-6,,,KSI130000614
,,KMA,,,Вырезка сучьев,,ГЭСНр 81-02-68-2022,,,,,,KSI130000615
,,KMB,,,Вырезка побегов,,ГЭСНр 81-02-68-2022,,,,,,KSI130000616
,,KMC,,,Зачистка срезов,,ГЭСНр 81-02-68-2022,,,,,,KSI130000617
,,KMD,,,Выноска отрезанных сучьев,,ГЭСНр 81-02-68-2022,,,,,,KSI130000618
,KN,,,,Вырезка сухих ветвей,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-5,,,KSI130000619
,,KNA,,,Установка приставной лестницы,,ГЭСНр 81-02-68-2022,,,,,,KSI130000620
,,KNB,,,Вырезка ветвей,,ГЭСНр 81-02-68-2022,,,,,,KSI130000621
,,KNC,,,Переноска лестницы по ходу работы,,ГЭСНр 81-02-68-2022,,,,,,KSI130000622
,,KND,,,Выноска ветвей с укладкой в кучи,,ГЭСНр 81-02-68-2022,,,,,,KSI130000623
,KP,,,,Выкашивание газонов,,ГЭСНр 81-02-68-2022,,,ГЭСНр 68-4,,,KSI130000624
,KQ,,,,Формовочная обрезка деревьев при ремонтных работах по благоустройству,,ГЭСНр 81-02-68-2022,по виду работ,,ГЭСНр 68-2,,,KSI130000625
