Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,DCG,,,"Сооружение сетей обеспечения газообразным топливом паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение внешнеплощадочного газопровода
Сооружение дожимающей компрессорной станции
Сооружение станции очистки газа","12.01.006.001
12.01.006.006
12.01.006.099",,,,
,,DCH,,,"Сооружение сетей обеспечения жидким топливом и маслохозяйство паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,Сооружение приемно-сливного устройства,05.05.001.002,,,,
,,DCJ,,,"Сооружение сетей обеспечения твердым топливом паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание электротехнических устройств (со щитом управления)
Сооружение размораживающего и разгрузочного устройства",05.05.001.002,,,,
,,DCK,,,"Сооружение сетей производства и разводки спецгазов паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,Сооружение компрессорной станции,12.01.006.006,,,,
,,DCL,,,"Сооружение сетей технического водоснабжения паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание насосной технического водоснабжения
Сооружение брызгального бассейна
Сооружение водовода подпиточной воды
Сооружение водовыпуска","12.01.004.003
12.02.001.007 
12.02.001.001
12.02.001.003",,,,
,DE,,,,Объекты обеспечения электроэнергией,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.05.003.,,,,
,,DEA,,,"Переходы воздушных линий электропередач, коммуникационные тоннели, объекты канализации",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.099.,,,,
,,,DEAA,,Сооружение перехода воздушных линий электропередач,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Кабельная эстакада
Сооружение воздушного перехода высоковольтной линии электропередач через водные преграды, железные дороги и другие инженерные сооружения","05.05.003.003
12.01.099.002",ВН ЛО 20 10,,,
,,,DEAB,,Сооружение коммуникационного тоннеля,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение кабельного канала, тоннель для электрических кабелей
Сооружение узла, камеры при прокладке кабелей","12.01.099.001
12.01.099.099",,,,
,,,DEAC,,Воздушная линия электропередачи,"Устройство для передачи электроэнергии по проводам, расположенным на открытом воздухе и прикрепленным при помощи изолирующих конструкций и арматуры к опорам, несущим конструкциям, кронштейнам и стойкам на инженерных сооружениях (мостах, путепроводах и т.п.)",Правила устройства электроустановок (ПУЭ),,,05.05.003.001,,,,
,,,,DEAC010,Магистраль воздушной линии электропередачи,Участок линии от питающей трансформаторной подстанции до концевой опоры,Правила устройства электроустановок (ПУЭ),,,05.05.003.001,,,,
,,,,DEAC020,Линейное ответвление от  воздушной линии электропередачи,"Участок линии, присоединенной к магистрали воздушной линии , имеющий более двух пролетов.",Правила устройства электроустановок (ПУЭ),,,05.05.003.001,,,,
,,,,DEAC030,Ответвление от воздушной линии электропередачи к вводу,Участок от опоры магистрали или линейного ответвления до зажима (изолятора ввода),Правила устройства электроустановок (ПУЭ),,,05.05.003.001,,,,
,,,,DEAC040,Пролет воздушной линии электропередачи,"Участок  воздушной линии между двумя опорами или конструкциями, заменяющими опоры",Правила устройства электроустановок (ПУЭ),,,05.05.003.001,,,,
,,,,DEAC050,Анкерный пролет воздушной линии электропередачи,Участок воздушной линии между двумя ближайшими анкерными опорами,Правила устройства электроустановок (ПУЭ),,,05.05.003.001,,,,
,,DEB,,,Здание (сооружение) объектов электрических сетей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание (сооружение) пункта релейной защиты
Здание (сооружение) реакторного пункта
Здание диспетчерской","12.01.003.002
05.05.003.",,,,
,,DEC,,,Кабельная вставка,Участок кабельной линии проложенный в земле или в кабельных сооружениях,Правила устройства электроустановок (ПУЭ),,,12.01.003.003,,,Определение синтезировано,
,DF,,,,Объекты газораспределения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,,,,,
,,DFA,,,Здание (сооружение) объектов газораспределительных сетей,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание или сооружение газорегуляторного пункта
Здание или сооружение контрольно­распределительного пункта
Мостовой переход газопровода","12.01.006.002
 04.07.001.005 
12.01.099.002","ВН ПН 50 55 20
ВН ПН 50 55 10",,,"Газораспределительная станция
Газорегуляторный пункт"
,,DFB,,,Здание (сооружение) объектов обеспечения сжатым и сжиженным газовым топливом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение газонаполнительного пункта бытовых установок сжиженного газа
Сооружение газонаполнительной станции сжиженных газов
Сооружение пункта наполнения баллонов сжиженным газом",12.01.006.003,,,,
,DG,,,,Объекты теплоснабжения и кондиционирования воздуха,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,12.01.,ВН ПН 50 50,,,
,,DGA,,,Здание (сооружение) объектов вентиляции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение вытяжной вентиляционной камеры и вентиляционной трубы
Сооружение газохода или воздуховода
Сооружение по сбору конденсата объекта вентиляции
Сооружение подводящего газовоздуховода
Сооружение центральной приточной станции
Сооружение центральной вытяжной (аспирационная) станции
Сооружение тягодутьевой машины для преодоления сопротивления газов (воздуха)",12.01.007.001,,,,
,,DGB,,,"Здание (сооружение) объектов механической очистки газов, воздуха",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение газоотборной системы для отбора газов (газовоздушных смесей) от печей, автоклавов и другого технологического оборудования
Сооружение очистки или подготовки газов (воздуха)
Сооружение очистки промышленных газов и аспирационного воздуха
Сооружение тягодутьевой машины для преодоления сопротивления газов (воздуха)",07.12.003.,,,,
,,DGC,,,"Здание (сооружение) объектов химической очистки газов, воздуха",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха очистки вентиляционных выбросов
Здание цеха очистки горючих газов
Здание цеха очистки негорючих газов (воздуха)",07.12.003.,,,,
,,DGD,,,Здание (сооружение) объектов тепловых и холодильных пунктов,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание теплового пункта
Сооружение индивидуального теплового пункта
Сооружение теплораспределительного пункта
Сооружение центрального теплового пункта","12.01.001.003 
12.01.001.004 
",ВН ПН 50 50 30,,,
,,DGE,,,Здание (сооружение) объектов тепловых сетей,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание отопительной котельной
Здание пуско-отопительной котельной
Здание пускорезервной котельной
Сооружение вспомогательной насосной станции теплоснабжения
Сооружение трубопровода теплоснабжения
Сооружение узла управления и обслуживания электрифицированных задвижек на тепловых сетях","12.01.001.001 
12.01.001.002 
12.01.001.005 
12.01.001.099","ВН ПН 50 50 20
ВН ПН 50 50 10
ВН ПН 50 50 40",,,"Котельная
Тепловая станция
Насосная станция тепловых сетей"
,DH,,,,Объекты вспомогательной инфраструктуры энергетики и электроэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.05.001.,,,,
,,DHA,,,Здание (сооружение) вспомогательных объектов атомной электрической станции малой мощности стационарного расположения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание базы ремонтных организаций
Здание мастерской зоны свободного доступа
Сооружение гражданской обороны","05.05.001.002 
12.02.002.001",,,,
,,DHB,,,Здание (сооружение) вспомогательных объектов атомной электрической станции с реактором на быстрых нейтронах,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание административно-лабораторно­бытового корпуса
Здание информационного центра атомной электрической станции
Здание спецбытового корпуса со спецпрачечной","05.05.001.001 
05.05.001.002 
01.01.004.001",,,,
,,DHC,,,Здание (сооружение) вспомогательных объектов ГЭС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение масляного хозяйства ГЭС
Сооружение осушения ГЭС
Сооружение пневматического хозяйства ГЭС",05.05.001.002,,,,
,,DHD,,,Здание (сооружение) вспомогательных объектов обеспечения электроэнергией,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание ремонтно-производственной базы электросетей
Здание электроремонтного цеха объекта энергетики и электроэнергетики
Сооружение башни ревизии трансформаторов с баками аварийного слива с системой охлаждения масла",05.05.001.002,ВН ПН 50 35 30,,,
,,DHF,,,Инженерное сооружение по защите промплощадки атомной электрической станции малой мощности стационарного расположения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание парогенераторного цеха с блочным пунктом управления атомной электростанции
Здание центрального щита управления с блоками вспомогательных сооружений для АЭС
Здание электротехнических этажерок реакторного отделения",05.01.001.001,,,,
,,DHG,,,Коллектор общего назначения,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Сооружение блочной канализации общего назначения
Сооружение коллектора
Сооружение колодца блочной канализации",12.01.099.001,ВН ЛО 10 50 50,,,
,,DHH,,,"Мастерская ремонтно- эксплуатационные паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание мастерской по ремонту спецхимпокрытий
Здание мастерской по ремонту трансформаторов
Сооружение ремонтной мастерской",05.05.001.002,,,,
,,DHJ,,,Обеспечивающий объект атомной электрической станции малой мощности стационарного расположения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Вспомогательное реакторное здание
Здание для баков запаса обессоленной воды и бака загрязненного конденсата
Здание комплектного распределительного устройства (КРУЭ) атомной электростанции","05.01.001.003 
05.05.003.007",,,,
,,DHK,,,Обеспечивающий объект атомной электрической станции с водо-водяным энергетическим реактором,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Очистное сооружение атомной электрической станции
Сооружение напорного водовода продувки, концевое сооружение водовода
Сооружение отводящего канала градирни с сопрягающими сооружениями","12.01.002.004 
12.01.004.007 
12.01.004.002 
12.02.001.002",,,,
,,DHL,,,Обеспечивающий объект атомной электрической станции с реактором канального типа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание для размещения инженерно­технических средств, помещений охраны и комплекса технических средств охраны системы физической защиты
Сооружение площадки ресиверов азота и водорода
Сооружение холодильной станции атомной электростанции
Сооружение системы контроля радиационной обстановки (АСКРО)",05.05.001.002,,,,
,,DHM,,,Обеспечивающий объект атомной электрической станции с реактором на быстрых нейтронах,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание мастерской ремонта оборудования зоны контролируемого доступа
Сооружение пешеходной галереи
Сооружение эстакады технологических трубопроводов на промплощадке",05.05.001.002,,,,
,,DHN,,,Общестанционный объект атомных электрических станций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Гидротехническое сооружение атомной электростанции
Здание насосной станции систем автоматического пожаротушения и сооружение запаса воды
Здание объединенной насосной станции хозпитьевого, производственного и противопожарного водоснабжения с сетями водоснабжения по площадке","12.002.001. 
12.01.004.003 
12.01.004.005 
",,,,
D,DH,DHP,,,"Объект предприятия по производству энергетических атомных реакторов, паровых гидравлических и газовых турбин и турбовспомогательного оборудования",,СП 18.13330.2019,,,"10.04.002.001 
10.05.004.001",,,,
E,,,,,"Объекты водоснабжения, водоотведения, водоочистки",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.,,,,
,EA,,,,Объекты водозабора и водоподготовки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.004.,,,,
,,EAA,,,"Здание (сооружение) объектов хранения и подачи воды (резервуары, насосные станции, напорные башни)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение водонапорной башни с металлическим баком и стволом из сборных железобетонных элементов
Сооружение резервуара для воды
Сооружение насосной станции подпитки пруда охладителя","12.01.004.003
12.01.004.004
12.01.004.005",,,,
,,EAB,,,Гидротехнические сооружения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Рыбозащитное сооружение
Сооружение железобетонного канала
Сооружение ограждающей дамбы
Сооружение открытого грунтового канала","12.02.001.005 
12.02.001.002 
12.02.001.001 
",,,,
,,EAC,,,Здание (сооружение) объектов водоподготовки и очистки воды,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание хлораторной
Сооружение аэробной стабилизации осадка
Сооружение берегового выпуска очистных сооружений","12.01.004.007
12.02.001.003",ВН ПН 50 40 30,,,
,,EAD,,,Сооружение объектов забора воды,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Водозаборное сооружение
Водозаборное сооружение из поверхностных источников с насосной станцией
Водозаборное сооружение с насосной станцией",12.01.004.006,"ВН ПН 50 40 10
ВН ПН 50 40 20",,,
,EB,,,,Объекты водораспределения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.004.,,,,
,,EBA,,,Водопровод (сеть водоснабжения),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение автоматической системы водяного и пенного пожаротушения
Сооружение городского водопровода
Сооружение коллектора водоснабжения","12.01.008.001 
12.01.004.001 
12.01.099.001",,,,
,,EBB,,,Насосная станция,"Сооружение, предназначенное для забора воды из водоисточника и подачи ее в водопроводные сети"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание насосной станции пожаротушения
Здание насосной станции хозяйственно-питьевого водопровода
Сооружение резервуара запаса воды
Насосная станция циркуляционного, противопожарного и питьевого водоснабжения
Насосная станция питьевого и противопожарного водоснабжения","12.01.004.003 
12.01.004.005",ВН ПН 50 40 40,,,
,EC,,,,"Объекты очистки сточных, в том числе дренажных, вод",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.002.,,,,
,,ECA,,,Здание (сооружение) объектов накопительной водоочистки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Прочие сооружения накопительных объектов водоочистки
Сооружение аэротенка-смесителя
Сооружение отстойника горизонтального",12.02.001.007,ВН ПН 50 45 20,,,
,,ECB,,,Здание (сооружение) объектов водоочистки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание очистки сточных вод от гальванических производств
Здание химводоочистки с баковым хозяйством, конденсатоочисткой, очистными сооружениями
Здание цеха адсорбционной доочистки биологически очищенных стоков с регенерацией активизированного угля","12.01.002.004
12.01.002.005",ВН ПН 50 45 20,,,
,,ECC,,,Сооружение объектов канализации сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение подземной сети водоснабжения и водоотведения на территории блоков оборотного водоснабжения
Сооружение подземной сети водоснабжения и водоотведения на территориях комплексов очистных сооружений канализации
Сооружение системы канализации производственных и дождевых сточных вод с очистными сооружениями","12.01.002.001 
12.01.002.004 
12.01.004.001 ",,,,
,ED,,,,Объекты приема сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.001.,,,,
,,EDA,,,Заглубленное сооружение объектов для сбора сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение дренажной штольни на оползневых склонах
Сооружение конструкции, обеспечивающей устойчивость заглубленных сооружений от всплытия
Сооружение конструкции, обеспечивающей устойчивость ограждающих стен котлованов заглубленных сооружений","12.02.001.006 
12.02.001.005 
12.02.001.001",,,,
,,EDB,,,Сооружение объектов сетей канализации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение внутриплощадочной сети водоотведения
Сооружение внутриплощадочной сети канализации
Сооружение наружной сети бытовой и производственно-дождевой канализации
Сооружение отводящего закрытого канала","12.01.002.001
12.02.001.002",,,,
,,EDC,,,Здание (сооружение) насосных станций сбора сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание канализационной насосной станции
Здание насосно-воздуходувной станции
Здание насосной станции перекачки дренажных вод",12.01.002.003,ВН ПН 50 45 10,,,
,,EDD,,,Сооружение пруда-накопителя,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение пруда накопления ливневых и сточных вод предприятия
Сооружение пруда-накопителя дождевых стоков",12.02.001.007,,,,
,,EDE,,,"Сооружение объектов сетей канализации, сети сбора стоков",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение аварийно-регулирующего резервуара
Сооружение камеры на канализационном коллекторе
Сооружение канализационного коллектора","12.01.002.099 
12.01.099.001",,,,
F,,,,,"Объекты сбора, переработки и утилизации отходов, обработка вторичного сырья",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.03.,,,,
,FA,,,,Объекты обработки и утилизации неопасных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.03.,,,,
,,FAA,,,Здание (сооружение) объектов переработки и утилизации промышленных и бытовых отходов,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание мусоросортировочного комплекса
Сооружение для переработки промышленных и бытовых отходов металлургического предприятия","01.03.001.004 
01.03.002.004","ВН ПН 10 20 10
ВН ПН 10 20 20
ВН ПН 10 20 30
ВН ПН 10 20 40",,,
,,FAB,,,Здание (сооружение) объектов утилизации отходов животного происхождения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха утилизации отходов животного происхождения
Сооружение очистки органических отходов для последующей утилизации",01.03.003.001,,,,
,FB,,,,Объекты переработки вторичного сырья,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.03.,,,,
,,FBA,,,Здание (сооружение) объектов переработки вторичного металлического сырья,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение механического дробления металлических отходов
Сооружение прессования металлических отходов",01.03.001.004,,,,
,,FBB,,,Здание (сооружение) объектов переработки вторичного неметаллического сырья,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха переработки макулатуры
Здание цеха переработки отходов и лома пластмасс
Здание цеха переработки отходов и лома стекла",01.03.002.004,,,,
,FC,,,,"Объекты сбора, обработки и утилизации опасных отходов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.03.,,,,
,,FCA,,,Здание (сооружение) объектов переработки радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание переработки твердых радиоактивных отходов
Сооружение переработки жидких радиоактивных отходов с установкой цементации",01.03.001.004,,,,
,,FCB,,,Здание (сооружение) объектов хранения отходов атомных электрических станций и опасных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Сооружение пункта захоронения спецотходов
Сооружение хранилища жидких и твердых отходов
Сооружение хранилища отработавшего ядерного топлива",01.03.001.001,,,,
G,,,,,"Объекты городской среды, охраны природы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.,,,,
,GA,,,,"Гостиницы, хостелы, мотели",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,03.02.001,ВН ПН 20 25,,,
,,GAA,,,Здание гостиницы,"Предприятие, предоставляющее услуги размещения и, в большинстве случаев, услуги питания, имеющее службу приема, а также оборудование для оказания дополнительных услуг."," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Гостиница,03.02.001.005,"ВН ПН 20 25 10
ВН ПН 20 25 20",,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены),
,,GAB,,,Здание мотеля,"Гостиница с автостоянкой, предоставляющая услуги для размещения автомобилистов."," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Мотель,03.02.001.005,ВН ПН 20 25 30,,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены),
,,GAC,,,Здание хостела,"Предприятие, предоставляющее услуги размещения и питания, управление которым осуществляется некоммерческой организацией; проживание - в многоместных номерах, питание - с ограниченным выбором блюд и/или наличие оборудования для самостоятельного приготовления пищи; предоставление дополнительных услуг, включая развлекательные и образовательные программы"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Хостел,03.02.001.005,ВН ПН 20 25 50,,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены),
,GB,,,,Объекты бытового обслуживания,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,01.04.002.,ВН ПН 20 35,,,
,,GBA,,,"Здание бани (душевой, сауны)",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание бани-душевой
Здание банно-оздоровительного комплекса
Здание банно-саунного комплекса",01.04.002.001,"ВН ПН 20 35 10
ВН ПН 20 35 15
ВН ПН 20 35 25",,,
,,GBB,,,Здание (сооружение) объектов похоронного назначения (кладбища),," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание для проведения траурных обрядов, прощания и поминовения
Здание колумбария
Здание крематория
Производственно-бытовое здание похоронного назначения","01.04.004.001
01.04.004.002
01.04.004.003
","ВН ПН 50 25
ВН ПН 50 25 10
ВН ПН 50 25 20
ВН ПН 50 25 30
ВН ПН 50 25 40
ВН ПН 50 25 50",,,"Ритуальный объект
Крематорий
Колумбарий
Похоронный дом
Бюро похоронного обслуживания
Салон-магазин"
,,GBC,,,"Здание прачечной, химчистки и мелкого ремонта одежды и обуви",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание комплекса бытового обслуживания
Здание мастерской по стирке и ремонту одежды и обуви
Здание прачечной
Здание химчистки",01.04.002.002,"ВН ПН 20 35 20
ВН ПН 20 65 10",,,
,,GBD,,,Здание (сооружение) объектов бытового обслуживания прочего назначения,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание ателье
Здание салона одежды
Здание парикмахерской
Здание салона красоты",01.04.002.002,"ВН ПН 20 35 30
ВН ПН 20 35 40
ВН ПН 20 35 45 ",,,
,,GBE,,,Здание предприятия по ремонту бытовой техники,,,,,01.04.002.0002,ВН ПН 20 65 20,,,
,,GBF,,,Здание общественного туалета,,,,,"01.04.001.001
01.04.001.002",ВН ПН 20 70 10,,,
,GC,,,,Объекты жилой застройки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.02.,,,,
,,GCA,,,Жилые объекты для постоянного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,01.02.001.,,,,
,,,GCAA,,Жилой дом блокированной застройки,"Жилой дом, блокированный с другим жилым домом (другими жилыми домами) в одном ряду общей боковой стеной (общими боковыми стенами) без проемов и имеющий отдельный выход на земельный участок",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,,Таун-хаус,"01.02.001.002 
01.02.001.003 ",,,,
,,,GCAC,,Многоквартирный жилой дом,"Жилое здание, в котором квартиры имеют общие внеквартирные помещения и инженерные системы"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 
СП 54.13330.2022",,"Малоэтажный многоквартирный жилой дом
Многоэтажный многоквартирный жилой дом
Среднеэтажный многоквартирный жилой дом","01.02.001.002
01.02.001.003
01.02.001.004
01.02.001.005
01.02.001.006","ВН НН 80 10 10
ВН НН 80 20 10
ВН НН 80 30 20
ВН НН 80 30 10",,,
,,,GCAD,,Объект индивидуального жилищного строительства (индивидуальный жилой дом),"Отдельно стоящее здание с количеством надземных этажей не более трех, высотой не более 20 м, которое состоит из комнат и помещений вспомогательного использования, предназначенных для удовлетворения гражданами бытовых и иных нужд, связанных с их проживанием в таком здании, и не предназначено для раздела на самостоятельные объекты недвижимости.
Примечание - Индивидуальный жилой дом предназначен для индивидуального проживания или проживания одной семьи при постоянном, длительном или кратковременном проживании (в том числе сезонном, отпускном).",СП 55.13330.2016,,,01.02.001.001,ВН НН 70 10 10,,,
,,,GCAE,,Здание жилое многоквартирное блокированное,"Многоквартирное жилое здание, в котором все квартиры каждого этажа имеют выходы через примыкающую к наружной стене общую галерею не менее чем на две лестницы.",СП 54.13330.2022,,,,,,,
,,GCB,,,Инженерные сети населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.,,,,
,,,GCBA,,Сеть газораспределения СУГ,"Наружный газопровод с техническими устройствами, расположенными на нем, предназначенный для транспортирования паровой фазы СУГ от запорной арматуры, установленной на выходе из редукционной головки резервуарной установки или испарителя, до запорной арматуры включительно, расположенной на границе сети газораспределения и сети газопотребления, в том числе сети газопотребления жилых зданий"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 62.13330.2011",,,12.01.006.001,ВН ЛО 10 50 40,,,
,,,GCBB,,Канализационная сеть,"Комплекс технологически связанных между собой инженерных сооружений, предназначенных для транспортировки сточных вод"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
Федеральный закон от 07.12.2011 г. N 416-ФЗ
СП 32.13330.2018
ГОСТ 25150-82",,Канализационная сеть,12.01.002.001,ВН ЛО 10 50 20 ,,,
