code,level_1,level_2,level_3,level_4,level_5,param_1
СТ 10 14 10 07,,,,Цилиндры и полуцилиндры из пенопласта ФРП-1,,
СТ 10 14 10 08,,,,Пено поливинилхлорид (ППВХ),,
СТ 10 14 10 09,,,,Арболитовый утеплитель,,
СТ 10 14 10 10,,,,Вспененный полиэтилен,,
СТ 10 14 10 12,,,,Фибролитовые плиты на портландцементе,,
СТ 10 14 10 13,,,,Торфяные плиты,,
СТ 10 14 10 14,,,,Сотопластовый утеплитель,,
СТ 10 14 20,,,Утеплители неорганические,,,
СТ 10 14 20 01,,,,Базальтовые маты,,
СТ 10 14 20 02,,,,Блоки из пеностекла,,
СТ 10 14 20 03,,,,Блоки из ячеистого бетона,,
СТ 10 14 20 04,,,,Войлок из базальтовой ваты,,
СТ 10 14 20 05,,,,Войлок из минеральной ваты,,
СТ 10 14 20 06,,,,Войлок из стекловаты,,
СТ 10 14 20 07,,,,Зернистые теплоизоляционные материалы,,
СТ 10 14 20 07 01,,,,,Асбестомагнезиальный порошок,
СТ 10 14 20 07 02,,,,,Асбозурит,
СТ 10 14 20 07 03,,,,,Вспученный вермикулит,
СТ 10 14 20 07 04,,,,,Вспученный перлитовый песок,
СТ 10 14 20 07 05,,,,,Диатомитовая обожженная крошка,
СТ 10 14 20 07 06,,,,,Совелитовый порошок,
СТ 10 14 20 08,,,,Керамическая вата,,
СТ 10 14 20 09,,,,Кирпич диатомитовый,,
СТ 10 14 20 10,,,,Кирпич пенодиатомитовый,,
СТ 10 14 20 12,,,,Маты из минеральной ваты,,
СТ 10 14 20 13,,,,Маты из стеклянной ваты,,
СТ 10 14 20 14,,,,Минераловатная плита,,
СТ 10 14 20 15,,,,Минеральная вата,,
СТ 10 14 20 16,,,,Минераловатная армированная самонесущая плита,,
СТ 10 14 20 17,,,,Муллитокремнеземистая вата,,
СТ 10 14 20 17 01,,,,,Муллитокремнеземистая вата,
СТ 10 14 20 17 02,,,,,Муллитокремнеземистые плиты,
СТ 10 14 20 17 03,,,,,Муллитокремнеземистые хромсодержащие плиты,
СТ 10 14 20 17 04,,,,,Муллитокремнеземистый войлок,
СТ 10 14 20 17 05,,,,,Муллитокремнеземистый рулонный материал,
СТ 10 14 20 17 06,,,,,Муллитокремнеземистый фетр,
СТ 10 14 20 17 07,,,,,Муллитокремнеземистый хромсодержащий войлок,
СТ 10 14 20 17 08,,,,,Муллитокремнеземистый хромсодержащий рулонный материал,
СТ 10 14 20 18,,,,Плита из стеклянной и базальтовой ваты,,
СТ 10 14 20 19,,,,Плиты асбестовермикулитовые,,
СТ 10 14 20 20,,,,Плиты вулканитовые,,
СТ 10 14 20 21,,,,Плиты диатомитовые,,
СТ 10 14 20 22,,,,Плиты известково-кремнеземистые,,
СТ 10 14 20 23,,,,Плиты перлитобитумные,,
СТ 10 14 20 24,,,,Плиты перлитокерамические,,
СТ 10 14 20 25,,,,Плиты перлитофосфогелевые,,
СТ 10 14 20 26,,,,Плиты перлитоцементные,,
СТ 10 14 20 27,,,,Плиты совелитовые,,
СТ 10 14 20 28,,,,Полуцилиндры и сегменты совелитовые,,
СТ 10 14 20 29,,,,Полуцилиндры и сегменты вулканитовые,,
СТ 10 14 20 30,,,,Полуцилиндры и сегменты перлитоцементные,,
СТ 10 14 20 31,,,,Полуцилиндры и сегменты перлитофосфогелевые,,
