code,level_1,level_2,level_3,param_1
ПО ЗУ 11 10,,Объекты проектируемого дорожного графа -линии,,LIN
ПО ЗУ 11 10 01,,,Ось дорожного графа,LIN
ПО ЗУ 11 10 02,,,Сегмент дорожного графа,LIN
ПО ЗУ 11 20,,Объекты проектируемого дорожного графа -полигоны,,POL
ПО ЗУ 11 20 01,,,Область источников дорожного трафика,POL
ПО ЗУ 11 20 02,,,Область приёмников дорожного трафика,POL
ПО ЗУ 11 20 03,,,Область парковки,POL
ПО ЗУ 11 20 04,,,Область перекрёстка,POL
ПО ЗУ 11 20 05,,,Область проезжей части,POL
ПО ЗУ 11 20 06,,,Область кругового перекрёстка,POL
ПО ЗУ 11 20 07,,,Область тупика,POL
ПО ЗУ 11 30,,Объекты проектируемого дорожного графа -надписи,,LAB
ПО ЗУ 12,Объекты пешеходного и велосипедного графа,,,
ПО ЗУ 12 00,,Объекты пешеходного и велосипедного графа - точки,,PNT
ПО ЗУ 12 00 01,,,Узел пешеходного графа - перекрёсток,PNT
ПО ЗУ 12 00 02,,,Узел велосипедного графа - перекрёсток,PNT
ПО ЗУ 12 00 03,,,Перекрёсток пешеходного и велосипедного графа,PNT
ПО ЗУ 12 10,,Объекты пешеходного и велосипедного графа - линии,,LIN
ПО ЗУ 12 10 01,,,Ось пешеходного графа,LIN
ПО ЗУ 12 10 02,,,Ось велосипедного графа,LIN
ПО ЗУ 12 10 03,,,Сегмент пешеходного графа,LIN
ПО ЗУ 12 10 04,,,Сегмент велосипедного графа,LIN
ПО ЗУ 12 10 05,,,Сегмент велопешеходного графа,LIN
ПО ЗУ 12 20,,Объекты пешеходного и велосипедного графа - полигоны,,POL
ПО ЗУ 12 20 01,,,Область источников пешеходного и велосипедного трафика,POL
ПО ЗУ 12 20 02,,,Область приёмников пешеходного и велосипедного трафика,POL
ПО ЗУ 12 30,,Объекты пешеходного и велосипедного трафика - надписи,,LAB
ПО ЗУ 13,Объекты публичных сервитутов,,,
ПО ЗУ 13 10,,Объекты публичных сервитутов - линии,,LIN
ПО ЗУ 13 10 01,,,Граница «красной линии» квартала,LIN
ПО ЗУ 13 20,,Объекты публичных сервитутов - полигоны,,POL
ПО ЗУ 13 20 01,,,Территория застройки внутри «красных линий» квартала,POL
ПО ЗУ 13 20 02,,,Территория общего пользования,POL
ПО ЗУ 13 30,,Объекты публичных сервитутов - надписи,,LAB
ПО ЗУ 14,Объекты охранных зон,,,
ПО ЗУ 14 10,,Объекты охранных зон - линии,,LIN
ПО ЗУ 14 10 01,,,Граница охранной зоны газопровода,LIN
ПО ЗУ 14 10 02,,,Граница охранной зоны сети связи,LIN
ПО ЗУ 14 10 03,,,Граница охранной зоны ЛЭП,LIN
ПО ЗУ 14 10 04,,,Граница охранной зоны сети водопровода,LIN
ПО ЗУ 14 10 05,,,Граница охранной зоны сети ливневой канализации,LIN
ПО ЗУ 14 10 06,,,Граница охранной зоны сети хозяйственно-бытовой канализации,LIN
ПО ЗУ 14 10 07,,,Граница охранной зоны тепловой сети,LIN
ПО ЗУ 14 20,,Объекты охранных зон - полигоны,,POL
ПО ЗУ 14 20 01,,,Область охранной зоны газопровода,POL
ПО ЗУ 14 20 02,,,Область охранной зоны сети связи,POL
ПО ЗУ 14 20 03,,,Область охранной зоны ЛЭП,POL
ПО ЗУ 14 20 04,,,Область охранной зоны сети водопровода,POL
ПО ЗУ 14 20 05,,,Область охранной зоны ливневой канализации,POL
ПО ЗУ 14 20 06,,,Область охранной зоны хозяйственно-бытовой канализации,POL
ПО ЗУ 14 20 07,,,Область охранной зоны тепловой сети,POL
ПО ЗУ 14 30,,Объекты охранных зон - надписи,,LAB
ПО ЗУ 15,Объекты сносимых зданий (сооружений),,,
ПО ЗУ 15 20,,Объекты сносимых зданий (сооружений) -линии,,POL
ПО ЗУ 15 20 01,,,"Граница здания (сооружения), подлежащего сносу",POL
ПО ЗУ 15 30,,Объекты сносимых зданий (сооружений) -надписи,,LAB
ПО ЗУ 16,Объекты ГИС-картограммы,,,
ПО ЗУ 16 00,,ГИС-картограмма - точки,,PNT
ПО ЗУ 16 00 01,,,Точка планировки ГИС-картограммы,PNT
ПО ЗУ 16 10,,ГИС-картограмма - линии,,LIN
ПО ЗУ 16 10 01,,,Линия нулевых работ ГИС-картограммы,LIN
ПО ЗУ 16 10 02,,,Граф перемещения земляных масс,LIN
ПО ЗУ 16 20,,ГИС-картограмма - полигоны,,POL
ПО ЗУ 16 20 01,,,Граница ГИС-картограммы,POL
ПО ЗУ 16 20 02,,,Квадрат ГИС-картограммы,POL
ПО ЗУ 16 30,,ГИС-картограмма - надписи,,LAB
ПО ЗУ 17,Объекты благоустройства,,,
ПО ЗУ 17 00,,Объекты благоустройства - точки,,PNT
ПО ЗУ 17 00 01,,,Малая архитектурная форма,PNT
ПО ЗУ 17 00 02,,,Фонарь освещения,PNT
ПО ЗУ 17 00 03,,,Трансформатор сети освещения,PNT
ПО ЗУ 17 00 04,,,Дерево лиственное,PNT
ПО ЗУ 17 00 05,,,Дерево хвойное,PNT
ПО ЗУ 17 00 06,,,Кустарник,PNT
ПО ЗУ 17 10,,Объекты благоустройства - линии,,LIN
ПО ЗУ 17 10 01,,,Ограждение декоративное,LIN
ПО ЗУ 17 10 02,,,Полоса зелёных насаждений,LIN
ПО ЗУ 17 10 03,,,Провод (кабель) освещения,LIN
ПО ЗУ 17 10 04,,,Охранная зона сети освещения,LIN
ПО ЗУ 17 20,,Объекты благоустройства - полигоны,,POL
ПО ЗУ 17 20 01,,,Газон,POL
ПО ЗУ 17 20 02,,,Декоративные водные объекты,POL
ПО ЗУ 17 20 03,,,Детская площадка,POL
ПО ЗУ 17 20 04,,,Площадка для выгула домашних животных,POL
ПО ЗУ 17 20 05,,,Спортивная площадка,POL
ПО ЗУ 17 20 06,,,Зона максимальной яркости фонаря освещения,POL
ПО ЗУ 17 30,,Объекты благоустройства - надписи,,LAB
ПО ЗУ 19,Объекты строительной техники,,,
ПО ЗУ 19 00,,Объекты строительной техники - узлы,,PNT
ПО ЗУ 19 00 01,,,Перекрёсток графа движения строительной техники,PNT
ПО ЗУ 19 00 02,,,Узел примыкания графа к существующей дороге,PNT
ПО ЗУ 19 10,,Объекты строительной техники - линии,,LIN
ПО ЗУ 19 10 01,,,Граф перемещения строительной техники,LIN
ПО ЗУ 19 20,,Объекты строительной техники - полигоны,,POL
ПО ЗУ 19 20 01,,,Площадка очистки строительной техники,POL
ПО ЗУ 19 30,,Объекты строительной техники - надписи,,LAB
ПО ЗУ 2,Проектируемые сети,,,
ПО ЗУ 20,Водопровод,,,
ПО ЗУ 20 00,,Водопровод - узлы,,PNT
ПО ЗУ 20 00 01,,,Водопроводный фитинг,PNT
ПО ЗУ 20 00 02,,,Водопроводная арматура,PNT
ПО ЗУ 20 00 03,,,Точка подключения водопровода к инженерной сети здания,PNT
ПО ЗУ 20 00 04,,,Точка подключения водопровода к инженерной сети источника,PNT
ПО ЗУ 20 00 05,,,Водопроводный люк камеры (колодца),PNT
ПО ЗУ 20 10,,Водопровод - линии,,LIN
ПО ЗУ 20 10 01,,,Сегмент водопровода,LIN
ПО ЗУ 20 20,,Водопровод - полигоны,,POL
ПО ЗУ 20 20 01,,,Граница камеры (колодца) водопровода,POL
ПО ЗУ 20 30,,Водопровод - надписи,,LAB
ПО ЗУ 21,Объекты напорных сетей,,,
ПО ЗУ 21 00,,Напорная сеть - узлы,,PNT
ПО ЗУ 21 00 01,,,Фитинг напорной сети,PNT
ПО ЗУ 21 00 02,,,Арматура напорной сети,PNT
ПО ЗУ 21 00 03,,,Точка подключения напорной сети к инженерной сети здания,PNT
ПО ЗУ 21 00 04,,,Точка подключения напорной сети к инженерной сети приёмника,PNT
ПО ЗУ 21 00 05,,,Люк камеры (колодца) напорной сети,PNT
ПО ЗУ 21 10,,Напорная сеть - линии,,LIN
ПО ЗУ 21 10 01,,,Сегмент трубопровода напорной сети,LIN
ПО ЗУ 21 20,,Напорная сеть - полигоны,,POL
ПО ЗУ 21 20 01,,,Граница камеры (колодца) напорной сети,POL
ПО ЗУ 21 30,,Напорная сеть - надписи,,LAB
ПО ЗУ 22,Объекты самотечных сетей,,,
ПО ЗУ 22 00,,Самотечная сеть - узлы,,PNT
ПО ЗУ 22 00 01,,,Фитинг самотечной сети,PNT
ПО ЗУ 22 00 02,,,Арматура самотечной сети,PNT
ПО ЗУ 22 00 03,,,Точка подключения самотечной сети к инженерной сети здания,PNT
ПО ЗУ 22 00 04,,,Точка подключения самотечной сети к инженерной сети приёмника,PNT
ПО ЗУ 22 00 05,,,Люк камеры (колодца) самотечной сети,PNT
ПО ЗУ 22 10,,Самотечная сеть - линии,,LIN
ПО ЗУ 22 10 01,,,Сегмент трубопровода самотечной сети,LIN
ПО ЗУ 22 20,,Самотечная сеть - полигоны,,POL
ПО ЗУ 22 20 01,,,Граница камеры (колодца) самотечной сети,POL
ПО ЗУ 22 30,,Самотечная сеть - надписи,,LAB
ПО ЗУ 23,Объекты ливневой канализации,,,
ПО ЗУ 23 00,,Ливневая канализация - узлы,,PNT
ПО ЗУ 23 00 01,,,Фитинг ливневой канализации,PNT
ПО ЗУ 23 00 02,,,Арматура ливневой канализации,PNT
ПО ЗУ 23 00 03,,,Точка подключения ливневой канализации к инженерной сети здания,PNT
ПО ЗУ 23 00 04,,,Точка подключения ливневой канализации к инженерной сети приёмника,PNT
ПО ЗУ 23 00 05,,,Люк камеры (колодца) ливневой канализации,PNT
ПО ЗУ 23 10,,Ливневая канализация - линии,,LIN
ПО ЗУ 23 10 01,,,Сегмент трубопровода ливневой канализации,LIN
ПО ЗУ 23 20,,Ливневая канализация - полигоны,,POL
ПО ЗУ 23 20 01,,,Граница водосборного колодца ливневой канализации,POL
ПО ЗУ 23 20 02,,,Граница водоприёмника ливневой канализации,POL
ПО ЗУ 23 30,,Ливневая канализация - надписи,,LAB
ПО ЗУ 24,Объекты тепловых сетей,,,
ПО ЗУ 24 00,,Тепловая сеть - узлы,,PNT
ПО ЗУ 24 00 01,,,Фитинг тепловой сети,PNT
ПО ЗУ 24 00 02,,,Арматура тепловой сети,PNT
ПО ЗУ 24 00 03,,,Точка подключения тепловой сети к инженерной сети здания,PNT
ПО ЗУ 24 00 04,,,Точка подключения тепловой сети к инженерной сети источника,PNT
ПО ЗУ 24 00 05,,,Люк камеры (колодца) тепловой сети,PNT
ПО ЗУ 24 10,,Тепловая сеть - линии,,LIN
ПО ЗУ 24 10 01,,,Сегмент трубопровода тепловой сети,LIN
ПО ЗУ 24 20,,Тепловая сеть - полигоны,,POL
ПО ЗУ 24 20 01,,,Граница камеры тепловой сети,POL
ПО ЗУ 24 20 02,,,Граница лотка тепловой сети,POL
ПО ЗУ 24 30,,Тепловая сеть - надписи,,LAB
ПО ЗУ 25,Объекты газопроводов,,,
ПО ЗУ 25 00,,Газопровод - узлы,,PNT
ПО ЗУ 25 00 01,,,Фитинг газопровода,PNT
ПО ЗУ 25 00 02,,,Арматура газопровода,PNT
ПО ЗУ 25 00 03,,,Точка подключения газопровода к инженерной сети здания,PNT
ПО ЗУ 25 00 04,,,Точка подключения газопровода к инженерной сети источника,PNT
ПО ЗУ 25 00 05,,,Люк смотрового колодца газопровода,PNT
ПО ЗУ 25 00 06,,,Свеча газопровода,PNT
ПО ЗУ 25 10,,Газопровод - линии,,LIN
ПО ЗУ 25 10 01,,,Сегмент газопровода,LIN
ПО ЗУ 25 20,,Газопровод - полигоны,,POL
ПО ЗУ 25 20 01,,,Граница смотрового колодца газопровода,POL
ПО ЗУ 25 20 02,,,Граница смотровой площадки арматуры газопровода,POL
ПО ЗУ 25 30,,Газопровод - надписи,,LAB
ПО ЗУ 26,Объекты воздушных ЛЭП,,,
ПО ЗУ 26 00,,Воздушная ЛЭП - узлы,,PNT
ПО ЗУ 26 00 01,,,Опора бетонная воздушной ЛЭП,PNT
ПО ЗУ 26 00 02,,,Опора деревянная воздушной ЛЭП,PNT
ПО ЗУ 26 00 03,,,Опора металлическая воздушной ЛЭП,PNT
ПО ЗУ 26 00 04,,,Трансформатор воздушной ЛЭП,PNT
ПО ЗУ 26 00 05,,,Точка подключения воздушной ЛЭП к инженерной сети здания,PNT
ПО ЗУ 26 00 06,,,Точка подключения воздушной ЛЭП к инженерной сети источника,PNT
ПО ЗУ 26 00 07,,,Переход воздушной сети в кабель,PNT
ПО ЗУ 26 00 08,,,Молниеотвод воздушной ЛЭП,PNT
ПО ЗУ 26 00 09,,,Узел сегмента провода воздушной ЛЭП,PNT
ПО ЗУ 26 10,,Воздушная ЛЭП - линии,,LIN
ПО ЗУ 26 10 01,,,Сегмент провода воздушной ЛЭП,LIN
ПО ЗУ 26 20,,Воздушная ЛЭП - полигоны,,POL
ПО ЗУ 26 20 01,,,Опора металлическая сборная воздушной ЛЭП,POL
ПО ЗУ 26 20 02,,,Граница подстанции воздушной ЛЭП,POL
ПО ЗУ 26 30,,Воздушная ЛЭП - надписи,,LAB
ПО ЗУ 27,Объекты кабельной ЛЭП,,,
ПО ЗУ 27 00,,Кабельная ЛЭП - узлы,,PNT
ПО ЗУ 27 00 01,,,Трансформатор кабельной ЛЭП,PNT
ПО ЗУ 27 00 02,,,Точка подключения кабельной ЛЭП к инженерной сети здания,PNT
ПО ЗУ 27 00 03,,,Точка подключения кабельной ЛЭП к инженерной сети источника,PNT
ПО ЗУ 27 00 04,,,Узел сегмента кабельной ЛЭП,PNT
ПО ЗУ 27 10,,Кабельная ЛЭП - линии,,LIN
ПО ЗУ 27 10 01,,,Сегмент кабеля ЛЭП,LIN
ПО ЗУ 27 20,,Кабельная ЛЭП - полигоны,,POL
ПО ЗУ 27 20 01,,,Граница подстанции кабельной ЛЭП,POL
ПО ЗУ 27 30,,Кабельная ЛЭП - надписи,,LAB
ПО ЗУ 28,Объекты воздушной сети связи,,,
ПО ЗУ 28 00,,Воздушная сеть связи - узлы,,PNT
ПО ЗУ 28 00 01,,,Опора бетонная воздушной сети связи,PNT
ПО ЗУ 28 00 02,,,Опора деревянная воздушной сети связи,PNT
ПО ЗУ 28 00 03,,,Опора металлическая воздушной сети связи,PNT
ПО ЗУ 28 00 04,,,Трансформатор воздушной сети связи,PNT
ПО ЗУ 28 00 05,,,Точка подключения сети связи к инженерной сети здания,PNT
ПО ЗУ 28 00 06,,,Точка подключения сети связи к инженерной сети источника,PNT
ПО ЗУ 28 00 07,,,Переход воздушной сети связи в кабель,PNT
ПО ЗУ 28 00 08,,,Молниеотвод воздушной сети связи,PNT
ПО ЗУ 28 00 09,,,Узел сегмента провода воздушной сети связи,PNT
ПО ЗУ 28 10,,Воздушная сеть связи - линии,,LIN
ПО ЗУ 28 10 01,,,Сегмент провода воздушной сети связи,LIN
ПО ЗУ 28 30,,Воздушная сеть связи - надписи,,LAB
ПО ЗУ 29,Объекты кабельной сети связи,,,
ПО ЗУ 29 00,,Кабельная сеть связи - узлы,,PNT
ПО ЗУ 29 00 01,,,Точка подключения кабельной сети к инженерной сети здания,PNT
ПО ЗУ 29 00 02,,,Точка подключения кабельной сети к инженерной сети источника,PNT
ПО ЗУ 29 00 03,,,Узел сегмента провода кабельной сети,PNT
ПО ЗУ 29 10,,Кабельная сеть связи - линии,,LIN
ПО ЗУ 29 10 01,,,Сегмент провода кабельной сети,LIN
ПО ЗУ 29 30,,Кабельная сеть связи - надписи,,LAB
ПО ЗУ 30,Обеспечение пожарной безопасности (ПБ),,,
ПО ЗУ 30 00,,Объекты обеспечения ПБ - узлы,,PNT
ПО ЗУ 30 00 01,,,Пожарный гидрант,PNT
ПО ЗУ 30 00 02,,,Огнетушитель,PNT
ПО ЗУ 30 10,,Объекты обеспечения ПБ - линии,,LIN
ПО ЗУ 30 10 01,,,Пожарный водопровод,LIN
ПО ЗУ 30 20,,Объекты обеспечения ПБ - полигоны,,POL
ПО ЗУ 30 20 01,,,Пожарный водоём,POL
ПО ЗУ 30 20 02,,,Площадка размещения пожарной техники,POL
ПО ЗУ 30 30,,Объекты обеспечения ПБ - надписи,,LAB
ПО ЗУ 31,Объекты обеспечения доступа маломобильных групп населения (МГН),,,
ПО ЗУ 31 00,,Объекты обеспечения доступа МГН - узлы,,PNT
ПО ЗУ 31 00 01,,,Узел графа в точках входа (выхода) МГН в (из) зданий,PNT
ПО ЗУ 31 00 02,,,Узел графа перемещения МГН,PNT
ПО ЗУ 31 00 03,,,Узел связи графа перемещения МГН с существующей инфраструктурой,PNT
ПО ЗУ 31 10,,Объекты обеспечения доступа МГН - линии,,LIN
ПО ЗУ 31 10 01,,,Сегмент графа перемещения МГН,LIN
ПО ЗУ 31 10 02,,,Тактильная разметка,LIN
ПО ЗУ 31 20,,Объекты обеспечения доступа МГН -полигоны,,POL
ПО ЗУ 31 20 01,,,Граница площадки пандуса,POL
ПО ЗУ 31 20 02,,,Место стоянки автомобилей для инвалидов,POL
ПО ЗУ 31 30,,Объекты обеспечения доступа МГН - надписи,,LAB
