Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ACH,,,Кран на пневмоколесном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.08,ТО 14 15 60,
,,ACJ,,,Кран на специальном шасси автомобильного типа,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.09,ТО 14 15 50,
,,ACK,,,Кран портальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.05.11,,
,,ACL,,,Кран стрелового типа,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.12,ТО 14 10 10 06,
,,ACM,,,Кран-манипулятор,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.13,ТО 16 14 70 04,
,,ACN,,,Кран-укосина,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.05.14-001 
91.05.14-011 ","ТО 14 15 35 01
ТО 14 15 35 02",
,,ACP,,,Кран монтажный специальный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.05.14-021 
91.05.14-022","ТО 14 35 10 01
ТО 14 35 10 02",
,,ACQ,,,Кран на тракторе,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14-023,ТО 14 15 50 05,
,,ACR,,,Кран переставной,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14-025,ТО 14 35 10 04,
,,ACS,,,Кран специальный строительный для возведения гиперболической оболочки градирни,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.05.14-026,,
,,ACT,,,Кран консольно-шлюзовой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.05.03-001
91.05.03-002",ТО 14 15 15,
