Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ANS,,,Шаланда,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.20.16-001
91.20.16-002
91.20.16-003
91.20.16-004
91.20.16-005
91.20.16-006
91.20.16-007
91.20.16-008
91.20.16-009
91.20.16-010
91.20.16-011
91.20.16-012
91.20.16-507
91.20.16-508
91.20.16-509
91.20.16-510
91.20.16-511",,
,,ANT,,,Шлюпка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.20.16-021,,
,AP,,,,"Приспособления, станки, установки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21,,
,,APA,,,Аппарат для переработки битумосодержащих материалов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-042,,
,,APB,,,Аппарат для снятия и измельчения старых дефектных рубероидных ковров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-051,,
,,APC,,,Аппарат высокого давления,"Аппарат, предназначенный для очистки поверхностей мощной струёй воды от различного рода загрязнений, продуктов коррозии и старых покрытий: краски, лаков, плесени и т. п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.02,,Определение синтезировано
,,,,APC010,Аппарат высокого давления обыкновенный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.02-001,,
,,,,APC020,Агрегат передвижной с двигателем внутреннего сгорания для гидроочистки поверхностей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.02-011,,
,,,,APC030,Аппарат моечный высокого давления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.02-502,,
,,,,APC040,Аппарат передвижной высокого давления с двигателем внутреннего сгорания (моечное оборудование),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,APD,,,"Аппарат пескоструйный, дробеструйный","Аппарат для очистки поверхности от старой краски, окалины, ржавчины (пескоструйная, дробеструйная очистка), для удаления загрязнений и обезжиривания поверхностей перед проведением покраски и для декорационных работ по стеклу и мрамору",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.21.03
",,Определение синтезировано
,,,,APD010,Аппарат напорно-струйный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.03-001,,
,,,,APD020,Аппарат дробеструйный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.03-011,ТО 36 10 30 02,
,,,,APD030,Камера дробеструйная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.03-021,,
,,,,APD040,Аппарат пескоструйный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.03-502,ТО 36 10 30 01,
,,,,APD050,Аппарат абразивоструйный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.03-507 ,,
,,APE,,,Аппарат для плазменной резки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.17.04-051,,
,,APF,,,Машина стенорезная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,, 91.21.22-391,,
,,APG,,,Машина арматурно-навивочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-191,,
,,APH,,,Машина для райберовки отверстий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-192,,
,,APJ,,,Машина листогибочная специальная (вальцы),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-194,,
,,APK,,,Машина пневматическая для забивания в грунт под любым углом наклона к горизонту и извлечения стержней,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-195,,
,,APL,,,Установка,"Отдельный аппарат или совокупность устройств и (или) аппаратов, объединенных в данном месте, чтобы выполнять определенные цели, включая все средства для обеспечения их удовлетворительного оперирования",,Функция установки,,,,ГОСТ IEC 60050-151-2014
,,,,APL010,Установка алмазного бурения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.20,,
,,,,APL020,Установка высокоскоростного газопламенного порошкового напыления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL030,Установка газопламенного напыления проволоки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL040,"Установка электродуговой металлизации толкающего типа, напыляемый материал металлическая проволока",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL050,Установка для сварки полиэтиленовой пленки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-446,,
,,,,APL060,Установка электрометаллизационная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL070,Установка для вакуумирования и подсушки твердой изоляции силовых трансформаторов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-431,,
,,,,APL080,Установка вакуумной обработки трансформаторного масла,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-432,,
,,,,APL090,Установка газотехнологическая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-433,,
,,,,APL100,Установка дегазационная для кабельного масла,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.22-434,ТО 38 50 50 03,
,,,,APL110,Установка передвижная маслоочистительная (центрифуги),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-437,,
,,,,APL120,Установка передвижная цеолитовая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.22-438,ТО 38 50 50 02,
,,,,APL130,Установка электронагревательная для утюжки пола,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL140,Установка для заготовки защитных покрытий тепловой изоляции,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-441,,
,,,,APL150,Установка для заливки пенополиуретана,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-442,,
,,,,APL160,"Установка для изготовления бандажей, диафрагм, пряжек",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-443,,
,,,,APL170,Установка для приготовления горячей рубероидной массы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-444,,
,,,,APL180,Установка для приготовления клея,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-445,,
,,,,APL190,Установка для гидроочистки поверхности,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-674,,
,,,,APL200,Установка для подсушки твердой изоляции силовых трансформаторов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL210,Установка переносная поверочная для счетчиков холодной и горячей воды,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APL220,Установка пылеулавливающая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,APM,,,Станок,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Функция станка,,91.21.19,ТО 42 30,
,,,,APM010,Станок для гнутья ручной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-011,,
,,,,APM020,Станок для заточки бурового инструмента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-012,,
,,,,APM030,Станок с абразивным кругом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-013,,
,,,,APM040,Станок трубогибочный для труб,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.21.19-014 
91.21.19-015 
91.21.19-016","ТО 42 30 10 10
ТО 42 30 10 11",
,,,,APM050,Станок трубогибочный с электроприводом для труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-017,,
,,,,APM060,Станок для гибки арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-021,,
,,,,APM070,Станок для гибки и резки арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-023,,
,,,,APM080,Станок для резки керамики,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-024,ТО 42 30 10 04,
,,,,APM090,Станок для резки огнеупоров,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-025,ТО 42 30 10 05,
,,,,APM100,Станок для рубки арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-026,,
,,,,APM110,Станок камнерезный универсальный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-027,ТО 42 30 10 02,
,,,,APM120,Станок плоско-шлифовальный с крестовым столом и горизонтальным шпинделем высокой точности,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,28.41.23.130.91.21.19-028,,
,,,,APM130,Станок с электромеханическим приводом для размотки рулонного материала,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-030,ТО 42 30 10 14,
,,,,APM140,Станок сверлильный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-031,"ТО 42 30 10 08
ТО 42 30 10 01",
,,,,APM150,Станок строгальный по металлу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-032,,
,,,,APM160,Станок токарно-винторезный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-033,ТО 42 30 10 07,
,,,,APM170,Станок точильные двусторонние,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-034,ТО 42 30 10 06,
,,,,APM180,Станок трубонарезный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-035,ТО 42 30 10 09,
,,,,APM190,Станок фальцепрокатный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-037,,
,,,,APM200,Станок фрезерный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19-038,ТО 42 30 10 13,
,,,,APM210,Станок ножницы электрические для резки стержневой арматуры,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.19-039,,
,,,,APM220,Станок для алмазного сверления,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,"ТО 42 30 20 01
ТО 42 30 20 02",
,,,,APM230,Станок для гибки арматурной стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APM240,"Станок для канатной резки бетона, железобетона и кирпича",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APM250,Станок для накатывания канавок (шлицов) на трубах,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APM260,Станок для резки арматурной стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APM270,Станок вертикальный резьбонарезной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APM280,Станок трубогибочный в комплекте с дорном для холодной гибки труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,APN,,,Пресс,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Функция пресса,,91.21.16,ТО 42 20 85,
,,,,APN010,Пресс-ножницы комбинированные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16-001,ТО 42 20 60 03,
,,,,APN020,Пресс арматурный для стыкования арматуры периодического профиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.16-011,,
,,,,APN030,Пресс гидравлический с электроприводом,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16-012,ТО 42 20 85 01,
,,,,APN040,Пресс кривошипный простого действия,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16-013,ТО 42 20 85 02,
,,,,APN050,Пресс листогибочный кривошипный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16-014,ТО 42 20 85 03,
,,,,APN060,Пресс гидравлический для вертикальной выправки стыков (рельсо-гибочный),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APN070,"Пресс гидравлический для запрессовки и выпрессовки, правки и гибки",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APN080,Пресс гидравлический настольный с ручным приводом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APN090,"Пресс для запрессовки и выпрессовки шпинтонов, в комплекте с насосной станцией",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APN100,Пресс однокривошипный открытый ненаклоняемый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,APN110,Пресс гидравлический для изготовления образцов асфальтобетона,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,APP,,,Комплекс вакуумный для вирибровакуумной обработки бетона при устройстве полов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.22-161,ТО 36 10 10 01,
,,APQ,,,Тележка кабельная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-401,,
,,APR,,,Сепаратор шлама,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-361,,
,,APS,,,Система гидравлическая для монтажа соединительных муфт,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-371,,
,,APT,,,Система радиографического контроля трубопроводов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-471,,
,,APU,,,"Сборник для накопления, разбора и хранения очищенной (дистиллированной) воды",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,APV,,,Гидромолот на базе шагающего экскаватора,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.21.22-704,,
,AQ,,,,"Машины для приготовления, подачи и укладки бетона и раствора",,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128","Назначение (функция) машины
 установки",,91.07,ТО 20,
,,AQA,,,Бетононасос,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Автобетононасос,91.07.02,"ТО 20 10 10 01
ТО 20 10 10 02
ТО 20 10 10 03
ТО 20 10 20 01",
,,AQB,,,Бетоносмеситель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.03,"ТО 20 20 10 01
ТО 20 20 10 02
ТО 20 20 20 01
ТО 20 20 20 02
ТО 20 20 20 03",
,,AQC,,,Виброоборудование,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.04,"ТО 20 80 10 01
ТО 20 80 10 02",
,,AQD,,,Завод бетонный инвентарный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.05,ТО 20 10 20 02,
,,AQE,,,Комплекс для приготовления и очистки глинистых растворов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.07.06,,
,,AQF,,,Растворонасос,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.07,"ТО 20 50 10 01
ТО 20 50 10 02
ТО 20 50 10 03",
,,AQG,,,Растворосмеситель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Растворосмеситель передвижной,91.07.08,ТО 20 40,
,,AQH,,,Установка цементационная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.09,ТО 20 50 10 04,
,,AQJ,,,Цемент-пушка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.07.10-021
91.07.10-031",ТО 20 70 10 03,
,,AQK,,,Растворонагнетатель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.10-011,ТО 20 10 20 03,
,,AQL,,,Установка инъекционная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.07.11-001,,
,,AQM,,,Установка по приготовлению и подаче растворов из сухих смесей,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.11-002,ТО 20 30 10 05,
,,AQN,,,Комплекс машин для устройства грунто-цементных свай по технологии струйной цементации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.02.05-050
91.02.05-051",,
,,AQP,,,Машина инъекционная для цементации предварительно-напряженных анкеров,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 20 90 10 02,
,,AQQ,,,Установка для приемки и подачи товарного раствора,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.11-506,ТО 20 30 10 04,
,,AQR,,,Установка смесительно-насосная стационарная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.07.11-507,,
,,AQS,,,Бункер бетоносмесительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.07.11-508,,
,,AQT,,,Бетононасос-миксер прицепной с двигателем внутреннего сгорания,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.07.11-570,,
,,AQU,,,Силос для цемента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.07.01-011,,
,AR,,,,"Машины и агрегаты для тоннелестроения, горнопроходческих работ и строительства метрополитенов",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),"Назначение (функция) машины
 агрегата",,91.03,,
,,ARA,,,Блокоукладчик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,ARB,,,Вентилятор,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.02,,
,,ARC,,,Комплекс и комбайн проходческие,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.05,ТО 38 40 10 01,
,,ARD,,,Машина погрузочная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Машины погрузочные электрические ковшовые
Машины погрузочные для горизонтальных выработок",91.03.06,ТО 16 34,
,,ARE,,,Перфоратор колонковый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.08,ТО 42 20 70 01,
,,ARF,,,Подъем,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.09,,
,,ARG,,,Станок буровой для бурения скважин в подземных условиях,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.10,,
,,ARH,,,Толкатель вагонеток,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.12,,
,,ARJ,,,Тюбингоукладчик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.13,,
,,ARK,,,Узел тампонажный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,ARL,,,Установка бурильная,,,,,,,
,,,,ARL010,Установка бурильная пневматическая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Установка бурильная пневматическая на гусеничном ходу,91.03.15,ТО 26 40 10 06,
,,,,ARL020,Установка бурильная стволовая пневмогидравлические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.16,,
A,,,,ARL030,Установка буровая проходческая стреловая на пневмоколесном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.03.19-130
91.03.19-131
91.03.19-132
91.03.19-133",,
,,ARM,,,Выпрямитель,,,,,,,
,,,,ARM010,Выпрямитель кремниевый силовой шахтный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.19-002,,
,,,,ARM020,Выпрямитель для зарядки аккумуляторных батарей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.19-001,,
,,ARN,,,Кабелепередвижчик на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,ARP,,,Лесоспуск в шахтном стволе,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.03.19-031 
91.03.19-032",,
,,ARQ,,,Опрокидыватель круговой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.19-061,ТО 16 30 10 01,
,,ARR,,,Откатка концевая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.03.19-071
91.03.19-072",,
,,ARS,,,Питатель пластинчатый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.19-081,ТО 38 50 20 08,
,,ART,,,Сболчиватель пневматический,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.03.19-091
91.03.19-092",ТО 42 20 90 08,
,,ARU,,,Сверло горное,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.03.19-102,,
,,ARV,,,Комплекс георадарный аппаратнопрограммный многоканальный при ведении щитовой проходки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,ARW,,,Комплекс откатки грузов по наклонным выработкам с дизельным локомотивом,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,ARX,,,Механизированная установка на базе автомобильного шасси для монтажа кабеленесущих конструкций в подземных сооружениях,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,ARY,,,Мотовоз узкой колеи,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.09.13-021,,
,,ARZ,,,Рельсорез,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,, 91.09.12-101,,
,AS,,,,Машины для сооружений линий связи и электропередач,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Назначение машины,,91.11,ТО 24 10 10,
,,ASA,,,Кабелеукладчик,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Кабелеукладчик колесный прицепной для прокладки коаксиального кабеля КУК-5М,91.11.01,ТО 24 10 10 02,
,,ASB,,,Аппарат смазочный тросовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.11.02-001,,
,,ASC,,,Волокуша,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Волокуша для транспортировки барабанов с кабелем в заболоченных местах,,ТО 24 10 10 04,
,,ASD,,,"Комплекс для монтажа проводов методом ""под тяжением""",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.11.02-021,,
