Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,,AGCB,,Цемент,"Тонко помолотый неорганический материал, который в смеси с водой образует пасту, отвердевающую в процессе гидратации, и после отвердения сохраняет прочность и устойчивость, даже под водой","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"03.2
59.1.03.02
59.1.03.02-0001
59.1.03.02-0032
59.1.03.02-0033
59.1.03.02-0034
",СТ 10 09 10,
,,,,AGCB010,Портландцемент бездобавочный,"бездобавочный портландцемент – цемент, вещественный состав которого содержит 100% портландцементного клинкера.","ГОСТ 31108-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"03.2.01.01-0001
03.2.01.01-0003
03.2.01.01-0005
",СТ 10 09 10 10 10,
,,,,AGCB020,Портландцемент с минеральными добавками,,"ГОСТ 31108-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"03.2.01.02
59.1.03.02-0006
59.1.03.02-0007",СТ 10 09 10 10 20,
,,,,AGCB030,Цемент глиноземистый,"Специальные цементы, получаемые тонким измельчением глиноземистого клинкера, обеспечивающие быстрое твердение растворов и бетонов","ГОСТ 969-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"03.2.01.03
59.1.03.02-0008
59.1.03.02-0009
59.1.03.02-0010
59.1.03.02-0011
59.1.03.02-0012
59.1.03.02-0013
59.1.03.02-0014",СТ 10 09 10 30 40,
,,,,AGCB040,Композиционный портландцемент,,"ГОСТ 31108-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,
,,,,AGCB050,Цементы специальные,"Цемент, к которому наряду с обеспечением прочности предъявляют специальные требования","ГОСТ 30515-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"03.2.02
59.1.03.02-0028
59.1.03.02-0029",,
,,,,AGCB060,Портландцементы тампонажные,"Цементы, предназначенные для цементирования нефтяных, газовых и других скважин.",ГОСТ 1581-2019,,,"03.2.02.10
59.1.03.02-0030
59.1.03.02-0031",,
,,,,AGCB070,Цементы сульфатостойкие,"Цементы, предназначенные для изго-товления бетонных и железобетонных изделий и конструкций, обладающих повышенной коррозионной стойкостью при воздействии сред, агрессивных по содержанию сульфатов.",ГОСТ 22266-2013,,,"03.2.02.09
59.1.03.02-0015
59.1.03.02-0016",,
,,,,AGCB080,Цементы для транспортного строительства,"Цементы для транспортного строитель-ства - цементы, изготавливаемые на ос-нове портландцементного клинкера нормированного состава и применяе-мые в транспортном строительстве для изготовления бетонов аэродромных по-крытий, мостовых конструкций, желе-зобетонных изделий, в том числе желе-зобетонных труб, шпал, опор линий электропередачи, бордюрного камня и др., для которых специальные требова-ния к минералогическому составу клинкера не предъявляются.",ГОСТ Р 55224-2020,,,03.2.02.05,,
,,,,AGCB090,Портландцемент общестроительного назначения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"59.1.03.02-0002
59.1.03.02-0004
59.1.03.02-0005
03.2.01.01-0001
03.2.01.01-0003
03.2.01.01-0005
",,
,,,,AGCB100,Портландцемент пластифицированный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,59.1.03.02-0003,,
,,,,AGCB110,Портландцемент гидрофобный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"59.1.03.02-0017
59.1.03.02-0019",,
,,,,AGCB120,Портландцемент декоративный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"59.1.03.02-0020
59.1.03.02-0021
59.1.03.02-0022
59.1.03.02-0023
59.1.03.02-0024
59.1.03.02-0025
59.1.03.02-0026",,
,,,,AGCB130,Цементы пуццолановые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,03.2.01.04-0002,,
,,,,AGCB140,Шлакопортландцементы,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,03.2.01.05,,
,,,,AGCB150,Цементы напрягающие,,Приказ Минстроя России от 17.11.2022 N 969/пр,,, 03.2.02.06,,
,,,,AGCB160,Цементы расширяющиеся,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,03.2.02.08,,
,,,AGCC,,Известь строительная,"Известь, предназначенная для изготовления строительных материалов и изделий","ГОСТ 9179-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"03.1.02.03
59.1.03.01-0014
59.1.03.01-0015
59.1.03.01-0016
59.1.03.01-0017
59.1.03.01-0018",СТ 10 09 20,
,,,,AGCC010,Известь воздушная,"Известь, твердеющая в воздушно-сухих условиях под воздействием диоксида углерода. Воздушная известь не обладает гидравлическими свойствами и подразделяется на две подгруппы: кальциевую известь и доломитовую известь",ГОСТ 9179-2018,,,,,
,,,,AGCC020,Известь гидравлическая,"Известь, твердеющая в воде или на воздухе при смешивании с водой, состоящая из гидроксида кальция, силикатов кальция и алюминатов кальция","ГОСТ 9179-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,
,,,,AGCC030,Известь гидратная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"03.1.02.02
59.1.03.01-0011
59.1.03.01-0012",,
,,,,AGCC040,Известь комовая технологическая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"59.1.03.01-0019
59.1.03.01-0020
59.1.03.01-0021",,
,,,,AGCC050,Известь для производства силикатного кирпича,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,59.1.03.01-0013,,
,,,AGCD,,Магнезиальные вяжущие вещества,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,
,,,,AGCD010,Каустический магнезит,"каустический магнезитовый порошок, получаемый в результате улавливания пыли, образующейся при производстве спеченного периклазового порошка, и применяемый в качестве химического продукта различного назначения и вяжущего вещества.",ГОСТ 1216-87 ,,,17.4.05.08,,
,,,,AGCD020,Каустический доломит,,,,,,,
,,,AGCE,,Смешанные вяжущие,"Класс вяжущих веществ, представляющих собой подобранную в определенной пропорции композицию (смешанную в заводских условиях) минеральных и полимерных вяжущих.",ГОСТ 31189-2015 ,,, 01.7.08,,
,,,,AGCE010,Смешанные гипсовые вяжущие,,"ГОСТ Р 58275-2018
ГОСТ Р 58279-2018",,,,,
,,,,AGCE020,Смешанные известковые вяжущие,,,,,,,
,,,AGCF,,Смеси сухие строительные на цементном вяжущем,"Cмеси сухие строительные на цементом вяжущем - смеси, изготавливаемые на цементном вяжущем на основе порт-ландцементного клинкера или на сме-шанных (сложных) вяжущих на его ос-нове, на глиноземистом цементе, со-держащие полимерные добавки не бо-лее 5% массы смеси, применяемые при строительстве, реконструкции и ремон-те зданий и сооружений.",ГОСТ 31357-2007,,,"04.3.02.01-0201
04.3.02.01-0202
04.3.02.01-0413
04.3.02.01-0414
04.3.02.01-0415
04.3.02.01-0416
04.3.02.01-0602
04.3.02.01-0603
04.3.02.04
04.3.02.09",,
,,AGD,,,Материалы хризотилсодержащие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,"01.1.02
",,
,,,AGDA,,Асботекстолит,,"ГОСТ 5-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.1.02.01,,
,,,AGDB,,Асбозурит,"Теплоизоляционный материал, состоящий из диатомита (70-85%) и асбестового волокна (15-30%)","Словарь архитектурно-строительных терминов
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 07 02,
,,,AGDC,,Бумага асбестовая,,"ГОСТ 23779-95
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.02.02
59.1.01.01-0136
59.1.01.01-0137",,
,,,AGDD,,Картон асбестовый,,"ГОСТ 2850-95
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.02.04
59.1.01.01-0138",,
,,,AGDE,,Набивка асбестовая,,"ГОСТ 5152-84
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.02.05
59.1.01.01-0139
59.1.01.01-0140
59.1.01.01-0141
59.1.01.01-0142
59.1.01.01-0143
59.1.01.01-0144
59.1.01.01-0145
59.1.01.01-0146
59.1.01.01-0147
59.1.01.01-0148",,
,,,AGDF,,Паронит,,"ГОСТ 481-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.02.06
59.1.01.01-0149
59.1.01.01-0150
01.1.02.08-1040
01.1.02.08-1045
01.1.02.08-1048
01.1.02.08-1051",,
,,,AGDG,,Ткань асбестовая,,"ГОСТ 6102-94
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.02.09
 59.1.01.01-0156
 59.1.01.01-0157",,
,,,AGDH,,Хризотил,"Волокнистый минерал класса силиката, группы серпентина, имеющий химический состав близкий к Mg3Si2O5(OH)4, щелочестоек, не растворим в воде, химически инертен","ГОСТ 12871-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.02.10
59.1.01.01-0159
59.1.01.01-0160
59.1.01.01-0161
59.1.01.01-0162",,
,,,,AGDJ010,Хризотил специального назначения,,"ГОСТ 12871-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"59.1.01.01-0159
59.1.01.01-0160",,
,,,AGDJ,,Совелит,,,,,,,
,,,,AGDK010,Совелитовый порошок,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 14 20 07 06,
,,,AGDK,,Асбестомагнезиальный порошок,,"ГОСТ 4.209-79
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 07 01,
,,,AGDL,,Лист хризотилцементный,,"ГОСТ 18124-2012
ГОСТ 30340-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.1.01.04
01.1.01.05
59.1.01.01-0079
59.1.01.01-0080
59.1.01.01-0081
59.1.01.01-0082
59.1.01.01-0083
59.1.01.01-0084
59.1.01.01-0085
59.1.01.01-0086
59.1.01.01-0087
59.1.01.01-0088
59.1.01.01-0089
59.1.01.01-0090
59.1.01.01-0091
59.1.01.01-0092
59.1.01.01-0093
59.1.01.01-0094
59.1.01.01-0095
59.1.01.01-0096
59.1.01.01-0097
59.1.01.01-0098
59.1.01.01-0099
59.1.01.01-0100
59.1.01.01-0101
59.1.01.01-0102
59.1.01.01-0103
59.1.01.01-0104
59.1.01.01-0105
59.1.01.01-0106
59.1.01.01-0107
59.1.01.01-0108
59.1.01.01-0109
59.1.01.01-0110
59.1.01.01-0111
59.1.01.01-0112
59.1.01.01-0113
59.1.01.01-0114
59.1.01.01-0115
59.1.01.01-0116
59.1.01.01-0117
59.1.01.01-0118
59.1.01.01-0119
59.1.01.01-0120
59.1.01.01-0121
59.1.01.01-0122
59.1.01.01-0123
59.1.01.01-0124
59.1.01.01-0125
59.1.01.01-0126
59.1.01.01-0127
59.1.01.01-0128

",,
,,AGE,,,Материалы на основе муллитокремнеземистой ваты,,ГОСТ 23619-79,По виду материала,,,,
,,,,AGE010,Муллитокремнеземистая вата,"Теплоизоляционный материал, предназначенный в том числе для изготовления теплоизоляционных огнеупорных изделий","ГОСТ 23619-79
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,17.1.02.04,"СТ 10 14 20 17
СТ 10 14 20 17 01",
,,,,AGE020,Муллитокремнеземистый войлок,,"ГОСТ 23619-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,17.1.02.03-0011,СТ 10 14 20 17 04,
,,,,AGE030,Муллитокремнеземистый огнеупорный хромсодержащий войлок,,"ГОСТ 23619-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 17 07,
,,,,AGE040,Муллитокремнеземистый рулонный материал,,"ГОСТ 23619-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,17.1.02.03-0031,СТ 10 14 20 17 05,
,,,,AGE050,Муллитокремнеземистый огнеупорный хромсодержащий рулонный материал,,"ГОСТ 23619-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 17 08,
,,,,AGE060,Муллитокремнеземистый огнеупорный фетр,,"ГОСТ 23619-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 14 20 17 06,
,,AGF,,,Материалы из минералов,,ГОСТ Р 58407.3-2020,По виду материала,,,,
,,,,AGF010,Миканит,,"ГОСТ 6121-75
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.05.05,,
,,AGG,,,Волокна и фибра минеральные,,,По виду материала,,,,
,,,AGGA,,Волокно,"Гибкое протяженное и прочное тело ограниченной длины, с малыми поперечными размерами по отношению к длине, применяемое для изготовления волокнистых материалов, предназначенных для армирования полимерных композитов",ГОСТ 32794-2014,,,,,К поперечным размерам относятся толщина или диаметр волокна
,,,,AGGA010,Углеродное волокно,"Волокно для армирования полимерных композитов, образуемое путем пиролиза органических волокон прекурсоров и содержащее не менее 90% масс. углерода",ГОСТ 32794-2014,,,,," К прекурсорам относятся, например, полиакрилонитрильные или гидратцеллюлозные волокна"
,,,,AGGA020,Базальтовое волокно,"Волокно для армирования полимерных композитов, образуемое из расплава базальта или габбродиабаза",ГОСТ 32794-2014,,"Непрерывное базальтовое волокно
Штапельное базальтовое волокно",,,
,,,,AGGA030,Стеклянное волокно,"Волокно для армирования полимерных композитов, образуемое из расплава неорганического стекла","ГОСТ 32794-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,12.2.03.09,,
,,,,AGGA040,Борное волокно,,ГОСТ Р 56787-2015,,,,,
,,,,AGGA050,Волокно кремнеземное,"Высокотемпературоустойчивый стекловолокнистый материал, полученный методом выщелачивания оксида натрия из волокон, нитей, тканей, которые вырабатываются из натрийсиликатных стекол, и содержащий в своем окончательном составе в качестве основного компонента оксид кремния или оксид кремния с добавками других тугоплавких оксидов",ГОСТ Р 56212-2014,,,,,
,,,,AGGA060,Волокно асбестовое,"Волокно, получаемое путем разделения на тонкие нити минеральных силикатов естественного происхождения, имеющих кристаллическую структуру","ГОСТ 31913-2011
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,
,,,AGGB,,Фибра,"  Твердый монолитный материал, обра-зующийся в результате обработки нескольких слоев бумаги пергаментирующим реагентом",ГОСТ 32794-2014,,,,,
,,,,AGGB040,Фибра листовая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.1.06.04-0001,,
,,,,AGGB050,Фибра листовая электроизоляционная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,59.1.25.01-0155,,
,,,AGGC,,Фибра стеклянная,Армирующий наполнитель,,,,,,Определение синтезировано
,,,AGGD,,Фибра базальтовая,"Короткие отрезки базальтового волокна, предназначенные для  дисперсного армирования бетона и других цементных или гипсовых систем в строительстве. ",,,,,,Определение синтезировано
,,,AGGE,,Фиброволокно полипропиленовое строительное для армированной стяжки,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"01.1.02.07-0011
59.1.01.07-0190",,
,,,AGGF,,Микрофибра полипропиленовая монофиламентная фибриллированная ,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,AH,,,,Грунты,"Любая горная порода, почва, осадок и техногенные минеральные образования, рассматриваемые как многокомпонентные динамичные системы и часть геологической среды, изучаемые в связи с инженерно-хозяйственной деятельностью.
","ГОСТ 25100-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,02.1.01.02,,
,,AHA,,,Местный грунт,"Грунты, разработанные в траншее или имеющиеся на стройплощадке (песчаные, глинистые, за исключением твердых глин, природные песчано-гравийные смеси без крупных включений)",СТО НОСТРОЙ 2.25.114-2013,По виду материала,,,,
,,AHB,,,Плодородный грунт,"Грунт, искусственно формируемый из минерального и органического материала и обладающий заданными физическими, химическими и биологическими свойствами или состоящий из нарушенного субстрата естественно-природных гумусовых горизонтов. В плодородном грунте не должно быть включений бытового и строительного мусора. Содержание физической глины (фракции <0,01 мм) - не менее 30-40%, содержание гумуса - 3-4%, рН - 5,5-7","ТСН 30-307-2002 г.Москвы (МГСН 1.02-02)
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,59.1.02.01-0005,,
,,AHC,,,Смеси грунтосодержащие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,,,
,,,,AHC010,Смесь битумно-грунтовая,"Искусственный материал, получаемый смешением на дороге или в смесительных установках грунтов с органическими вяжущими и активными добавками (в том числе минеральными вяжущими) и без них при оптимальной влажности, соответствующий нормируемым показателям качества в проектные и промежуточные сроки.
Для приготовления смесей применяют нефтяные дорожные вязкие (в том числе вспененные) битумы и жидкие, а также битумные дорожные эмульсии в соответствии с действующими нормативными документами 
","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 30491-2012 ",,,"59.1.02.01-0006
59.1.02.01-0007",,
,,,,AHC020,Смесь цементно-грунтовые,"Искусственный материал, получаемый преимущественно смешением непосредственно на дороге (с использованием фрез) грунта с цементом или другим неорганическим вяжущим и водой и отвечающий в проектные и промежуточные сроки нормируемым показателям качества по прочности и морозостойкости.
","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 23558-94 
",,,"59.1.02.01-0008
59.1.02.01-0009
59.1.02.01-0010",,
,,AHD,,,Торф,"Органический грунт болотного, озерного или аллювиально-болотного генезиса, содержащий в своем составе по массе 50% и более органического вещества, представленного преимущественно растительными остатками.","ГОСТ 25100-2020 
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,16.2.01.03-0011,,
B,,,,,Органические материалы и соединения,,,По виду материала,,,,
,BA,,,,Древесина и материалы на основе древесины,Лигноцеллюлозное вещество между сердцевиной и корой дерева или кустарника и материалы на его основе,ГОСТ Р ИСО 6707-1-2020,По виду материала,,,,
,,BAA,,,Древесина твердых пород,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,,,СТ 10 01,
,,,,BAA010,Бук,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 15,
,,,,BAA020,Вишня,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 20,
,,,,BAA030,Дуб,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 25,
,,,,BAA040,Клен,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 40,
,,,,BAA050,Мербау,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 50,
,,,,BAA060,Орех,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 55,
,,,,BAA070,Ясень,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 65,
,,,,BAA080,Граб,,СП 64.13330.2017,,,,,
,,,,BAA090,Акация,,СП 64.13330.2017,,,,,
,,,,BAA100,Вяз,,СП 64.13330.2017,,,,,
,,,,BAA110,Береза,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 10,
,,,,BAA120,Лиственница,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 45,
,,BAB,,,Древесина мягких пород,,,По виду материала,,,,
,,,,BAB020,Липа,,СП 64.13330.2017,,,,,
,,,,BAB030,Осина,,СП 64.13330.2017,,,,,
,,,,BAB040,Ольха,,СП 64.13330.2017,,,,,
,,,,BAB050,Ель,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 30,
,,,,BAB060,Кедр,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 35,
,,,,BAB080,Пихта,,СП 64.13330.2017,,,,,
,,,,BAB090,Сосна,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 60,
,,BAC,,,Шпон,"Тонкий лист древесины заданной толщины, полученный при лущении","ГОСТ 33124-2021
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,11.2.11.07,,
,,,,BAC010,Лущёный шпон,"Шпон заданной толщины, полученный при лущении фанерного чурака",ГОСТ 15812-87,,,,,
,,,,BAC020,Строганый шпон,"Шпон, полученный при строгании бруса или ванчеса",ГОСТ 15812-87,,,,,
,,,,BAC030,Пилёный шпон,,,,,,,
,,BAD,,,Целлюлозная вата (эковата),,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,,,СТ 10 14 10 01,
,,BAE,,,Бумага и картон,,"ГОСТ 19088-89
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,"01.7.02
",,
,,,,BAE010,Бумага мешочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.02.01,,
,,,,BAE020,Бумага оберточная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.02.02,,
,,,,BAE030,Бумага упаковочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.02.03,,
,,,,BAE040,Бумага электроизоляционная,,"ГОСТ 24874-91
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.02.04,,
,,,,BAE050,Гетинакс,,"ГОСТ 2718-74
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.02.05,,
,,,,BAE060,Картон строительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.02.06,,
,,,,BAE070,Картон электроизоляционный,,"ГОСТ 2824-86
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.02.07,,
,,,,BAE080,Шпагат бумажный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.02.09,,
,,BAF,,,Кора древесная,,ГОСТ 17462-84,По виду материала,,,,
,,,BAFA,,Пробка,,ГОСТ ISO 633-2021,,,,,
,,,,BAFA010,Техническая пробка,,,,,,,
,,,,BAFA020,Пробковый агломерат,,,,,,,
,,BAG,,,Уголь древесный,,"ГОСТ 7657-84
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,01.7.07.21,,
,,BAH,,,Древесина измельченная,"Древесные частицы различной формы и величины, получаемые в результате механической обработки",ГОСТ 23246-78,По виду материала,,,,
,,,,BAH010,Щепа,"Измельченная древесина установленных размеров, получаемая в результате измельчения древесного сырья рубильными машинами и специальными устройствами, используемая в качестве технологического сырья или топлива ",ГОСТ 17462-84,,,,,
,,,,BAH020,Дробленка,"Древесные частицы, полученные при измельчении древесины на дробилках и молотковых мельницах",ГОСТ 23246-78,,,,,
,,,,BAH030,Древесная стружка,"Тонкие древесные частицы, образующиеся при резании древесины",ГОСТ 23246-78,,,,,
,,,,BAH040,Древесные опилки,"Мелкие частицы древесины, образующиеся в процессе пиления","ГОСТ 23246-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,16.10.23.120.01.7.07.29-0091,,
,,,,BAH050,Древесная мука,"Древесные частицы заданного гранулометрического состава, полученные путем сухого механического размола древесины",ГОСТ 23246-78,,,,,
,,,,BAH060,Древесная пыль,Несортированные древесные частицы размером менее 1 мм,ГОСТ 23246-78,,,,,
,BB,,,,Битумы и битумные вяжущие,,,По виду материала,,"01.02.01
01.2.03.01",,
,,BBA,,,Битум нефтяной строительный,"Битум, применяемый для строительных работ в различных отраслях народного хозяйства,  получаемый окислением остаточных продуктов прямой перегонки нефти и их смесей с асфальтами и экстрактами масляного производства","ГОСТ 6617-2021
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"01.2.01.02
59.1.01.02
59.1.01.02-003
 59.1.01.02-0029","СТ 10 03 20
СТ 10 03 50",Определение синтезировано
,,,,BBA010,Битум нефтяной строительный модифицированный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.2.01.02-0021,,
,,,,BBA020,Битум нефтяной высокоплавкий,,"ГОСТ 781-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,
,,,,BBA030,Битум нефтяной хрупкий,,"ГОСТ 21822-87
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"59.1.01.02-0026
59.1.01.02-0027
59.1.01.02-0028",,
,,BBB,,,Битум нефтяной дорожный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,"01.2.01.01
59.1.01.02-0018
59.1.01.02-0019
59.1.01.02-0020",,
,,,,BBB010,Битум нефтяной дорожный жидкий,,"ГОСТ 11955-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,01.2.01.01,СТ 10 03 30,
,,,,BBB020,Битум нефтяной дорожный вязкий,"Вяжущий материал, который изготовляют окислением продуктов прямой перегонки нефти и селективного разделения нефтепродуктов (асфальтов деасфальтизации, экстрактов селективной очистки), а также компаундированием указанных окисленных и неокисленных продуктов или в виде остатка прямой перегонки нефти, применяемый при строительстве и ремонте дорожных и аэродромных покрытий","ГОСТ 33133-2014
ГОСТ 22245-90
ГОСТ Р 58400.1-2019
ГОСТ Р 58400.2-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
",,,"01.2.01.01-1008
01.2.01.01-1010
01.2.01.01-1014
01.2.01.01-1022
01.2.01.01-1024
01.2.01.01-1026
59.1.01.02-0002
59.1.01.02-0008
59.1.01.02-0009
59.1.01.02-0010
59.1.01.02-0011
59.1.01.02-0012
59.1.01.02-0013
59.1.01.02-0014
59.1.01.02-0015",СТ 10 03 40,
