Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,ADC,,,Лебедка,"Механизм, тяговое усилие которого передается посредством гибкого элемента (каната, цепи) от приводного барабана","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,ТО 16 14 ,ГОСТ 27555-87 ,,KSI180000049
,,,,ADC010,Лебедка ручная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,ТО 16 14 10,,,KSI180000050
,,,,ADC020,Лебедка электрическая,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,"ТО 16 14 20 01
ТО 16 14 20 02
ТО 16 14 20 03
ТО 16 14 20 04
ТО 16 14 20 05
ТО 16 14 20 06
ТО 16 14 20 07
ТО 16 14 20 08
ТО 16 14 60 05",,,KSI180000051
,,,,ADC030,Лебедка проходческая,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,ТО 16 14 30,,,KSI180000052
,,,,ADC040,Лебедка тракторная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,ТО 16 14 40,,,KSI180000053
,,,,ADC050,Мотолебедка,Устройство для перемещения грузов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,ТО 16 14 50,Определение синтезировано,,KSI180000054
,,,,ADC060,Лебедка для прочистки внутренней поверхности трубопроводов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.03,"ТО 16 14 60 01
ТО 16 14 60 02",,,KSI180000055
,,ADD,,,Погрузчик,"Машина, оборудованная рабочими органами для погрузки, разгрузки и штабелирования грузов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Погрузчик универсальный на пневмоколесном ходу
Погрузчик на автомобильном ходу",91.06.05,ТО 16 10,ГОСТ 18501-73 (СТ СЭВ 3512-81),,KSI180000056
,,,,ADD010,Автопогрузчик,,СП 18.13330.2019,,,91.06.05,,,,KSI180000057
,,ADE,,,Подъемник,"Механизм, предназначенный для вертикального перемещения грузонесущих устройств","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Подъемник строительный грузопассажирский
Подъемник мачтовый
Подъемник реечный
Подъемник шахтный
Подъемник многошахтный грузопассажирский 
Подъемник двухстоечный грузовой
Подъемник скиповой
Площадка подъемная для монтажа сборных дымовых труб",91.06.06,ТО 14 40,СТО НОСТРОЙ 2.23.134-2013,,KSI180000058
,,ADF,,,Таль,"Компактная машина циклического действия для подъема и опускания груза, подвешенного на грузозахватном органе","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.07,ТО 16 24,ГОСТ 18501-73 (СТ СЭВ 3512-81),,KSI180000059
,,ADG,,,Тельфер,Подвесное грузоподъемное устройство (таль) с электрическим приводом,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.08,ТО 16 22,Определение синтезировано,,KSI180000060
,,ADH,,,Вышка телескопическая,"Устройство для подъёма и перемещения рабочих с инструментом и материалами и используемый при монтаже и обслуживании линий электропередач, линий связи и контактных сетей, ремонте и обслуживании зданий и сооружений, обслуживании средств наружной рекламы, уходе за городскими зелёными насаждениями и т. п","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.09,"ТО 16 12 10 01
ТО 16 12 10 02
ТО 16 12 10 03
ТО 16 12 10 04
ТО 16 12 10 05
ТО 16 12 10 06
ТО 16 12 10 07",Определение синтезировано,,KSI180000061
,,ADJ,,,Люлька самоподъемная,Оборудование для работ на высоте,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.09,ТО 16 28,Определение синтезировано,,KSI180000062
,,ADK,,,Машина для выдачи пучка арматуры,"Машина, применяемая при производстве железобетонных изделий, предназначенная для изготовления и монтажа элементов армирования",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000063
,,ADL,,,Подмости самоходные,"Специальное сооружение, которое служит опорой во время работы",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000064
,,ADM,,,Постамент с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на постамент",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000065
,,ADN,,,Опалубка скользящая,"Опалубка, конструкция которой перемещается вертикально домкратами по мере бетонирования монолитной конструкции и которая состоит из щитов, домкратных рам, домкратных стержней, подъемных механизмов (домкратов, насосных или других подъемных станций) и технологических элементов (рабочий пол, подмости).","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Скользящая опалубка для строительства монолитных железобетонных труб
Скользящая опалубка для возведения железобетонных оболочек градирен",91.06.09,ТО 20 70 10 04,ГОСТ 34329-2017,,KSI180000066
,,ADP,,,Стрела монтажная А-образные для подъема опор ВЛ,"Конструкция, использующаяся для подъема и установки собранных опор ЛЭП из горизонтального положения в вертикальное путем поворота вокруг шарнира монтажной стрелы, соединенной с монтируемыми опорами",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000067
,,ADQ,,,Транспортное устройство с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на транспортное средство",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000068
,,ADR,,,Вышка (подмости) для внутренних работ,Приспособление для выполнения работ на высоте,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Подмости самоходные,91.06.09,"ТО 16 12 10 08
ТО 36 10 30 05",Определение синтезировано,,KSI180000069
,,ADS,,,Вышка телескопическая на автомобиле,Приспособление для выполнения работ на высоте,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.09,"ТО 16 12 10 01
ТО 16 12 10 02
ТО 16 12 10 03
ТО 16 12 10 04
ТО 16 12 10 05
ТО 16 12 10 06
ТО 16 12 10 07",Определение синтезировано,,KSI180000070
,,ADT,,,Конвейер,Машина для непрерывного транспортирования грузов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.02,ТО 16 18,ГОСТ 18501-73 (СТ СЭВ 3512-81),,KSI180000071
,,,,ADT010,Транспортер,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.14.05
","ТО 16 20
ТО 40 20 30 03",,,KSI180000072
,,ADU,,,Леса инвентарные,"Многоярусное средство подмащивания, предназначенное для организации рабочих мест на разных горизонтах.","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.09,ТО 16 32 10,ГОСТ Р 58752-2019,,KSI180000073
,,ADW,,,Натяжная машина для протяжки троса,Машина для протяжки троса,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000074
,,ADX,,,Рольганги приводные,"Конвейер, роликами которого, закреплёнными на небольшом расстоянии друг от друга, перемещаются грузы (штучные или в таре)",Приказ Минстроя России от 17.11.2022 N 969/пр,,,"91.06.09
91.21.22",,Определение синтезировано,,KSI180000075
,,ADY,,,Тренога перегрузочная,"Устройство для подъема, удержания, и опускания груза выше или ниже плоскости основания треноги при строительно-монтажных, ремонтных и погрузочно-разгрузочных работах",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.06.09,,Определение синтезировано,,KSI180000076
,,ADZ,,,Конвейер роликовый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,, 91.06.09,ТО 16 18 10,,,KSI180000077
,AE,,,,Машины для дорожного и аэродромного строительства,"Группа машин предназначенных для проведения строительных работ, а также для эксплуатации и содержания дорог и аэродромов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Назначение (функция) машины,,91.08,ТО 18,Определение синтезировано,,KSI180000078
,,AEA,,,Асфальтоукладчик,"Самоходная дорожная машина на колесном или гусеничном ходу, предназначенная для приемки асфальтобетонной смеси из транспортных средств, распределения смеси по ширине укладываемой полосы равномерным слоем заданной толщины на подготовленное и уплотненное основание, разравнивания и предварительного уплотнения уложенного слоя, отделки поверхности покрытия.","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.08.01,ТО 18 20,СТО НОСТРОЙ 2.25.47-2011 ,,KSI180000079
,,AEB,,,Гудронатор,"Машина, используемая для автоматического или ручного распределения пленки из вяжущих материалов (битума / битумной эмульсии) на поверхность дороги с заданной установленной скоростью","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Гудранатор ручной
Автогудранатор",91.08.02,"ТО 18 35 10
ТО 18 35 20",ГОСТ EN 13020-2012,,KSI180000080
,,AEC,,,Каток,"Самоходная или прицепная машина с уплотняющим устройством, состоящим из одного или более металлических цилиндрических вальцов (барабанов) или резиновых шин, предназначенная для уплотнения материалов, например щебня, грунта, асфальта или гравия, путем укатывания или вибрационного воздействия уплотняющего устройства.","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Каток самоходный вибрационный
Каток дорожный самоходный
Каток дорожный самоходный на пневмоколесном ходу
Каток прицепной пневмоколесный",91.08.03,"ТО 18 10 10
ТО 18 10 20
ТО 18 10 30
ТО 18 10 40 01
ТО 18 10 40 02",ГОСТ Р ИСО 6165-2010 ,,KSI180000081
,,AED,,,Машина для разогрева битума и асфальтобетона,"Машины, предназначенные для разогрева битума и асфальтобетона",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,Определение синтезировано,,KSI180000082
,,,,AED010,"Битумная установка с 4-мя битумными котлами на 50 м3, резервуаром для хранения битума на 1000 м3 и газовым подогревом масляного теплоносителя",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.08.04,,,,KSI180000083
,,,,AED020,Котел битумный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Котел битумный стационарный
Котел битумный передвижной
Котел битумный электрический",91.08.04,ТО 18 65 10 03,,,KSI180000084
