Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,,APL220,Установка пылеулавливающая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.22,,,,KSI180000445
,,APM,,,Станок,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Функция станка,,91.21.19,ТО 42 30,,,KSI180000446
,,,,APM010,Станок для гнутья ручной,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000447
,,,,APM020,Станок для заточки бурового инструмента,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000448
,,,,APM030,Станок с абразивным кругом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000449
,,,,APM040,Станок трубогибочный для труб,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,"ТО 42 30 10 10
ТО 42 30 10 11",,,KSI180000450
,,,,APM050,Станок трубогибочный с электроприводом для труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000451
,,,,APM060,Станок для гибки арматуры,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000452
,,,,APM070,Станок для гибки и резки арматуры,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000453
,,,,APM080,Станок для резки керамики,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 04,,,KSI180000454
,,,,APM090,Станок для резки огнеупоров,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 05,,,KSI180000455
,,,,APM100,Станок для рубки арматуры,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000456
,,,,APM110,Станок камнерезный универсальный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 02,,,KSI180000457
,,,,APM120,Станок плоско-шлифовальный с крестовым столом и горизонтальным шпинделем высокой точности,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000458
,,,,APM130,Станок с электромеханическим приводом для размотки рулонного материала,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 14,,,KSI180000459
,,,,APM140,Станок сверлильный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,"ТО 42 30 10 08
ТО 42 30 10 01",,,KSI180000460
,,,,APM150,Станок строгальный по металлу,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000461
,,,,APM160,Станок токарно-винторезный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 07,,,KSI180000462
,,,,APM170,Станок точильные двусторонние,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 06,,,KSI180000463
,,,,APM180,Станок трубонарезный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 09,,,KSI180000464
,,,,APM190,Станок фальцепрокатный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000465
,,,,APM200,Станок фрезерный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,ТО 42 30 10 13,,,KSI180000466
,,,,APM210,Станок ножницы электрические для резки стержневой арматуры,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000467
,,,,APM220,Станок для алмазного сверления,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.19,"ТО 42 30 20 01
ТО 42 30 20 02",,,KSI180000468
,,,,APM230,Станок для гибки арматурной стали,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000469
,,,,APM240,"Станок для канатной резки бетона, железобетона и кирпича",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000470
,,,,APM250,Станок для накатывания канавок (шлицов) на трубах,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000471
,,,,APM260,Станок для резки арматурной стали,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000472
,,,,APM270,Станок вертикальный резьбонарезной,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.19,,,,KSI180000473
,,,,APM280,Станок трубогибочный в комплекте с дорном для холодной гибки труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000474
,,APN,,,Пресс,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Функция пресса,,91.21.16,ТО 42 20 85,,,KSI180000475
,,,,APN010,Пресс-ножницы комбинированные,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16,ТО 42 20 60 03,,,KSI180000476
,,,,APN020,Пресс арматурный для стыкования арматуры периодического профиля,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000477
,,,,APN030,Пресс гидравлический с электроприводом,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16,ТО 42 20 85 01,,,KSI180000478
,,,,APN040,Пресс кривошипный простого действия,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16,ТО 42 20 85 02,,,KSI180000479
,,,,APN050,Пресс листогибочный кривошипный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.16,ТО 42 20 85 03,,,KSI180000480
,,,,APN060,Пресс гидравлический для вертикальной выправки стыков (рельсо-гибочный),,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000481
,,,,APN070,"Пресс гидравлический для запрессовки и выпрессовки, правки и гибки",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000482
,,,,APN080,Пресс гидравлический настольный с ручным приводом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000483
,,,,APN090,"Пресс для запрессовки и выпрессовки шпинтонов, в комплекте с насосной станцией",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000484
,,,,APN100,Пресс однокривошипный открытый ненаклоняемый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000485
,,,,APN110,Пресс гидравлический для изготовления образцов асфальтобетона,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.16,,,,KSI180000486
,,APP,,,Комплекс вакуумный для вирибровакуумной обработки бетона при устройстве полов,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.21.22,ТО 36 10 10 01,,,KSI180000487
,,APQ,,,Тележка кабельная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.22,,,,KSI180000488
,,APR,,,Сепаратор шлама,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.22,,,,KSI180000489
,,APS,,,Система гидравлическая для монтажа соединительных муфт,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.22,,,,KSI180000490
,,APT,,,Система радиографического контроля трубопроводов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.21.22,,,,KSI180000491
,,APU,,,"Сборник для накопления, разбора и хранения очищенной (дистиллированной) воды",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000492
,,APV,,,Гидромолот на базе шагающего экскаватора,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.02.03,,,,KSI180000493
,AQ,,,,"Машины для приготовления, подачи и укладки бетона и раствора",,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128","Назначение (функция) машины
 установки",,91.07,ТО 20,,,KSI180000494
,,AQA,,,Бетононасос,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Автобетононасос,91.07.02,"ТО 20 10 10 01
ТО 20 10 10 02
ТО 20 10 10 03
ТО 20 10 20 01",,,KSI180000495
,,AQB,,,Бетоносмеситель,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.03,"ТО 20 20 10 01
ТО 20 20 10 02
ТО 20 20 20 01
ТО 20 20 20 02
ТО 20 20 20 03",,,KSI180000496
,,AQC,,,Виброоборудование,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.04,"ТО 20 80 10 01
ТО 20 80 10 02",,,KSI180000497
,,AQD,,,Завод бетонный инвентарный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.05,ТО 20 10 20 02,,,KSI180000498
,,AQE,,,Комплекс для приготовления и очистки глинистых растворов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.07.06,,,,KSI180000499
,,AQF,,,Растворонасос,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.07,"ТО 20 50 10 01
ТО 20 50 10 02
ТО 20 50 10 03",,,KSI180000500
,,AQG,,,Растворосмеситель,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Растворосмеситель передвижной,91.07.08,ТО 20 40,,,KSI180000501
,,AQH,,,Установка цементационная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.09,ТО 20 50 10 04,,,KSI180000502
,,AQJ,,,Цемент-пушка,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.10,ТО 20 70 10 03,,,KSI180000503
,,AQK,,,Растворонагнетатель,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.10,ТО 20 10 20 03,,,KSI180000504
,,AQL,,,Установка инъекционная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.07.11,,,,KSI180000505
,,AQM,,,Установка по приготовлению и подаче растворов из сухих смесей,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.11,ТО 20 30 10 05,,,KSI180000506
,,AQN,,,Комплекс машин для устройства грунто-цементных свай по технологии струйной цементации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.07.11,,,,KSI180000507
,,AQP,,,Машина инъекционная для цементации предварительно-напряженных анкеров,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.11,ТО 20 90 10 02,,,KSI180000508
,,AQQ,,,Установка для приемки и подачи товарного раствора,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.07.11,ТО 20 30 10 04,,,KSI180000509
,,AQR,,,Установка смесительно-насосная стационарная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000510
,,AQS,,,Бункер бетоносмесительный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.07.08,,,,KSI180000511
,,AQT,,,Бетононасос-миксер прицепной с двигателем внутреннего сгорания,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.07.08,,,,KSI180000512
,,AQU,,,Силос для цемента,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.07.01,,,,KSI180000513
,AR,,,,"Машины и агрегаты для тоннелестроения, горнопроходческих работ и строительства метрополитенов",,Приказ Минстроя России от 17.11.2022 N 969/пр,"Назначение (функция) машины
 агрегата",,91.03,,,,KSI180000514
,,ARA,,,Блокоукладчик,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.01,,,,KSI180000515
,,ARB,,,Вентилятор,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.02,,,,KSI180000516
,,ARC,,,Комплекс и комбайн проходческие,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.05,ТО 38 40 10 01,,,KSI180000517
,,ARD,,,Машина погрузочная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Машины погрузочные электрические ковшовые
Машины погрузочные для горизонтальных выработок",91.03.06,ТО 16 34,,,KSI180000518
,,ARE,,,Перфоратор колонковый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.08,ТО 42 20 70 01,,,KSI180000519
,,ARF,,,Подъем,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.09,,,,KSI180000520
,,ARG,,,Станок буровой для бурения скважин в подземных условиях,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.10,,,,KSI180000521
,,ARH,,,Толкатель вагонеток,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.12,,,,KSI180000522
,,ARJ,,,Тюбингоукладчик,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.13,,,,KSI180000523
,,ARK,,,Узел тампонажный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.14,,,,KSI180000524
,,ARL,,,Установка бурильная,,,,,"91.03.15
91.03.16",,,,KSI180000525
,,,,ARL010,Установка бурильная пневматическая,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Установка бурильная пневматическая на гусеничном ходу ,91.03.15,ТО 26 40 10 06,,,KSI180000526
,,,,ARL020,Установка бурильная стволовая пневмогидравлические,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.16,,,,KSI180000527
,,,,ARL030,Установка буровая проходческая стреловая на пневмоколесном ходу,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000528
,,ARM,,,Выпрямитель,,,,,,,,,KSI180000529
,,,,ARM010,Выпрямитель кремниевый силовой шахтный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000530
,,,,ARM020,Выпрямитель для зарядки аккумуляторных батарей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000531
,,ARN,,,Кабелепередвижчик на гусеничном ходу,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000532
,,ARP,,,Лесоспуск в шахтном стволе,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000533
,,ARQ,,,Опрокидыватель круговой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.19,ТО 16 30 10 01,,,KSI180000534
,,ARR,,,Откатка концевая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000535
,,ARS,,,Питатель пластинчатый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.19,ТО 38 50 20 08,,,KSI180000536
,,ART,,,Сболчиватель пневматический,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.03.19,ТО 42 20 90 08,,,KSI180000537
,,ARU,,,Сверло горное,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000538
,,ARV,,,Комплекс георадарный аппаратнопрограммный многоканальный при ведении щитовой проходки,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000539
,,ARW,,,Комплекс откатки грузов по наклонным выработкам с дизельным локомотивом,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000540
,,ARX,,,Механизированная установка на базе автомобильного шасси для монтажа кабеленесущих конструкций в подземных сооружениях,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000541
,,ARY,,,Мотовоз узкой колеи,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000542
,,ARZ,,,Рельсорез,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.03.19,,,,KSI180000543
,AS,,,,Машины для сооружений линий связи и электропередач,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Назначение машины,,91.11,ТО 24 10 10,,,KSI180000544
,,ASA,,,Кабелеукладчик,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Кабелеукладчик колесный прицепной для прокладки коаксиального кабеля КУК-5М,91.11.01,ТО 24 10 10 02,,,KSI180000545
,,ASB,,,Аппарат смазочный тросовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.11.02,,,,KSI180000546
,,ASC,,,Волокуша,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Волокуша для транспортировки барабанов с кабелем в заболоченных местах,91.11.02,ТО 24 10 10 04,,,KSI180000547
,,ASD,,,"Комплекс для монтажа проводов методом ""под тяжением""",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.11.02,,,,KSI180000548
,,ASE,,,Лаборатория передвижная измерительно-настроечная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.11.02,,,,KSI180000549
,,ASF,,,Машина для горизонтального прокола грунта на базе автомобиля,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.11.02,ТО 14 20 10 03,,,KSI180000550
,,ASG,,,Пропорщик прицепной,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.11.02,,,,KSI180000551
,,ASH,,,Тележка раскаточная на гусеничном ходу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.11.02,ТО 38 50 40 01,,,KSI180000552
,,ASJ,,,Траншеезасыпщик прицепной колесный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.11.02,ТО 38 50 50 01,,,KSI180000553
,,ASK,,,Установка для пневмопрокладки волоконно-оптического кабеля,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.11.02,,,,KSI180000554
,,ASL,,,Траншеекопатель с режущим скальным диском на гусеничном ходу,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000555
,AT,,,,Электростанции,Энергоустановка или группа энергоустановок для производства электрической энергии или электрической энергии и тепла,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Тип электростанции станции,,91.16,ТО 34 10,ГОСТ 19431-84,,KSI180000556
,,ATA,,,Электростанция передвижная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.16.01,"ТО 34 10 10
ТО 34 10 20",,,KSI180000557
,,,,ATA010,Электростанция передвижная прицепная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.16.01,"ТО 34 10 20 01
ТО 34 10 20 02
ТО 34 10 20 03
ТО 34 10 20 04",,,KSI180000558
,,,,ATA020,Установка дизель-генераторная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.16.01,,,,KSI180000559
,,ATB,,,Электростанция стационарная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.16.03,,,,KSI180000560
,AU,,,,Машины и агрегаты для бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Способ бурения,,91.04,ТО 26,,,KSI180000561
,,AUA,,,Установка вращательного бурения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.04.01,,,,KSI180000562
,,,,AUA010,Машина барражная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.04.01,,,,KSI180000563
,,,,AUA020,Буровая установка,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Установка буровая перфораторного бурения
Установка самоходная на гусеничном шасси для бурения вертикальных скважин
Установка для бурения отверстий диаметром до 400 мм
Установка буровая на базе автомобилей
Установка буровая на базе автомобилей для роторного бурения скважин
Установка ударно-вращательного бурения на раздвижной гусеничной базе при работе на гидроэнергетическом строительстве
Установка шнекового бурения на автомобильном ходу
Буровая установка для устройства стержневых анкеров
Буровая установка на гусеничном ходу для анкерного бурения
Установка буровая на гусеничном ходу для бурения скважин под микросваи
Установка буровая с полым шнеком на гусеничном ходу
Установка буровая шнековая малогабаритная на гусеничном ходу",91.04.01,"ТО 26 10 20 01
ТО 26 40 10 01
ТО 26 40 10 02
ТО 26 40 10 03
ТО 26 40 10 04
ТО 26 40 10 06
ТО 26 40 10 08
ТО 26 40 10 11",,,KSI180000564
,,,,AUA030,Комплект оборудования для бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Комплект оборудования шнекового бурения на базе автомобиля
Комплект оборудования вращательно-колонкового бурения электрический
Комплект оборудования роторного бурения с дизельным двигателем",91.04.01,"ТО 26 10 20 02
ТО 26 10 30 01
ТО 26 10 40 01
ТО 26 40 10 07
ТО 26 50",,,KSI180000565
,,,,AUA040,Машина бурильно-крановая,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Машина бурильно-крановая на базе  трактора
Машина бурильно-крановая на базе  автомобиле",91.04.01,"ТО 26 10 10 01
ТО 26 10 10 02",,,KSI180000566
,,,,AUA050,Машина бурильная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Машина бурильная на тракторе
Машина шарошечного бурения на базе трактора
Машина шарошечного бурения на гусеничном ходу
Машина шарошечного бурения гидравлическая на гусеничном ходу ",91.04.01,"ТО 26 20 20 01
ТО 26 30 10 01
ТО 26 30 20 01
ТО 26 40 10 09",,,KSI180000567
,,,,AUA060,Молоток бурильный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Молоток бурильный легкий 
Молоток бурильный средний
Молоток бурильный тяжелый",91.04.01,"ТО 42 20 50 01
ТО 42 20 50 02
ТО 42 20 50 03",,,KSI180000568
,,,,AUA070,Установка для устройства лучевых дренажных скважин,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.04.01,,,,KSI180000569
,,,,AUA080,Гидровращатель (гидробур),,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000570
,,,,AUA090,Станок буровой вращательного бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Станок буровой вращательного бурения несамоходный
Станок буровой вращательного бурения самоходный
",91.04.01,"ТО 26 10 50 01
ТО 26 20 10 01
ТО 26 20 10 02
ТО 26 20 10 03",,,KSI180000571
,,AUB,,,Установка направленного бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.04.02,ТО 26 40 20,,,KSI180000572
,,,,AUB010,Машина горизонтального бурения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.04.02,,,,KSI180000573
,,,,AUB020,Установка горизонтального бурения,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.04.02,,,,KSI180000574
,,,,AUB030,Установка направленного бурения для бестраншейной прокладки,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.04.02,ТО 26 40 20 04,,,KSI180000575
,,,,AUB040,Установка горизонтально-направленного бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.04.02,"ТО 26 40 20 01
ТО 26 40 20 02
ТО 26 40 20 03",,,KSI180000576
,,AUC,,,Установка ударно-канатного бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.04.03,ТО 26 10 20 01,,,KSI180000577
,,,,AUC010,Станок ударно-канатного бурения малогабаритный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.04.03,,,,KSI180000578
,,,,AUC020,Станок ударно-канатного бурения,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.04.03,ТО 26 10 20 01,,,KSI180000579
,,AUD,,,Инструменты для бурения скальных пород или грунтов,,ОТ 17 НОЯБРЯ 2022 Г. N 969/ПР,,,01.4.01,,,,KSI180001330
,,AUE,,,Комплектующие для буровых и проходческих работ,,ОТ 17 НОЯБРЯ 2022 Г. N 969/ПР,,,01.4.02,,,,KSI180001331
,,AUF,,,Фильтры для буровых работ,,ОТ 17 НОЯБРЯ 2022 Г. N 969/ПР,,,01.4.04,,,,KSI180001332
,AV,,,,"Cтанции компрессорные, компрессоры",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.18,,,,KSI180000580
,,AVA,,,Компрессор,Энергетическая машина или устройство для повышения давления и перемещения газа или их смесей (рабочей среды).,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 28567-90",,"Компрессор высокого давления
Компрессор ""отпарного газа""",,"ТО 28 10 10
ТО 28 10 20
ТО 28 10 30
ТО 28 10 40",ГОСТ 28567-90,,KSI180000581
