Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,,,ABD010,Гидромолот,Устройство для забивки свай в землю,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.92.30.120.91.02.03-040 28.92.30.120.91.02.03-500 28.92.30.120.91.02.03-501 28.92.40.120.91.02.03-001 28.92.40.120.91.02.03-011 28.92.40.120.91.21.22-704,ТО 42 10 10,Определение синтезировано
,,,,ABD020,Дизель-молот,Устройство для забивки свай в землю,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.120.91.02.03-021 28.92.30.120.91.02.03-022 28.92.30.120.91.02.03-023 28.92.30.120.91.02.03-024 28.92.30.120.91.02.03-025,,Определение синтезировано
,,,,ABD030,Установка сваебойная самоходная для устройства барьерных ограждений,Установка сваебойная самоходная для устройства барьерных ограждений,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.120.91.02.03-031,,Определение синтезировано
,,ABE,,,Установка для устройства буронабивных свай,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.02.04,,
,,ABF,,,Оборудование для вытрамбовывания скважин,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.24.110.91.02.05-001,,
,,ABG,,,Сваевдавливающая установка,Установка для вдавливания свай в грунт,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.110.91.02.05-011,,Определение синтезировано
,,ABH,,,Скусыватель,Устройство для срезки свай,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.26.110.91.02.05-012,,Определение синтезировано
,,ABJ,,,"Установка для работы по технологии ""стена в грунте""",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"28.92.30.190.91.02.05-031
28.92.30.190.91.02.05-032",,
,,ABK,,,Грейфер,"Грузозахватное устройство, предназначенное, как правило, для навалочных грузов, у которого захватом являются поворотные челюсти.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.27.190.91.02.05-500 28.92.30.190.91.01.05-001,,ГОСТ 33715-2015
,,ABL,,,Машина пневмоударная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.92.30.110.91.02.05-506,ТО 42 20 40 01,
,,ABM,,,Установка комплектная конденсаторная на базе автомобиля (генератор импульсного тока),,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,27.11.32.120.91.02.05-522,ТО 38 50 50 08,
,,ABN,,,"Установка фрезерная проходческая на гусеничном ходу для устройства ""стены в грунте""",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.190.91.02.05-524,,
,AC,,,,"Краны, кроме плавучих","Механизм, имеющий конструктивный элемент в верхней части, позволяющий поднимать, опускать и перемещать по горизонтали подвешенные под ним грузы","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39","Конструкция крана, тип хода",,91.05,ТО 14 15,Определение по ГОСТ Р ИСО 6707-1-2020
,,ACA,,,Кран башенный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.01,ТО 14 10,
,,ACB,,,Кран козловой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.02,ТО 14 15 30,
,,ACC,,,Кран консольный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.03,ТО 14 15 10,
,,ACD,,,Кран мостовой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.04,ТО 14 15 25,
,,ACE,,,Кран на автомобильном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.05,ТО 14 15 45,
,,ACF,,,Кран на гусеничном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.06,ТО 14 15 65,
,,ACG,,,Кран на железнодорожном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.07,ТО 14 15 40,
,,ACH,,,Кран на пневмоколесном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.08,ТО 14 15 60,
,,ACJ,,,Кран на специальном шасси автомобильного типа,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.09,ТО 14 15 50,
,,ACK,,,Кран портальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.05.11,,
,,ACL,,,Кран стрелового типа,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.12,ТО 14 10 10 06,
,,ACM,,,Кран-манипулятор,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.05.13,ТО 16 14 70 04,
,,ACN,,,Кран-укосин,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.14.129.91.05.14-001 28.22.14.129.91.05.14-011 28.22.14.129.91.05.14-512 28.22.14.129.91.05.14-514,"ТО 14 15 35 01
ТО 14 15 35 02",
,,ACP,,,Кран монтажный специальный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.14.129.91.05.14-021 28.22.14.129.91.05.14-022,"ТО 14 35 10 01
ТО 14 35 10 02",
,,ACQ,,,Кран на тракторе,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.14.129.91.05.14-023,ТО 14 15 50 05,
,,ACR,,,Кран переносной,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.14.129.91.05.14-025,ТО 14 35 10 04,
,,ACS,,,Кран специальный строительный для возведения гиперболической оболочки градирни,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.14.129.91.05.14-026,,
,,ACT,,,Кран консольно-шлюзовой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.22.14.123.91.05.03-001
28.22.14.123.91.05.03-002",ТО 14 15 15,
,,ACU,,,Кран нулевого цикла,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.22.14.126.91.05.14-502
28.22.14.126.91.05.14-504",ТО 14 15 20,
,AD,,,,"Машины и механизмы подъемно-транспортные, кроме кранов","Машины (устройства), предназначенные для перемещения грузов и людей в вертикальной, горизонтальной и наклонной плоскостях на относительно небольшие расстояния в пределах заводов, строительных площадок, портов, складов и т.п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),Характер перемещения груза,,91.06,,Определение синтезировано
,,ADA,,,Домкрат,Переставной механизм для подъема конструкций на небольшую высоту при воздействии на конструкцию снизу,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.06.01,ТО 16 16,ГОСТ 33650-2015
,,ADB,,,Конвейер ленточный,"Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.06.02,ТО 16 18 20,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADC,,,Лебедка,"Механизм, тяговое усилие которого передается посредством гибкого элемента (каната, цепи) от приводного барабана","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.06.03,ТО 16 14 ,ГОСТ 27555-87 
,,,,ADC010,Лебедка ручная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.22.12.190.91.06.03-044
28.22.12.190.91.06.03-045
28.22.12.190.91.06.03-046
28.22.12.190.91.06.03-047
28.22.12.190.91.06.03-048
28.22.12.190.91.06.03-049
28.22.12.190.01.7.17.13-0001",ТО 16 14 10,
,,,,ADC020,Лебедка электрическая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.22.12.190.91.06.03-051
28.22.12.190.91.06.03-055
28.22.12.190.91.06.03-056
28.22.12.190.91.06.03-057
28.22.12.190.91.06.03-058
28.22.12.190.91.06.03-059
28.22.12.190.91.06.03-060
28.22.12.190.91.06.03-061
28.22.12.190.91.06.03-062
28.22.12.190.91.06.03-063
28.22.12.190.91.06.03-576
28.22.12.190.91.06.03-578
28.22.12.190.91.06.03-580","ТО 16 14 20 01
ТО 16 14 20 02
ТО 16 14 20 03
ТО 16 14 20 04
ТО 16 14 20 05
ТО 16 14 20 06
ТО 16 14 20 07
ТО 16 14 20 08
ТО 16 14 60 05",
,,,,ADC030,Лебедка проходческая,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.22.12.120.91.06.03-040
28.22.12.120.91.06.03-041
28.22.12.120.91.06.03-043",ТО 16 14 30,
,,,,ADC040,Лебедка тракторная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.12.190.91.06.03-052,ТО 16 14 40,
,,,,ADC050,Мотолебедка,Устройство для перемещения грузов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.12.190.91.06.03-091,ТО 16 14 50,Определение синтезировано
,,,,ADC060,Лебедка для прочистки внутренней поверхности трубопроводов,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,," 28.22.12.190.91.06.03-514
 28.22.12.190.91.06.03-516","ТО 16 14 60 01
ТО 16 14 60 02",
,,ADD,,,Погрузчик,"Машина, оборудованная рабочими органами для погрузки, разгрузки и штабелирования грузов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Погрузчик универсальный на пневмоколесном ходу
Погрузчик на автомобильном ходу",91.06.05,ТО 16 10,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADE,,,Подъемник,"Механизм, предназначенный для вертикального перемещения грузонесущих устройств","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Подъемник строительный грузопассажирский
Подъемник мачтовый
Подъемник реечный
Подъемник шахтный
Подъемник многошахтный грузопассажирский
Подъемник двухстоечный грузовой
Подъемник скиповой
Площадка подъемная для монтажа сборных дымовых труб",91.06.06,ТО 14 40,СТО НОСТРОЙ 2.23.134-2013
,,ADF,,,Таль,"Компактная машина циклического действия для подъема и опускания груза, подвешенного на грузозахватном органе","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.06.07,ТО 16 24,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADG,,,Тельфер,Подвесное грузоподъемное устройство (таль) с электрическим приводом,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.06.08,ТО 16 22,Определение синтезировано
,,ADH,,,Вышка телескопическая,"Устройство для подъёма и перемещения рабочих с инструментом и материалами и используемый при монтаже и обслуживании линий электропередач, линий связи и контактных сетей, ремонте и обслуживании зданий и сооружений, обслуживании средств наружной рекламы, уходе за городскими зелёными насаждениями и т. п","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.18.390.91.06.09-001 28.22.18.390.91.06.09-502,"ТО 16 12 10 01
ТО 16 12 10 02
ТО 16 12 10 03
ТО 16 12 10 04
ТО 16 12 10 05
ТО 16 12 10 06
ТО 16 12 10 07",Определение синтезировано
,,ADJ,,,Люлька самоподъемная,Оборудование для работ на высоте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"28.22.18.390.91.06.09-021
28.22.18.390.91.06.09-022",ТО 16 28,Определение синтезировано
,,ADK,,,Машина для выдачи пучка арматуры,"Машина, применяемая при производстве железобетонных изделий, предназначенная для изготовления и монтажа элементов армирования",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.13.119.91.06.09-041,,Определение синтезировано
,,ADL,,,Подмости самоходные,"Специальное сооружение, которое служит опорой во время работы",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.18.390.91.06.09-061,,Определение синтезировано
,,ADM,,,Постамент с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на постамент",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.18.390.91.06.09-071,,Определение синтезировано
,,ADN,,,Опалубка скользящая,"Опалубка, конструкция которой перемещается вертикально домкратами по мере бетонирования монолитной конструкции и которая состоит из щитов, домкратных рам, домкратных стержней, подъемных механизмов (домкратов, насосных или других подъемных станций) и технологических элементов (рабочий пол, подмости).","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Скользящая опалубка для строительства монолитных железобетонных труб
Скользящая опалубка для возведения железобетонных оболочек градирен",28.22.18.390.91.06.09-091,ТО 20 70 10 04,ГОСТ 34329-2017
,,ADP,,,Стрела монтажная А-образные для подъема опор ВЛ,"Конструкция, использующаяся для подъема и установки собранных опор ЛЭП из горизонтального положения в вертикальное путем поворота вокруг шарнира монтажной стрелы, соединенной с монтируемыми опорами",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.18.390.91.06.09-101,,Определение синтезировано
,,ADQ,,,Транспортное устройство с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на транспортное средство",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.18.390.91.06.09-111,,Определение синтезировано
,,ADR,,,Вышка (подмости) для внутренних работ,Приспособление для выполнения работ на высоте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,Подмости самоходные,28.22.18.390.91.06.09-500,"ТО 16 12 10 08
ТО 36 10 30 05",Определение синтезировано
,,ADS,,,Вышка телескопическая на автомобиле,Приспособление для выполнения работ на высоте,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.18.390.91.06.09-502,"ТО 16 12 10 01
ТО 16 12 10 02
ТО 16 12 10 03
ТО 16 12 10 04
ТО 16 12 10 05
ТО 16 12 10 06
ТО 16 12 10 07",Определение синтезировано
,,ADT,,,Конвейер,Машина для непрерывного транспортирования грузов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.06.02,ТО 16 18,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADU,,,Леса инвентарные,"Многоярусное средство подмащивания, предназначенное для организации рабочих мест на разных горизонтах.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.18.390.91.06.09-506 28.22.18.390.91.06.09-508 28.22.18.390.91.06.09-510,ТО 16 32 10,ГОСТ Р 58752-2019
,,ADW,,,Натяжная машина для протяжки троса,Машина для протяжки троса,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.18.390.91.06.09-584,,Определение синтезировано
,,ADX,,,Рольганги приводные,"Конвейер, роликами которого, закреплёнными на небольшом расстоянии друг от друга, перемещаются грузы (штучные или в таре)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.17.115.91.21.22-351 28.22.18.390.91.06.09-674 28.22.18.390.91.06.09-676,,Определение синтезировано
,,ADY,,,Тренога перегрузочная,"Устройство для подъема, удержания, и опускания груза выше или ниже плоскости основания треноги при строительно-монтажных, ремонтных и погрузочно-разгрузочных работах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.22.18.390.91.06.09-682,,Определение синтезировано
,,ADZ,,,Конвейер роликовый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,28.22.17.115.91.06.09-504,ТО 16 18 10,
,,???,,,Транспортер,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,"29.20.23.190.91.14.05-041
29.20.23.190.91.14.05-042
29.20.23.190.91.14.05-524","ТО 16 20
ТО 40 20 30 03",
,AE,,,,Машины для дорожного и аэродромного строительства,"Группа машин предназначенных для проведения строительных работ, а также для эксплуатации и содержания дорог и аэродромов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",Назначение (функция) машины,,91.08,ТО 18,Определение синтезировано
,,AEA,,,Асфальтоукладчик,"Самоходная дорожная машина на колесном или гусеничном ходу, предназначенная для приемки асфальтобетонной смеси из транспортных средств, распределения смеси по ширине укладываемой полосы равномерным слоем заданной толщины на подготовленное и уплотненное основание, разравнивания и предварительного уплотнения уложенного слоя, отделки поверхности покрытия.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,91.08.01,ТО 18 20,СТО НОСТРОЙ 2.25.47-2011 
,,AEB,,,Гудронатор,"Машина, используемая для автоматического или ручного распределения пленки из вяжущих материалов (битума / битумной эмульсии) на поверхность дороги с заданной установленной скоростью","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Гудранатор ручной
Автогудранатор",91.08.02,"ТО 18 35 10
ТО 18 35 20",ГОСТ EN 13020-2012
,,AEC,,,Каток,"Самоходная или прицепная машина с уплотняющим устройством, состоящим из одного или более металлических цилиндрических вальцов (барабанов) или резиновых шин, предназначенная для уплотнения материалов, например щебня, грунта, асфальта или гравия, путем укатывания или вибрационного воздействия уплотняющего устройства.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Каток самоходный вибрационный
Каток дорожный самоходный
Каток дорожный самоходный на пневмоколесном ходу
Каток прицепной пневмоколесный",91.08.03,"ТО 18 10 10
ТО 18 10 20
ТО 18 10 30
ТО 18 10 40 01
ТО 18 10 40 02",ГОСТ Р ИСО 6165-2010 
,,AED,,,Машина для разогрева битума и асфальтобетона,"Машины, предназначенные для разогрева битума и асфальтобетона",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,91.08.04,,Определение синтезировано
,,,,AED010,"Битумная установка с 4-мя битумными котлами на 50 м3, резервуаром для хранения битума на 1000 м3 и газовым подогревом масляного теплоносителя",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.160.91.08.04-001,,
,,,,AED020,Котел битумный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Котел битумный стационарный
Котел битумный передвижной
Котел битумный электрический",28.92.30.160.91.08.04-021 28.92.30.160.91.08.04-022 28.92.30.160.91.08.04-023 28.92.30.160.91.08.04-024,ТО 18 65 10 03,
,,,,AED030,Котел битумоварочный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Котел битумоварочный дизельный
Котел битумоварочный электрический
Котел битумоварочный передвижной",28.92.30.160.91.08.04-510 28.92.30.160.91.08.04-512 28.92.30.160.91.08.04-514,"ТО 18 65 10 01
ТО 18 65 10 02",
,,,,AED040,Котел маточный передвижной для приготовления термопластика,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,25.30.11.130.91.08.04-516,,
,,,,AED050,Машина для разогрева асфальтобетонных покрытий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,28.92.30.160.91.08.04-031,,
