Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,,,AF010,Смесь песчано-гравийная,"Строительный материал, представляющий собой смесь песка и гравия","ГОСТ 23735-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.2.04.03,
,,,,AF020,Смесь щебеночно-песчаная,,"ГОСТ 25607-2009
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.2.04.04,
,,,,AF030,Смесь бентонитовая,,,,,,
,,,,AF040,Смесь керамзито-дробленная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.2.04.02,
,AG,,,,Материалы на основе горных пород,,ГОСТ 30629-2011,По виду материала,,,
,,AGA,,,Стекло,"Аморфное тело, получаемое путем переохлаждения расплава независимо от его химического состава и температурной области затвердевания и обладающее в результате постепенного увеличения вязкости механическими свойствами твердых тел, причем процесс перехода из жидкого состояния в стеклообразное должен быть обратимым","ГОСТ 32539-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,01.8.02,
,,,AGAA,,Стекло листовое,"Изделие из стекла, изготовленное методами флоат, вертикального вытягивания или непрерывного проката без дополнительной обработки поверхностей, имеющее вид плоского прямоугольного листа","ГОСТ 32539-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.8.02.06,
,,,,AGAA010,Кварцевое стекло,"Силикатное стекло, единственным компонентом которого является оксид кремния",ГОСТ 32539-2013,,,,
,,,,AGAA020,Натриево-силикатное стекло,,,,,,
,,,,AGAA030,Алюмосиликатное стекло,,,,,,
,,,,AGAA040,Известковое стекло,,,,,,
,,,,AGAA050,Свинцовое стекло,"Стекло с большим процентным содержанием соединений свинца для ослабления излучения, проходящего через него, которое используется как прозрачный защитный барьер",ГОСТ Р МЭК 60050-881-2008,,,,
,,,,AGAA060,Боросиликатное стекло,"Силикатное стекло, характеризующим компонентом которого является оксид бора",ГОСТ 32539-2013,,,,
,,,,AGAA070,Боратное стекло,,,,,,
,,,,AGAA080,Фосфатное стекло,,,,,,
,,,AGAB,,Пеностекло,"Материал в виде затвердевшей стеклянной пены с герметически закрытыми порами, заполненными смесью различных газов, изготовляемый в виде блоков или плит и предназначенный для теплозвукоизоляции ","СТ СЭВ 2439-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,23.19.12.160.01.7.10.15-0024,
,,,,AGAB010,Гранулированное пеностекло,"Сыпучее пеностекло в виде частиц размером в диапазоне 5-40 мм, имеющих форму, близкую к сферической, и неразвитую поверхность, отличную от внутреннего ячеистого строения частиц, выпускаемое в виде фракций размером 5-10, 10-20, 20-40 мм",ГОСТ 33676-2015,,,,
,,,,AGAB020,Блочное пеностекло,,ГОСТ 33676-2015,,,,
,,AGB,,,Минеральная вата,"Теплоизоляционный материал, имеющий структуру ваты и изготовленный из расплава горной породы, шлака или стекла","ГОСТ 4640-2011
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,"23.99.19.111.12.2.03.02-0002
23.99.19.111.12.2.03.02-0023",
,,,,AGB010,Базальтовая вата,,,,,,
,,,,AGB020,Стекловата,"Синтетическое некристаллическое изоляционное волокно на основе химического состава из кальция, магния и кремния, имеющее повышенную растворимость в жидких средах",ГОСТ Р 53682-2009,,,,
,,,,AGB030,Шлаковая вата,"Минеральная вата, полученная из расплава доменного шлака",ГОСТ 31913-2011,,,,
,,AGC,,,Минеральные вяжущие вещества,,,По виду материала,,,
,,,AGCA,,Гипсовые вяжущие вещества,"Вяжущие, получаемые путем термической обработки гипсового сырья до полугидрата сульфата кальция и применяемые для изготовления строительных изделий всех видов и при производстве строительных работ, а также для изготовления форм и моделей в фарфоро-фаянсовой, керамической и других отраслях промышленности","ГОСТ 125-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,03.1.01.01,
,,,,AGCA010,Строительный гипс,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"23.52.20.110.03.1.01.01-0001
23.52.20.110.03.1.01.01-0002
23.52.20.110.03.1.01.01-0003
23.52.20.110.03.1.01.01-0004
23.52.20.110.03.1.01.01-0006
23.52.20.110.03.1.01.01-0008
23.52.20.110.03.1.01.01-0009
23.52.20.110.03.1.01.01-0010
23.52.20.110.03.1.01.01-0011
23.52.20.110.03.1.01.01-0012
23.52.20.110.03.1.01.01-1010
23.52.20.110.03.1.01.01-1012",
,,,,AGCA020,Высокопрочный гипс,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"23.52.20.140.03.1.01.01-1002
23.52.20.140.03.1.01.01-1004
23.52.20.140.03.1.01.01-1006
23.52.20.140.03.1.01.01-1008",
,,,,AGCA030,Формовочный гипс,,,,,,
,,,,AGCA040,Ангидрит (ангидритовый цемент),,,,,,
,,,,AGCA050,Высокообжиговый гипс (эстрих-гипс),,,,,,
,,,AGCB,,Цемент,"Тонко помолотый неорганический материал, который в смеси с водой образует пасту, отвердевающую в процессе гидратации, и после отвердения сохраняет прочность и устойчивость, даже под водой","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"03.2
",
,,,,AGCB010,Портландцемент бездобавочный,,"ГОСТ 1581-96
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"23.51.12.111.03.2.01.01-0001
23.51.12.111.03.2.01.01-0003
23.51.12.111.03.2.01.01-0005
23.51.12.111.03.2.01.01-0006",
,,,,AGCB020,Портландцемент с минеральными добавками,,"ГОСТ 10178-85
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,03.2.01.02,
,,,,AGCB030,Цемент глиноземистый,"Специальные цементы, получаемые тонким измельчением глиноземистого клинкера, обеспечивающие быстрое твердение растворов и бетонов
","ГОСТ 969-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,03.2.01.03,
,,,,AGCB040,Композиционный портландцемент,,"ГОСТ 31108-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"23.51.12.190.03.2.02.11-1002
23.51.12.190.03.2.02.11-1004
23.51.12.190.03.2.02.11-1006",
,,,,AGCB050,Цементы специальные,,"ГОСТ 30515-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,03.2.02,
,,,AGCC,,Известь строительная,"Известь, предназначенная для изготовления строительных материалов и изделий","ГОСТ 9179-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,03.1.02.03,
,,,,AGCC010,Известь воздушная,"Известь, твердеющая в воздушно-сухих условиях под воздействием диоксида углерода. Воздушная известь не обладает гидравлическими свойствами и подразделяется на две подгруппы: кальциевую известь и доломитовую известь",ГОСТ 9179-2018,,,,
,,,,AGCC020,Известь гидравлическая,"Известь, твердеющая в воде или на воздухе при смешивании с водой, состоящая из гидроксида кальция, силикатов кальция и алюминатов кальция","ГОСТ 9179-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,23.52.10.120.03.1.02.02-0013,
,,,AGCD,,Магнезиальные вяжущие вещества,,,,,,
,,,,AGCD010,Каустический магнезит,,,,,,
,,,,AGCD020,Каустический доломит,,,,,,
,,,AGCE,,Смешанные вяжущие,,ГОСТ 31357-2007,,,,
,,,,AGCE010,Смешанные гипсовые вяжущие,,ГОСТ Р 58275-2018,,,,
,,,,AGCE020,Смешанные известковые вяжущие,,,,,,
,,AGD,,,Материалы хризотилсодержащие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),По виду материала,,"01.1.02
",
,,,AGDA,,Асботекстолит,,"ГОСТ 5-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.01,
,,,AGDB,,Асбозурит,,"ТУ 36-130-83
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,23.99.11.120.12.2.03.15-0001,
,,,AGDC,,Бумага асбестовая,,"ГОСТ 23779-95
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.02,
,,,AGDD,,Картон асбестовый,,"ГОСТ 2850-95
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.04,
,,,AGDE,,Набивка асбестовая,,"ГОСТ 5152-84
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.05,
,,,AGDF,,Паронит,,"ГОСТ 481-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.06,
,,,AGDG,,Ткань асбестовая,,"ГОСТ 6102-94
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.09,
,,,AGDH,,Хризотил,"Волокнистый минерал класса силиката, группы серпентина, имеющий химический состав близкий к Mg3Si2O5(OH)4, щелочестоек, не растворим в воде, химически инертен","ГОСТ 12871-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.1.02.10,
,,,,AGDJ010,Хризотил специального назначения,,"ГОСТ 12871-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,08.99.29.151.01.1.02.10-1010 08.99.29.151.01.1.02.10-1012,
,,,AGDJ,,Совелит,,,,,,
,,,,AGDK010,Совелитовый порошок,,,,,,
,,,AGDK,,Асбестомагнезиальный порошок,,ГОСТ 4.209-79,,,,
,,,AGDL,,Лист хризотилцементный,,"ГОСТ 18124-2012
ГОСТ 30340-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"01.1.01.04
01.1.01.05",
,,AGE,,,Материалы на основе муллитокремнеземистой ваты,,ГОСТ 23619-79,По виду материала,,,
,,,,AGE010,Муллитокремнеземистая вата,"Теплоизоляционный материал, предназначенный в том числе для изготовления теплоизоляционных огнеупорных изделий",ГОСТ 23619-79,,,,
,,,,AGE020,Муллитокремнеземистый войлок,,"ГОСТ 23619-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,23.20.12.190.17.1.02.03-0011,
