Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
,,CMF,,,"Здание (сооружение) объектов промышленности электрической распределительной и регулирующей аппаратуры, кабелей и кабельной арматуры",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха кабельного производства
Здание цеха по производству кабельной арматуры
Здание цеха по производству автоматических выключателей и других коммутационных устройств",12.7.1,,
,,CMG,,,"Здание (сооружение) объектов промышленности электродвигателей, электрогенераторов, трансформаторов и, подъемно -транспортного оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству электрокаров, электропогрузчиков, электроштабелеров
Здание цеха по производству электротележек, электротягачей
Здание цеха по производству взрывозащищенных электродвигателей",12.6.1,,
,,CMH,,,Здание (сооружение) объектов промышленности электроники и электрооборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству электронного аудио-и видеооборудования для домашнего пользования
Здание цеха по производству электронного аудио-и видеооборудования для систем публичных выступлений и музыкальных инструментов
Здание цеха по производству электронного аудио-и видеооборудования для установки в автомобилях",12.3.3,,
,,CMJ,,,Здание (сооружение) объектов промышленности электронных компонентов и печатных плат,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха конденсаторостроения
Здание цеха по производству полупроводниковых изделий
Здание цеха по производству силовых полупроводниковых преобразователей (выпрямителей, инверторов и пр.)",12.1.2,,
,CN,,,,Объекты химической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,12.1.2,,
,,CNA,,,Объекты газовой промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,12.1.2,,
,,,CNAA,,Здание (сооружение) объектов переработки газа по схеме низкотемпературной конденсации,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по переработке газа по схеме низкотемпературной конденсации с турбодетандером
Сооружение установки низкотемпературной конденсации промышленных газов",7.1.1,,
,,,CNAB,,Здание (сооружение) объектов получения прочих газов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха дробления сортировки, упаковки карбида кальция в барабаны
Прочие здания (сооружения) получения прочих газов
Сооружение ацетиленовой станции растворенного ацетилена",7.1.4,,
,,,CNAC,,Здание (сооружение) объектов предприятий кислородной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание хроматографической лаборатории
Здание цеха компрессии продуктов разделения воздуха
Здание цеха наполнения баллонов
Здание цеха разделения воздуха",7.1.2,,
,,,CNAD,,Здание (сооружение) объектов предприятий получения инертного газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Прочие здания (сооружения) предприятий получения инертного газа
Сооружение холодильной гелиевой станции",7.1.3,,
,,CNB,,,Объекты промышленности боеприпасов и спецхимии,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.1.3,,
,,,CNBA,,Здание (сооружение) объектов выпуска спичек,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по выпуску бытовых спичек
Здание цеха по выпуску специальных видов спичек (каминных, охотничьих, декоративных, сигнальных и пр.)",7.8.1,,
,,,CNBB,,Здание (сооружение) объектов производства взрывчатых веществ и изделий на их основе,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству взрывателей, детонаторов, пиропатронов, сигнальных ракет
Здание цеха по производству нитроглицерина
Здание цеха по производству пиротехнических изделий",7.8.2,,
,,,CNBC,,Здание (сооружение) объектов производства пороха и твердого ракетного топлива,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству дымного пороха
Здание цеха по производству огнепроводных шнуров
Здание цеха по производству порохов (смесевых твердых топлив) на основе синтетических полимеров",7.8.3,,
,,CNC,,,"Объекты промышленности красок, лаков, клеев, эфирных масел",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.8.3,,
,,,CNCA,,Здание (сооружение) объектов производства клея,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по приготовлению водного и дисперсионного клея
Здание цеха по приготовлению клеев животного происхождения
Здание цеха по приготовлению неорганического клея",7.6.1,,
,,,CNCB,,Здание (сооружение) объектов производства лаков и красок,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха аминоформальдегидных смол
Здание цеха водоэмульсионных красок
Здание цеха лаков и эмалей на полимеризационных смолах",7.6.3,,
,,,CNCC,,Здание (сооружение) объектов производства химических красителей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание цеха производства химических красителей,7.6.4,,
,,,CNCD,,Здание (сооружение) объектов эфиромасличного производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха переработки цветочно­травянистого сырья
Здание цеха сушки зелени сезонной",7.6.2,,
,,CND,,,"Объекты промышленности мыла и моющих, чистящих и полирующих средств, парфюмерных и косметических средств",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха косметических полупродуктов
Здание цеха по производству парфюмерно-косметических изделий
Здание цеха по производству синтетических душистых веществ",7.7.1,,
,,CNE,,,Объекты промышленности неорганических химических веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.7.1,,
,,,CNEA,,Здание (сооружение) объектов предприятий содовой промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха кальцинации
Здание цеха отстоя дистиллернной жидкости и выделения затравки
Здание цеха очистки дистиллерной жидкости",7.2.3,,
,,,CNEB,,Здание (сооружение) объектов производства прочих неорганических веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха вывода сульфатов из анолитного цикла
Здание цеха выпарки электрощелоков
Здание цеха донасыщения анолита",7.2.2,,
,,,CNEC,,Здание (сооружение) объектов производства серной кислоты,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха воздуходувок (компрессорное) для производства серной кислоты
Здание цеха по производству аккумуляторной серной кислоты с розливом и хранением
Здание цеха по производству реактивной серной кислоты с отделением расфасовки в мелкую тару и хранением",7.2.1,,
,,,CNED,,Здание (сооружение) объектов производства химических реактивов и особо чистых веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха люминофоров производства химических реактивов и особочистых веществ
Здание цеха малотоннажных заказных реактивов
Здание цеха неорганических химических реактивов и веществ специальной степени чистоты",7.2.5,,
,,,CNEE,,Здание (сооружение) объектов химико­фотографического производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание баритажного цеха
Здание цеха абсорбции и ректификации растворителей из ПВС от поливных машин
Здание цеха изготовления лавсановой основы, полива и отделки магнитных лент",7.2.4,,
,,CNF,,,Объекты промышленности органических химических веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.2.4,,
,,,CNFA,,Здание (сооружение) объектов предприятий лесохимической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание древесно-подготовительного цеха лесохимической промышленности
Здание камфорного цеха
Здание цеха пиролиза древесины",7.3.2,,
,,,CNFB,,Здание (сооружение) объектов предприятий метанольной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание центрального пункта управления объекта метанольной промышленности
Здание цеха адиподинитрила
Здание цеха гексаметилендиамина",7.3.5,,
,,,CNFC,,Здание (сооружение) объектов предприятий органического синтеза,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание водородной станции
Здание цеха выделения себациновой кислоты
Здание цеха дегидрирования анола в анон на катализаторе",7.3.1,,
,,,CNFD,,Здание (сооружение) объектов производства пищевых кислот,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха производства винной кислоты
Здание цеха производства лимонной кислоты
Здание цеха производства молочной кислоты",7.3.3,,
,,,CNFE,,Здание (сооружение) объектов производства синтетического каучука,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха изготовление мономера
Здание цеха полимеризации производства синтетического каучука",7.3.4,,
,,CNG,,,Объекты промышленности пластмасс и синтетических смол,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.3.4,,
,,,CNGA,,Здание (сооружение) объектов производства полуфабрикатов из синтетических смол и пластических масс,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание модельного цеха
Здание подготовительного цеха промышленности синтетических смол
Здание прядильноткацкого цеха",7.5.2,,
,,,CNGB,,Здание (сооружение) объектов производства синтетических смол и пластических масс,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание завода по производству синтетических смол и пластических масс
Здание цеха вспенивания пенополиур етанов
Здание цеха вторичной грануляции полиформальдегида",7.5.1,,
,,CNH,,,Объекты промышленности удобрений и азотных соединений,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.5.1,,
,,,CNHA,,Здание (сооружение) объектов предприятий по производству торфяных удобрений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по кипованию торфа малой степени разложения
Здание цеха по производству торфоминеральных аммиачных удобрений
Здание цеха по производству торфяных горшочков",7.4.2,,
,,,CNHB,,"Здание (сооружение) объектов производства пестицидов, инсектицидов, родентицидов, фунгицидов, гербицидов, акарицидов, биоцидов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха получения хлористого аллила и нематоцидной смеси
Здание цеха производства инсектицидов, родентицидов, фунгицидов, гербицидов, акарицидов, биоцидов",7.4.5,,
,,,CNHC,,Здание (сооружение) объектов промышленности удобрений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание промывного цеха
Здание цеха микродобавок
Здание цеха обжига известняка
Здание цеха огневой или вакуумной упарки аммофосной пульпы для производства аммофоса",7.4.1,,
,,,CNHD,,Здание (сооружение) сушильных объектов при производстве удобрений и химическом производстве,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание сушильно-абсорбционного цеха
Здание сушильно-абсорбционного цеха для производства серной кислоты
Здание цеха сушки и грануляции фосфогипса (отход производства ЭФК), три технологических нитки для цементной промышленности",7.4.4,,
,,,CNHE,,Здание (сооружение) печей при производстве удобрений и химическом производстве,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание печного цеха жидкой серы
Здание печного цеха колчедана
Здание цеха с герметичными электропечами при производстве удобрений и химическом производстве",7.4.3,,
,,CNJ,,,Объекты промышленности химических волокон,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.4.3,,
,,,CNJA,,Здание (сооружение) объектов производства компонентов химических волокон и нитей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха ваккум-выпарки
Здание цеха очистки и фильтрации серы
Здание цеха по производству диметилтерефталама",7.9.1,,
,,,CNJB,,Здание (сооружение) объектов производства химических волокон и нитей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание текстильного корпуса
Здание цеха крашения нити
Здание цеха по производству химических волокон и нитей",7.9.2,,
,,CNK,,,Объекты вспомогательной инфраструктуры химической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,7.9.2,,
,,,CNKA,,Здание (сооружение) вспомогательных объектов производства синтетических смол и пластических масс,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха переработки пластмасс и отходов из них
Здание цеха по переработке отходов
Здание цеха резки блоков пенополиуретанов",7.10.4,,
,,,CNKB,,Здание (сооружение) вспомогательных объектов производства удобрений и иного химического производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание антикоррозионного цеха при производстве удобрений и химическом производстве
Здание контактно-компрессорного цеха
Здание ломоперерабатывающего цеха со складом при производстве удобрений и химическом производстве",7.10.3,,
,,,CNKC,,Здание (сооружение) объектов абсорбции и улавливания газов при производстве удобрений и ином химическом производстве,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение абсорбции газов
Сооружение улавливания газов
Сооружение утилизации газов",7.10.12,,
,,,CNKD,,Здание (сооружение) объектов обезвреживания результатов деятельности предприятий химической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение обезвреживания, нейтрализации сточных вод
Сооружение очистки сточных вод
Сооружение станции сбора, очистки и возврата конденсата при производстве удобрений и химическом производстве",7.10.2,,
,,,CNKE,,Здание (сооружение) объектов обеспечивающих производств химической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Автоматизированная сливоналивная эстакада для сжиженных газов
Здание вспомогательно-пусковой котельной
Здание испытательной станции",7.10.1,,
,,,CNKF,,"Здание (сооружение) объектов приема, отгрузки продукции при производстве удобрений и химическом производстве",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха механизированного приема, хранения и дозировки сыпучего сырья при химическом производстве
Здание цеха механизированного приема, хранения, плавления и подготовки твердого сырья при химическом производстве
Здание цеха приема, подготовки и хранения жидкого сырья при производстве удобрений и химическом производстве",7.10.7,,
,,,CNKG,,Здание (сооружение) объектов транспортировки продукции при производстве удобрений и в ином химическом производстве,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение гидротранспорта
Сооружение конвейерного транспорта
Сооружение пневмотранспорта",7.10.9,,
,,,CNKH,,Здание (сооружение) объектов упаковки и фасовки продукции,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха фасовки
Сооружение фасовки",7.10.10,,
,,,CNKJ,,Здание (сооружение) объектов химводоподготовки воды,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение химводоподготовки артезианской воды
Сооружение химводоподготовки водопроводной воды
Сооружение химводоподготовки поверхностных вод",7.10.11,,
,,,CNKK,,Здание (сооружение) ремонтно-механических объектов химической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание ремонтно-механического цеха
Здание цеха по ремонту теплосилового оборудования и трассы трубопроводов
Здание цеха по ремонту электротехнического оборудования со складом сырья и готовой продукции при производстве удобрений и химическом производстве",7.10.6,,
D,,,,,Объекты энергетики и электроэнергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,16.3,,
,DA,,,,Объекты атомной энергетики,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,16.3.1,ВН ПН 50 35 20,
,,DAA,,,Здание (сооружение) атомной электрической станции малой мощности стационарного расположения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) переработки и хранения радиоактивных отходов
Здание административно-бытового корпуса с переходными галереями, пунктом управления противоаварийными действиями на АЭС
Здание газовых систем",16.3.1,,
,,DAB,,,Здание (сооружение) атомной электрической станции с водо-водяным энергетическим реактором,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание реактора
Здание систем контроля и управления
Здание турбинного цеха атомной электростанции с водо-водяным энергетическим реактором",16.3.2,,
,,DAC,,,Здание (сооружение) атомной электрической станции с реактором канального типа,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание блока вспомогательных систем реакторного отделения
Здание машинного зала и деаэраторной этажерки
Здание реакторного цеха с реактором большой мощности канальным",16.3.4,,
,,DAD,,,Здание (сооружение) атомной электрической станции с реактором на быстрых нейтронах,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание парогенераторного цеха
Здание турбины с деаэратором, включая блок маслохозяйства
Здание электротехнических устройств нормальной эксплуатации",16.3.3,,
,DB,,,,Объекты гидроэнергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,16.2.4,,
,,DBA,,,Здание (сооружение) гидроэлектростанции (Объекты станционного узла),,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Бассейн приливной электростанции
Здание гидроаккумулирующей электростанции
Здание служебно-технологического корпуса",16.2.4,ВН ПН 50 35 10,
,,DBB,,,Водоподпорное (защитное) сооружение,"

Гидротехническое сооружение для создания подпора","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39
ГОСТ 19185-73",,"Берегоукрепительные и защитные сооружения (берегоукрепление)
Дамба ограждающая
Подпорная стена",16.2.1,ВН ПН 50 10,
,,DBC,,,Дренажное сооружение,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Галерея дренажная
Коллектор дренажный
Штольня дренажная",16.2.2,,
,,DBD,,,"Сооружение водосбросное (водоспускное и водовыпускное), водозаборное, водовод","Водопропускное сооружение, предназначенное для сброса воды из верхнего бьефа для предотвращения его переполнения","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 290.1325800.2016",,"Сооружение акведука
Сооружение водовыпуска
Сооружение водозабора",16.2.3,,
,,DBE,,,Сооружение гидроэнергетики специальное,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Боновое ограждение (запань)
Лесосплавное сооружение
Рыбопропускное, рыбозащитное устройство",16.2.5,,
,DC,,,,Объекты тепловой электроэнергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,16.1.1,,
,,DCA,,,Теплоэлектростанция,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло","Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,"Здание газотурбинной электрической станции с агрегатом единичной мощности до 30 МВт
Здание главного корпуса
Здание дизельной электростанции",16.1.1,,
,,,DCAA,,Электрическая станция на возобновляемых источниках энергии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) геотермальной электростанции
Сооружение ветряной электростанции
Сооружение солнечной электростанции",16.4.1,,
,,,DCAB,,Электрическая станция на невозобновляемых источниках энергии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) газопоршневой электростанции
Здание (сооружение) парогазовой электростанции
Здание биоэнергостанции",16.4.2,,
,,DCB,,,"Сооружение водоподготовительной установки паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций","Комплекс устройств, обеспечивающих обработку исходной воды до заданного качества","Приказ Минстроя России от 10.07.2020 N 374/пр
ОСТ 108.030.128-78",,"Сооружение водоподготовительной установки подпитки тепловых сетей (включая баки)
Сооружение водоподготовительной установки подпитки энергетических котлов (включая баки)
Сооружение установки по обезвоживанию шламовых вод от химочисток оборудования",16.1.6,,
,,DCC,,,"Здание (сооружение) вспомогательных объектов паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание центра холодоснабжения
Здание электрокотельной
Сооружение газорегуляторного пункта теплоэлектростанций",16.1.11,,
,,DCD,,,"Сооружение объектов гидроуборки топливоподачи паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Очистное сооружение канализации гидроуборки
Сооружение напорной сети гидроуборки
Сооружение насосной станции перекачки стоков после гидроуборки",16.1.9,,
,,DCE,,,"Сооружение объектов золошлакоудаления паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение багерной насосной
Сооружение золошлакопровода
Сооружение и коммуникации внешнего замкнутого (оборотного) гидрозолоудаления",16.1.10,,
,,DCF,,,"Сооружение объектов технологической коммуникации паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение переходной галереи
Сооружение технологического трубопровода
Эстакада для прокладки технологических трубопроводов",16.1.8,,
,,DCG,,,"Сооружение сетей обеспечения газообразным топливом паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение внешнеплощадочного газопровода
Сооружение дожимающей компрессорной станции
Сооружение станции очистки газа",16.1.4,,
,,DCH,,,"Сооружение сетей обеспечения жидким топливом и маслохозяйство паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,Сооружение приемно-сливного устройства,16.1.3,,
,,DCJ,,,"Сооружение сетей обеспечения твердым топливом паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание электротехнических устройств (со щитом управления)
Сооружение размораживающего и разгрузочного устройства",16.1.2,,
,,DCK,,,"Сооружение сетей производства и разводки спецгазов паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,Сооружение компрессорной станции,16.1.5,,
,,DCL,,,"Сооружение сетей технического водоснабжения паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание насосной технического водоснабжения
Сооружение брызгального бассейна
Сооружение водовода подпиточной воды
Сооружение водовыпуска",16.1.7,,
,DE,,,,Объекты обеспечения электроэнергией,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,16.4.2,,
,,DEA,,,"Переходы воздушных линий электропередач, коммуникационные тоннели, объекты канализации",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,16.4.2,,
,,,DEAA,,Сооружение перехода воздушных линий электропередач,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Кабельная эстакада
Сооружение воздушного перехода высоковольтной линии электропередач через водные преграды, железные дороги и другие инженерные сооружения",16.5.2,ВН ЛО 20 10,
,,,DEAB,,Сооружение коммуникационного тоннеля,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение кабельного канала, тоннель для электрических кабелей
Сооружение узла, камеры при прокладке кабелей",16.5.2,,
,,DEB,,,Здание (сооружение) объектов электрических сетей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) пункта релейной защиты
Здание (сооружение) реакторного пункта
Здание диспетчерской",16.5.1,,
,DF,,,,Объекты газораспределения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,16.6.1,,
,,DFA,,,Здание (сооружение) объектов газораспределительных сетей,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание или сооружение газорегуляторного пункта
Здание или сооружение контрольно­распределительного пункта
Мостовой переход газопровода",16.6.1,ВН ПН 50 55 20,
,,DFB,,,Здание (сооружение) объектов обеспечения сжатым и сжиженным газовым топливом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение газонаполнительного пункта бытовых установок сжиженного газа
Сооружение газонаполнительной станции сжиженных газов
Сооружение пункта наполнения баллонов сжиженным газом",16.6.2,,
,DG,,,,Объекты теплоснабжения и кондиционирования воздуха,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,16.7.5,ВН ПН 50 50,
,,DGA,,,Здание (сооружение) объектов вентиляции,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение вытяжной вентиляционной камеры и вентиляционной трубы
Сооружение газохода или воздуховода
Сооружение по сбору конденсата объекта вентиляции",16.7.5,,
,,DGB,,,"Здание (сооружение) объектов механической очистки газов, воздуха",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение газоотборной системы для отбора газов (газовоздушных смесей) от печей, автоклавов и другого технологического оборудования
Сооружение очистки или подготовки газов (воздуха)
Сооружение очистки промышленных газов и аспирационного воздуха",16.7.3,,
,,DGC,,,"Здание (сооружение) объектов химической очистки газов, воздуха",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха очистки вентиляционных выбросов
Здание цеха очистки горючих газов
Здание цеха очистки негорючих газов (воздуха)",16.7.4,,
,,DGD,,,Здание (сооружение) объектов тепловых и холодильных пунктов,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание теплового пункта
Сооружение индивидуального теплового пункта
Сооружение теплораспределительного пункта",16.7.1,ВН ПН 50 50 30,
