Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
,AD,,,,"Здание (сооружение) объектов производства пушнины, добытой в результате охоты",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,"Здание цеха первичной обработки шкур
Здание цеха производства пушнины",1.5.1,,
,AE,,,,Объекты рыбоводного хозяйства,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,1.5.1,ВН ПН 10 40 45,
,,AEA,,,Здание (сооружение) объектов выращивания морских видов рыб,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание воспроизводственного комплекса для получения молоди морских растительноядных и других видов рыб
Здание рыбоводного цеха по выращиванию молоди дальневосточного лосося
Здание рыбоводного цеха по выращиванию покатников семги, атлантического лосося, каспийского лосося, стальноголового лосося, форели, чавычи, кижуча, нерки и симы",1.5.1,,
,,AEB,,,Здание (сооружение) объектов пресноводного рыбоводного хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание зимовального комплекса
Здание инкубационно-выростного цеха
Здание осетрового рыбоводного цеха",1.5.1,,
,AF,,,,Сооружения объектов мелиорации,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.4,,
,,AFA,,,Сооружение инженерной инфраструктуры в мелиорации,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Подпорное гидротехническое сооружение мелиоративного гидроузла
Сбросное автоматическое сооружение
Сооружение водомерного лотка с гидрометрическим колодцем",1.4.2,,
,,AFB,,,"Сооружение системы орошения, осушения",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Водозаборное сооружение при бесплотинном заборе
Водозаборное сооружение при водохранилищной плотине
Сооружение акведука",1.4.1,,
,AG,,,,Объекты растениеводства,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",По виду ОКС,,1.1,ВН ПН 10 50,
,,AGA,,,Здание (сооружение) объектов выращивания винограда,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание корпуса виноградных прививок
Здание питомника и селекции винограда
Здание сушки винограда",1.1.1,,
,,AGB,,,Здание (сооружение) объектов выращивания хмеля,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание питомника и селекции хмеля
Здание сортировки и первичной переработки хмеля",1.1.4,,
