Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,,AEA,,,Обоснование методов при сносе (демонтаже),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000049
,,AEB,,,Расчет зоны развала и опасной зоны при сносе (демонтаже),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000050
B,,,,,Снос объекта,"Ликвидация здания (сооружения) одним из способов обрушения (механический, термический, взрывной или их комбинации) с предварительным демонтажем технических систем и элементов отделки","СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",По способу производства работ,,,,KSI150000051
,BA,,,,Снос механическим способом ,"Инструментальный способ, прием достижения какой-либо цели или решения конкретной задачи","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000052
,,BAA,,,Обрушение конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По способу производства работ,,,,KSI150000053
,,,BAAA,,Обрушение конструкций экскаватором с навесным оборудованием,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По типу оборудования,,,,KSI150000054
,,,,BAAA010,Обрушение конструкций экскаватором с клин-молотом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000055
,,,,BAAA020,Обрушение конструкций экскаватором с шар-молотом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000056
,,,,BAAA030,Обрушение конструкций экскаватором с гидравлическими ножницами,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000057
,,,BAAB,,Обрушение конструкций станком с алмазным отрезным диском,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000058
,,,BAAC,,Обрушение конструкций алмазным канатом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,,,KSI150000059
,,,BAAD,,Обрушение конструкций клиновым раскалывателем,,"СТО Нострой 2.33.53-2011 
СП 325.1325800.2017",,,,,KSI150000060
,BB,,,,Снос взрывным способом ,"Инструментальный способ, прием достижения какой-либо цели или решения конкретной задачи","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000061
,,BBA,,,Подготовка взрывчатых веществ,"Комплекс организационно-технических мероприятий, при выполнении которых достигается высокая эффективность работ на базе применения современных прогрессивных технологий, комплексной механизации и индустриализации, своевременного материально-технического обеспечения работ","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000062
,,BBB,,,Подготовка мест закладки зарядов (взрывных камер),"Комплекс организационно-технических мероприятий, при выполнении которых достигается высокая эффективность работ на базе применения современных прогрессивных технологий, комплексной механизации и индустриализации, своевременного материально-технического обеспечения работ","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000063
,,BBC,,,Создание подрывной электрической сети для инициирования зарядов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000064
,,BBD,,,Закладка и уплотнение зарядов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000065
,,BBE,,,Подсоединение инициирующих элементов – детонаторов к взрывной сети,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000066
,,BBF,,,"Заполнение оставшейся части шпура песком, отсевом и прочее, забивание деревянной пробкой",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000067
,,BBG,,,Подрыв зарядов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000068
,,BBH,,,"Выявление невзорвавшихся зарядов, приведение их в безопасное состояние отключением или подрывом на месте",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000069
,,BBJ,,,"Уборка обломков сооружения, материалов засыпки, предохраняющих плит и прочее",,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,,,KSI150000070
,BC,,,,Снос специальным способом ,"Инструментальный способ, прием достижения какой-либо цели или решения конкретной задачи","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По способу производства работ,,,,KSI150000071
,,BCA,,,Снос гидровзрывным способом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000072
