Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,PKA,,вибрационное устройство,"тактильное устройство, представляющее информацию путем вибрации",,,IfcSurfaceFeature, ,,,,,,KSI060000460
,,PKB,,текст со шрифтом Брайля,"тактильное устройство, представляющее статическую информацию",,,IfcSurfaceFeature, ,,,,,,KSI060000461
,,PKC,,предупреждение о свободной высоте,тактильное устройство для преодоления препятствий на местности,,,IfcSurfaceFeature, ,,,,,,KSI060000462
,PL,,,декоративный объект,"объект, представляющий информацию в декоративной форме","ISO 81346-2:2019
",Вид применяемого метода,,,,"ЭЛ 30 29
ЭЛ 30 29 10
ЭЛ 30 29 10 10
ЭЛ 30 29 10 20
ЭЛ 30 16 36
ЭЛ 30 16 37
",,,,KSI060000463
,,PLA,,карниз,"декоративный объект, выступающий в роли разделителя между двумя областями
-
Выступающая профильная архитектурная деталь антаблемента или стены.","ГОСТ 23342-2012
",,IfcCovering ,MOLDING,,ЭЛ 30 16 35,,,,KSI060000464
,,PLB,,статуя,"декоративный объект, выступающий в роли пространственного представления чего-либо",,,IfcFurniture, ,,,,,,KSI060000465
,,PLC,,лепнина,декоративный объект в виде выступающих фигур и/или декоративных элементов на стене,,,IfcFurniture, ,,"ЭЛ 30 16 25
ЭЛ 30 29 15
ЭЛ 30 29 20
ЭЛ 30 29 25
ЭЛ 30 29 30
ЭЛ 30 29 35
ЭЛ 30 29 40
ЭЛ 30 29 50
ЭЛ 30 29 55
ЭЛ 30 29 60
ЭЛ 30 29 60 10
ЭЛ 30 29 60 20
ЭЛ 30 29 65
ЭЛ 30 29 65 10
ЭЛ 30 29 65 20
ЭЛ 30 29 70
ЭЛ 30 29 75
",,,,KSI060000466
,,PLD,,картина,"декоративный объект, представляющий, иллюстрирующий или воспроизводящий что-либо на поверхности",,,IfcFurniture, ,,,,,,KSI060000467
,,PLE,,ковер,"декоративный объект, представляющий собой ткань, покрывающую другой объект",,,IfcFurniture, ,,,,,,KSI060000468
,PZ,,,"объект, представляющий множество видов информации","объект, представляющий информацию в нескольких формах",ISO 81346-2:2019,Вид применяемого метода,,,,,,,,KSI060000469
,,PZA,,аудиовизуальная сигнализация,"объект, представляющий информацию для отдельных состояний в нескольких формах",,,IfcAlarm, ,,,,,,KSI060000470
,,,PZA010,извещатель пожарный,"техническое средство, предназначенное для обнаружения факторов пожара и/или формирования сигнала о пожаре",ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001070
,,,PZA020,извещатель пожарный дымовой точечный,"автоматический извещатель пожарный, реагирующий на частицы твердых или жидких продуктов горения и/или пиролиза в атмосфере",ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001071
,,,PZA030,извещатель пожарный тепловой точечный,"извещатель пожарный тепловой, в котором устройство обнаружения фактора пожара расположено в ограниченном объеме, много меньшем объема защищаемого помещения",ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001072
,,,PZA040,извещатель пожарный пламени,"автоматический извещатель пожарный, реагирующий на электромагнитное излучение пламени или тлеющего очага",ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001073
,,,PZA050,извещатель пожарный ручной,"извещатель пожарный, предназначенный для ручного формирования сигнала пожарной тревоги в шлейфе пожарной сигнализации",ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001074
,,,PZA060,извещатель пожарный тепловой многоточечный,"извещатель пожарный тепловой, чувствительные элементы которого дискретно расположены на протяжении линии",ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001075
,,,PZA070,оповещатель загазованности,,,,IfcAlarm,,,,,,,KSI060001137
,,,PZA080,оповещатель пожарный речевой,,ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001138
,,,PZA090,оповещатель пожарный световой,,ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001139
,,,PZA100,оповещатель пожарный свето-звуковой,,ГОСТ Р 53325-2012,,IfcAlarm,,,,,,,KSI060001140
,,,PZA110,пост сигнализации,,,,,,,,,,,KSI060001157
,,PZB,,телевизор,"объект, представляющий множество видов информации в нескольких формах",,,IfcAudioVisualAppliance, ,,ЭЛ 40 50 30 35,,,,KSI060000471
,,PZC,,линия автоматизированного досмотра,,СП 478.1325800.2019,,,,,,,,,KSI060000977
Q_,,,,объект управления доступом или потоком среды,объект для управления доступом или потоком,ISO 81346-2:2019,Вид потока объектов и вид метода,,,,,,,,KSI060000472
,QA,,,электрический объект управления,объект управления электрическим током в электрической цепи,ISO 81346-2:2019,Вид метода переключения,,,,,,,,KSI060000473
,,QAA,,контактор,"электрический объект управления, воздействующий механическим путем только в нормальных условиях эксплуатации
-
Механический выключатель, имеющий только одно положение покоя, не предназначенный для управления вручную, способный включать, пропускать и отключать ток в нормальных условиях цепи, в том числе в условиях работ.",ГОСТ IEC 60309-4-2017,,IfcSwitchingDevice,CONTACTOR,,,,,,KSI060000474
,,QAB,,автоматический выключатель,"электрический объект управления, воздействующий механическим путем в нормальных и ненормальных условиях эксплуатации
-
Контактное коммутационное устройство, способное включать, проводить и отключать электрические токи при нормальных условиях электрической цепи, а также включать, проводить в течение установленного времени и отключать электрические токи при определенных анормальных условиях электрической цепи, таких как короткое замыкание.","ГОСТ IEC 60947-1-2017
",,IfcProtectiveDevice, ,62.1.01,ЭЛ 40 50 20 20,,,,KSI060000475
,,QAC,,электронный выключатель электропитания,"электрический объект управления, воздействующий электронным способом",,,IfcSwitchingDevice , ,,ЭЛ 40 50 20 20,,,,KSI060000476
,,,QAC010,реклоузер (автоматический пункт секционирования),,,,,,,,,,,KSI060001178
,,,QAC020,дистанционно управляемый автоматический выключатель,"Коммутационное устройство в форм-факторе для монтажа на DIN-рейку, позволяющее включать, проводить и отключать токи при нормальных условиях в цепи, а также включать, проводить в течение нормированного времени и отключать токи при нормированных ненормальных условиях в цепи, таких как короткое замыкание",ГОСТ Р 71870-2024,,,,,,,,,KSI060001316
,,,QAC030,реле,Устройство управления (включение/выключение) одной или более линиями электропитания,ГОСТ Р 71870-2024,,,,,,,,,KSI060001317
,,,QAC040,Ethernet реле,"Реле электрическое, управляемое через сеть Ethernet или посредством дискретных входов",ГОСТ Р 71870-2024,,,,,,,,,KSI060001318
,,QAD,,вводно-распределительное устройство,"устройства, предназначенные для приема, учета и распределения электрической энергии в электроустановках жилых и общественных зданий, а также для защиты отходящих от ВРУ распределительных и групповых цепей при перегрузках и коротких замыканиях","ГОСТ 32396-2021
",,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,,ЭЛ 40 50 65 06,,,,KSI060000477
,,QAE,,распределительный щит,"распределительный щит, через который снабжается электроэнергией все здание или его обособленная часть",СП 256.1325800.2016,,IfcElectricDistributionBoard,DISTRIBUTIONBOARD," 89.1.62.01-0480
 89.1.62.01-0481
 89.1.62.01-0482
 89.1.62.01-0483
 89.1.62.01-0484
 89.1.62.01-0485
 89.1.62.01-0486
 89.1.62.01-0487
 89.1.62.01-0488
 89.1.62.01-0489
 89.1.62.01-0490
 89.1.62.01-0491
 89.1.62.01-0492
 89.1.62.01-0493
",ЭЛ 40 50 65 02,,,,KSI060000478
,,,QAE010,щит собственных нужд,,ОСТ 36.13-90,,,,,,,,,KSI060001228
,,QAF,,распределительный пункт,"Устройство, в котором установлены аппараты защиты и коммутационные аппараты (или только аппараты защиты) для отдельных электроприемников или их групп (электродвигателей, групповых щитков).","Приказ Минэнерго РФ от 20.06.2003
Правила устройства электроустановок (ПУЭ)",,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,,,,,,KSI060000851
,,QAG,,щит управления,,СП 90.13330.2012,,,,,,,,,KSI060000923
,,,QAG010,блочный щит управления,,СП 90.13330.2012,,,,,,,,,KSI060000924
,,,QAG020,групповой щит управления,,СП 90.13330.2012,,,,,,,,,KSI060000925
,,,QAG030,щит управления электростанции (подстанции),,СТО Газпром 2-2.3-141-2007,,,,,,,,,KSI060001229
,,QAH,,пульт управления и контроля,,ОСТ 36.13-90,,,,,,,,,KSI060001165
,,,QAH010,пульт резервного управления,,ОСТ 36.13-90,,,,,,,,,KSI060001166
,,,QAH020,пульт экстренного останова,,ОСТ 36.13-90,,,,,,,,,KSI060001167
,,QAJ,,распределительное устройство,,,,,,,,,,,KSI060001169
,,,QAJ010,распределительное устройство среднего напряжения,,,,,,,,,,,KSI060001170
,,,QAJ020,распределительное устройство высокого напряжения,,,,,,,,,,,KSI060001171
,,,QAJ030,низковольтное распределительное устройство,,,,,,,,,,,KSI060001172
,,,QAJ040,комплектное распределительное устройство,,,,,,,,,,,KSI060001173
,QB,,,объект разрыва электрической цепи,"объект управления, действующий путем разрыва электрических цепей",ISO 81346-2:2019,Вид назначения,,,,,,,,KSI060000479
,,QBA,,разъединитель без предохранителя,"объект разделения электрической цепи путем механической изоляции вышестоящей цепи от нижестоящей цепи
-
Контактный коммутационный аппарат, в разомкнутом положении соответствующий требованиям к функции разъединения.","ГОСТ IEC 60947-1-2017
",,IfcProtectiveDevice,CIRCUITBREAKER,,ЭЛ 40 50 20 20,,,,KSI060000480
,,QBB,,предохранитель-разъединитель,"объект разделения электрической цепи путем механической изоляции
вышестоящей цепи от нижестоящей цепи со встроенным предохранителем","ГОСТ IEC 60947-3-2022
",,IfcProtectiveDevice,FUSEDISCONNECTOR,,ЭЛ 40 50 20 20,,,,KSI060000481
,,QBC,,выключатель," Устройство, предназначенное для включения или отключения тока одной или нескольких электрических цепей",ГОСТ IEC 60884-2-3-2017,,,,,,,,,KSI060001036
,,, QBC010,выключатель путевой,,,,,,,,,,,KSI060001037
,QC,,,объект электрического заземления,объект управления действующий путем заземления электрических цепей,ISO 81346-2:2019,Вид назначения,,,,,,,,KSI060000482
,,QCA,,заземлитель,"объект электрического заземления, соединяющий электрические цепи c землей
-
Проводящая часть или совокупность электрически соединенных между собой проводящих частей, находящихся в электрическом контакте с локальной землей непосредственно или через промежуточную проводящую среду.", ГОСТ Р 58698-2019  ,,IfcProtectiveDevice, ,,ЭЛ 40 50 80 04,,,,KSI060000483
,,QCB,,молниеприемник,"Часть внешней системы молниезащиты, в которой используются такие металлические элементы, как стержни, проводники молниеприемной сетки или подвесные тросы, предназначенные для перехвата молнии","ГОСТ Р 57190-2016
ГОСТ Р МЭК 62561.2-2014
ГОСТ Р 58344-2019",,IfcProtectiveDevice , ,20.1.02.16,ЭЛ 40 50 80 06,,,,KSI060000484
,QM,,,объект для переключения потока среды,объект управления путем переключения потока среды в герметичном корпусе,ISO 81346-2:2019,Вид жидкостей,,,,,,,,KSI060000485
,,QMA,,жидкостный запорный клапан,"объект для переключения потока жидкости в герметичном корпусе
-
Управляемый вручную двухходовой клапан, который пропускает или перекрывает поток жидкости","ГОСТ Р 53780-2010
",,IfcValve,STOPCOCK,,"ЭЛ 40 15 30 25
ЭЛ 40 15 30 20
ЭЛ 40 15 30 21
ЭЛ 40 50 27 09",,,,KSI060000486
,,QMB,,газовый запорный клапан,объект для переключения потока газа в герметичном корпусе,Большая строительная энциклопедия stroi.gov.ru,,IfcValve,STOPCOCK,,"ЭЛ 40 15 20 20
ЭЛ 40 15 30 25
ЭЛ 40 50 29 13",,,,KSI060000487
,,QMC,,трубопроводная арматура,"техническое устройство, устанавливаемое на трубопроводах, оборудовании и емкостях, предназначенное для управления потоком рабочей среды путем изменения проходного сечения
Примечания
1. Под управлением понимается перекрытие, открытие, регулирование, распределение, смешивание, разделение.
2. Примеры видов арматуры: запорная арматура, регулирующая арматура, предохранительная арматура, обратная арматура, разделительная арматура и др.
3. Примеры типов арматуры: задвижка, кран, клапан, затвор дисковый",ГОСТ 24856-2014,,IfcValve,,18.1,ЭЛ 40 15 30,,,,KSI060000900
,,,QMC010,регулирующая арматура,,СП 90.13330.2012,,,,,,,,,KSI060000943
,,,QMC020,арматура защитная,,ГОСТ 24856-2014,,,,,,,,,KSI060001000
,,,QMC030,запорная арматура,"арматура, предназначенная для перекрытия потока рабочей среды с определенной герметичностью",ГОСТ 24856-2014,,,,,,,,,KSI060001001
,,,QMC040,предохранительная арматура,"арматура, предназначенная для автоматической защиты оборудования и трубопроводов от недопустимого превышения давления посредством сброса избытка рабочей среды",ГОСТ 24856-2014,,,,,,,,,KSI060001002
,,,QMC050,обратная арматура,"арматура, предназначенная для автоматического предотвращения обратного потока рабочей среды",ГОСТ 24856-2014,,,,,,,,,KSI060001003
,,,QMC060,разделительная арматура,"арматура, предназначенная для разделения рабочих сред, находящихся в различных фазовых состояниях, или с различной плотностью",ГОСТ 24856-2014,,,,,,,,,KSI060001004
,,,QMC070,задвижка,"тип арматуры, у которой запирающий или регулирующий элемент перемещается перпендикулярно к оси потока рабочей среды",ГОСТ 24856-2014,,,,,,,,,KSI060001060
,,,QMC080,клиновая задвижка,"задвижка, у которой уплотнительные поверхности затвора расположены под углом друг к другу, а запирающий или регулирующий элемент выполнен в форме клина",ГОСТ 24856-2014,,,,,,,,,KSI060001061
,,,QMC090,шиберная задвижка,"параллельная задвижка, у которой запирающий элемент выполнен в виде пластины",ГОСТ 24856-2014,,,,,,,,,KSI060001062
,,,QMC100,шланговая задвижка,"задвижка, у которой перекрытие или регулирование потока рабочей среды осуществляется пережатием эластичного шланга",ГОСТ 24856-2014,,,,,,,,,KSI060001063
,,,QMC110,клапан осевой,,ГОСТ 24856-2014,,,,,,,,,KSI060001097
,,,QMC120,клапан отсечной,,ГОСТ 24856-2014,,,,,,,,,KSI060001098
,,,QMC130,клапан пробковый,,ГОСТ 24856-2014,,,,,,,,,KSI060001099
,,,QMC140,клапан сегментный,,ГОСТ 12893-2005,,,,,,,,,KSI060001100
,,,QMC150,клапан скребка,,ГОСТ 24856-2014,,,,,,,,,KSI060001101
,,,QMC160,клапан сферический,,ГОСТ 24856-2014,,,,,,,,,KSI060001102
,,,QMC170,клапан терморегулятора,,ГОСТ 24856-2014,,,,,,,,,KSI060001103
,,,QMC180,клапан трехходовой,,ГОСТ 24856-2014,,,,,,,,,KSI060001104
,,,QMC190,клапан угловой,,ГОСТ 24856-2014,,,,,,,,,KSI060001105
,,,QMC200,клапан электромагнитный,,ГОСТ 24856-2014,,,,,,,,,KSI060001106
,,,QMC210,конденсатоотводчик,"арматура, удаляющая конденсат и не пропускающая или ограниченно пропускающая водяной пар",ГОСТ 24856-2014,,,,,,,,,KSI060001110
,,,QMC220,Кран,,ГОСТ 24856-2014,,,,,,,,,KSI060001120
,,,QMC230,Кран водоразборный,,ГОСТ 24856-2014,,,,,,,,,KSI060001121
,,,QMC240,устройство стационарное отсечное,,,,,,,,,,,KSI060001215
,,,QMC250,"поворотная заглушка (обтюратор, очковая заглушка)","Деталь трубопровода, предназначенная для периодического перекрывания потока среды, транспортируемой трубопроводом, и состоящая из двух частей - глухой и фланцевой с кольцевым отверстием",ГОСТ 34563-2019,,,,,,,,,KSI060001220
,,,QMC260,кран шаровый с электроприводом,,,,,,,,,,,KSI060001320
,QN,,,объект для изменения потока среды,объект управления путем изменения потока среды в герметичном корпусе,ISO 81346-2:2019,Вид жидкостей,,,,,,,,KSI060000488
,,QNA,,клапан управления потоком жидкости,объект для изменения потока жидкости в герметичном корпусе,Большая строительная энциклопедия stroi.gov.ru,,"IfcValve, IfcFireSuppressionTerminal ",,,"ЭЛ 40 15 30 25
ЭЛ 40 50 27 01",,,,KSI060000489
,,,QNA010,электрический клапан,"Устройство, основным функционалом которого является перекрытие водоснабжения (ХВС или ГВС) или газа",ГОСТ Р 71870-2024,,,,,,,,,KSI060001321
,,QNB,,клапан управления потоком газа или воздуха,объект для изменения потока газа в герметичном корпусе,Большая строительная энциклопедия stroi.gov.ru,,IfcValve,,,"ЭЛ 40 15 30 25
",,,,KSI060000490
,,QNC,,воздухораспределительное устройство,"устройство, предназначенное для формирования и подачи приточной струи воздуха с целью обеспечения требуемых параметров воздушной среды в обслуживаемом помещении или в рабочей зоне",ГОСТ 32548-2023 ,,,,,,,,,KSI060001249
,QP,,,объект управления в открытой среде,объект управления жидкостями в открытой среде,ISO 81346-2:2019,Вид жидкостей,,,,,,,,KSI060000491
,,QPA,,ворота шлюза,объект управления жидкостями в открытой среде путем изменения или переключения потока,,,IfcDoor,GATE,,"ЭЛ 40 15 30 15
ЭЛ 50 20 20 50",,,,KSI060000492
,,,QPA010,затвор щитовой,,ГОСТ Р 70214-2022,,,,,,,,,KSI060001068
,,QPB,,пассивное устройство направления потока жидкости,объект управления жидкостями в открытой среде путем направления потока фиксированными средствами,,,,,,,,,,KSI060000493
,,QPC,,активное устройство направления потока жидкости,объект управления жидкостями в открытой среде путем направления потока переменными средствами,,,,,,"ЭЛ 50 20 20 40
ЭЛ 50 20 20 50",,,,KSI060000494
,QQ,,,объект доступа к пространству,"объект, обеспечивающий доступ к пространству",ISO 81346-2:2019,Вид назначения объекта доступа к пространству,,,,,,,,KSI060000495
,,QQA,,окно,"объект доступа к пространству только для света
-
Сооружение, закрывающее вертикальный или наклонный проем в стене или скатной крыше, пропускающее свет и допускающее вентиляцию","ГОСТ Р ИСО 6707-1-2020
",,IfcWindow,WINDOW,,"ЭЛ 20 30 24
ЭЛ 30 18 40",,,,KSI060000496
,,QQB,,витраж,"объект доступа к пространству для света и людей
-
Изделие, состоящее из разнообразных по форме, цвету, прозрачности, способу изготовления пластин стекла, закрепленных в каркасе из тонких металлических или полимерных профилей.","ГОСТ 32539-2013
",,IfcWindow,WINDOW,,ЭЛ 30 10 10,,,,KSI060000497
,,QQC,,дверь,"объект доступа к пространству для прохода в вертикальном положении человека
-
Сооружение, закрывающее проем, предназначенное главным образом для входа и/или выхода","ГОСТ Р ИСО 6707-1-2020
",,IfcDoor,DOOR,,ЭЛ 30 18 30,,,,KSI060000498
,,QQD,,люк,"объект доступа к пространству ограниченного размера для прохода людей и товаров
-
Проем, обеспечивающий ограниченный доступ","ГОСТ Р ИСО 6707-1-2020
",,IfcDoor,TRAPDOOR,,"ЭЛ 30 18 50
ЭЛ 30 18 50 10
ЭЛ 30 18 50 20",,,,KSI060000499
,,QQE,,ворота,"объект доступа к пространству расширенного размера для передачи объектов
-
Дверь, габариты которой позволяют обеспечить пропуск автотранспорта, предназначенная для открывания и закрывания проезда ","ГОСТ Р 51242-98
",,IfcDoor,GATE,,ЭЛ 30 18 20,,,,KSI060000500
,,QQF,,гейт,объект частичного доступа к пространству,,,IfcDoor,GATE,,,,,,KSI060000501
,,QQG,,остекление панорамное,"Светопрозрачные конструкции с общей габаритной высотой, равной высоте помещения в чистоте, и общей габаритной шириной, равной ширине помещения, включая выступающие несущие конструкции здания: пилоны, балки или ригели под потолком или над полом",СП 54.13330.2022,,IfcWindow,WINDOW,,,,,,KSI060000843
,,QQH,,фонарь здания,"Фрагмент светопропускающего покрытия, установленный над проемом в кровле на возвышающемся основании, и служащий для освещения помещений естественным светом.

Может использоваться для аэрации, в том числе для вытяжной противодымной вентиляции","СП 363.1325800.2017 
СП 56.13330.2021
",,IfcWindow ,LIGHTDOME,,ЭЛ 30 18 52,,,,KSI060000886
,,QQJ,,откос проема,"Внутренняя сторона боковой и верхней части проема
",ГОСТ Р ИСО 6707-1-2020,,IfcCovering, ,,,,Определение синтезировано,,KSI060000844
,,QQK,,легкосбрасываеме оконное остекление,,СП 90.13330.2012,,,,,,,,,KSI060000935
,,QQL,,оконный переплет,,СП 90.13330.2012,,,,,,,,,KSI060000936
,,QQM,,фрамуга,,СП 90.13330.2012,,,,,,,,,KSI060000937
,QR,,,объект для изменения потока твердого вещества,объект управления потоком твердого вещества,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000502
,,QRA,,поворотный воздушный запорный клапан,объект для изменения потока твердого вещества c вращающимися камерами,Большая строительная энциклопедия stroi.gov.ru,,IfcDamper, ,,ЭЛ 40 20 40 14,,,,KSI060000503
,,QRB,,ирисовый клапан,объект для изменения потока твердого вещества с диафрагменным отверстием,Большая строительная энциклопедия stroi.gov.ru,,IfcDamper, ,,ЭЛ 40 15 30 25,,,,KSI060000504
,,QRC,,лепестковый затвор,объект для изменения потока твердого вещества c откидной заслонкой или диском,Большая строительная энциклопедия stroi.gov.ru,,IfcDamper, ,,ЭЛ 40 20 40 26,,,,KSI060000505
,QS,,,объект управления механическим движением,объект управления механическим движением,ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000506
,,QSA,,замок,объект управления механическим движением путем блокировки,Большая строительная энциклопедия stroi.gov.ru,,"IfcActuator, IfcFurniture ",,,ЭЛ 40 60 20 50,,,,KSI060000507
,,,QSA010,умный замок,,ГОСТ Р 71870-2024,,,,,,,,,KSI060001322
,,,QSA020,электронно-механический замок,"Замок с электронным блоком контроля и управления, выполняющий функцию запирания с помощью механического и/или электротехнического устройства",ГОСТ Р 71199-2023,,,,,,,,,KSI060001323
,,QSB,,стрелочный перевод,объект управления механическим движением путем переключения между различными путями,Большая строительная энциклопедия stroi.gov.ru,,IfcElementAssembly,TURNOUTPANEL,,ЭЛ 60 20 03,,,,KSI060000508
,QZ,,,многоцелевой объект управления,объект управления в электрических цепях при использовании различных мер,ISO 81346-2:2019,Вид назначения,,,,,,,,KSI060000509
,,QZA,,заземляющий и разъединяющий переключатель,многоцелевой объект управления для заземления или разделения электрической цепи,,,IfcSwitchingDevice ,EARTHINGSWITCH,,ЭЛ 40 50 20 22,,,,KSI060000510
,,QZB,,электропневматический узел управления,,,,,,,,,,,KSI060001077
R_,,,,ограничивающий объект,объект для ограничения или стабилизации,ISO 81346-2:2019,Вид текущего объекта и вид ограничения,,,,,,,,KSI060000511
,RA,,,объект для ограничения электричества,"объект, ограничивающий поток электрической энергии",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000512
,,RAA,,диод,"объект, ограничивающий электроэнергию, блокируя ток в одном направлении
-
Двухэлектродный прибор, имеющий существенно нелинейную вольт-амперную характеристику в области, близкой к началу координат ",СТО 70238424.27.010.001-2008,,,,,,,,,KSI060000513
,,RAB,,электрический дроссель,"объект, ограничивающий электроэнергию путем обеспечения индуктивности в цепи",,,,,,,,,,KSI060000514
,,RAC,,резистор,"объект, ограничивающий электроэнергию путем обеспечения сопротивления в цепи
-
Элемент электрической цепи, предназначенный для использования его электрического сопротивления",ГОСТ Р 52002-2003,,,,,,,,,KSI060000515
,,RAD,,устройство плавного пуска (УПП),,,,,,,,,,,KSI060001213
,,RAE,,дроссель-трансформатор,"индуктивная катушка из двух полуобмоток значительного реактивного и малого активного сопротивления, включаемая в тяговую рельсовую сеть на электрифицированных участках для пропуска обратного тягового тока в обход изолирующих стыков; одновременно является трансформатором рельсовой цепи (питающим или релейным)","Инструкция по заземлению устройств электроснабжения на электрифицированных железных дорогах
(утв. МПС РФ 10.06.1993 N ЦЭ-191)",,,,,,,,,KSI060001255
,,RAF,,диммер,"Устройство для изменения яркости подключенных диммируемых, подходящих по электрическим характеристикам, осветительных приборов
изменение яркости подключенных диммируемых подходящих по электрическим характеристикам осветительных приборов",ГОСТ Р 71870-2024,,,,,,,,,KSI060001319
,RB,,,объект для стабилизации электричества,"объект, осуществляющий ограничение путем стабилизации потока электрической энергии",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000516
,,RBA,,источник бесперебойного питания,"объект, стабилизирующий электричество, обеспечивая непрерывное энергоснабжение
-
Сочетание преобразователей, переключателей и устройств хранения электроэнергии (например, аккумуляторных батарей), образующее систему электропитания для поддержания непрерывности питания нагрузки в случае отказа источника энергоснабжения.",ГОСТ Р МЭК 62040-1-2-2009,,IfcElectricFlowStorageDevice,UPS,,ЭЛ 40 50 70 05,,,,KSI060000517
,,RBB,,сетевой фильтр,"объект, стабилизирующий электричество путем подавления определенного диапазона частот в потоке",,,IfcElectricFlowTreatmentDevice,ELECTRONICFILTER,,,,,,KSI060000518
,,RBC,,фазовый компенсатор,"объект, стабилизирующий электричество, обеспечивая реактивную мощность
-
Машина, которая выдает реактивную мощность на вторичную обмотку асинхронного двигателя с фазным ротором для улучшения его коэффициента мощности",СТО 70238424.27.010.001-2008,,IfcElectricFlowStorageDevice,COMPENSATOR,,ЭЛ 40 50 70 02,,,,KSI060000519
,,RBD,,устройство для выравнивания мощности,"объект, стабилизирующий электричество, подавляя или усиливая несколько диапазонов частот в потоке",,,,,,,,,,KSI060000520
,RF,,,объект для стабилизации сигнала,"объект, осуществляющий ограничение путем стабилизации сигнала",ISO 81346-2:2019,Вид метода,,,,,,,,KSI060000521
,,RFA,,устройство для выравнивания сигналов,"объект, стабилизирующий сигнал, подавляя или усиливая несколько диапазонов частот сигнала",,,,,,,,,,KSI060000522
,,RFB,,фильтр сигнала,"объект, стабилизирующий сигнал путем подавления определенного диапазона частот сигнала",,,,,,,,,,KSI060000523
,RL,,,объект для ограничения движения,"объект, осуществляющий ограничение движений",ISO 81346-2:2019,"Назначение
механического ограничивающего объекта",,,,,,,,KSI060000524
,,RLA,,охранная цепь,"объект, ограничивающий движение путем непосредственно ограничения",,,,,,,,,,KSI060000525
,,RLB,,амортизатор,"объект, ограничивающий движение путем успокоения и торможения движений объекта",,,"IfcPipeSegment, IfcVibrationIsolator",,,,,,,KSI060000526
,,RLC,,тормоз,"объект, ограничивающий движение путем уменьшения скорости или остановки другого объекта",,,,,,,,,,KSI060000527
,,RLD,,ограничитель скорости,"объект, ограничивающий движение путем предотвращения высокой скорости другого объекта",,,IfcRailing ,,,ЭЛ 70 70 06,,,,KSI060000528
,,RLE,,тормозной башмак,,,,IfcTrackElement,DERAILER,,,,,,KSI060000529
,,RLF,,бортик,"Элементы конструкции пандуса или лестницы, располагаемые вдоль прохожей части пандуса или лестничного марша, препятствующие смещению ноги человека или колес технического средства (кресло-коляска, роллатор, детская коляска и пр.) за габариты прохожей части",СП 59.13330.2020,,IfcRailing ,,,,,,,KSI060000838
,RM,,,"объект, ограничивающий обратный поток","объект, осуществляющий ограничение обратного потока материи",ISO 81346-2:2019,Вид возможного обратного потока,,,,,,,,KSI060000530
,,RMA,,обратный клапан,"объект, ограничивающий обратный поток жидкостей
-
Клапан, предназначенный для автоматического предотвращения обратного потока рабочей среды.","ГОСТ 31901-2013
",,IfcValve,CHECK,,"ЭЛ 40 15 30 30
ЭЛ 40 20 40 25",,,,KSI060000531
,,,RMA010,клапан обратный вентиляционный,,,,,,,,,,,KSI060001096
,,RMB,,газовая заслонка,"объект, ограничивающий обратный поток газа",,,IfcValve,GASCOCK,,ЭЛ 40 20 40 14,,,,KSI060000532
,,RMC,,заслонка,"объект, ограничивающий обратный поток твердых веществ",,,IfcDamper,BACKDRAFTDAMPER,,,,,,KSI060000533
,,RMD,,уловитель запаха,"объект, ограничивающий обратный поток запаха",,,IfcFilter,ODORFILTER,,,,,,KSI060000534
,,RME,,заслонка воздушная,,,,IfcDamper,,,,,,,KSI060001066
,,,RME010,заслонка вентиляционная,,,,IfcDamper,,,,,,,KSI060001067
