Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,,BGJ010,датчик разбития стекла,Устройство для механического и (или) акустического обнаружения разбития стекла,ГОСТ Р 71870-2024,,IfcSensor,,,,,,,KSI060001285
,,,BGJ020,сейсмический датчик,Устройство для обнаружения сейсмических колебаний,ГОСТ Р 71199-2023 ,,IfcSensor,,,,,,,KSI060001286
,,BGK,,индикатор внутренней коррозии,,Методические рекомендации по техническому освидетельствованию трубопроводов тепловых сетей систем коммунального теплоснабжения (утв. Госстроем РФ 12.08.2003),,,,,,,,,KSI060001076
,BH_,,,объект для измерения энергии,объект для измерения энергии,ISO 81346-2:2019,Вид энергии,,,,,,,,KSI060000034
,,BHA,,датчик расхода энергии,объект для измерения энергии потока с заданной плотностью энергии,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,"ЭЛ 40 50 20 60
ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000035
,,BHB,,тепловой датчик,объект для измерения энергии теплового потока с заданной теплоемкостью,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000036
,,BHC,,датчик электроэнергии,объект для измерения энергии электрического потока,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000037
,BJ_,,,объект для измерения мощности,объект для измерения мощности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000038
,,BJA,,датчик мощности,объект для измерения мощности (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcFlowInstrument,POWERFACTORMETER,,"ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000039
,,BJB,,реле мощности,"объект индикации наличия мощности 
-
Измерительное реле с более чем одной входной возбуждающей величиной, например электрический ток и напряжения, которое по своей конструкции предназначено реагировать только на мощность",ГОСТ IEC 60050-447-2014,,IfcSensor, ,,,,,,KSI060000040
,BK_,,,объект для измерения времени,объект для измерения времени,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000041
,,BKA,,таймер,"объект для измерения времени (скалярное значение)
-
Управляющее устройство с отсчетом времени, которое требует ручного запуска для начала следующего цикла.",ГОСТ IEC 60730-1-2011,,IfcElectricTimeControl,TIMEDELAY,,,,,,KSI060000042
,,BKB,,реле времени,"объект индикации изменения времени
-
Управляющее устройство с отсчетом времени, которое начинает следующий цикл после завершения предыдущего.","ГОСТ IEC 60730-1-2011
",,IfcElectricTimeControl,RELAY," 89.1.62.01-0778
89.1.62.01-0779
 89.1.62.01-0780
 89.1.62.01-0781
 89.1.62.01-0782
 89.1.62.01-0783
 89.1.62.01-0784
 89.1.62.01-0785
 89.1.62.01-0786
 89.1.62.01-0787
 89.1.62.01-0788
 89.1.62.01-0789
 89.1.62.01-0790
 89.1.62.01-0791
 89.1.62.01-0792
 89.1.62.01-0793
 89.1.62.01-0794
 89.1.62.01-0795
 89.1.62.01-0796
 89.1.62.01-0797
 89.1.62.01-0798
 89.1.62.01-0799
 89.1.62.01-0800
 89.1.62.01-0801
 89.1.62.01-0802
 89.1.62.01-0803
 89.1.62.01-0804
 89.1.62.01-0805
 89.1.62.01-0806
 89.1.62.01-0807
 89.1.62.01-0808
 89.1.62.01-0809
 89.1.62.01-0810
 89.1.62.01-0811
 89.1.62.01-0812
",ЭЛ 40 55 20 14,,,,KSI060000043
,BL_,,,объект для измерения уровня,объект для измерения уровня,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000044
,,BLA,,датчик уровня,объект для измерения уровня (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,LEVELSENSOR,ЭЛ 40 55 20 10,ЭЛ 40 55 20 10,,,,KSI060000045
,,BLB,,индикатор уровня,объект индикации изменения уровня,,,IfcSensor,LEVELSENSOR,ЭЛ 40 55 20 25,,,,,KSI060000046
,BM_,,,объект для измерения влажности,объект для измерения влажности,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000047
,,BMA,,датчик влажности,"объект для измерения влажности (скалярное значение)
-
Первичный измерительный преобразователь величин влажности в другие физические величины для удобства измерения, например в электрические величины",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,HUMIDITYSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000048
,,BMB,,реле влажности,объект индикации наличия влажности,,,IfcSensor,MOISTURESENSOR,,ЭЛ 40 55 20 10,,,,KSI060000049
,BP_,,,объект для измерения давления,объект для измерения давления,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000050
,,BPA,,датчик абсолютного давления,"объект для измерения давления, использующий один порт для измерения абсолютного давления (скалярное значение)
-
Датчик абсолютного давления измеряет давление относительно абсолютного вакуума (нулевого давления).",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,PRESSURESENSOR,,"ЭЛ 40 55 20 13
ЭЛ 40 55 20 10",,,,KSI060000051
,,BPB,,реле абсолютного давления,объект индикации наличия абсолютного давления,,,IfcSensor,PRESSURESENSOR,,,,,,KSI060000052
,,BPC,,датчик относительного давления,"объект для измерения давления, использующий два порта для измерения перепада давления (скалярное значение)",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,PRESSURESENSOR,,"ЭЛ 40 55 20 13
ЭЛ 40 55 20 10",,,,KSI060000053
,,BPD,,реле относительного давления,"объект индикации наличия относительного давления, использующий два порта для измерения перепада давления",,,IfcSensor,PRESSURESENSOR,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000054
,BQ_,,,объект для измерения концентрации веществ,объект для измерения концентрации вещества,ISO 81346-2:2019,Вид объекта и вид выходного сигнала,,,,,,,,KSI060000055
,,BQA,,датчик газа,объект для измерения концентрации газа (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,COSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000056
,,,BQA010,газоанализатор,,"ГОСТ Р 52350.29.1-2010
ГОСТ 13320-81",,IfcSensor,,,,,,,KSI060001038
,,,BQA020,датчик качества воздуха,"Устройство для измерения параметров воздуха: уровень CO2, концентрация или наличие примесей, концентрация пыли",ГОСТ Р 71870-2024,,IfcSensor,,,,,,,KSI060001287
,,BQB,,детектор газа,объект индикации определенной концентрации газа,,,IfcSensor,GASSENSOR,,ЭЛ 40 55 20 17,,,,KSI060000057
,,,BQB010,датчик утечки газа,Устройство для обнаружения утечки газа в помещении,ГОСТ Р 71870-2024,,IfcSensor,,,,,,,KSI060001288
,,BQC,,датчик жидкости,объект для измерения концентрации жидкости (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,FLOWSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000058
,,BQD,,детектор жидкости,объект индикации концентрации жидкости,,,IfcSensor,FLOWSENSOR,,ЭЛ 40 55 20 17,,,,KSI060000059
,,,BQD010,датчик протечки,"Устройство для обнаружения наличия воды, протечки воды",ГОСТ Р 71870-2024,,IfcSensor,,,,,,,KSI060001289
,,,BQD020,датчик дождя,"Устройство для обнаружения попадания влаги (воды, пара или других жидкостей) на датчик",ГОСТ Р 71199-2023,,IfcSensor,,,,,,,KSI060001290
,,BQE,,датчик твердых веществ,объект для измерения концентрации твердых веществ (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000060
,,,BQE010,датчик обледенения,"Устройство для измерения степени обледенения на поверхностях различных предметов, зданий и т.д.",ГОСТ Р 71199-2023 ,,IfcSensor,,,,,,,KSI060001291
,,,BQE020,датчик засора,Устройство для определения засоренности интересуемого объекта выше допустимого предела,ГОСТ Р 71199-2023 ,,IfcSensor,,,,,,,KSI060001292
,,BQF,,детектор твердых веществ,объект индикации наличия определенной концентрации твердых веществ,,,IfcSensor, ,,ЭЛ 40 55 20 17,,,,KSI060000061
,BR_,,,объект для измерения излучения,объект для измерения излучения,ISO 81346-2:2019,Вид излучения и вид выходного сигнала,,,,,,,,KSI060000062
,,BRA,,датчик света,объект для измерения излучения видимых электромагнитных волн (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,LIGHTSENSOR,,ЭЛ 40 55 20 10,,,,KSI060000063
,,,BRA010,датчик спектра,Датчик для измерения спектрального характера видимой части спектра электромагнитных волн на поверхности сенсора или области пространства,ГОСТ Р 71199-2023 ,,IfcSensor,,,,,,,KSI060001293
,,BRB,,фотореле,объект индикации наличия определенной степени излучения видимых электромагнитных волн,,,IfcSensor, ,"89.1.62.01-0882
89.1.62.01-0882
89.1.62.01-0883
89.1.62.01-0884
89.1.62.01-0885
89.1.62.01-0886
89.1.62.01-0887
89.1.62.01-0888
89.1.62.01-0889
89.1.62.01-0890
","ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000064
,,BRC,,датчик электромагнитных волн,объект для измерения излучения невидимых электромагнитных волн (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000065
