Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,BAG,,,Дробильщик,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000456
,,BAH,,,Оборщик горных выработок,,Приказ Минтруда России от 17.04.2025 N 257н,,,,,,KSI190000457
,,BAJ,,,Проходчик,,Приказ Минтруда России от 30.01.2023 N 54н,,,,,,KSI190000458
,,BAK,,,Проходчик подземный,,Приказ Минтруда России от 15.06.2020 N 340н,,,,,,KSI190000459
,BB,,,,Рабочий по производству и укладке бетонных смесей и растворов,,,По специализации,,,,,KSI190000105
,,BBA,,,Бетонщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100663,,,,KSI190000106
,,BBB,,,Цементатор,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105314,,,,KSI190000107
,,BBC,,,Известегасильщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101294,,,,KSI190000108
,BC,,,,Рабочий по устройству каменных конструкций,,,По специализации,,,,,KSI190000109
,,BCA,,,Каменщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101523,,,,KSI190000110
,,BCB,,,Печник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103714,,,,KSI190000111
,BD,,,,Рабочий управляющий машинами и механизмами,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,,,KSI190000112
,,BDA,,,Копровщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101794,,,,KSI190000113
,,BDB,,,Бункеровщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100722,,,,KSI190000114
,,BDC,,,Лебедчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101981,,,,KSI190000115
,,BDD,,,Водитель,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100817,,,,KSI190000116
,,,,BDD010,Водитель вездехода,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100824,,,,KSI190000117
,,,,BDD020,Водитель погрузчика,,Приказ Росстандарта от 16.05.2025 N 423-ст,,100830,,,,KSI190000118
,,BDE,,,Машинист,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По виду машины,,,,,KSI190000119
,,,BDEA,,Машинист землеройной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102178,,,,KSI190000120
,,,,BDEA010,Машинист экскаватора,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102521,,,,KSI190000121
,,,,BDEA020,Машинист дренажной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102165,,,,KSI190000122
,,,,BDEA030,Машинист землеройно-фрезерной самоходной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102178,,,,KSI190000123
,,,,BDEA040,Машинист автогрейдера,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102067,,,,KSI190000124
,,,,BDEA050,Машинист автоямобура,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102078,,,,KSI190000125
,,,,BDEA060,Машинист бульдозера,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102103,,,,KSI190000126
,,,,BDEA070,Машинист гидромониторно-эжекторного плавучего несамоходного снаряда,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102141,,,,KSI190000127
,,,,BDEA080,Машинист грейдера прицепного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102150,,,,KSI190000128
,,,,BDEA090,Машинист грейдер-элеватора,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102151,,,,KSI190000129
,,,,BDEA100,Машинист землесосного плавучего несамоходного снаряда,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102179,,,,KSI190000130
,,,,BDEA110,Машинист скрепера,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102417,,,,KSI190000131
,,,BDEB,,Машинист машины для устройства свайного фундамента,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000132
,,,,BDEB010,Машинист вибровдавливающего погружателя свай самоходного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102121,,,,KSI190000133
,,,,BDEB020,Машинист вибропогружателя бескопрового,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102122,,,,KSI190000134
,,,,BDEB030,Машинист копра,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102208,,,,KSI190000135
,,,,BDEB040,Машинист дизель-молота бескопрового,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102158,,,,KSI190000136
,,,BDEC,,Машинист подъемной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102343,,,,KSI190000137
,,,,BDEC010,Машинист автовышки и автогидроподъемника,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102066,,,,KSI190000138
,,,,BDEC020,Машинист крана автомобильного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102213,,,,KSI190000139
,,,,BDEC030,Машинист подъемника строительного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102342,,,,KSI190000140
,,,,BDEC040,Машинист крана (крановщик),,Приказ Росстандарта от 16.05.2025 N 423-ст,,102211,,,,KSI190000141
,,,,BDEC050,Машинист подъемно-передвижных подмостей,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102344,,,,KSI190000142
,,,BDED,,Машинист машины по производству и укладке бетонной смеси,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000143
,,,,BDED010,Машинист автобетононасоса,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102065,,,,KSI190000144
,,,,BDED020,Машинист бетоносмесителя передвижного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102093,,,,KSI190000145
,,,,BDED030,Машинист бетоноукладчика,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102094,,,,KSI190000146
,,,,BDED040,Машинист распределителя цемента аэрационного самоходного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102379,,,,KSI190000147
,,,,BDED050,Машинист распределителя цемента гравитационного прицепного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102380,,,,KSI190000148
,,,,BDED060,Машинист растворонасоса,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102381,,,,KSI190000149
,,,,BDED070,Машинист растворосмесителя передвижного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102382,,,,KSI190000150
,,,,BDED080,Машинист цемент-пушки,,"Приказ Росстандарта от 16.05.2025 N 423-ст
СП 83.13330.2016",,102271,,,,KSI190000571
,,,,BDED090,Торкретчик,,"Приказ Росстандарта от 16.05.2025 N 423-ст
СП 83.13330.2016",,102271,,,,KSI190000572
,,,BDEE,,Машинист погрузочно-разгрузочной машины,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000151
,,,,BDEE010,Машинист автомобилеразгрузчика,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102076,,,,KSI190000152
,,,,BDEE020,Машинист вагоноопрокидывателя,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102111,,,,KSI190000153
,,,,BDEE030,Машинист перегружателя,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102316,,,,KSI190000154
,,,BDEF,,Машинист машины дорожно-строительного комплекса,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000155
,,,,BDEF010,Машинист машины для укладки дорожных бордюров,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102250,,,,KSI190000156
,,,,BDEF020,Машинист машины для устройства защитных шероховатых слоев дорожных покрытий,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102251,,,,KSI190000157
,,,,BDEF030,Машинист машины для устройства укрепительных полос,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102252,,,,KSI190000158
,,,,BDEF040,Машинист машины для устройства швов при выполнении дорожных работ,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102254,,,,KSI190000159
,,,,BDEF050,Машинист маркировочной машины для разметки автомобильных дорог,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102236,,,,KSI190000160
,,,,BDEF060,Машинист уплотняющей и планировочно-уплотняющей машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102469,,,,KSI190000161
,,,,BDEF070,Машинист автогудронатора,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102068,,,,KSI190000162
,,,,BDEF080,Машинист планировщика,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000163
,,,,BDEF090,Машинист профилировщика,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102366,,,,KSI190000164
,,,,BDEF100,Машинист катков самоходных и полуприцепных на пневматических шинах,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102192,,,,KSI190000165
,,,,BDEF110,Машинист катка самоходного с гладкими вальцами,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102193,,,,KSI190000166
,,,,BDEF120,Машинист смесителя асфальтобетона передвижного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102425,,,,KSI190000167
,,,,BDEF130,Машинист укладчика асфальтобетона,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102467,,,,KSI190000168
,,,,BDEF140,Машинист фрезы дорожной,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102495,,,,KSI190000169
,,,,BDEF150,Машинист щебнераспределителя,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102517,,,,KSI190000170
,,,,BDEF160,Машинист ремиксера,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102393,,,,KSI190000171
,,,,BDEF170,Машинист ресайклера (холодного),,Приказ Росстандарта от 16.05.2025 N 423-ст,,102394,,,,KSI190000172
,,,,BDEF180,Машинист финишера,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102488,,,,KSI190000173
,,,,BDEF190,Машинист машины для нанесения пленкообразующей жидкости,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102248,,,,KSI190000174
,,,,BDEF200,Машинист автобетонолома,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102064,,,,KSI190000175
,,,,BDEF210,Машинист ледорезной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102225,,,,KSI190000176
,,,,BDEF220,Машинист заливщика швов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102176,,,,KSI190000177
,,,,BDEF230,Машинист нарезчика швов самоходного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102281,,,,KSI190000178
,,,BDEG,,Машинист машины для строительства и ремонта трубопроводов,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000179
,,,,BDEG010,Машинист машины для изоляции газонефтепродуктопроводов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102246,,,,KSI190000180
,,,,BDEG020,Машинист трубоочистительной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102461,,,,KSI190000181
,,,,BDEG030,Машинист трубоукладчика,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102462,,,,KSI190000182
,,,BDEH,,Машинист машины для общестроительных работ,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000183
,,,,BDEH010,Машинист бурильно-крановой самоходной машины,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102106,,,,KSI190000184
,,,,BDEH020,Машинист автокомпрессора,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102070,,,,KSI190000185
,,,,BDEH030,Машинист гидросеялки самоходной,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102144,,,,KSI190000186
,,,,BDEH040,Машинист электролебедки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102530,,,,KSI190000187
,,,,BDEH050,Машинист электростанции передвижной,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102533,,,,KSI190000188
,,,,BDEH060,Машинист газодувных машин,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102135,,,,KSI190000189
,,,,BDEH070,Машинист двигателей внутреннего сгорания,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102155,,,,KSI190000190
,,,,BDEH080,Машинист моечных машин,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102274,,,,KSI190000191
,,,BDEJ,,Машинист компрессора,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000192
,,,,BDEJ010,Машинист компрессора для подачи воздуха водолазам,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102201,,,,KSI190000193
,,,,BDEJ020,Машинист компрессора передвижного,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102202,,,,KSI190000194
,,,BDEK,,Машинист оборудования,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000195
,,,,BDEK010,Машинист механизированного оборудования по подъему подвижной (скользящей) опалубки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102265,,,,KSI190000196
,,,,BDEK020,Машинист механического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102268,,,,KSI190000197
,,,,BDEK030,Машинист механизированного натяжного устройства для изготовления напряженно- армированных конструкций,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102264,,,,KSI190000198
,,,,BDEK040,Машинист электрического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102524,,,,KSI190000199
,,,BDEL,,Машинист установки,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000200
,,,,BDEL010,Машинист вентиляционной и аспирационной установок,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102119,,,,KSI190000201
,,,,BDEL020,Машинист воздухоразделительной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102126,,,,KSI190000202
,,,,BDEL030,Машинист компрессорной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102203,,,,KSI190000203
,,,,BDEL040,Машинист насосной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102285,,,,KSI190000204
,,,,BDEL050,Машинист баровой установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102090,,,,KSI190000205
,,,,BDEL060,Машинист бетононасосной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102092,,,,KSI190000206
,,,,BDEL070,Машинист битумоплавильной передвижной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102096,,,,KSI190000207
,,,,BDEL080,Машинист вакуумной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102112,,,,KSI190000208
,,,,BDEL090,Машинист контактносварочной установки передвижной для сварки магистральных газонефтепродуктопроводов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102207,,,,KSI190000209
,,,,BDEL100,Машинист установки мобильной по сортировке и приготовлению минеральных материалов для устройства защитных слоев покрытия,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102471,,,,KSI190000210
,,,,BDEL110,Машинист установки передвижной автоматизированной непрерывного действия для приготовления бетонной смеси,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102472,,,,KSI190000211
,,,,BDEL120,Машинист установки по продавливанию и горизонтальному бурению грунта,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102477,,,,KSI190000212
,,,,BDEL130,Машинист холодильной установки,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102498,,,,KSI190000213
,,,,BDEL140,Машинист холодильной установки по замораживанию грунтов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102497,,,,KSI190000214
,,,,BDEL150,Машинист трубогибочной установки передвижной,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102460,,,,KSI190000215
,,,BDEM,,Машинист станции,,Приказ Росстандарта от 16.05.2025 N 423-ст,,,,,,KSI190000216
,,,,BDEM010,Машинист малярной станции передвижной,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102235,,,,KSI190000217
,,,,BDEM020,Машинист штукатурной станции передвижной,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102514,,,,KSI190000218
,,,,BDEM030,Машинист газогенераторной станции,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102134,,,,KSI190000219
,,,BDEN,,Машинист агрегата,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000220
,,,,BDEN010,Машинист агрегата безвоздушного распыления высокого давления,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102079,,,,KSI190000221
,,,,BDEN020,"Машинист мобильного комплекса, оснащенного агрегатами для приготовления растворов и цементо- бетонных смесей",,Приказ Росстандарта от 16.05.2025 N 423-ст,,102271,,,,KSI190000222
,,,,BDEN030,Машинист электросварочного передвижного агрегата с двигателем внутреннего сгорания,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102532,,,,KSI190000223
,,,BDEP,,Машинисты локомотивов,,"Приказ Минтруда России от 22.09.2020 г. N 634н
Распоряжение РЖД от 30.01.2023 № 170р
Приказ Минтруда России от 02.04.2024 N 168н 
Приказ Минтруда России от 02.04.2024 N 169н
Приказ Минтруда России от 21.09.2020 г. N 624н",,,,,,KSI190000460
,,,,BDEP010,Водитель (машинист) дрезины,,"Приказ Минтруда России от 22.09.2020 г. N 634н
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000461
,,,,BDEP020,Водитель (машинист) специализированной техники на комбинированном ходу,,Приказ Минтруда России от 22.09.2020 г. N 634н,,,,,,KSI190000462
,,,,BDEP030,Машинист автомотрисы,,Приказ Минтруда России от 22.09.2020 г. N 634н,,,,,,KSI190000463
,,,,BDEP040,Помощник машиниста автомотрисы,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000464
,,,,BDEP050,Машинист газотурбовоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000465
,,,,BDEP060,Машинист дизель-поезда,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000466
,,,,BDEP070,Машинист железнодорожно-строительной машины несамоходной,,Приказ Минтруда России от 22.09.2020 г. N 634н,,,,,,KSI190000467
,,,,BDEP080,Машинист железнодорожно-строительной машины самоходной,,Приказ Минтруда России от 22.09.2020 г. N 634н,,,,,,KSI190000468
,,,,BDEP090,Машинист мотовоза,,Приказ Минтруда России от 22.09.2020 г. N 634н,,,,,,KSI190000469
,,,,BDEP100,Машинист паровоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000470
,,,,BDEP110,Машинист рельсового автобуса,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000471
,,,,BDEP120,Машинист тепловоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000472
,,,,BDEP130,Машинист тягового агрегата,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000473
,,,,BDEP140,Машинист электровоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000474
,,,,BDEP150,Машинист электропоезда,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000475
,,,,BDEP160,Машинист-оператор по управлению и обслуживанию локомотива,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000476
,,,,BDEP170,Машинист-оператор по управлению и обслуживанию моторвагонного подвижного состава,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000477
,,,,BDEP180,Оператор по дистанционному управлению моторвагонным подвижным составом,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000478
,,,,BDEP190,Помощник машиниста газотурбовоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000479
,,,,BDEP200,Помощник машиниста дизель-поезда,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000480
,,,,BDEP210,Помощник машиниста паровоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000481
,,,,BDEP220,Помощник машиниста рельсового автобуса,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000482
,,,,BDEP230,Помощник машиниста тепловоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000483
,,,,BDEP240,Помощник машиниста электровоза,,Приказ Минтруда России от 02.04.2024 N 168н,,,,,,KSI190000484
,,,,BDEP250,Помощник машиниста электропоезда,,Приказ Минтруда России от 02.04.2024 N 169н,,,,,,KSI190000485
,,BDF,,,Моторист,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000224
,,,,BDF010,Моторист механической лопаты,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102705,,,,KSI190000225
,,,,BDF020,Моторист электродвигателей,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102724,,,,KSI190000226
,,BDG,,,Оператор,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000227
,,,,BDG010,Оператор акустических испытаний,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103092,,,,KSI190000228
,,,,BDG020,Оператор заправочных станций,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103147,,,,KSI190000229
,,,,BDG030,Оператор механизированных и автоматизированных складов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103213,,,,KSI190000230
,,,,BDG040,Оператор осциллографирования и тензометрирования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103252,,,,KSI190000231
,,,,BDG050,Оператор платформы подъемной,,Единый тарифно-квалификационный справочник работ и профессий рабочих,,,,,,KSI190000232
,,,,BDG060,Оператор по обслуживанию пылегазоулавливающих установок,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103298,,,,KSI190000233
,,,,BDG070,Оператор теплового пункта,,Приказ Росстандарта от 16.05.2025 N 423-ст,,103431,,,,KSI190000234
,,BDH,,,Тракторист,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105115,,,,KSI190000235
,,BDJ,,,Транспортерщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,105121,,,,KSI190000236
,,BDK,,,"Операторы, машинисты и водители производственных установок и машин транспортной инфраструктуры",,"Приказ Минтруда России от 01.04.2024 N 163н 
Приказ Минтруда России от 16.01.2023 N 15н
Распоряжение РЖД от 30.01.2023 № 170р
Приказ Минтруда России от 16.03.2022 г. N 129н
Приказ Минтруда России от 1.03.2023 г. N 115н
Приказ Минтруда России от 27.04.2023 N 359н
Приказ Минтруда России от 08.06.2022 N 345н
Приказ Минтруда России от 15.09.2020 N 614н
Приказ Минтруда России от 30.08.2019 N 595н
Приказ Минтруда России от 16.04.2024 N 211н 
Приказ Минтруда России от 27.04.2023 N 361н
Приказ Минтруда России от 01.03.2023 N 121н",,,,,,KSI190000486
,,,,BDK010,Машинист поворотной и подъемной машин моста,,Приказ Минтруда России от 01.04.2024 N 163н ,,,,,,KSI190000487
,,,,BDK020,Оператор дефектоскопной тележки,,Приказ Минтруда России от 16.01.2023 N 15н,,,,,,KSI190000488
,,,,BDK030,Помощник оператора дефектоскопной тележки,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000489
,,,,BDK040,Оператор по обслуживанию и ремонту вагонов и контейнеров,,Приказ Минтруда России от 16.03.2022 г. N 129н,,,,,,KSI190000490
,,,,BDK050,Оператор по путевым измерениям,,Приказ Минтруда России от 1.03.2023 г. N 115н,,,,,,KSI190000491
,,,,BDK060,Оператор поста централизации,,Приказ Минтруда России от 27.04.2023 N 359н,,,,,,KSI190000492
,,,,BDK070,Оператор сортировочной горки,,Приказ Минтруда России от 27.04.2023 N 359н,,,,,,KSI190000493
,,,,BDK080,Машинист железнодорожного крана,,Приказ Минтруда России от 08.06.2022 N 345н,,,,,,KSI190000494
,,,,BDK090,Машинист весоповерочного вагона,,Приказ Минтруда России от 15.09.2020 N 614н,,,,,,KSI190000495
,,,,BDK100,Помощник машиниста самоходного весоповерочного вагона,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000496
,,,,BDK110,Машинист насосной установки железнодорожного водоснабжения,,Приказ Минтруда России от 30.08.2019 N 595н,,,,,,KSI190000497
,,,,BDK120,Машинист пескоподающей установки,,Приказ Минтруда России от 16.04.2024 N 211н,,,,,,KSI190000498
,,,,BDK130,Машинист электростанции передвижной восстановительного поезда,,Приказ Минтруда России от 27.04.2023 N 361н,,,,,,KSI190000499
,,,,BDK140,Оператор установок пескоструйной очистки железнодорожного подвижного состава,,Приказ Минтруда России от 01.03.2023 N 121н,,,,,,KSI190000500
,BE,,,,Монтажник,,Единый тарифно-квалификационный справочник работ и профессий рабочих,По специализации,,,,,KSI190000237
,,BEA,,,Монтажник гидроагрегатов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102623,,,,KSI190000238
,,BEB,,,Монтажник дробильно-размольного оборудования и оборудования для сортировки и обогащения,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102626,,,,KSI190000239
,,BEC,,,Монтажник микропроцессорной и волоконно-оптической техники,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102628,,,,KSI190000240
,,BED,,,Монтажник наружных трубопроводов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102632,,,,KSI190000241
,,BEE,,,Монтажник оборудования атомных электрических станций,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102634,,,,KSI190000242
,,BEF,,,Монтажник оборудования блокировки и централизации,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102635,,,,KSI190000243
,,BEG,,,Монтажник оборудования коксохимических производств,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102637,,,,KSI190000244
,,BEH,,,Монтажник оборудования металлургических заводов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102638,,,,KSI190000245
,,BEJ,,,Монтажник оборудования связи,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102639,,,,KSI190000246
,,BEK,,,Монтажник оборудования сортировочных горок,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102640,,,,KSI190000247
,,BEL,,,Монтажник по монтажу стальных и железобетонных конструкций,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102642,,,,KSI190000248
,,BEM,,,"Монтажник приборов и аппаратуры автоматического контроля, регулирования и управления",,Приказ Росстандарта от 16.05.2025 N 423-ст,,102644,,,,KSI190000249
,,BEN,,,Монтажник санитарно-технических систем и оборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102648,,,,KSI190000250
,,BEP,,,Монтажник связи,,Приказ Росстандарта от 16.05.2025 N 423-ст,,202190,,,,KSI190000251
,,,,BEP010,Монтажник связи - антеннщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102650,,,,KSI190000252
,,,,BEP020,Монтажник связи - кабельщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102651,,,,KSI190000253
,,,,BEP030,Монтажник связи - линейщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102652,,,,KSI190000254
,,,,BEP040,Монтажник связи - спайщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102653,,,,KSI190000255
,,BEQ,,,Монтажник сельскохозяйственного оборудования,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102655,,,,KSI190000256
,,BER,,,"Монтажник систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации",,Приказ Росстандарта от 16.05.2025 N 423-ст,,102656,,,,KSI190000257
,,BES,,,Монтажник строительных машин и механизмов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102657,,,,KSI190000258
,,BET,,,Монтажник технологического оборудования и связанных с ним конструкций,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102661,,,,KSI190000259
,,BEU,,,Монтажник технологических трубопроводов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102660,,,,KSI190000260
,,BEV,,,Монтажник турбоустановок,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102663,,,,KSI190000261
,,BEW,,,Монтажник шахтного оборудования на поверхности,,Приказ Росстандарта от 16.05.2025 N 423-ст,,102665,,,,KSI190000262
,,BEX,,,Монтажник электрических подъемников (лифтов),,Приказ Росстандарта от 16.05.2025 N 423-ст,,102667,,,,KSI190000263
