Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания
,,BRE,,,Электрослесарь строительный,,ОКПДТР,,19933,,
,,BRF,,,Электрослесарь на проходке,,ОКПДТР,,19914,,
,,BRG,,,Электрослесарь-монтажник подземного горнопроходческого оборудования,,ОКПДТР,,19912,,
,BS,,,,Наладчик,,ОКПДТР,По специализации,,,
,,BSA,,,"Наладчик приборов, аппаратуры и систем автоматического контроля, регулирования и управления (Наладчик КИП и автоматики)",,ОКПДТР,,14977,,
,,BSB,,,Наладчик строительных машин,,ОКПДТР,,14993,,
,,BSC,,,Наладчик сварочного и газоплазморезательного оборудования,,ОКПДТР,,14985,,
,BT,,,,Речной рабочий,,ОКПДТР,По специализации,,,
,,BTA,,,"Речной рабочий на подводно-технических, габионных и фашинных работах, выполняемых с поверхности",,ОКПДТР,,18074,,
,,BTB,,,Речной рабочий на эксплуатации и обслуживании несамоходных плавучих снарядов и других плавучих средств,,ОКПДТР,,18075,,
,BU,,,,Трубоклад,,ОКПДТР,По специализации,,,
,,BUA,,,Трубоклад промышленных железобетонных труб,,ОКПДТР,,19233,,
,,BUB,,,Трубоклад промышленных кирпичных труб,,ОКПДТР,,19234,,
,BV,,,,"Комплектовщик строительных материалов, изделий и оборудования",,ЕТКС,,,,
,BW,,,,Рабочий по комплексному обслуживанию и ремонту зданий,,ОКПДТР,,17544,,
,BX,,,,Промышленный альпинист,,ОКПДТР,,17412,,
,BY,,,,Столяр,,ОКПДТР,По специализации,18874,,
,,BYA,,,Столяр строительный,,ОКПДТР,,18880,,
,BZ,,,,Подсобный рабочий,,ОКПДТР,,16771,,
C,,,,,Роли,,,По виду участника градостроительных отношений,,,
,CA,,,,Застройщик,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,CB,,,,Технический заказчик,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,CC,,,,Инвестор,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,CD,,,,Кредитная организация,,"Федеральный закон ""О банках и банковской деятельности""",по виду организации,,,
,,CDA,,,Банк,,"Федеральный закон ""О банках и банковской деятельности""",,,,
,,CDB,,,Небанковская кредитная организация,,"Федеральный закон ""О банках и банковской деятельности""",,,,
,CE,,,,Саморегулируемая организация,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,CF,,,,Проектировщик,,МДС 80-16.2000,,,,
,CG,,,,Субъект градостроительных отношений,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",По уровню субъекта,,,
,,CGD,,,Физическое лицо,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
,,CGE,,,Юридическое лицо,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ),,,,
,CH,,,,Орган строительного надзора,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,,,,CH010,Орган федерального государственного строительного надзора,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,,,,CH020,Орган государственного строительного надзора,,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,CJ,,,,Огран экспертизы,,Постановление Правительства Российской Федерации от 05.03.2007 № 145,,,,
,,,,CJ010,Орган государственной экспертизы,,Постановление Правительства Российской Федерации от 05.03.2007 № 145,,,,
,,,,CJ020,Орган негосударственной экспертизы,,Постановление Правительства РФ от 29.12.2008 № 1070,,,,
,CK,,,,"Лицо, осуществляющее строительный контроль",,"""Градостроительный кодекс Российской Федерации"" от 29.12.2004 № 190-ФЗ",,,,
,CL,,,,Генеральный подрядчик,,Гражданский кодекс Российской Федерации (часть вторая) от 26.01.1996 № 14-ФЗ,,,,
,CM,,,,Субподрядчик,,Гражданский кодекс Российской Федерации (часть вторая) от 26.01.1996 № 14-ФЗ,,,,
,CN,,,,Региональный оператор,,Федеральный закон от 24.06.1998 № 89-ФЗ ,,,,
,CP,,,,Производитель,,ГОСТ Р 58033-2017,,,,
,CQ,,,,Изготовитель,,Закон Российской Федерации от 07.02.1992 № 2300-1 ,,,,
,CR,,,,Поставщик,,Федеральный закон от 05.04.2013 № 44-ФЗ ,,,,
D,,,,,Органы власти,,,,,,
,DL,,,,Федеральные органы исполнительной власти,,,,,,
,,,,DL010,Российская Федерация,,Конституция Российской Федерации,,,,
,,,,DL020,Президент Российской Федерации,,Конституция Российской Федерации,,,,
,,,,DL030,Государственная Дума Федерального Собрания Российской Федерации,,Конституция Российской Федерации,,,,
,,,,DL040,Совет Федерации Федерального Собрания Российской Федерации,,Конституция Российской Федерации,,,,
,,,,DL050,Правительство Российской Федерации,,"Федеральный конституционный закон от 06.11.2020 № 4-ФКЗ""О Правительстве Российской Федерации""",,,,
,,,,DL060,"Федеральные министерства, подведомственные им агентства, службы, надзоры",,"Указ Президента РФ от 21.01.2020 № 21
""О структуре федеральных органов исполнительной власти""",,,,
,,,,DL070,Федеральные службы и агентства,,"Указ Президента РФ от 21.01.2020 № 21
""О структуре федеральных органов исполнительной власти""",,,,
,,,,DL080,"Государственные корпорации, являющиеся уполномоченными органами управления в отдельных отраслях",,"Указ Президента РФ от 21.01.2020 № 21
""О структуре федеральных органов исполнительной власти""",,,,
,,,,DL090,Государственные внебюджетные фонды,,"Указ Президента РФ от 21.01.2020 № 21
""О структуре федеральных органов исполнительной власти""",,,,
,,,,DL100," Законодательный (представительный) орган государственной власти субъекта Российской Федерации
",,"Федеральный закон от 06.10.1999 № 184-ФЗ
""Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации""",,,,
,DM,,,,Органы местного самоуправления,,,,,,
,,,,DM010,Высший исполнительный орган субъекта Российской Федерации,,"Федеральный закон от 06.10.1999 № 184-ФЗ
""Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации""",,,,
,,,,DM020,"Органы исполнительной власти субъекта Российской Федерации
",,"Федеральный закон от 06.10.1999 № 184-ФЗ
""Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов Российской Федерации""",,,,
,,,,DM030,Представительный орган муниципального образования,,"Федеральный закон от 06.10.2003 № 131-ФЗ
""Об общих принципах организации местного самоуправления в Российской Федерации""
",,,,
,,,,DM040,Глава муниципального образования,,"Федеральный закон от 06.10.2003 № 131-ФЗ
""Об общих принципах организации местного самоуправления в Российской Федерации""
",,,,
,,,,DM050,Местная администрация (исполнительно-распорядительный орган муниципального образования),,"Федеральный закон от 06.10.2003 № 131-ФЗ
""Об общих принципах организации местного самоуправления в Российской Федерации""
",,,,
,,,,DM060,Иные органы местного самоуправления,,"Федеральный закон от 06.10.2003 № 131-ФЗ
""Об общих принципах организации местного самоуправления в Российской Федерации""
",,,,
E,,,,,Коммерческая организация,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ ,По виду коммерческого объединения,,,
,EA,,,,Потребительский кооператив,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
,,,,EA010,Жилищный кооператив,,Жилищный кодекс Российской Федерации от 29.12.2004 № 188-ФЗ,,,,
,,,,EA020,Жилищно-строительный кооператив,,Жилищный кодекс Российской Федерации от 29.12.2004 № 188-ФЗ,,,,
,EB,,,,Ассоциация,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
,EC,,,,Товарищество собственников недвижимости,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
,ED,,,,Общество с ограниченной ответственностью,,"Федеральный закон от 08.02.1998
№ 14-ФЗ",,,,
,EE,,,,Акционерное общество,,"Федеральный закон от 26.12.1995
№ 208-ФЗ
",,,,
,,,,EE010,Публичное акционерное общество (ПАО),,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
,EF,,,,Производственный кооператив (артель),,"Федеральный закон от 08.05.1996
№ 41-ФЗ 
",,,,
,EG,,,,Корпорация,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
,EH,,,,Союз,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
F,,,,,Унитарное предприятие,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
,,,,F010,Федеральное государственное унитарное предприятие,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
,,,,F020,Государственное унитарное предприятие,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
,,,,F030,Муниципальное унитарное предприятие,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
,,,,F040,Федеральное казенное предприятие,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
,,,,F050,Казенное предприятие субъекта Российской Федерации,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
,,,,F060,Муниципальное казенное предприятие,,Федеральный закон от 14.11.2002 № 161-ФЗ,,,,
G,,,,,Индивидуальный предприниматель,,Гражданский кодекс Российской Федерации (часть первая) от 30.11.1994 № 51-ФЗ,,,,
H,,,,,Структурное подразделение,,,,,,
,HA,,,,Департамент организации,,Организация и управление в строительстве. Основные понятия и термины. Учебно-справочное пособие,,,,
,HB,,,,Управление организации,,Организация и управление в строительстве. Основные понятия и термины. Учебно-справочное пособие,,,,
,HC,,,,Служба организации,,Организация и управление в строительстве. Основные понятия и термины. Учебно-справочное пособие,,,,
,HD,,,,Администрация организации,,Организация и управление в строительстве. Основные понятия и термины. Учебно-справочное пособие,,,,
,HE,,,,Совет организации,,Организация и управление в строительстве. Основные понятия и термины. Учебно-справочное пособие,,,,
,HF,,,,Отдел,,Организация и управление в строительстве. Основные понятия и термины. Учебно-справочное пособие,,,,
,HG,,,,Бюро,,ЕКС,,,,
,HH,,,,Группа,,ЕКС,,,,
,HJ,,,,Сектор,,ЕКС,,,,
,HK,,,,Участок,,СП 59.13330.2016 ,,,,
,HL,,,,Бригада,,ЕНиР,,,,
,HM,,,,Звено,,ЕНиР,,,,
