Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,ABH,,,Скусыватель,Устройство для срезки свай,КСР,,,28.92.30.91.02.05-012,Определение синтезировано
,,ABJ,,,Установка для работы по технологии стена в грунте,,КСР,,,"28.92.12.91.02.05-031
28.92.12.91.02.05-032",
,,ABK,,,Грейфер,"Грузозахватное устройство, предназначенное, как правило, для навалочных грузов, у которого захватом являются поворотные челюсти.",КСР,,,"28.92.12.91.02.05-500
28.22.20.91.01.05-001",ГОСТ 33715-2015
,,ABL,,,Машина пневмоударная,,КСР,,,28.92.12.91.02.05-506,
,,ABM,,,Установка комплектная конденсаторная на базе автомобиля (генератор импульсного тока),,КСР,,,28.92.21.91.02.05-522,
,,ABN,,,Установка фрезерная проходческая на гусеничном ходу для устройства стены в грунте,,КСР,,,28.92.12.91.02.05-524,
,AC,,,,"Краны
 кроме плавучих","Машина цикличного действия, предназначенная для подъема и перемещения в пространстве груза, подвешенного с помощью крюка или удерживаемого другим грузозахватным органом.",КСР,"Конструкция крана, тип хода",,91.05,Определение по ГОСТ Р 58033-2017 
,,ACA,,,Кран башенный,,КСР,,,91.05.01,
,,ACB,,,Кран козловой,,КСР,,,91.05.02,
,,ACC,,,Кран консольный,,КСР,,,91.05.03,
,,ACD,,,Кран мостовой,,КСР,,,91.05.04,
,,ACE,,,Кран на автомобильном ходу,,КСР,,,91.05.05,
,,ACF,,,Кран на гусеничном ходу,,КСР,,,91.05.06,
,,ACG,,,Кран на железнодорожном ходу,,КСР,,,91.05.07,
,,ACH,,,Кран на пневмоколесном ходу,,КСР,,,91.05.08,
,,ACJ,,,Кран на специальном шасси автомобильного типа,,КСР,,,91.05.09,
,,ACK,,,Кран портальные,,КСР,,,91.05.11,
,,ACL,,,Кран стрелового типа,,КСР,,,91.05.12,
,,ACM,,,Кран-манипулятор,,КСР,,,91.05.13,
,,ACN,,,Кран-укосин,,КСР,,,"28.22.14.91.05.14-001
28.22.14.91.05.14-512
28.22.14.91.05.14-514",
,,ACP,,,Кран монтажный специальный,,КСР,,,"28.22.14.91.05.14-021
28.22.14.91.05.14-022",
,,ACQ,,,Кран на тракторе,,КСР,,,"28.22.14.91.05.14-023
28.22.14.91.05.14-024",
,,ACR,,,Кран переносной,,КСР,,,28.22.14.91.05.14-025,
,,ACS,,,Кран специальный строительный для возведения гиперболической оболочки градирни,,КСР,,,28.22.14.91.05.14-026,
,AD,,,,"Машины и механизмы подъемно-транспортные, кроме кранов","Машины (устройства), предназначенные для перемещения грузов и людей в вертикальной, горизонтальной и наклонной плоскостях на относительно небольшие расстояния в пределах заводов, строительных площадок, портов, складов и т.п.",КСР,Характер перемещения груза,,91.06,Определение синтезировано
,,ADA,,,Домкрат,Переставной механизм для подъема конструкций на небольшую высоту при воздействии на конструкцию снизу,КСР,,,91.06.01,ГОСТ 33650-2015
,,ADB,,,Конвейер ленточный,"Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента",КСР,,,91.06.02,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADC,,,Лебедка,"Механизм, тяговое усилие которого передается посредством гибкого элемента (каната, цепи) от приводного барабана",КСР,,,91.06.03,ГОСТ 27555-87 
,,ADD,,,Погрузчик,"Машина, оборудованная рабочими органами для погрузки, разгрузки и штабелирования грузов",КСР,,,91.06.05,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADE,,,Подъемник,"Механизм, предназначенный для вертикального перемещения грузонесущих устройств",КСР,,,91.06.06,СТО НОСТРОЙ 2.23.134-2013
,,ADF,,,Таль,"Компактная машина циклического действия для подъема и опускания груза, подвешенного на грузозахватном органе",КСР,,,91.06.07,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADG,,,Тельфер,Подвесное грузоподъемное устройство (таль) с электрическим приводом,КСР,,,91.06.08,Определение синтезировано
,,ADH,,,Вышка телескопическая,"Устройство для подъёма и перемещения рабочих с инструментом и материалами и используемый при монтаже и обслуживании линий электропередач, линий связи и контактных сетей, ремонте и обслуживании зданий и сооружений, обслуживании средств наружной рекламы, уходе за городскими зелёными насаждениями и т. п",КСР,,,28.22.18.91.06.09-001,Определение синтезировано
,,ADJ,,,Люлька самоподъемная,Оборудование для работ на высоте,КСР,,,"28.22.18.91.06.09-021
28.22.18.91.06.09-022",Определение синтезировано
,,ADK,,,Машина для выдачи пучка арматуры,"Машина, применяемая при производстве железобетонных изделий, предназначенная для изготовления и монтажа элементов армирования",КСР,,,28.22.18.91.06.09-041,Определение синтезировано
,,ADL,,,Подмости самоходные,"Специальное сооружение, которое служит опорой во время работы",КСР,,,28.22.18.91.06.09-061,Определение синтезировано
,,ADM,,,Постамент с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на постамент",КСР,,,28.99.39.91.06.09-071,Определение синтезировано
,,ADN,,,Опалубка скользящая,"Опалубка, конструкция которой перемещается вертикально домкратами по мере бетонирования монолитной конструкции и которая состоит из щитов, домкратных рам, домкратных стержней, подъемных механизмов (домкратов, насосных или других подъемных станций) и технологических элементов (рабочий пол, подмости).",КСР,,,28.22.18.91.06.09-091,ГОСТ 34329-2017
,,ADP,,,Стрела монтажная А-образные для подъема опор ВЛ,"Конструкция, использующаяся для подъема и установки собранных опор ЛЭП из горизонтального положения в вертикальное путем поворота вокруг шарнира монтажной стрелы, соединенной с монтируемыми опорами",КСР,,,28.22.11.91.06.09-101,Определение синтезировано
,,ADQ,,,Транспортное устройство с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на транспортное средство",КСР,,,28.99.39.91.06.09-111,Определение синтезировано
,,ADR,,,Вышка (подмости) для внутренних работ,Приспособление для выполнения работ на высоте,КСР,,,28.22.18.91.06.09-500,Определение синтезировано
,,ADS,,,Вышка телескопическая на автомобиле,Приспособление для выполнения работ на высоте,КСР,,,28.22.18.91.06.09-502,Определение синтезировано
,,ADT,,,Конвейер,Машина для непрерывного транспортирования грузов,КСР,,,91.06.02,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADU,,,Леса инвентарные,"Многоярусное средство подмащивания, предназначенное для организации рабочих мест на разных горизонтах.",КСР,,,"28.22.18.91.06.09-506
28.22.18.91.06.09-508 28.22.18.91.06.09-510",ГОСТ Р 58752-2019
,,ADV,,,Мотолебедка,Устройство для перемещения грузов,КСР,,,"28.22.18.91.06.09-582
28.22.12.91.06.03-091",Определение синтезировано
,,ADW,,,Натяжная машина для протяжки троса,Машина для протяжки троса,КСР,,,28.22.18.91.06.09-584,Определение синтезировано
,,ADX,,,Рольганги приводные,"Конвейер, роликами которого, закреплёнными на небольшом расстоянии друг от друга, перемещаются грузы (штучные или в таре)",КСР,,,"28.22.18.91.06.09-674
28.22.18.91.06.09-676
28.22.17.91.21.22-351",Определение синтезировано
,,ADY,,,Тренога перегрузочная,"Устройство для подъема, удержания, и опускания груза выше или ниже плоскости основания треноги при строительно-монтажных, ремонтных и погрузочно-разгрузочных работах",КСР,,,28.22.18.91.06.09-682,Определение синтезировано
,AE,,,,Машины для дорожного и аэродромного строительства,"Группа машин предназначенных для проведения строительных работ, а также для эксплуатации и содержания дорог и аэродромов",КСР,Назначение (функция) машины,,91.08,Определение синтезировано
,,AEA,,,Асфальтоукладчик,"Самоходная дорожная машина на колесном или гусеничном ходу, предназначенная для приемки асфальтобетонной смеси из транспортных средств, распределения смеси по ширине укладываемой полосы равномерным слоем заданной толщины на подготовленное и уплотненное основание, разравнивания и предварительного уплотнения уложенного слоя, отделки поверхности покрытия.",КСР,,,91.08.01,СТО НОСТРОЙ 2.25.47-2011 
,,AEB,,,Гудронатор,"Машина, используемая для автоматического или ручного распределения пленки из вяжущих материалов (битума / битумной эмульсии) на поверхность дороги с заданной установленной скоростью",КСР,,,91.08.02,ГОСТ EN 13020-2012
,,AEC,,,Каток,"Самоходная или прицепная машина с уплотняющим устройством, состоящим из одного или более металлических цилиндрических вальцов (барабанов) или резиновых шин, предназначенная для уплотнения материалов, например щебня, грунта, асфальта или гравия, путем укатывания или вибрационного воздействия уплотняющего устройства.",КСР,,,91.08.03,ГОСТ Р ИСО 6165-2010 
,,AED,,,Машина для разогрева битума и асфальтобетона,"Машины, предназначенные для разогрева битума и асфальтобетона",КСР,,,91.08.04,Определение синтезировано
,,,,AED010,"Битумная установка с 4-мя битумными котлами на 50 м3, резервуаром для хранения битума на 1000 м3 и газовым подогревом масляного теплоносителя",,КСР,,,28.92.40.91.08.04-001,
,,,,AED020,Котел битумный,,КСР,,,"25.30.11.91.08.04-021
25.30.11.91.08.04-022
25.30.11.91.08.04-023
25.30.11.91.08.04-024",
,,,,AED030,Котел битумоварочный,,КСР,,,"25.30.11.91.08.04-510
25.30.11.91.08.04-512
25.30.11.91.08.04-514",
,,,,AED040,Котел варочный передвижной для приготовления термопластика,,КСР,,,25.30.11.91.08.04-516,
,,,,AED050,Машина для разогрева асфальтобетонных покрытий,,КСР,,,28.92.30.91.08.04-031,
,,,,AED060,Машина плавильно-заливочная,,КСР,,,"28.92.30.91.08.04-033
28.92.30.91.08.04-032
28.92.30.91.08.04-034",
,,,,AED070,"Нагреватель асфальтобетонного покрытия, предварительный",,КСР,,,28.92.30.91.08.04-041,
,,,,AED080,Разогреватель асфальтобетонных покрытий,,КСР,,,28.92.30.91.08.04-051,
,,,,AED090,Инфракрасная линейка-разогреватель,,КСР,,,28.92.30.91.08.11-510,
,,AEE,,,Машина и агрегат бетоноукладочные,Машина и агрегат для укладки бетона,КСР,,,91.08.05,Определение синтезировано
,,,,AEE010,Агрегат распределения бетона на железных дорогах,,КСР,,,28.92.30.91.08.05-001,
,,,,AEE020,Агрегат для бетонирования стен самоходный,,КСР,,,28.92.40.91.08.05-011,
,,,,AEE030,Бетоноукладчик-планировщик со скользящими формами,,КСР,,,28.92.30.91.08.05-021,
,,,,AEE040,Комплект машин для бетонирования каналов,,КСР,,,"28.92.30.91.08.05-041
28.92.30.91.08.05-042",
,,,,AEE050,Машина бетоноукладочного комплекта на рельс-формах,,КСР,,,"28.92.30.91.08.05-053
28.92.30.91.08.05-054
28.92.30.91.08.05-051
28.92.30.91.08.05-052",
,,,,AEE060,Машина высокопроизводительного бетоноукладочного комплекта бетоноукладчик со скользящими формами,,КСР,,,28.92.30.91.08.05-055,
,,,,AEE070,Машина высокопроизводительного бетоноукладочного комплекта машина для нанесения пленкообразущих материалов,,КСР,,,28.92.30.91.08.05-057,
,,,,AEE080,Машина высокопроизводительного бетоноукладочного комплекта нарезчик швов в затвердевшем бетоне продольный и поперечный,,КСР,,,28.92.30.91.08.05-058,
,,,,AEE090,Машина высокопроизводительного бетоноукладочного комплекта профилировщик основания со скользящими формами,,КСР,,,28.92.30.91.08.05-061,
,,,,AEE100,Машина высокопроизводительного бетоноукладочного комплекта распределитель цементобетона со скользящими формами,,КСР,,,28.92.30.91.08.05-062,
,,,,AEE110,Машина высокопроизводительного бетоноукладочного комплекта финишер трубчатый,,КСР,,,28.92.30.91.08.05-064,
,,,,AEE120,Пневмобетономашина для возведения набрызг-бетонной крепи для укладки бетонной смеси за опалубку и тампонажа закрепного пространства,,КСР,,,28.92.30.91.08.05-071,
,,,,AEE130,Пневмобетоноукладчик,,КСР,,,"28.92.30.91.08.05-081
28.92.30.91.08.05-082",
,,,,AEE140,Цементоукладчик для заделки швов,,КСР,,,28.92.30.91.08.05-091,
,,,,AEE150,Бетоноукладчик для устройства барьерных ограждений,,КСР,,,28.92.30.91.08.05-566,
,,,,AEE160,Машина на рельс-формах для нанесения пленкообразующих материалов в составе бетоноукладочного комплекта,,КСР,,,28.92.30.91.08.05-576,
,,AEF,,,Нарезчик швов,"Машина для нарезки и разделки швов, трещин",КСР,,,91.08.06,Определение синтезировано
,,,,AEF010,Нарезчик швов обыкновенный,,КСР,,,28.92.30.91.08.06-001,
,,,,AEF020,Станок для разделки трещин,,КСР,,,"28.92.30.91.08.06-510
28.92.30.91.08.06-512",
,,,,AEF030,Машина для разделки швов и трещин,,КСР,,,28.92.30.91.08.11-021,
,,AEG,,,Распределитель,Машина для механизации распределения дорожно-строительных материалов,КСР,,,91.08.07,Определение синтезировано
,,,,AEG010,Битумощебнераспределитель,,КСР,,,28.92.30.91.08.07-001,
,,,,AEG020,Распределитель каменной мелочи,,КСР,,,28.92.30.91.08.07-011,
,,,,AEG030,Распределитель минеральных вяжущих,,КСР,,,"28.92.30.91.08.07-012
28.92.30.91.08.07-013",
,,,,AEG040,Распределитель цемента,,КСР,,,28.92.30.91.08.07-014,
,,,,AEG050,Распределитель щебня и гравия,,КСР,,,28.92.30.91.08.07-015,
,,,,AEG060,Распределитель щебня,,КСР,,,"28.92.30.91.08.07-016
28.92.30.91.08.07-017",
,,,,AEG070,Установка для приготовления и распределения литой органо-минеральной смеси,,КСР,,,28.92.30.91.08.07-510,
,,AEH,,,Смеситель,"Машина, содержащая емкость с горизонтальным или вертикальным смесителем (перемешивающий вал или лопасти смесителя) для подготовки, транспортирования, подогрева (свыше 100 °С), смешивания и выгрузки различных смесей",КСР,,,91.08.08,Определение синтезировано
,,,,AEH010,Смеситель-укладчик литых эмульсионно-минеральных смесей,,КСР,,,29.10.59.91.08.08-001,
,,,,AEH020,Установка для приготовления битумной,,КСР,,,"28.92.40.91.08.08-011
28.92.40.91.08.08-012",
,,,,AEH030,Установка для приготовления грунтовых смесей,,КСР,,,28.92.40.91.08.08-013,
,,,,AEH040,Установка для приготовления поверхностно-активных добавок,,КСР,,,28.92.40.91.08.08-014,
,,,,AEH050,Установка передвижные асфальтосмесительные,,КСР,,,28.92.40.91.08.08-015,
,,,,AEH060,"Смеситель бетона, полимеров и смол принудительного действия передвижной с двигателем внутреннего сгорания",,КСР,,,28.92.40.91.08.08-500,
,,AEJ,,,Трамбовка,Машина ударного действия для уплотнения различных материалов.,КСР,,,91.08.09,Определение синтезировано
,,AEK,,,Виброплита,"Вибрационная машина для уплотнения грунтов и других материалов (щебня, укрепленных материалов и др.) в узких местах и на обочинах, при прокладке через дороги кабелей и трубопроводов.",КСР,,,"28.92.30.91.08.09-001
28.92.30.91.08.09-002",Определение синтезировано
,,AEL,,,"Фреза, установка фрезерования","Готовый к работе сборочный узел из ножей, барабана, средств крепления ножей, соответствующих винтов и шпинделя.",КСР,,,91.08.10,ГОСТ IEC 62841-2-14-2016
,,,,AEL010,Регенератор-смеситель,,КСР,,,28.92.30.91.08.10-001,
,,,,AEL020,Станок для фрезерования поверхности,,КСР,,,28.92.30.91.08.10-011,
,,,,AEL030,Фреза дорожная,,КСР,,,28.92.30.91.08.10-021,
,,,,AEL040,Фреза-ресайклер,,КСР,,,28.92.30.91.08.10-031,
,,,,AEL050,Фреза навесная,,КСР,,,"28.92.30.91.08.10-050
28.92.30.91.08.10-051
28.92.30.91.08.10-052",
,,,,AEL060,Фреза ручная,,КСР,,,28.92.30.91.08.10-508,
,,,,AEL070,Машина роторно-фрезеровальная,,КСР,,,28.92.30.91.08.10-500,
,,AEM,,,Завод асфальтобетонный с дистанционным управлением,"комплекс технологического, энергетического и вспомогательного оборудования, предназначенного для выполнения операций по приготовлению асфальтобетонных смесей.",КСР,,,28.92.40.91.08.11-001,Определение синтезировано
,,AEN,,,Заливщик швов,,КСР,,,29.10.59.91.08.11-011,
,,AEP,,,Перегружатель асфальтовой смеси,,КСР,,,28.92.30.91.08.11-031,
,,AEQ,,,Разогреватель швов инфракрасный,,КСР,,,28.92.30.91.08.11-041,
,,AER,,,Ремиксер,Машина для переработки старого асфальта,КСР,,,28.92.30.91.08.11-051,Определение синтезировано
,,AES,,,Ресайклер-стабилизатор грунта,"Дорожная машина, предназначенная для укрепления (стабилизации) и регенерации верхнего слоя грунта и одежд дорожного полотна.",КСР,,,28.92.30.91.08.11-061,Определение синтезировано
,,AET,,,Стабилизатор,Машина для стабилизации грунта,КСР,,,28.92.30.91.08.11-071,Определение синтезировано
,,AEU,,,Установка для терморисайклинга дорожного покрытия,Установка для горячей регенерации (терморисайклинга) асфальтобетонного покрытия,КСР,,,28.92.30.91.08.11-091,Определение синтезировано
,,AEV,,,Установка для транспортировки литого асфальтобетона,,КСР,,,28.92.30.91.08.11-101,
,,AEW,,,Машина для разрушения цементнобетонного покрытия дорог и аэродромов виброрезонансным методом,,КСР,,,28.92.30.91.08.11-111,
,,AEX,,,Кохер для перевозки мостового литого асфальта,"Специализированная дорожно-строительная техника предназначенная для приготовления и/или транспортировки литых асфальтобетонных смесей, а также других термопластичных материалов (мастики, пасты, битумосодержащих композиционных смесей) используемых в процессе асфальтирования и ремонта дорог",КСР,,,28.92.30.91.08.11-514,Определение синтезировано
,,AEY,,,Машина демаркирующая,"Фрезеровочная машина для быстрого механического удаления краски, термопластика и дорожных плёнок с дорожной поверхности",КСР,,,29.10.59.91.08.11-518,Определение синтезировано
,AF,,,,Машины для железнодорожного строительства,"Вид специального подвижного состава, имеющий один или несколько рабочих органов, выполняющих работы по строительству, всем видам ремонтов, содержанию и обслуживанию сооружений и устройств железных дорог",КСР,Назначение (функция) машины,,91.09,Определение синтезировано
,,AFA,,,Автомотриса,"Самоходный железнодорожный подвижной состав с двигателем внутреннего сгорания дизельного или карбюраторного типа, состоящий из одного вагона, предназначенный для обеспечения перевозок и обслуживания инфраструктуры железнодорожного транспорта.",КСР,,,91.09.01,ГОСТ 34056-2017
,,AFB,,,Вагонетка,Транспортное средство небольшой вместимости для перевозки грузов по рельсовому пути узкой колеи,КСР,,,91.09.02,Определение синтезировано
,,AFC,,,Вагон,"Несамоходное (как правило) транспортное средство, предназначенное для движения по рельсам или иным путям (монорельсу, маглев-колее и т. д.) и (как правило) эксплуатируемое с локомотивом (исключением являются вагоны-секции пассажирских электро- и дизельных поездов и автомотрисы (в том числе электромотрисы)",КСР,,,91.09.03,Определение синтезировано
,,AFD,,,Платформа железнодорожная ,"Грузовой вагон открытого типа, предназначенный для перевозки длинномерных, штучных грузов, контейнеров и оборудования, не требующих защиты от атмосферных воздействий",КСР,,,91.09.03,Определение синтезировано
,,AFE,,,Дрезина,"Специальный самоходный железнодорожный подвижной состав, передвигающийся по рельсам механически с использованием ручного привода и служащий для обслуживания инфраструктуры железнодорожного транспорта",КСР,,,91.09.04,ГОСТ 34056-2017
,,AFF,,,Локомотив железнодорожный,"Самоходный рельсовый экипаж, предназначенный для тяги несамоходных вагонов",КСР,,,91.09.05,Определение синтезировано
,,AFG,,,Машина для монтажа контактной сети,Машина для монтажа контактной сети на железной дороге,КСР,,,91.09.06,Определение синтезировано
,,AFH,,,Машина для очистки и дозировки балласта,Машина для очистки и дозировки балласта на железном пути,КСР,,"машина для балластировки железнодорожного пути
машина для вырезки балласта самоходные
машина роторная для вырезки балласта по торцам шпал несамоходная
машина щебнеочистительные
планировщик балласта
вагон хоппер-дозатор
машина путевая для переработки (рециклинга) щебня для оздоровления основной площадки земляного полотна
машина путевая универсальные для выправки
 планировки и стабилизации пути
",91.09.07,Определение синтезировано
,,AFJ,,,Машина для погрузки и транспортирования звеньев путей и материалов,Машина для погрузки и транспортирования звеньев путей и материалов,КСР,,"состав для перевозки блоков стрелочных переводов
спецсостав для перевозки рельсовых плетей
",91.09.08,Определение синтезировано
,,AFK,,,"Машина для сборки, укладки и разборки путевой решетки","Машина для сборки, укладки и разборки путевой решетки",КСР,,"кран козловой двухконсольный для работы на звеносборочных базах 
кран укладочный для рельсовых звеньев 25 м на деревянных шпалах
краны укладочный для рельсовых звеньев 25 м на железобетонных шпалах
линия поточная для сборки звеньев с железобетонными шпалами (цеховое оборудование)
линия поточная полуавтоматические для сборки звеньев с деревянными шпалами (цеховое оборудование)
линия технологическая для сборки звеньев с железобетонными шпалами (цеховое оборудование)
стенд звеносборочный (цеховое оборудование)
",91.09.09,Определение синтезировано
,,AFL,,,"Машина для уплотнения, выправки, подбивки и рихтовки путей","Машина для уплотнения, выправки, подбивки и рихтовки путей",КСР,,"машина выправочно-подбивочно-отделочная
машина выправочно-подбивочно-рихтовочная для стрелочных переводов
машина для подбивки шпал с пневматическими подбойками
машина путерихтовочная
поезд рельсошлифовальный
путеподъемник самоходный
рихтовщик гидравлический
стабилизатор пути динамический
шпалоподбойка
шпалоподбойка при работе от передвижной электростанции
",91.09.10,Определение синтезировано
,,AFM,,,Машина для устройства фундаментов опор контактной сети,Машина для устройства фундаментов опор контактной сети,КСР,,"агрегат для вибропогружения свайных фундаментов опор контактной сети (без мотовоза-электростанции)
комплекс машин при работе ""в окно"" для устройства свайных фундаментов опор контактной сети методом вибропогружения
машина для рытья котлованов под опоры контактной сети при работе ""с поля""
машина для рытья котлованов под опоры контактной сети при работе ""с пути""
",91.09.11,Определение синтезировано
,,AFN,,,Машина и инструмент для работы с отдельными элементами верхнего строения пути,Машина и инструмент для работы с отдельными элементами верхнего строения пути,КСР,,"гайковерт путевой моторный
держатель колеи специальный
домкрат путевой
ключ путевой универсальный
ключ электрический при работе от передвижной электростанции
костылезабивщик
пресс однокривошипные горизонтально-правильный для правки рельсов
разгонщик гидравлический
система контрольно-измерительная
система путевая регулировочная
станок рельсорезный
станок рельсосверлильный
станок сверлильно-шлифовальный (сверлошлифовалка)
струга путевая
траверса для укладки полушпал на железных дорогах
устройство путевое подъемное
комплекс рельсосварочные мобильные на шасси автомобиля
 мощность генераторной установки до 430 кВт
машина рельсошлифовальная
 мощность до 2 кВт
пресс испытательный
 усилие 500 тг
рельсогиб
 усилие гиба до 36 т
комплекс передвижной механизированный (ПМК) сборный секционный для перемещения оборудования
 необходимого для устройства буронабивных свай
 двухплатформенный
 с лебедкой перемещения тяговым усилием в 3
2 т
",91.09.12,Определение синтезировано
,,AFP,,,Машина энергосиловая и сварочная путевая,Машина энергосиловая и сварочная путевая,КСР,,"комплекс мобильный рельсосварочный
машина путевая рельсосварочная
машина электросварочная автоматическая для контактной сварки рельсов подвесная
установка высоковольтная электроимпульсная для создания электрических разрядов в грунте при производстве свай по разрядно-импульсной технологии
 наибольшее значение запасаемой энергии 40 кДж
 значение емкости накопителя энергии 1000 мкФ
 диапазон регулирования выходного напряжения 7-9 кВ
система передвижная рельсосварочная для контактной стыковой сварки рельсов типа Р65 методом оплавления
 с прессом максимальным усилием не менее 320 т
 комплексом нагревательным для термообработки сварных стыков рельс температура нагрева 850 - 950 °C
 в контейнерном исполнении на базе фитинговой платформы
мотовоз-электростанция
мотовоз широкой колеи
 мощность до 198
5 (270) кВт (л.с.)
",91.09.13,Определение синтезировано
,,AFQ,,,Вышка съемная монтажная,Средство для технического обслуживания и ремонта контактной сети на железнодорожном транспорте,КСР,,,30.20.31.91.09.14-001,Определение синтезировано
,,AFR,,,Робот гидродемонтажный для разборки бетонных и железобетонных поверхностей,,КСР,,,30.20.31.91.09.14-010,
,,AFS,,,Машина вакуумная путевая,"Машина путевая вакуумная уборочная предназначеная для проведения на железнодорожных путях местной выборки загрязненного щебня без снятия рельсошпальной решетки; очистки стрелок, переездов, тоннелей, мостов, водных пропусков и дренажных каналов железнодорожного пути, отрытия электрических и сигнальных кабелей, рытье траншей и ям, разгрузки сыпучих материалов",КСР,,,30.20.32.91.09.14-021,Определение синтезировано
