Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
,,JGM,,,Соединение концов ленты внахлест,,ГЭСН 81-02-46-2020,,,,
,JH,,,,Навеска и перенавеска альпинистского снаряжения,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-033,
,,JHA,,,Визуальный осмотр страховочных тросов,,ГЭСН 81-02-46-2020,,,,
,,JHB,,,Проверка страховочных тросов,,ГЭСН 81-02-46-2020,,,,
,,JHC,,,Раскладка длин концов страховочных тросов,,ГЭСН 81-02-46-2020,,,,
,,JHD,,,Выверка длин концов страховочных тросов,,ГЭСН 81-02-46-2020,,,,
,,JHE,,,Крепление основного страховочного троса к опорной конструкции (вязка узлов),,ГЭСН 81-02-46-2020,,,,
,,JHF,,,Опускание основного страховочного троса на проектную отметку,,ГЭСН 81-02-46-2020,,,,
,,JHG,,,Крепление вспомогательного страховочного троса к опорной конструкции (вязка узлов),,ГЭСН 81-02-46-2020,,,,
,,JHH,,,Опускание вспомогательного страховочного троса на проектную отметку,,ГЭСН 81-02-46-2020,,,,
,,JHJ,,,Проверка альпинистского снаряжения,,ГЭСН 81-02-46-2020,,,,
,,JHK,,,Подготовка альпиниста к спуску,,ГЭСН 81-02-46-2020,,,,
,,JHL,,,Сверление отверстий на проектной отметке,,ГЭСН 81-02-46-2020,,,,
,,JHM,,,Установка анкеров на проектной отметке,,ГЭСН 81-02-46-2020,,,,
,,JHN,,,Крепление рабочего троса к анкерам на проектной отметке,,ГЭСН 81-02-46-2020,,,,
,,JHP,,,Крепление альпиниста к рабочему тросу,,ГЭСН 81-02-46-2020,,,,
,,JHQ,,,Демонтаж рабочего троса,,ГЭСН 81-02-46-2020,,,,
,JJ,,,,Очистка поверхности,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-044,
,,JJA,,,Очистка поверхности сжатым воздухом,,ГЭСН 81-02-46-2020,,,,
,,JJB,,,Гидроструйная очистка поверхности,,ГЭСН 81-02-46-2020,,,,
,,JJC,,,Гидроабразивная очистка поверхности,,ГЭСН 81-02-46-2020,,,,
,JK,,,,Перевод стоек понтона в рабочее положение,,ГЭСН 81-02-46-2020,По условию производства работ,,ГЭСН 46-08-100,
,,JKA,,,Выгрузка материалов на площадке временного складирования,,ГЭСН 81-02-46-2020,,,,
,,JKB,,,Распаковка на площадке временного складирования,,ГЭСН 81-02-46-2020,,,,
,,JKC,,,Открытие люка-лаза с разболчиванием болтов,,ГЭСН 81-02-46-2020,,,,
,,JKD,,,Перенос стоек с болтами и гайками до места производства работ,,ГЭСН 81-02-46-2020,,,,
,,JKE,,,Подъем материалов на площадку люка-лаза,,ГЭСН 81-02-46-2020,,,,
,,JKF,,,Перенос укороченных стоек с площадки люка-лаза на понтон,,ГЭСН 81-02-46-2020,,,,
,,JKG,,,Демонтаж установленных монтажных стоек по периметру понтона,,ГЭСН 81-02-46-2020,,,,
,,JKH,,,Установка укороченных стоек по периметру понтона на болтах,,ГЭСН 81-02-46-2020,,,,
,,JKJ,,,Перевод ранее установленных центральных стоек в рабочее положение,,ГЭСН 81-02-46-2020,,,,
,,JKK,,,Перенос удлиненных стоек после демонтажа от места производства работ до площадки временного складирования,,ГЭСН 81-02-46-2020,,,,
,JL,,,,Пропарка поверхности технологических трубопроводов и оборудования внутри резервуара,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-106,
,,JLA,,,Проведение замеров концентрации паров углеводородов на резервуаре,,ГЭСН 81-02-46-2020,,,,
,,JLB,,,Проведение замеров концентрации паров углеводородов в каре резервуара,,ГЭСН 81-02-46-2020,,,,
,,JLC,,,"Подключение пропарочного шланга к трубопроводу, подлежащему пропарке",,ГЭСН 81-02-46-2020,,,,
,,JLD,,,Проверка шланга на герметичность,,ГЭСН 81-02-46-2020,,,,
,,JLE,,,Проведение пропарки внутренней поверхности трубопровода резервуара,,ГЭСН 81-02-46-2020,,,,
,,JLF,,,"Отключение пропарочного шланга от трубопровода, подвергавшегося пропарке",,ГЭСН 81-02-46-2020,,,,
,JM,,,,Промывка внутренней поверхности резервуара,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-107,
,,JMA,,,Проведение замеров концентрации паров углеводородов на резервуаре при промывке,,ГЭСН 81-02-46-2020,,,,
,,JMB,,,Проведение замеров концентрации паров углеводородов в каре резервуара при промывке,,ГЭСН 81-02-46-2020,,,,
,,JMC,,,Сборка моечной установки,,ГЭСН 81-02-46-2020,,,,
,,JMD,,,Сборка шлангов,,ГЭСН 81-02-46-2020,,,,
,,JME,,,Сборка насадок на обваловании резервуара,,ГЭСН 81-02-46-2020,,,,
,,JMF,,,Спуск рабочего в резервуар для выполнения работ по промывке,,ГЭСН 81-02-46-2020,,,,
,,JMG,,,Проведение промывки внутренней поверхности резервуара,,ГЭСН 81-02-46-2020,,,,
,,JMH,,,"Откачка нефтепарафинистых отложений, поступающих в приямок, в процессе промывки",,ГЭСН 81-02-46-2020,,,,
,,JMJ,,,Подъем рабочего из резервуара после работ по промывке,,ГЭСН 81-02-46-2020,,,,
,,JMK,,,Выключение оборудования,,ГЭСН 81-02-46-2020,,,,
,JN,,,,Дозачистка внутренней поверхности резервуара от твердых донных отложений,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-08-108,
,,JNA,,,Спуск рабочего в резервуар для выполнения работ по дозачистке,,ГЭСН 81-02-46-2020,,,,
,,JNB,,,Дозачистка резервуара вручную,,ГЭСН 81-02-46-2020,,,,
,,JNC,,,Складирование нефтешлама в емкости для передачи на утилизацию,,ГЭСН 81-02-46-2020,,,,
,,JND,,,Подъем контейнера с нефтешламом на поверхность резервуара,,ГЭСН 81-02-46-2020,,,,
,,JNE,,,Транспортировка на площадку хранения,,ГЭСН 81-02-46-2020,,,,
,,JNF,,,Подъем рабочего из резервуара после работ по дозачистке,,ГЭСН 81-02-46-2020,,,,
K,,,,,Работы по благоустройству при реконструкции,,ГЭСНр 81-02-68-2020,по виду работ,,,
,KA,,,,Смена отдельных частей металлического ограждения спортивных площадок,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-25,
,,KAA,,,Удаление негодной сетки,,ГЭСНр 81-02-68-2020,,,,
,,KAB,,,Укрепление новой сетки,,ГЭСНр 81-02-68-2020,,,,
,,KAC,,,Удаление негодной стойки с отсоединением пожилин,,ГЭСНр 81-02-68-2020,,,,
,,KAD,,,Удаление негодной стойки с отсоединением сетки,,ГЭСНр 81-02-68-2020,,,,
,,KAE,,,Установка стойки из трубы с бетонированием фундамента,,ГЭСНр 81-02-68-2020,,,,
,,KAF,,,Присоединение пожилин,,ГЭСНр 81-02-68-2020,,,,
,,KAG,,,Присоединение сетки,,ГЭСНр 81-02-68-2020,,,,
,,KAH,,,Удаление негодной пожилины с отсоединением от стоек и сетки,,ГЭСНр 81-02-68-2020,,,,
,,KAJ,,,Установка пожилины с присоединением к стойкам и сетке,,ГЭСНр 81-02-68-2020,,,ГЭСНр 68-26,
,KB,,,,Разборка деревянных заборов,,ГЭСНр 81-02-68-2020,по виду работ,,,
,,KBA,,,Снятие ограждения,,ГЭСНр 81-02-68-2020,,,,
,,KBB,,,Снятие столбов,,ГЭСНр 81-02-68-2020,,,,
,KC,,,,Ремонт деревянных ворот,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-27,
,,KCA,,,Ремонт полотен и калиток со сменой отдельных частей полотен с добавлением нового лесоматериала,,ГЭСНр 81-02-68-2020,,,,
,,KCB,,,Укрепление столбов,,ГЭСНр 81-02-68-2020,,,,
,KD,,,,Доработка торцевых поверхностей изделий из природного камня при мощении и монтаже,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-28,
,,KDA,,,Транспортировка на стройплощадку,,ГЭСНр 81-02-68-2020,,,,
,,KDB,,,Разгрузка изделия,,ГЭСНр 81-02-68-2020,,,,
,,KDC,,,Перемещение изделия к месту опиловки,,ГЭСНр 81-02-68-2020,,,,
,,KDD,,,Перемещение изделия на станок,,ГЭСНр 81-02-68-2020,,,,
,,KDE,,,Разметка контура торца,,ГЭСНр 81-02-68-2020,,,,
,,KDF,,,Фрезерование,,ГЭСНр 81-02-68-2020,,,,
,,KDG,,,Перемещение изделия со станка в штабель,,ГЭСНр 81-02-68-2020,,,,
,,KDJ,,,Погрузка изделия на автотранспорт,,ГЭСНр 81-02-68-2020,,,,
,,KDK,,,Транспортировка на стройплощадку для доработки,,ГЭСНр 81-02-68-2020,,,,
,,KDL,,,Перемещение изделия к месту обработки,,ГЭСНр 81-02-68-2020,,,,
,,KDM,,,Перемещение изделия для обработки,,ГЭСНр 81-02-68-2020,,,,
,,KDN,,,"Бучардирование: грубое, получистовое, чистовое",,ГЭСНр 81-02-68-2020,,,,
,,KDP,,,Перемещение изделия после обработки в штабель,,ГЭСНр 81-02-68-2020,,,,
,,KDQ,,,Термоструйная обработка,,ГЭСНр 81-02-68-2020,,,,
,,KDR,,,Разметка и выборка технологической фаски на ребрах поверхности,,ГЭСНр 81-02-68-2020,,,,
,,KDS,,,"Шлифование: грубое (обдир), среднее, тонкое, лощение",,ГЭСНр 81-02-68-2020,,,,
,,KDT,,,Полирование,,ГЭСНр 81-02-68-2020,,,,
,KE,,,,Ремонт массивной гранитной облицовки мостов и набережных,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-29,
,,KEA,,,Погрузка и разгрузка плит,,ГЭСНр 81-02-68-2020,,,,
,,KEB,,,Демонтаж (выбуривание) перронов,,ГЭСНр 81-02-68-2020,,,,
,,KEC,,,Распазовка плит гранитных,,ГЭСНр 81-02-68-2020,,,,
,,KED,,,Окалывание кромок плит,,ГЭСНр 81-02-68-2020,,,,
,,KEE,,,Скобивание гранитной плиты,,ГЭСНр 81-02-68-2020,,,,
,,KEF,,,"Выкалывание ""ленты"" по периметру лицевой поверхности плиты",,ГЭСНр 81-02-68-2020,,,,
,,KEG,,,Обжиг камня с 4-х сторон,,ГЭСНр 81-02-68-2020,,,,
,,KEH,,,Обработка гранитной облицовки (наковка),,ГЭСНр 81-02-68-2020,,,,
,,KEJ,,,Сверление отверстий под пироны,,ГЭСНр 81-02-68-2020,,,,
,,KEK,,,Приклеивание отколотых кусков,,ГЭСНр 81-02-68-2020,,,,
,,KEL,,,Перемещение плит в процессе обработки,,ГЭСНр 81-02-68-2020,,,,
,,KEM,,,Погрузка откалываемых массивов при автомобильных перевозках,,ГЭСНр 81-02-68-2020,,,,
,,KEN,,,Выгрузка откалываемых массивов при автомобильных перевозках,,ГЭСНр 81-02-68-2020,,,,
,KF,,,,Валка деревьев,,ГЭСНр 81-02-68-2020 ,по виду работ,,ГЭСНр 68-3,
,,KFA,,,Валочный пропил дерева бензопилой,,ГЭСНр 81-02-68-2020,,,,
,,KFB,,,Валка дерева в необходимом направлении,,ГЭСНр 81-02-68-2020,,,,
,,KFC,,,Распиловка дерева на кряжи с выноской,,ГЭСНр 81-02-68-2020,,,,
,,KFD,,,Установка дорожных знаков ограждений,,ГЭСНр 81-02-68-2020,,,,
,,KFE,,,Подготовка автовышки и гидроподъемника,,ГЭСНр 81-02-68-2020,,,,
,,KFF,,,Подготовка площадки,,ГЭСНр 81-02-68-2020,,,,
,,KFG,,,Подъем-спуск рабочего в автовышке на заданную высоту,,ГЭСНр 81-02-68-2020,,,,
,,KFH,,,"Спиливание ствола дерева частями по 0,5м с применением приспособлений для безопасных методов работы",,ГЭСНр 81-02-68-2020,,,,
,,KFJ,,,Обрезка сучьев,,ГЭСНр 81-02-68-2020,,,,
,,KFK,,,Раскряжевка,,ГЭСНр 81-02-68-2020,,,,
,,KFL,,,Спиливание скелетных ветвей,,ГЭСНр 81-02-68-2020,,,,
,,KFM,,,Спиливание вершины ствола,,ГЭСНр 81-02-68-2020,,,,
,,KFN,,,Уборка порубочных остатков,,ГЭСНр 81-02-68-2020,,,,
,,KFP,,,Складирование в кучи порубочных остатков,,ГЭСНр 81-02-68-2020,,,,
,,KFQ,,,Закрепление верхолазного пояса,,ГЭСНр 81-02-68-2020,,,,
,,KFR,,,Поэтапное спиливание дерева,,ГЭСНр 81-02-68-2020,,,,
,,KFS,,,Снятие веревки,,ГЭСНр 81-02-68-2020,,,,
,,KFT,,,Спиливание крупных сучьев,,ГЭСНр 81-02-68-2020,,,,
,,KFU,,,Обрубка средних и мелких сучьев,,ГЭСНр 81-02-68-2020,,,,
,,KFV,,,Сбор сучьев с укладкой в кучи,,ГЭСНр 81-02-68-2020,,,,
,,KFW,,,Переход к другому дереву,,ГЭСНр 81-02-68-2020,,,,
,,KFX,,,Валка деревьев в городских условиях,,ГЭСНр 81-02-68-2020,,,,
,KG,,,,Ремонт асфальтобетонного покрытия,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-13,
,,KGA,,,Разборка асфальтобетонного покрытия вокруг колодцев,,ГЭСНр 81-02-68-2020,,,,
,,KGB,,,Погрузка асфальтобетона на бортовой автомобиль,,ГЭСНр 81-02-68-2020,,,,
,,KGC,,,Разборка покрытия,,ГЭСНр 81-02-68-2020,,,,
,,KGD,,,"Сгребание материала, полученного от разборки покрытия",,ГЭСНр 81-02-68-2020,,,,
,,KGE,,,Разломка и обрубка краев асфальтобетона,,ГЭСНр 81-02-68-2020,,,,
,,KGF,,,Очистка основания при ремонте асфальтобетонного покрытия,,ГЭСНр 81-02-68-2020,,,,
,,KGG,,,Проливка битумом и смазка краев обрубленных мест,,ГЭСНр 81-02-68-2020,,,,
,,KGH,,,Укладка асфальтобетонной смеси,,ГЭСНр 81-02-68-2020,,,,
,,KGJ,,,Укатка катком асфальтобетонного покрытия,,ГЭСНр 81-02-68-2020,,,,
,,KGK,,,Россыпь дополнительного слоя щебня и высевок,,ГЭСНр 81-02-68-2020,,,,
,,KGL,,,Разравнивание дополнительного слоя щебня и высевок,,ГЭСНр 81-02-68-2020,,,,
,,KGM,,,Уплотнение дополнительного слоя щебня и высевок,,ГЭСНр 81-02-68-2020,,,,
,,KGN,,,Укладка асфальтобетонной смеси при ремонте тротуаров,,ГЭСНр 81-02-68-2020,,,,
,,KGP,,,Разравнивание асфальтобетонной смеси,,ГЭСНр 81-02-68-2020,,,,
,,KGQ,,,Уплотнение асфальтобетонной смеси,,ГЭСНр 81-02-68-2020,,,,
,,KGR,,,Посыпка отремонтированных мест песком,,ГЭСНр 81-02-68-2020,,,,
,,KGS,,,Затирка трамбовкой,,ГЭСНр 81-02-68-2020,,,,
,,KGT,,,Заделка трещин в асфальтобетонных покрытиях вручную битумом,,ГЭСНр 81-02-68-2020,,,,
,KH,,,,Регулирование высотного положения крышек колодцев,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-37,
,,KHA,,,Выгрузка новых железобетонных регулировочных колец,,ГЭСНр 81-02-68-2020,,,,
,,KHB,,,Снятие крышки и корпуса люка,,ГЭСНр 81-02-68-2020,,,,
,,KHC,,,Установка новых железобетонных регулировочных колец с зачисткой и покрытием поверхности цементным раствором,,ГЭСНр 81-02-68-2020,,,,
,,KHD,,,Установка люка на железобетонные регулировочные кольца с цементированием обоймы,,ГЭСНр 81-02-68-2020,,,,
,KJ,,,,Устройство выравнивающего слоя из асфальтобетонной смеси,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-10,
,,KJA,,,Очистка оснований при устройстве выравнивающего слоя из асфальтобетонной смеси,,ГЭСНр 81-02-68-2020,,,,
,,KJB,,,Укладка асфальтобетонной смеси с укаткой при устройстве выравнивающего слоя,,ГЭСНр 81-02-68-2020,,,,
,KK,,,,Ремонт садовых дорожек,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-8,
,,KKA,,,Разрыхление грунта вручную,,ГЭСНр 81-02-68-2020,,,,
,,KKB,,,Добавление материала покрытия с россыпью,,ГЭСНр 81-02-68-2020,,,,
,,KKC,,,Поливка добавленного материала покрытия вручную,,ГЭСНр 81-02-68-2020,,,,
,,KKD,,,Планировка покрытия вручную,,ГЭСНр 81-02-68-2020,,,,
,,KKE,,,Уплотнение покрытия вручную,,ГЭСНр 81-02-68-2020,,,,
,,KKF,,,Россыпь песка или каменной мелочи с разметанием и окончательной укаткой вручную,,ГЭСНр 81-02-68-2020,,,,
,KL,,,,Штыковка почвы при омоложении растений,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-7,
,,KLA,,,Штыковка почвы с переворачиванием пласта и разбивкой крупных комьев лопатой,,ГЭСНр 81-02-68-2020,,,,
,KM,,,,Омоложение живых изгородей и кустарников,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-6,
,,KMA,,,Вырезка сучьев,,ГЭСНр 81-02-68-2020,,,,
,,KMB,,,Вырезка побегов,,ГЭСНр 81-02-68-2020,,,,
,,KMC,,,Зачистка срезов,,ГЭСНр 81-02-68-2020,,,,
,,KMD,,,Выноска отрезанных сучьев,,ГЭСНр 81-02-68-2020,,,,
,KN,,,,Вырезка сухих ветвей,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-5,
,,KNA,,,Установка приставной лестницы,,ГЭСНр 81-02-68-2020,,,,
,,KNB,,,Вырезка ветвей,,ГЭСНр 81-02-68-2020,,,,
,,KNC,,,Переноска лестницы по ходу работы,,ГЭСНр 81-02-68-2020,,,,
,,KND,,,Выноска ветвей с укладкой в кучи,,ГЭСНр 81-02-68-2020,,,,
,KP,,,,Выкашивание газонов,,ГЭСНр 81-02-68-2020,,,ГЭСНр 68-4,
,KQ,,,,Формовочная обрезка деревьев при ремонтных работах по благоустройству,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-2,
,,KQA,,,Установка стремянки,,ГЭСНр 81-02-68-2020,,,,
,,KQB,,,Профильная обрезка кроны дерева с приданием формы,,ГЭСНр 81-02-68-2020,,,,
,KR,,,,Корчевка пней вручную,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-1,
,,KRA,,,Окопка пня с подрезкой корней,,ГЭСНр 81-02-68-2020,,,,
,,KRB,,,Ручная корчевка с очисткой пня от земли и выноской к дороге,,ГЭСНр 81-02-68-2020,,,,
,,KRC,,,Засыпка ямы землей,,ГЭСНр 81-02-68-2020,,,,
,KS,,,,Исправление профиля щебеночных и гравийных оснований,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-9,
,,KSA,,,Очистка оснований при исправлении профиля оснований,,ГЭСНр 81-02-68-2020,,,,
,,KSB,,,Кирковка с поливкой водой,,ГЭСНр 81-02-68-2020,,,,
,,KSC,,,Сгребание вскиркованного материала,,ГЭСНр 81-02-68-2020,,,,
,,KSD,,,Разравнивание вскиркованного материала,,ГЭСНр 81-02-68-2020,,,,
,,KSE,,,Россыпь новых материалов при исправлении профиля оснований,,ГЭСНр 81-02-68-2020,,,,
,,KSF,,,Разравнивание новых материалов,,ГЭСНр 81-02-68-2020,,,,
,KT,,,,Ремонт бордюров и тротуаров,,ГЭСНр 81-02-68-2020,по виду работ,,"ГЭСНр 68-17
ГЭСНр 68-16
ГЭСНр 68-20",
,,KTA,,,Разломка покрытий тротуаров из асфальтовой смеси вдоль борта,,ГЭСНр 81-02-68-2020,,,,
,,KTB,,,Рыхление и разломка материалов основания борта,,ГЭСНр 81-02-68-2020,,,,
,,KTC,,,Выравнивание бордюрных камней по отметке с подбивкой основания,,ГЭСНр 81-02-68-2020,,,,
,,KTD,,,Засыпка пазух с трамбованием,,ГЭСНр 81-02-68-2020,,,,
,,KTE,,,Заливка швов раствором,,ГЭСНр 81-02-68-2020,,,,
,,KTF,,,Заделка швов цементным раствором в существующих бордюрах,,ГЭСНр 81-02-68-2020,,,,
,,KTG,,,Разборка тротуаров из плит,,ГЭСНр 81-02-68-2020,,,,
,,KTH,,,Размостка плитных тротуаров с разборкой,,ГЭСНр 81-02-68-2020,,,,
,,KTJ,,,Перемощение мостовой,,ГЭСНр 81-02-68-2020,,,,
,,KTK,,,Разборка покрытий и оснований при ремонте бордюров,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-13 ,
,,,KTKA,,Очистка покрытия или основания при ремонте бордюров,,ГЭСНр 81-02-68-2020,,,,
,,,KTKB,,Разборка покрытия и основания при ремонте бордюров,,ГЭСНр 81-02-68-2020,,,,
,,,KTKC,,"Сгребание материала, полученного от разборки бордюров",,ГЭСНр 81-02-68-2020,,,,
,,,KTKD,,Сортировка камня с выборкой годной шашки при ремонте бордюров,,ГЭСНр 81-02-68-2020,,,,
,,,KTKE,,"Отправка в штабеля материала, полученного при разборке",,ГЭСНр 81-02-68-2020,,,,
,,,KTKF,,Фрезерование а/б покрытия с погрузкой,,ГЭСНр 81-02-68-2020,,,,
,,,KTKG,,"Зачистка отшлифованного покрытия от а/б лома, образующегося при ручной разборке вокруг люков",,ГЭСНр 81-02-68-2020,,,,
,,,KTKH,,Расчистка швов алмазным диском,,ГЭСНр 81-02-68-2020,,,,
,,,KTKJ,,Расчистка швов между плитками и отбивка плиток от монтажного слоя,,ГЭСНр 81-02-68-2020,,,,
,,,KTKK,,Очистка поверхности разобранной плитки от остатков цементно-песчаной смеси,,ГЭСНр 81-02-68-2020,,,,
,,,KTKL,,"Отбор очищенной плитки по сорту, размеру и тону",,ГЭСНр 81-02-68-2020,,,,
,,,KTKM,,Упаковка плитки на поддоне,,ГЭСНр 81-02-68-2020,,,,
,,,KTKN,,Чистовая зачистка основания вручную,,ГЭСНр 81-02-68-2020,,,,
,,KTL,,,Разборка бортовых камней при ремонте бордюров,,ГЭСНр 81-02-68-2020,,,ГЭСНр 68-14,
,KU,,,,Восстановление профиля канав вручную,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-22 ,
,,KUA,,,Очистка от кустарника,,ГЭСНр 81-02-68-2020,,,,
,,KUB,,,Отрывка грунта,,ГЭСНр 81-02-68-2020,,,,
,,KUC,,,Планировка откосов,,ГЭСНр 81-02-68-2020,,,,
,,KUD,,,Разравнивание откосов,,ГЭСНр 81-02-68-2020,,,,
,KV,,,,Ремонт металлических ограждений,,ГЭСНр 81-02-68-2020,по виду работ,,ГЭСНр 68-23,
,,KVA,,,Выправка на месте погнутых элементов,,ГЭСНр 81-02-68-2020,,,,
,,KVB,,,Скрепление деталей электросваркой,,ГЭСНр 81-02-68-2020,,,,
,,KVC,,,Вырезка отдельных негодных деталей,,ГЭСНр 81-02-68-2020,,,,
,,KVD,,,Заготовка новых деталей,,ГЭСНр 81-02-68-2020,,,,
,,KVE,,,Установка новых деталей,,ГЭСНр 81-02-68-2020,,,,
,,KVF,,,Смена отдельных участков металлического ограждения газонов,,ГЭСНр 81-02-68-2020,,,,
