Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
,,AJF,,,"Срезка сборочных приспособлений и зачистка мест среза после усиления металлических конструкций стропильных и подстропильных ферм, решетчатых ригелей",,ГЭСН 81-02-46-2020,,,,
,AK,,,,Усиление металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-010
",
,,AKA,,,Демонтаж тормозного настила для усиления конструкций,,ГЭСН 81-02-46-2020,,,,
,,AKB,,,Демонтаж ограждения для усиления конструкций,,ГЭСН 81-02-46-2020,,,,
,,AKC,,,Демонтаж рельсов для усиления конструкций,,ГЭСН 81-02-46-2020,,,,
,,AKD,,,"Монтаж тормозного настила, ограждения, рельсов после усиления конструкций",,ГЭСН 81-02-46-2020,,,,
,,AKE,,,Подъем на подмости элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2020,,,,
,,AKF,,,Установка и прикрепление элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2020,,,,
,,AKG,,,"Выверка, подгонка элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения",,ГЭСН 81-02-46-2020,,,,
,,AKH,,,Электроприхватка и окончательное закрепление при помощи электросварки элементов усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2020,,,,
,,AKJ,,,Срезка сборочных приспособлений после усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2020,,,,
,,AKK,,,Сверление и постановка болтов для усиления металлических конструкций подкрановых балок и ригелей сплошного сечения,,ГЭСН 81-02-46-2020,,,,
,AL,,,,"Усиление колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-012
",
,,ALA,,,"Подъем на подмости элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,,,,
,,ALB,,,"Установка и прикрепление элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,,,,
,,ALC,,,"Выверка, подгонка элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,,,,
,,ALD,,,"Электроприхватка и окончательное закрепление при помощи электросварки элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,,,,
,,ALE,,,"Срезка сборочных приспособлений и зачистка мест среза элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,,,,
,,ALF,,,"Постановка высокопрочных болтов для элементов усиления колонн, стоек, рамных конструкций различного назначения",,ГЭСН 81-02-46-2020,,,,
,AM,,,,Усиление элементов металлоконструкций,,ГЭСН 81-02-46-2020,По виду работ,,"ГЭСН 46-01-013
",
,,AMA,,,Зачистка с помощью шлифмашинки элементов металлоконструкций для усиления,,ГЭСН 81-02-46-2020,,,,
,,AMB,,,Наплавка усиливаемых сварных швов,,ГЭСН 81-02-46-2020,,,,
,,AMC,,,"Разделка трещин, разметка отверстий, рассверловка для усиления элементов металлоконструкций",,ГЭСН 81-02-46-2020,,,,
,,AMD,,,Заварка трещин для усиления элементов металлоконструкций,,ГЭСН 81-02-46-2020,,,,
,,AME,,,Установка ребер жесткости для усиления элементов металлоконструкций,,ГЭСН 81-02-46-2020,,,,
,AN,,,,Устройство въездов в металлических каркасах стен при установке в цехах негабаритного оборудования,,ГЭСН 81-02-46-2020,По условию производства работ,,ГЭСН 46-01-014,
,,ANA,,,Демонтаж колонн при помощи крана и приварка столиков к колоннам,,ГЭСН 81-02-46-2020,,,,
,,ANB,,,Установка домкратов для устройства въездов,,ГЭСН 81-02-46-2020,,,,
,,ANC,,,Снятие домкратов после устройства въездов,,ГЭСН 81-02-46-2020,,,,
,,AND,,,"Демонтаж подкрановых балок, связей и тормозного настила с резкой швов демонтируемых конструкций",,ГЭСН 81-02-46-2020,,,,
,,ANE,,,Установка инвентарных лестниц для устройства въездов,,ГЭСН 81-02-46-2020,,,,
,,ANF,,,Снятие инвентарных лестниц после устройства въездов,,ГЭСН 81-02-46-2020,,,,
,,ANG,,,Сортировка конструкций для устройства въездов,,ГЭСН 81-02-46-2020,,,,
,,ANH,,,"Укрупнительная сборка подкрановых балок, укладка подкрановых балок, связей, тормозного настила, крановых рельсов для устройства въездов",,ГЭСН 81-02-46-2020,,,,
,AP,,,,Рихтовка подкрановых балок,,ГЭСН 81-02-46-2020,По месту работ,,ГЭСН 46-01-015,
,,APA,,,Установка инвентарных подмостей для рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
,,APB,,,Разборка инвентарных подмостей после рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
,,APC,,,Установка тупиковых упоров для рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
,,APD,,,Снятие тупиковых упоров после рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
,,APE,,,Установка столиков под домкраты для рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
,,APF,,,Подъем подкрановых балок с предварительным снятием болтов крепления и последующей их установкой для рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
,,APG,,,Опускание подкрановых балок с предварительным снятием болтов крепления и последующей их установкой после рихтовки подкрановых балок,,ГЭСН 81-02-46-2020,,,,
B,,,,,Замена конструкций,,ГЭСН 81-02-46-2020,По виду работ,,,
,BA,,,,Замена деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-001,
,,BAA,,,Временное ограждение междуэтажных и чердачных помещений,,ГЭСН 81-02-46-2020,,,,
,,BAB,,,Временное раскрепление существующих колонн междуэтажных и чердачных помещений,,ГЭСН 81-02-46-2020,,,,
,,BAC,,,Установка подмостей для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2020,,,,
,,BAD,,,"Разборка элементов деревянных междуэтажных и чердачных перекрытий (прогоны, балки, настилы, подшивки, смазки, утеплители)",,ГЭСН 81-02-46-2020,,,,
,,BAE,,,Пробивка и заделка гнезд и борозд для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2020,,,,
,,BAF,,,Установка опалубки для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2020,,,,
,,BAG,,,Установка арматуры для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2020,,,,
,,BAH,,,Укладка бетона для замены деревянных междуэтажных и чердачных перекрытий на железобетонные монолитные ребристые,,ГЭСН 81-02-46-2020,,,,
,BB,,,,Замена перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-002,
,,BBA,,,Разборка кирпичных сводов при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBB,,,Разборка утеплителей при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBC,,,Пробивка гнезд и борозд при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBD,,,Установка опалубки при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBE,,,Установка арматуры при замене перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBF,,,Укладка бетона для замены перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBG,,,Временное раскрепление существующих колонн при замене перекрытий на монолитные железобетонные.,,ГЭСН 81-02-46-2020,,,,
,,BBH,,,Установка подмостей для замены перекрытий на монолитные железобетонные,,ГЭСН 81-02-46-2020,,,,
,,BBJ,,,"Разборка настила из гофрированной стали, кирпичной забутки и бетона, уложенного по гофрированной стали",,ГЭСН 81-02-46-2020,,,,
,BC,,,,Демонтаж металлоконструкций покрытий,"Снятие с места эксплуатации машин, разборка машин, оборудования, сооружений или их частей",ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-004,
,,BCA,,,"Демонтаж заменяемых конструкций покрытий (кровли из волнистого железа, прогонов, фонаря и связей) с резкой фасонок, фиксаторов, срезкой болтов",,ГЭСН 81-02-46-2020,,,,
,,BCB,,,Перемещение по кровле и опускание вниз демонтированных конструкций,,ГЭСН 81-02-46-2020,,,,
,BD,,,,"Монтаж металлоконструкций покрытия, зенитных фонарей, прогонов профилированного настила, светоаэрационной стенки",,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-005,
,,BDA,,,"Подъем и перемещение по кровле монтируемых конструкций, закрепление их сборочными приспособлениями, электроприхватка и проектное закрепление",,ГЭСН 81-02-46-2020,,,,
,,BDB,,,Укрупнение зенитных фонарей и светоаэрационной стенки,,ГЭСН 81-02-46-2020,,,,
,BE,,,,Замена бутовых фундаментов под существующими стенами,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-006,
,,BEA,,,Установка с креплением временных подкосов и опорных подушек для разгрузки фундаментов,,ГЭСН 81-02-46-2020,,,,
,,BEB,,,Разборка фундаментов отдельными участками,,ГЭСН 81-02-46-2020,,,,
,,BEC,,,Подготовка основания и кладка бутовых фундаментов отдельными участками с устройством гидроизоляции,,ГЭСН 81-02-46-2020,,,,
,,BED,,,Разборка временных подкосов и опорных подушек,,ГЭСН 81-02-46-2020,,,,
,BF,,,,Кладка отдельных участков кирпичных стен и заделка проемов в кирпичных стенах,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-007,
,,BFA,,,Кладка отдельных участков стен или заделка проемов кирпичом с перевязкой новой кладки со старой,,ГЭСН 81-02-46-2020,,,,
,BG,,,,Замена ступеней,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-02-008,
,,BGA,,,Снятие негодных ступеней с пробивкой в стене гнезд и борозд,,ГЭСН 81-02-46-2020,,,,
,,BGB,,,Установка ступеней на месте с подгонкой,,ГЭСН 81-02-46-2020,,,,
,,BGC,,,Заделка раствором щелей между ступенями,,ГЭСН 81-02-46-2020,,,,
,,BGD,,,Заделка концов ступеней в стенах,,ГЭСН 81-02-46-2020,,,,
,BH,,,,Отбивка штукатурки,,ГЭСН 81-02-46-2020,,,ГЭСН 46-02-009,
,,BHA,,,Простукивание поверхности,,ГЭСН 81-02-46-2020,,,,
,,BHB,,,Отбивка отставшей штукатурки,,ГЭСН 81-02-46-2020,,,,
C,,,,,Разборка конструкций,,ГЭСН 81-02-46-2020,По виду работ,,,
,CA,,,,Разборка фундаментов и стен,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-001,
,,CAA,,,Разборка конструкций фундаментов и стен,,ГЭСН 81-02-46-2020,,,,
,,CAB,,,Резка арматуры фундаментов и стен,,ГЭСН 81-02-46-2020,,,,
,CB,,,,Разборка монолитных перекрытий,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-002,
,,CBA,,,Разборка бетонных и железобетонных перекрытий,,ГЭСН 81-02-46-2020,,,,
,,CBB,,,Резка арматуры бетонных и железобетонных перекрытий,,ГЭСН 81-02-46-2020,,,,
,CC,,,,Разборка бетонных и железобетонных конструкций при помощи отбойных молотков,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-003,
,,CCA,,,Разборка бетонных конструкций,,ГЭСН 81-02-46-2020,,,,
,,CCB,,,Разборка железобетонных конструкций,,ГЭСН 81-02-46-2020,,,,
,,CCC,,,Резка арматуры бетонных и железобетонных конструкций,,ГЭСН 81-02-46-2020,,,,
,CD,,,,Выбивка сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-004,
,,CDA,,,Установка тупиков на подкрановых путях при выбивке сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2020,,,,
,,CDB,,,Установка направляющих металлоконструкций,,ГЭСН 81-02-46-2020,,,,
,,CDC,,,Установка временных приспособлений для демонтажа,,ГЭСН 81-02-46-2020,,,,
,,CDD,,,Выбивка бетона на всех ветвях колонны,,ГЭСН 81-02-46-2020,,,,
,,CDE,,,Резка арматуры при выбивке сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2020,,,,
,,CDF,,,Демонтаж временных приспособлений после выбивки сборных железобетонных колонн при увеличении шага колонн в действующих цехах промышленных зданий,,ГЭСН 81-02-46-2020,,,,
,CE,,,,Разборка монолитных перегородок,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-005,
,,CEA,,,Разборка монолитных перегородок общая,,ГЭСН 81-02-46-2020,,,,
,,CEB,,,Резка арматуры монолитных перегородок,,ГЭСН 81-02-46-2020,,,,
,CF,,,,Разборка деревянных перегородок,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-006,
,,CFA,,,Разборка деревянных перегородок со снятием креплений,,ГЭСН 81-02-46-2020,,,,
,,CFB,,,Отбивка штукатурки деревянных перегородок,,ГЭСН 81-02-46-2020,,,,
,CG,,,,Разборка деревянных элементов перекрытий и покрытий,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-007,
,,CGA,,,"Разборка засыпок, смазок и изоляционных прокладок деревянных элементов перекрытий и покрытий",,ГЭСН 81-02-46-2020,,,,
,,CGB,,,Отбивка штукатурки деревянных элементов перекрытий и покрытий,,ГЭСН 81-02-46-2020,,,,
,,CGC,,,"Разборка балок, накатов и подшивок деревянных элементов перекрытий и покрытий",,ГЭСН 81-02-46-2020,,,,
,,CGD,,,"Разборка прогонов, защитного и рабочего настилов при разборке деревянных элементов перекрытий и покрытий",,ГЭСН 81-02-46-2020,,,,
,,CGE,,,Разборка потолка с отвинчиванием шурупов и снятием болтов с несущих балок и деревянных направляющих брусков,,ГЭСН 81-02-46-2020,,,,
,,CGF,,,Разборка плит со сдвижкой их по направляющим и срезка алюминиевых гребенок с направляющими,,ГЭСН 81-02-46-2020,,,,
,,CGG,,,Снятие подвесок со скобами с резкой несущих уголков и разбалчиванием,,ГЭСН 81-02-46-2020,,,,
,CH,,,,Разборка покрытий кровель,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-008,
,,CHA,,,Снятие материала покрытия кровли,,ГЭСН 81-02-46-2020,,,,
,,CHB,,,"Скатывание рулонных материалов, полученных от разборки покрытий кровель",,ГЭСН 81-02-46-2020,,,,
,CJ,,,,Разборка бетонных оснований под полы,,ГЭСН 81-02-46-2020,,,ГЭСН 46-04-009,
,CK,,,,Разборка покрытий полов,,ГЭСН 81-02-46-2020,,,ГЭСН 46-04-010,
,CL,,,,Разборка покрытий полов в зданиях и сооружениях с агрессивными средами,,ГЭСН 81-02-46-2020,По способу производства работ ,,ГЭСН 46-04-011,
,,CLA,,,Разборка покрытия полов с очисткой годных плиток и кирпича от раствора,,ГЭСН 81-02-46-2020,,,,
,CM,,,,Разборка деревянных заполнений проемов,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-012,
,,CMA,,,Снятие оконных деревянных переплетов,,ГЭСН 81-02-46-2020,,,,
,,CMB,,,"Выемка коробок со снятием наличников, отбивкой откосов и четвертей в проемах",,ГЭСН 81-02-46-2020,,,,
,CN,,,,Разборка лестничных маршей и площадок,,ГЭСН 81-02-46-2020,По виду работ,,ГЭСН 46-04-013,
,,CNA,,,Установка лесов и подмостей для разборки лестничных маршей и площадок,,ГЭСН 81-02-46-2020,,,,
,,CNB,,,Разборка лесов и подмостей после разборки лестничных маршей и площадок,,ГЭСН 81-02-46-2020,,,,
