Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,CBD,,,Топографическая съемка,"Комплекс работ, выполняемых с целью получения съемочного оригинала топографической карты или плана, а также получение топографической информации в другой форме","СП 126.13330.2017
СП 11-104-97
СБЦ ",По виду работ,,
,,,CBDA,,Стереотопографическая съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBDB,,Мензульная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBDC,,Тахеометрическая съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBDD,,Теодолитная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBDE,,Буссольная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBDF,,Гидролокационная съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBDG,,Аэрофотосъёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBDH,,Цифровая съёмка,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,CBE,,,Инженерно-гидрографические геодезические работы,,"СП 126.13330.2017
СП 11-104-97
СБЦ",По виду работ,,
,,,CBEA,,Создание планово-высотных инженерно-гидрографических геодезических сетей ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBEB,,Топографические съемки прибрежной части (полосы) суши инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBEC,,Русловые съемки инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBED,,Промеры глубин инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBEE,,Нивелирование водной поверхности инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBEF,,Однодневные связки уровней воды инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBEG,,Мгновенные связки уровней воды инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBEH,,Гидрографическое траление инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBEJ,,Обследование подводных препятствий инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,,CBEK,,Трассирование судовых ходов инженерно-гидрографических работ,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,,,CBEL,,Специальные гидрографические работы ,,"СП 126.13330.2017
СП 11-104-97
СБЦ ",,,
,,CBF,,,Лазерное сканирование,,"СП 126.13330.2017
СП 11-104-97
СБЦ",,,
,CC,,,,Инженерно-геологические полевые работы,,"СП 11-105-97
СБЦ",По виду работ,,
,,CCA,,,Буровые работы при инженерно-геологических полевых работах,,"СП 11-105-97
СБЦ",По способу производства работ,,
,,,CCAA,,Бурение вручную при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCAB,,Бурение переносными буровыми установками при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCAC,,Колонковое бурение при инженерно-геологических полевых работах,,"СП 11-105-97
СБЦ",,,
,,,CCAD,,Механическое ударно-канатное бурение при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCAE,,Шнековое бурение скважин и шурфов-дудок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCAF,,Вибрационное бурение при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCAG,,Бурение с обратной промывкой при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,CCB,,,Горнопроходческие работы при инженерно-геологических работах,,"СП 11-105-97
СБЦ",По способу производства работ,,
,,,CCBA,,Проходка открытых горных выработок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCBB,,Проходка подземных горных выработок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,,CCBC,,Дополнительные работы при проходке горных выработок при инженерно-геологических работах,,"СП 11-105-97
СБЦ",,,
,,CCC,,,Опытно-фильтрационные работы и стационарное наблюдение при инженерно-геологических работах,,"СП 11-105-97
СБЦ",По виду работ,,
,,,CCCA,,Опытно-фильтрационные работы,,"СП 11-105-97
СБЦ",,,
,,,CCCB,,Стационарные наблюдения,Постоянные (непрерывные или периодические) наблюдения (измерения) за изменениями состояния отдельных факторов (компонентов) территории в заданных пунктах.,"СП 11-105-97
СБЦ",,,
,,,CCCC,,Сопутствующие работы при проведении опытно-фильтрационных работ,,"СП 11-105-97
СБЦ",,,
,,CCD,,,Рекультивационные работы при инженерно-геологических изысканиях,,"СП 11-105-97
СБЦ",,,
,,CCE,,,Радиометрические работы при инженерно-геологических изысканиях,,"СП 11-105-97
СБЦ",По виду работ,,
,,,CCEA,,Определение плотности потока радона,,"СП 11-105-97
СБЦ",,,
,CD,,,,Инженерно-экологические полевые работы,,"СП 11-102-97
СБЦ",По виду работ,,
