Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Примечания
,,,CABD,,Здание (сооружение) объектов производства катализаторов,,Классификатор ОКС по НФТО,,"Здание цеха производства железооксидных катализаторов
Здание цеха производства ионитных катализаторов
Здание цеха производства катализаторов диалюминий триоксида",6.2.7,
,,,CABE,,Здание (сооружение) объектов производства каучуков и латексов,,Классификатор ОКС по НФТО,,"Здание цеха агломерации латекса под давлением концентрирования и хранения латекса
Здание цеха выделения каучука
Здание цеха выделения мономеров и растворителя",6.2.3,
,,,CABF,,Здание (сооружение) объектов производства мономеров и продуктов нефтехимического синтеза,,Классификатор ОКС по НФТО,,"Здание цеха алкилирования бензола пропиленом
Здание цеха выделения и очистки изопрена
Здание цеха выделения фенола и ацетона",6.2.4,
,,,CABG,,Здание (сооружение) объектов производства резиновых технических изделий,,Классификатор ОКС по НФТО,,"Здание подготовительного цеха производств резиновых технических изделий
Здание цеха по производству технического углерода
Здание цеха резиновых технических изделий",6.2.6,
,,,CABH,,Здание (сооружение) объектов производства синтетических жирозаменителей и поверхностно-активных веществ,,Классификатор ОКС по НФТО,,"Здание цеха извлечения сульфата натрия из сточных вод производства синтетических жирных кислот
Здание цеха очистки синтетических жирных кислот
Здание цеха по производству порошкообразных синтетических моющих средств бытового назначения",6.2.5,
,,,CABJ,,Здание (сооружение) объектов производства смазочных масел и присадок,,Классификатор ОКС по НФТО,,"Здание цеха по производству авиационной пластичной смазки
Здание цеха по производству алкил фенольной присадки
Здание цеха по производству антиокислительной присадки",6.2.1,
,,,CABK,,Здание (сооружение) объектов ремонтных служб нефтеперерабатывающей промышленности,,Классификатор ОКС по НФТО,,"Здание мастерской межцеховых коммуникаций
Здание поверочного расходомерного комплекса для куста нефтеперерабатывающих предприятий
Здание производственной базы ремонтно-строительного управления нефтеперерабатывающей промышленности",6.2.8,
,,CAC,,,Объекты угольной промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,6.3,
,,,CACA,,Здание (сооружение) объектов производства изделий из угля,,Классификатор ОКС по НФТО,,"Здание цеха брикетирования угля
Здание цеха производства угольных электродов
Здание цеха производства угольных электрощеток",6.3.1,
,,,CACB,,Здание (сооружение) объектов углеобогатительного предприятия,,Классификатор ОКС по НФТО,,"Здание углеподготовительного цеха углеобогатительной фабрики
Здание цеха агломерации угля, антрацита и бурого угля (лигнита)
Здание цеха обогащения энергетического угля и антрацита",6.3.2,
,CB,,,,Объекты легкой промышленности,,Классификатор ОКС по НФТО,По виду ОКС,,4,
,,CBA,,,Здание (сооружение) объектов кожевенной промышленности,,Классификатор ОКС по НФТО,,"Здание цеха по производству переплетных материалов
Здание цеха по производству чемоданов, сумок из кожи
Здание цеха по производству искусственных кож",4.2,
,,CBB,,,Здание (сооружение) объектов меховой промышленности,,Классификатор ОКС по НФТО,,"Здание красильноотделочного цеха
Здание цеха выделки меха
Здание цеха окраски меха",4.3,
,,CBC,,,Здание (сооружение) объектов обувной промышленности,,Классификатор ОКС по НФТО,,"Здание цеха по производству валяной обуви
Здание цеха по производству зимней обуви
Здание цеха по производству обуви",4.7,
,,CBD,,,"Здание (сооружение) объектов промышленности вязанных и трикотажных изделий, верхней одежды",,Классификатор ОКС по НФТО,,"Здание цеха по пошиву изделий из трикотажного полотна
Здание цеха по производству бельевого трикотажа
Здание цеха по производству бытовых и технических перчаток",4.4,
