Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Примечания
,,,CNKG,,Здание (сооружение) объектов транспортировки продукции при производстве удобрений и в ином химическом производстве,,Классификатор ОКС по НФТО,,"Сооружение гидротранспорта
Сооружение конвейерного транспорта
Сооружение пневмотранспорта",7.10.9,
,,,CNKH,,Здание (сооружение) объектов упаковки и фасовки продукции,,Классификатор ОКС по НФТО,,"Здание цеха фасовки
Сооружение фасовки",7.10.10,
,,,CNKJ,,Здание (сооружение) объектов химводоподготовки воды,,Классификатор ОКС по НФТО,,"Сооружение химводоподготовки артезианской воды
Сооружение химводоподготовки водопроводной воды
Сооружение химводоподготовки поверхностных вод",7.10.11,
,,,CNKK,,Здание (сооружение) ремонтно-механических объектов химической промышленности,,Классификатор ОКС по НФТО,,"Здание ремонтно-механического цеха
Здание цеха по ремонту теплосилового оборудования и трассы трубопроводов
Здание цеха по ремонту электротехнического оборудования со складом сырья и готовой продукции при производстве удобрений и химическом производстве",7.10.6,
D,,,,,Объекты энергетики и электроэнергетики,,Классификатор ОКС по НФТО,По виду ОКС,,7.10.6,
,DA,,,,Объекты атомной энергетики,,Классификатор ОКС по НФТО,По виду ОКС,,7.10.6,
,,DAA,,,Здание (сооружение) атомной электрической станции малой мощности стационарного расположения,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,"Здание (сооружение) переработки и хранения радиоактивных отходов
Здание административно-бытового корпуса с переходными галереями, пунктом управления противоаварийными действиями на АЭС
Здание газовых систем",16.3.1,
,,DAB,,,Здание (сооружение) атомной электрической станции с водо-водяным энергетическим реактором,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,"Здание реактора
Здание систем контроля и управления
Здание турбинного цеха атомной электростанции с водо-водяным энергетическим реактором",16.3.2,
,,DAC,,,Здание (сооружение) атомной электрической станции с реактором канального типа,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,"Здание блока вспомогательных систем реакторного отделения
Здание машинного зала и деаэраторной этажерки
Здание реакторного цеха с реактором большой мощности канальным",16.3.4,
,,DAD,,,Здание (сооружение) атомной электрической станции с реактором на быстрых нейтронах,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,"Здание парогенераторного цеха
Здание турбины с деаэратором, включая блок маслохозяйства
Здание электротехнических устройств нормальной эксплуатации",16.3.3,
,DB,,,,Объекты гидроэнергетики,,Классификатор ОКС по НФТО,По виду ОКС,,16.3.3,
,,DBA,,,Здание (сооружение) гидроэлектростанции (Объекты станционного узла),"Электростанция, преобразующая механическую энергию воды в электрическую энергию","Классификатор ОКС по НФТО
ГОСТ 19431-84",,"Бассейн приливной электростанции
Здание гидроаккумулирующей электростанции
Здание служебно-технологического корпуса",16.2.4,
,,DBB,,,Водоподпорное (защитное) сооружение,"

Гидротехническое сооружение для создания подпора","Классификатор ОКС по НФТО
ГОСТ 19185-73",,"Берегоукрепительные и защитные сооружения (берегоукрепление)
Дамба ограждающая
Подпорная стена",16.2.1,
,,DBC,,,Дренажное сооружение,,Классификатор ОКС по НФТО,,"Галерея дренажная
Коллектор дренажный
Штольня дренажная",16.2.2,
,,DBD,,,"Сооружение водосбросное (водоспускное и водовыпускное), водозаборное, водовод","Водопропускное сооружение, предназначенное для сброса воды из верхнего бьефа для предотвращения его переполнения","Классификатор ОКС по НФТО
СП 290.1325800.2016",,"Сооружение акведука
Сооружение водовыпуска
Сооружение водозабора",16.2.3,
,,DBE,,,Сооружение гидроэнергетики специальное,,Классификатор ОКС по НФТО,,"Боновое ограждение (запань)
Лесосплавное сооружение
Рыбопропускное, рыбозащитное устройство",16.2.5,
,DC,,,,Объекты тепловой электроэнергетики,,Классификатор ОКС по НФТО,По виду ОКС,,16.2.5,
,,DCA,,,Теплоэлектростанция,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло","Классификатор ОКС по НФТО
ГОСТ 19431-84",,"Здание газотурбинной электрической станции с агрегатом единичной мощности до 30 МВт
Здание главного корпуса
Здание дизельной электростанции",16.1.1,
,,DCB,,,"Сооружение водоподготовительной установки паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций","Комплекс устройств, обеспечивающих обработку исходной воды до заданного качества","Классификатор ОКС по НФТО
ОСТ 108.030.128-78",,"Сооружение водоподготовительной установки подпитки тепловых сетей (включая баки)
Сооружение водоподготовительной установки подпитки энергетических котлов (включая баки)
Сооружение установки по обезвоживанию шламовых вод от химочисток оборудования",16.1.6,
,,DCC,,,"Здание (сооружение) вспомогательных объектов паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Здание центра холодоснабжения
Здание электрокотельной
Сооружение газорегуляторного пункта теплоэлектростанций",16.1.11,
,,DCD,,,"Сооружение объектов гидроуборки топливоподачи паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Очистное сооружение канализации гидроуборки
Сооружение напорной сети гидроуборки
Сооружение насосной станции перекачки стоков после гидроуборки",16.1.9,
,,DCE,,,"Сооружение объектов золошлакоудаления паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Сооружение багерной насосной
Сооружение золошлакопровода
Сооружение и коммуникации внешнего замкнутого (оборотного) гидрозолоудаления",16.1.10,
,,DCF,,,"Сооружение объектов технологической коммуникации паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Сооружение переходной галереи
Сооружение технологического трубопровода
Эстакада для прокладки технологических трубопроводов",16.1.8,
,,DCG,,,"Сооружение сетей обеспечения газообразным топливом паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Сооружение внешнеплощадочного газопровода
Сооружение дожимающей компрессорной станции
Сооружение станции очистки газа",16.1.4,
,,DCH,,,"Сооружение сетей обеспечения жидким топливом и маслохозяйство паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,Сооружение приемно-сливного устройства,16.1.3,
,,DCJ,,,"Сооружение сетей обеспечения твердым топливом паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Здание электротехнических устройств (со щитом управления)
Сооружение размораживающего и разгрузочного устройства",16.1.2,
,,DCK,,,"Сооружение сетей производства и разводки спецгазов паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,Сооружение компрессорной станции,16.1.5,
,,DCL,,,"Сооружение сетей технического водоснабжения паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Здание насосной технического водоснабжения
Сооружение брызгального бассейна
Сооружение водовода подпиточной воды
Сооружение водовыпуска",16.1.7,
,DD,,,,Объекты прочей энергетики,,Классификатор ОКС по НФТО,По виду ОКС,,16.1.7,
,,DDA,,,Электрическая станция на возобновляемых источниках энергии,,Классификатор ОКС по НФТО,,"Здание (сооружение) геотермальной электростанции
Сооружение ветряной электростанции
Сооружение солнечной электростанции",16.4.1,
,,DDB,,,Электрическая станция на невозобновляемых источниках энергии,,Классификатор ОКС по НФТО,,"Здание (сооружение) газопоршневой электростанции
Здание (сооружение) парогазовой электростанции
Здание биоэнергостанции",16.4.2,
,DE,,,,Объекты обеспечения электроэнергией,,Классификатор ОКС по НФТО,По виду ОКС,,16.4.2,
,,DEA,,,"Переходы воздушных линий электропередач, коммуникационные тоннели, объекты канализации",,Классификатор ОКС по НФТО,По виду ОКС,,16.4.2,
,,,DEAA,,Сооружение перехода воздушных линий электропередач,,Классификатор ОКС по НФТО,,"Кабельная эстакада
Сооружение воздушного перехода высоковольтной линии электропередач через водные преграды, железные дороги и другие инженерные сооружения",16.5.2,
,,,DEAB,,Сооружение коммуникационного тоннеля,,Классификатор ОКС по НФТО,,"Сооружение кабельного канала, тоннель для электрических кабелей
Сооружение узла, камеры при прокладке кабелей",16.5.2,
,,DEB,,,Здание (сооружение) объектов электрических сетей,,Классификатор ОКС по НФТО,,"Здание (сооружение) пункта релейной защиты
Здание (сооружение) реакторного пункта
Здание диспетчерской",16.5.1,
,DF,,,,Объекты газораспределения,,Классификатор ОКС по НФТО,По виду ОКС,,16.5.1,
,,DFA,,,Здание (сооружение) объектов газораспределительных сетей,,Классификатор ОКС по НФТО,,"Здание или сооружение газорегуляторного пункта
Здание или сооружение контрольно­распределительного пункта
Мостовой переход газопровода",16.6.1,
,,DFB,,,Здание (сооружение) объектов обеспечения сжатым и сжиженным газовым топливом,,Классификатор ОКС по НФТО,,"Сооружение газонаполнительного пункта бытовых установок сжиженного газа
Сооружение газонаполнительной станции сжиженных газов
Сооружение пункта наполнения баллонов сжиженным газом",16.6.2,
,DG,,,,Объекты теплоснабжения и кондиционирования воздуха,,Классификатор ОКС по НФТО,По виду ОКС,,16.6.2,
,,DGA,,,Здание (сооружение) объектов вентиляции,,Классификатор ОКС по НФТО,,"Сооружение вытяжной вентиляционной камеры и вентиляционной трубы
Сооружение газохода или воздуховода
Сооружение по сбору конденсата объекта вентиляции",16.7.5,
,,DGB,,,"Здание (сооружение) объектов механической очистки газов, воздуха",,Классификатор ОКС по НФТО,,"Сооружение газоотборной системы для отбора газов (газовоздушных смесей) от печей, автоклавов и другого технологического оборудования
Сооружение очистки или подготовки газов (воздуха)
Сооружение очистки промышленных газов и аспирационного воздуха",16.7.3,
,,DGC,,,"Здание (сооружение) объектов химической очистки газов, воздуха",,Классификатор ОКС по НФТО,,"Здание цеха очистки вентиляционных выбросов
Здание цеха очистки горючих газов
Здание цеха очистки негорючих газов (воздуха)",16.7.4,
,,DGD,,,Здание (сооружение) объектов тепловых и холодильных пунктов,,Классификатор ОКС по НФТО,,"Здание теплового пункта
Сооружение индивидуального теплового пункта
Сооружение теплораспределительного пункта",16.7.1,
,,DGE,,,Здание (сооружение) объектов тепловых сетей,,Классификатор ОКС по НФТО,,"Здание отопительной котельной
Здание пуско-отопительной котельной
Здание пускорезервной котельной",16.7.2,
,DH,,,,Объекты вспомогательной инфраструктуры энергетики и электроэнергетики,,Классификатор ОКС по НФТО,По виду ОКС,,16.7.2,
,,DHA,,,Здание (сооружение) вспомогательных объектов атомной электрической станции малой мощности стационарного расположения,,Классификатор ОКС по НФТО,,"Здание базы ремонтных организаций
Здание мастерской зоны свободного доступа
Сооружение гражданской обороны",16.8.3,
,,DHB,,,Здание (сооружение) вспомогательных объектов атомной электрической станции с реактором на быстрых нейтронах,,Классификатор ОКС по НФТО,,"Здание административно-лабораторно­бытового корпуса
Здание информационного центра атомной электрической станции
Здание спецбытового корпуса со спецпрачечной",16.8.11,
,,DHC,,,Здание (сооружение) вспомогательных объектов ГЭС,,Классификатор ОКС по НФТО,,"Сооружение масляного хозяйства ГЭС
Сооружение осушения ГЭС
Сооружение пневматического хозяйства ГЭС",16.8.4,
,,DHD,,,Здание (сооружение) вспомогательных объектов обеспечения электроэнергией,,Классификатор ОКС по НФТО,,"Здание ремонтно-производственной базы электросетей
Здание электроремонтного цеха объекта энергетики и электроэнергетики
Сооружение башни ревизии трансформаторов с баками аварийного слива с системой охлаждения масла",16.8.6,
,,DHF,,,Инженерное сооружение по защите промплощадки атомной электрической станции малой мощности стационарного расположения,,Классификатор ОКС по НФТО,,"Здание парогенераторного цеха с блочным пунктом управления атомной электростанции
Здание центрального щита управления с блоками вспомогательных сооружений для АЭС
Здание электротехнических этажерок реакторного отделения",16.8.8,
,,DHG,,,Коллектор общего назначения,,Классификатор ОКС по НФТО,,"Сооружение блочной канализации общего назначения
Сооружение коллектора
Сооружение колодца блочной канализации",16.8.2,
,,DHH,,,"Мастерская ремонтно- эксплуатационные паротурбинных конденсационных электрических станций, ТЭЦ, котельных, электрокотельных, дизельных электростанций, газотурбинных электрических станций",,Классификатор ОКС по НФТО,,"Здание мастерской по ремонту спецхимпокрытий
Здание мастерской по ремонту трансформаторов
Сооружение ремонтной мастерской",16.8.1,
,,DHJ,,,Обеспечивающий объект атомной электрической станции малой мощности стационарного расположения,,Классификатор ОКС по НФТО,,"Вспомогательное реакторное здание
Здание для баков запаса обессоленной воды и бака загрязненного конденсата
Здание комплектного распределительного устройства (КРУЭ) атомной электростанции",16.8.3,
,,DHK,,,Обеспечивающий объект атомной электрической станции с водо-водяным энергетическим реактором,,Классификатор ОКС по НФТО,,"Очистное сооружение атомной электрической станции
Сооружение напорного водовода продувки, концевое сооружение водовода
Сооружение отводящего канала градирни с сопрягающими сооружениями",16.8.9,
,,DHL,,,Обеспечивающий объект атомной электрической станции с реактором канального типа,,Классификатор ОКС по НФТО,,"Здание для размещения инженерно­технических средств, помещений охраны и комплекса технических средств охраны системы физической защиты
Сооружение площадки ресиверов азота и водорода
Сооружение холодильной станции атомной электростанции
Сооружение системы контроля радиационной обстановки (АСКРО)",16.8.12,
,,DHM,,,Обеспечивающий объект атомной электрической станции с реактором на быстрых нейтронах,,Классификатор ОКС по НФТО,,"Здание мастерской ремонта оборудования зоны контролируемого доступа
Сооружение пешеходной галереи
Сооружение эстакады технологических трубопроводов на промплощадке",16.8.10,
,,DHN,,,Общестанционный объект атомных электрических станций,,Классификатор ОКС по НФТО,,"Гидротехническое сооружение атомной электростанции
Здание насосной станции систем автоматического пожаротушения и сооружение запаса воды
Здание объединенной насосной станции хозпитьевого, производственного и противопожарного водоснабжения с сетями водоснабжения по площадке",16.8.13,
E,,,,,"Объекты водоснабжения, водоотведения, водоочистки",,Классификатор ОКС по НФТО,По виду ОКС,,16.8.13,
,EA,,,,Объекты водозабора и водоподготовки,,Классификатор ОКС по НФТО,По виду ОКС,,16.8.13,
,,EAA,,,"Здание (сооружение) объектов хранения и подачи воды (резервуары, насосные станции, напорные башни)",,Классификатор ОКС по НФТО,,"Сооружение водонапорной башни с металлическим баком и стволом из сборных железобетонных элементов
Сооружение резервуара для воды
Сооружение насосной станции подпитки пруда охладителя",17.1.2,
,,EAB,,,Гидротехнические сооружения,,Классификатор ОКС по НФТО,,"Рыбозащитное сооружение
Сооружение железобетонного канала
Сооружение ограждающей дамбы
Сооружение открытого грунтового канала",17.1.3,
,,EAC,,,Здание (сооружение) объектов водоподготовки и очистки воды,,Классификатор ОКС по НФТО,,"Здание хлораторной
Сооружение аэробной стабилизации осадка
Сооружение берегового выпуска очистных сооружений",17.1.4,
,,EAD,,,Сооружение объектов забора воды,,Классификатор ОКС по НФТО,,"Водозаборное сооружение
Водозаборное сооружение из поверхностных источников с насосной станцией
Водозаборное сооружение с насосной станцией",17.1.1,
,EB,,,,Объекты водораспределения,,Классификатор ОКС по НФТО,По виду ОКС,,17.1.1,
,,EBA,,,Водопровод (сеть водоснабжения),,Классификатор ОКС по НФТО,,"Сооружение автоматической системы водяного и пенного пожаротушения
Сооружение городского водопровода
Сооружение коллектора водоснабжения",17.2.1,
,,EBB,,,Насосная станция,"Сооружение, предназначенное для забора воды из водоисточника и подачи ее в водопроводные сети","Классификатор ОКС по НФТО
СП 8.13130.2020 ",,"Здание насосной станции пожаротушения
Здание насосной станции хозяйственно-питьевого водопровода
Сооружение резервуара запаса воды",17.2.2,
,EC,,,,"Объекты очистки сточных, в том числе дренажных, вод",,Классификатор ОКС по НФТО,По виду ОКС,,17.2.2,
,,ECA,,,Здание (сооружение)объектов накопительной водоочистки,,Классификатор ОКС по НФТО,,"Прочие сооружения накопительных объектов водоочистки
Сооружение аэротенка-смесителя
Сооружение отстойника горизонтального",17.4.2,
,,ECB,,,Здание (сооружение) объектов водоочистки,,Классификатор ОКС по НФТО,,"Здание очистки сточных вод от гальванических производств
Здание химводоочистки с баковым хозяйством, конденсатоочисткой, очистными сооружениями
Здание цеха адсорбционной доочистки биологически очищенных стоков с регенерацией активизированного угля",17.4.1,
,,ECC,,,Сооружение объектов канализации сточных вод,,Классификатор ОКС по НФТО,,"Сооружение подземной сети водоснабжения и водоотведения на территории блоков оборотного водоснабжения
Сооружение подземной сети водоснабжения и водоотведения на территориях комплексов очистных сооружений канализации
Сооружение системы канализации производственных и дождевых сточных вод с очистными сооружениями",17.4.3,
,ED,,,,Объекты приема сточных вод,,Классификатор ОКС по НФТО,По виду ОКС,,17.4.3,
,,EDA,,,Заглубленное сооружение объектов для сбора сточных вод,,Классификатор ОКС по НФТО,,"Сооружение дренажной штольни на оползневых склонах
Сооружение конструкции, обеспечивающей устойчивость заглубленных сооружений от всплытия
Сооружение конструкции, обеспечивающей устойчивость ограждающих стен котлованов заглубленных сооружений",17.3.2,
,,EDB,,,Сооружение объектов сетей канализации,,Классификатор ОКС по НФТО,,"Сооружение внутриплощадочной сети водоотведения
Сооружение внутриплощадочной сети канализации
Сооружение наружной сети бытовой и производственно-дождевой канализации
Сооружение отводящего закрытого канала",17.3.4,
,,EDC,,,Здание (сооружение) насосных станций сбора сточных вод,,Классификатор ОКС по НФТО,,"Здание канализационной насосной станции
Здание насосно-воздуходувной станции
Здание насосной станции перекачки дренажных вод",17.3.1,
,,EDD,,,Сооружение пруда-накопителя,,Классификатор ОКС по НФТО,,"Сооружение пруда накопления ливневых и сточных вод предприятия
Сооружение пруда-накопителя дождевых стоков",17.3.5,
,,EDE,,,"Сооружение объектов сетей канализации, сети сбора стоков",,Классификатор ОКС по НФТО,,"Сооружение аварийно-регулирующего резервуара
Сооружение камеры на канализационном коллекторе
Сооружение канализационного коллектора",17.3.3,
F,,,,,"Объекты сбора, переработки и утилизации отходов, обработка вторичного сырья",,Классификатор ОКС по НФТО,По виду ОКС,,17.3.3,
,FA,,,,Объекты обработки и утилизации неопасных отходов,,Классификатор ОКС по НФТО,По виду ОКС,,17.3.3,
,,FAA,,,Здание (сооружение) объектов переработки и утилизации промышленных и бытовых отходов,,Классификатор ОКС по НФТО,,"Здание мусоросортировочного комплекса
Сооружение для переработки промышленных и бытовых отходов металлургического предприятия",18.1.1,
,,FAB,,,Здание (сооружение) объектов утилизации отходов животного происхождения,,Классификатор ОКС по НФТО,,"Здание цеха утилизации отходов животного происхождения
Сооружение очистки органических отходов для последующей утилизации",18.1.2,
,FB,,,,Объекты переработки вторичного сырья,,Классификатор ОКС по НФТО,По виду ОКС,,18.1.2,
,,FBA,,,Здание (сооружение) объектов переработки вторичного металлического сырья,,Классификатор ОКС по НФТО,,"Сооружение механического дробления металлических отходов
Сооружение прессования металлических отходов",18.3.2,
,,FBB,,,Здание (сооружение) объектов переработки вторичного неметаллического сырья,,Классификатор ОКС по НФТО,,"Здание цеха переработки макулатуры
Здание цеха переработки отходов и лома пластмасс
Здание цеха переработки отходов и лома стекла",18.3.1,
,FC,,,,"Объекты сбора, обработки и утилизации опасных отходов",,Классификатор ОКС по НФТО,По виду ОКС,,18.3.1,
,,FCA,,,Здание (сооружение) объектов переработки радиоактивных отходов,,Классификатор ОКС по НФТО,,"Здание переработки твердых радиоактивных отходов
Сооружение переработки жидких радиоактивных отходов с установкой цементации",18.2.1,
,,FCB,,,Здание (сооружение) объектов хранения отходов атомных электрических станций и опасных отходов,,Классификатор ОКС по НФТО,,"Сооружение пункта захоронения спецотходов
Сооружение хранилища жидких и твердых отходов
Сооружение хранилища отработавшего ядерного топлива",18.2.2,
G,,,,,"Объекты городской среды, охраны природы",,Классификатор ОКС по НФТО,По виду ОКС,,19,
,GA,,,,"Гостиницы, хостелы, мотели",,Классификатор ОКС по НФТО,По виду ОКС,,19.1.1,
,,GAA,,,Здание гостиницы,"Предприятие, предоставляющее услуги размещения и, в большинстве случаев, услуги питания, имеющее службу приема, а также оборудование для оказания дополнительных услуг.",Классификатор ОКС по НФТО,,Гостиница,19.1.1.2,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены)
,,GAB,,,Здание мотеля,"Гостиница с автостоянкой, предоставляющая услуги для размещения автомобилистов.",Классификатор ОКС по НФТО,,Мотель,19.1.1.1,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены)
,,GAC,,,Здание хостела,"Предприятие, предоставляющее услуги размещения и питания, управление которым осуществляется некоммерческой организацией; проживание - в многоместных номерах, питание - с ограниченным выбором блюд и/или наличие оборудования для самостоятельного приготовления пищи; предоставление дополнительных услуг, включая развлекательные и образовательные программы",Классификатор ОКС по НФТО,,Хостел,19.1.1.3,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены)
,GB,,,,Объекты бытового обслуживания,,Классификатор ОКС по НФТО,По виду ОКС,,19.4,
,,GBA,,,"Здание бани (душевой, сауны)",,Классификатор ОКС по НФТО,,"Здание бани-душевой
Здание банно-оздоровительного комплекса
Здание банно-саунного комплекса",19.4.2,
,,GBB,,,Здание (сооружение) объектов похоронного назначения (кладбища),,Классификатор ОКС по НФТО,,"Здание для проведения траурных обрядов, прощания и поминовения
Здание колумбария
Здание крематория
Производственно-бытовое здание похоронного назначения",19.4.3,
,,GBC,,,"Здание прачечной, химчистки и мелкого ремонта одежды и обуви",,Классификатор ОКС по НФТО,,"Здание комплекса бытового обслуживания
Здание мастерской по стирке и ремонту одежды и обуви
Здание прачечной
Здание химчистки",19.4.4,
,,GBD,,,Здание (сооружение) объектов бытового обслуживания прочего назначения,,Классификатор ОКС по НФТО,,"Здание ателье
Здание салона одежды
Здание парикмахерской
Здание салона красоты",19.4.1,
,GC,,,,Объекты жилой застройки,,Классификатор ОКС по НФТО,По виду ОКС,,19.7,
,,GCA,,,Жилые объекты для постоянного проживания,,Классификатор ОКС по НФТО,По виду ОКС,,19.7.1,
,,,GCAA,,Жилой дом блокированной застройки,"Здание, состоящее из двух квартир и более, каждая из которых имеет непосредственно выход на приквартирный участок ","Классификатор ОКС по НФТО
СП 54.13330.2016",,Таун-хаус,19.7.1.3,
,,,GCAB,,Индивидуальный жилой дом,"Дом, предназначенный для постоянного совместного проживания одной семьи и связанных с ней родственными узами или иными близкими отношениями людей","Классификатор ОКС по НФТО
СНиП 31-02-2001",,Индивидуальный жилой дом с приусадебным участком,19.7.1.2,
,,,GCAC,,Многоквартирный жилой дом,"Жилое здание, в котором квартиры имеют общие внеквартирные помещения и инженерные системы","Классификатор ОКС по НФТО
СП 54.13330.2016",,"Малоэтажный многоквартирный жилой дом
Многоэтажный многоквартирный жилой дом
Среднеэтажный многоквартирный жилой дом",19.7.1,
,,GCB,,,Инженерные сети населенных пунктов,,Классификатор ОКС по НФТО,По виду ОКС,,19.7.3,
,,,GCBA,,Газораспределительная сеть,"Система наружных газопроводов от источника до ввода газа потребителям, а также сооружения и технические устройства на них","Классификатор ОКС по НФТО
СНиП 42-01-2002",,Газораспределительная сеть,19.7.3.1,
